"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",185763.395802366,18.8876760069306,185701.179968119,185750.336938276,185763.265234428,185775.394168352,185821.674939095
"Num Offtake","Neonatal Female",13347.9573011726,2.56156013578257,13339.510906604,13346.1832026546,13347.935901515,13349.5769594704,13355.8844957684
"Num Offtake","Neonatal Male",40535.7900519425,14.0168632411252,40489.449695119,40526.4338263381,40535.4591632974,40544.8302617053,40579.1896380281
"Num Offtake","Neonatal Combined",53883.7473531151,16.576092167518,53828.960601723,53872.6548378792,53883.4044842279,53894.3901636419,53935.0741337965
"Num Offtake","Juvenile Female",44252.8951911677,2.05185027453517,44246.5652699327,44251.4932319704,44252.9185144252,44254.2095280424,44258.8667583649
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",44252.8951911677,2.05185027453517,44246.5652699327,44251.4932319704,44252.9185144252,44254.2095280424,44258.8667583649
"Num Offtake","Adult Female",83940.0275756728,0.234690129720409,83939.360307511,83939.864179211,83940.0310713798,83940.1854343856,83940.6832314405
"Num Offtake","Adult Male",3686.72568241049,0.163126684585159,3686.26194341486,3686.61170432987,3686.72829191483,3686.83532963453,3687.18127369722
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-7575.94522874568,95.6307181540426,-7890.66027199035,-7639.27059915531,-7573.63518252026,-7513.17816669232,-7287.19865325163
"Cml Pop Growth","Neonatal Female",-4289.83623839172,35.1116009921694,-4403.31604456581,-4314.3705519801,-4288.9732606155,-4266.66675034276,-4179.12263079704
"Cml Pop Growth","Neonatal Male",32774.7353401451,29.1470539156351,32684.7447201345,32754.6004059271,32775.8334406406,32793.9861657105,32872.0322906469
"Cml Pop Growth","Neonatal Combined",28484.8991017534,64.0335604027342,28281.4286755687,28441.2313629076,28487.1882383471,28528.2710499711,28692.9096598499
"Cml Pop Growth","Juvenile Female",-11729.7113077154,17.4466961404748,-11787.4617354563,-11741.5301165706,-11730.1123739806,-11718.5911741961,-11675.6032579422
"Cml Pop Growth","Juvenile Male",37935.3178315479,16.0965494709757,37882.0985602495,37924.382708494,37934.9568176905,37945.5405754283,37985.058328623
"Cml Pop Growth","Juvenile Combined",26205.6065238325,33.5408175560528,26094.6368247933,26182.8149720821,26204.7714747157,26227.0171837888,26309.4550706808
"Cml Pop Growth","Adult Female",-75623.6257176876,3.24246231659459,-75633.7339030373,-75625.8204350386,-75623.607265156,-75621.5105263593,-75614.0294501908
"Cml Pop Growth","Adult Male",13357.174863356,3.30162435715582,13346.9056567869,13354.9314458952,13357.2080156543,13359.3290358625,13366.9029692654
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",178187.450573621,112.195407718702,177821.197652298,178111.614096524,178189.347061766,178261.115036942,178533.659225104
"Total Number Increase","Neonatal Female",9058.12106278086,36.979328110546,8937.62223838935,9032.61314070354,9059.12147034994,9082.0316391643,9172.59817429106
"Total Number Increase","Neonatal Male",73310.5253920876,39.3195906807608,73181.3737210589,73284.3137074459,73312.0564532914,73336.3609711073,73429.1613024765
"Total Number Increase","Neonatal Combined",82368.6464548685,76.2459589093199,82118.9959594482,82317.5631559577,82370.5278211759,82418.1720924359,82601.7594767676
"Total Number Increase","Juvenile Female",32523.1838834523,19.3661111649497,32459.1035344765,32510.2693597188,32522.7212430831,32535.6730182064,32583.2635004228
"Total Number Increase","Juvenile Male",37935.3178315479,16.0965494709757,37882.0985602495,37924.382708494,37934.9568176905,37945.5405754283,37985.058328623
"Total Number Increase","Juvenile Combined",70458.5017150002,35.4450992985558,70341.202094726,70434.4926278156,70457.7471566977,70481.2485042964,70568.3218290457
"Total Number Increase","Adult Female",8316.40185798529,3.47094656346144,8305.64491023259,8314.04946055294,8316.45043832917,8318.65666852167,8326.57741124679
"Total Number Increase","Adult Male",17043.9005457665,3.46051076127389,17033.1809399803,17041.5556369104,17043.9465921222,17046.1425640398,17054.0301547614
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",39792.3796190678,0.959721336827734,39789.4332807359,39791.7187312978,39792.3933544624,39792.9887612888,39795.1503718058
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",9798.85536375856,0.454338275075677,9797.45373834225,9798.5449299363,9798.86052819415,9799.14639549511,9800.17763935223
"Total Mortality","Juvenile Male",2113.44366767505,0.429103334397982,2112.11443655755,2113.15289897689,2113.44937742316,2113.72167794094,2114.69973919042
"Total Mortality","Juvenile Combined",11912.2990314336,0.883430376882971,11909.5681748998,11911.6970374312,11912.3108286894,11912.868981132,11914.8773785426
"Total Mortality","Adult Female",27880.0805876342,0.0779506502285392,27879.8589592805,27880.0263166665,27880.0817487083,27880.1330192781,27880.2983590142
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
