"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",183177.919733515,18.1135711522264,183115.841626935,183166.148165806,183177.184186797,183189.932202281,183234.908778356
"Num Offtake","Neonatal Female",12729.6440924305,2.44786835244229,12721.2799514331,12728.054782646,12729.5373564753,12731.2781015973,12737.3565301657
"Num Offtake","Neonatal Male",39030.7586991783,13.4382481096778,38986.5366572816,39022.0432039534,39029.9992699408,39039.8387528814,39073.3992203519
"Num Offtake","Neonatal Combined",51760.4027916088,15.8841544150037,51707.8166087147,51750.0715779408,51759.5643815732,51771.1014557412,51810.7557505176
"Num Offtake","Juvenile Female",43841.0329750732,1.97277455452755,43833.0932578224,43839.7520562338,43840.9340253832,43842.3698047651,43847.0350644596
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",43841.0329750732,1.97277455452755,43833.0932578224,43839.7520562338,43840.9340253832,43842.3698047651,43847.0350644596
"Num Offtake","Adult Female",83899.976986877,0.226156878571364,83899.0614232871,83899.8341046831,83899.9650154639,83900.1302635589,83900.6335093333
"Num Offtake","Adult Male",3676.50697995552,0.157402844700821,3675.87033711105,3676.40732474672,3676.49863096657,3676.61378888335,3676.96388060434
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-28667.5569880972,91.3300572008928,-28936.9623856883,-28727.5626534523,-28671.9054330932,-28606.2048928398,-28372.9101231262
"Cml Pop Growth","Neonatal Female",-14190.875229094,33.5455686858026,-14286.4979861675,-14214.1214625683,-14191.3383844812,-14168.4640918854,-14077.6650298272
"Cml Pop Growth","Neonatal Male",28703.555922001,28.2229290878976,28620.9719951415,28684.6593123493,28703.143928022,28721.6990711383,28804.9928550921
"Cml Pop Growth","Neonatal Combined",14512.6806929071,61.5627220581975,14334.7460820938,14470.8103366181,14511.876477105,14553.3239649959,14727.3278252648
"Cml Pop Growth","Juvenile Female",-16112.2119568428,16.6267714980604,-16164.3737382544,-16122.9437169942,-16113.1226241779,-16100.8849524689,-16059.1142611285
"Cml Pop Growth","Juvenile Male",36126.760399229,15.4033690602779,36079.5336992159,36116.7787085849,36126.0486290832,36137.3238650082,36176.0201346241
"Cml Pop Growth","Juvenile Combined",20014.5484423862,32.0283532916098,19915.1599609615,19993.7868680186,20012.7688250677,20036.3413163908,20116.9058734955
"Cml Pop Growth","Adult Female",-76285.3068810492,3.11647612064162,-76297.7981617916,-76287.3370035441,-76285.4254386796,-76283.1980169967,-76275.7807552059
"Cml Pop Growth","Adult Male",13090.5207576588,3.18139078958315,13077.7607225329,13088.4510398677,13090.3821660562,13092.6759949929,13100.2302825673
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",154510.362745417,107.119233164268,154194.138215039,154439.22360043,154505.47955997,154583.488421476,154854.837257995
"Total Number Increase","Neonatal Female",-1461.23113666353,35.2961705770511,-1562.89887091632,-1484.7986419303,-1462.13405885127,-1437.69488326757,-1344.97932893313
"Total Number Increase","Neonatal Male",67734.3146211794,37.8027225234072,67623.7052083621,67709.0005010206,67732.7232003505,67759.6479714294,67855.4588354121
"Total Number Increase","Neonatal Combined",66273.0834845158,73.036580891555,66060.8063374458,66225.044263332,66270.4971608523,66321.9472423415,66508.5546141362
"Total Number Increase","Juvenile Female",27728.8210182304,18.476620628116,27668.7195195679,27716.793951991,27727.8306250999,27741.5391941505,27787.577033291
"Total Number Increase","Juvenile Male",36126.760399229,15.4033690602779,36079.5336992159,36116.7787085849,36126.0486290832,36137.3238650082,36176.0201346241
"Total Number Increase","Juvenile Combined",63855.5814174594,33.8649749494355,63748.2532187838,63833.6245764376,63853.5509724146,63878.5884132322,63963.5971679151
"Total Number Increase","Adult Female",7614.67010582778,3.33671340977159,7601.26326149549,7612.49320802198,7614.51622953646,7616.93224067553,7624.8431732937
"Total Number Increase","Adult Male",16767.0277376143,3.33476490028096,16753.631059644,16764.8543911276,16766.8642665403,16769.2876410769,16777.186824285
