"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",191317.288418366,19.1713781666862,191267.822033557,191304.162520242,191316.770493005,191329.498339321,191383.500598303
"Num Offtake","Neonatal Female",13488.8266308105,2.59716612916706,13482.1461631334,13487.079189427,13488.7477894971,13490.4732779316,13497.8004786759
"Num Offtake","Neonatal Male",41356.2870395284,14.2504462131065,41320.6690429474,41346.794085593,41355.6371452268,41365.6116007102,41404.953217328
"Num Offtake","Neonatal Combined",54845.1136703389,16.8450967916415,54802.8152060808,54833.863250453,54844.4473899253,54856.1248898587,54902.7536960039
"Num Offtake","Juvenile Female",45351.585018375,2.07994632679364,45345.5874812693,45350.0796925257,45351.6036514314,45352.930513417,45358.9110975062
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",45351.585018375,2.07994632679364,45345.5874812693,45350.0796925257,45351.6036514314,45352.930513417,45358.9110975062
"Num Offtake","Adult Female",87414.7323919419,0.239125199154491,87414.0378790584,87414.5564151005,87414.7279460073,87414.8920533607,87415.5953427334
"Num Offtake","Adult Male",3705.8573377101,0.163848217612665,3705.38146714817,3705.73681481543,3705.85432269925,3705.96677957579,3706.44877060759
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",35682.5151158537,101.47419160277,35402.5732858836,35612.7286680394,35682.9899195525,35751.34532791,35972.5311459181
"Cml Pop Growth","Neonatal Female",-314.944876834989,37.6893921448818,-428.030165103657,-341.334519626947,-314.460077083677,-287.291245909819,-193.709014355249
"Cml Pop Growth","Neonatal Male",36194.9997532092,31.6336840264758,36095.7060403341,36172.9982978403,36193.8649400896,36218.1486417654,36300.5376701245
"Cml Pop Growth","Neonatal Combined",35880.0548763742,69.0975254307589,35668.0445585051,35831.7444469736,35879.7052511467,35930.0640167767,36106.8286557692
"Cml Pop Growth","Juvenile Female",-3710.86162174145,18.154827370671,-3756.01756980765,-3723.24913162033,-3711.46417152547,-3698.77471609748,-3649.56518711473
"Cml Pop Growth","Juvenile Male",40750.1083092112,16.79784833958,40708.0154607091,40738.5238884003,40749.450716613,40761.3087001778,40806.3281895752
"Cml Pop Growth","Juvenile Combined",37039.2466874697,34.9502954119774,36951.9978909015,37015.2441688828,37037.8696651345,37062.6153952964,37156.7630024605
"Cml Pop Growth","Adult Female",-51029.1124060385,3.36324454206403,-51038.7734375359,-51031.5183179781,-51029.0606254532,-51026.9516092352,-51017.2381404995
"Cml Pop Growth","Adult Male",13792.3259580483,3.35304734614478,13782.6908118469,13789.9168828357,13792.3803945964,13794.4770508172,13804.1641091046
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",226999.80353422,118.153048714967,226689.123063368,226920.932741405,227000.123550502,227078.794811229,227332.647126548
"Total Number Increase","Neonatal Female",13173.8817539755,39.5566556825809,13056.606904536,13145.9723755934,13174.4549641987,13202.4111324519,13298.8219360165
"Total Number Increase","Neonatal Male",77551.2867927376,41.8356639553765,77430.8065628182,77522.3793831392,77552.0245139753,77579.4088639539,77678.8629010127
"Total Number Increase","Neonatal Combined",90725.1685467131,81.3405799027626,90487.4134673542,90668.6802430275,90727.3420222863,90781.8791018844,90977.6848370292
"Total Number Increase","Juvenile Female",41640.7233966335,20.0915235624471,41590.701759985,41627.295774199,41639.7886558662,41653.8832592588,41709.301267342
