"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",183176.029787802,17.6932600094321,183100.098068413,183163.414170968,183176.059758882,183188.831866116,183226.957748424
"Num Offtake","Neonatal Female",12729.3880246309,2.39166398493406,12719.0816188544,12727.6759937901,12729.3907976819,12731.1179031336,12736.2572688597
"Num Offtake","Neonatal Male",39029.3047657059,13.1311703931691,38971.7457245281,39019.9971958313,39029.3405825195,39038.7081262579,39066.2127150485
"Num Offtake","Neonatal Combined",51758.6927903367,15.5206527891465,51690.8273433825,51747.6598413404,51758.7016912307,51769.8622251877,51802.4698694387
"Num Offtake","Juvenile Female",43840.8777126575,1.93603192262355,43833.892065831,43839.5146814921,43840.8896755053,43842.2810841151,43846.8845493637
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",43840.8777126575,1.93603192262355,43833.892065831,43839.5146814921,43840.8896755053,43842.2810841151,43846.8845493637
"Num Offtake","Adult Female",83899.9624231437,0.223050992548018,83899.3243182115,83899.8040966626,83899.9607486969,83900.1149947118,83900.6372403499
"Num Offtake","Adult Male",3676.4968616642,0.155248188516398,3676.05434098779,3676.38666751108,3676.49598350857,3676.60322266323,3676.96608927127
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-28680.5474267246,87.4137119244855,-29049.8712072867,-28738.5205579596,-28679.49814516,-28622.9207372857,-28426.7247230014
"Cml Pop Growth","Neonatal Female",-14195.7517228287,32.0855783598681,-14315.2811132854,-14216.5815728361,-14195.843407215,-14174.0406624473,-14108.8234331561
"Cml Pop Growth","Neonatal Male",28699.5582652056,26.9997310006146,28611.9368568809,28681.1847124976,28700.0521458246,28717.8335049965,28781.9466863396
"Cml Pop Growth","Neonatal Combined",14503.8065423769,58.8674073115186,14297.6199228801,14465.8223161866,14504.6471367657,14543.8343017842,14669.9949953443
"Cml Pop Growth","Juvenile Female",-16114.0729496657,16.2614433450343,-16186.7607096765,-16125.4408921916,-16113.977769316,-16102.4585220627,-16068.9733493401
"Cml Pop Growth","Juvenile Male",36125.0099482203,15.0666803932453,36057.3192772097,36114.5197152496,36125.1407543043,36135.8577844781,36166.5938985991
"Cml Pop Growth","Juvenile Combined",20010.9369985546,31.3261603965655,19870.5585675332,19989.1096727191,20011.3679948943,20033.34939955,20097.620549259
"Cml Pop Growth","Adult Female",-76285.5573039135,3.05773262703852,-76296.8560625782,-76287.7539298314,-76285.565002508,-76283.4004331721,-76276.0740572093
"Cml Pop Growth","Adult Male",13090.2663362575,3.1214814199546,13078.8063648782,13088.008274489,13090.2559564224,13092.4799398279,13099.9462375274
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",154495.482361078,102.693443142239,154050.226861126,154424.542170087,154495.898628937,154565.547258268,154796.334950466
"Total Number Increase","Neonatal Female",-1466.36369819784,33.7456301052642,-1596.199494431,-1488.19420481922,-1466.82397517312,-1443.76321427049,-1373.07986315159
"Total Number Increase","Neonatal Male",67728.8630309115,36.0899023164148,67584.6467606937,67705.4137346786,67728.3774149335,67752.3873643515,67831.4441927192
"Total Number Increase","Neonatal Combined",66262.4993327136,69.7688173850852,65988.4472662627,66217.504139292,66261.8379272891,66309.2091842444,66458.3643295676
"Total Number Increase","Juvenile Female",27726.8047629918,18.0604229030201,27647.1313561545,27713.9459015116,27726.7972872249,27739.8119192694,27777.3746170397
"Total Number Increase","Juvenile Male",36125.0099482203,15.0666803932453,36057.3192772097,36114.5197152496,36125.1407543043,36135.8577844781,36166.5938985991
"Total Number Increase","Juvenile Combined",63851.8147112122,33.1104406381825,63704.4506333642,63828.5150720393,63851.8497240334,63875.4211390877,63943.9685156387
"Total Number Increase","Adult Female",7614.40511923016,3.27420556735429,7602.46825563331,7612.06984042805,7614.4077444951,7616.73555312854,7624.56318314061
