"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",183816.203191089,1.80754580021631,183810.804844827,183814.900344254,183816.223655085,183817.489229473,183821.196440547
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-4147.82380330087,0.17002763211257,-4148.29375366387,-4147.94357559102,-4147.82560029646,-4147.70089838136,-4147.3342378914
"Num Offtake","Juvenile Male",25635.5129921223,1.43355913864002,25631.3896185394,25634.4772005612,25635.5281810338,25636.5238661805,25639.4750653175
"Num Offtake","Juvenile Combined",21487.6891888214,1.26353182281332,21484.055380648,21486.7763079103,21487.7026626967,21488.5802905895,21491.1813116537
"Num Offtake","Adult Female",-12986.9414726399,0.0198640047142507,-12986.9952351963,-12986.955094884,-12986.941576094,-12986.9277812976,-12986.8781470096
"Num Offtake","Adult Male",22025.8931773879,0.569237272124948,22024.0817021407,22025.5027904125,22025.8965673178,22026.2844903367,22027.435859942
"Num Offtake","Oxen",153289.56229752,0.00484856110002601,153289.545909048,153289.558845023,153289.562190813,153289.565561882,153289.574940099
"Cml Pop Growth","Overall",1104089.71981076,661.780091238454,1102233.24529428,1103647.92503743,1104075.86845675,1104547.61631825,1106145.12338639
"Cml Pop Growth","Neonatal Female",22525.3884867126,226.581352445149,21938.5969132092,22365.5340400484,22515.3835509333,22675.3398250904,23199.5053406478
"Cml Pop Growth","Neonatal Male",73210.3464503308,226.581352445153,72623.5548768274,73050.4920036667,73200.3415145515,73360.297788709,73884.463304266
"Cml Pop Growth","Neonatal Combined",95735.7349370434,453.162704890302,94562.1517900366,95416.026043715,95715.7250654849,96035.6376137994,97083.9686449138
"Cml Pop Growth","Juvenile Female",242378.061744903,111.482284626398,242059.636760712,242303.151014098,242376.92129787,242451.007154454,242684.057606169
"Cml Pop Growth","Juvenile Male",303394.904279025,110.139358297003,303078.734519653,303320.669466164,303393.992075943,303466.183646365,303697.574629754
"Cml Pop Growth","Juvenile Combined",545772.966023928,221.621082509122,545138.371280366,545623.962018881,545770.829801224,545917.172478603,546381.632235923
