"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",181936.061635327,40.5742092589399,181785.89535238,181909.591435787,181939.348603868,181963.463947364,182038.832460405
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-3993.57227550598,4.0304295083341,-4006.35546648125,-3996.34967383365,-3993.56153354685,-3990.79836362756,-3980.03452117715
"Num Offtake","Juvenile Male",24651.6943023462,27.6887714159478,24547.2459770862,24634.1724598345,24654.2080243285,24670.1456273435,24725.2004116268
"Num Offtake","Juvenile Combined",20658.1220268402,28.0424227304343,20549.427257205,20640.0997767348,20660.3256472252,20677.154036117,20734.1301990339
"Num Offtake","Adult Female",-12852.6965039836,0.582201374666163,-12854.5017325664,-12853.1015321438,-12852.7071311966,-12852.2773315001,-12850.351620923
"Num Offtake","Adult Male",21539.867157051,12.8567342030699,21499.2350223578,21531.7953864628,21540.7759791839,21548.6681562477,21572.3377932342
"Num Offtake","Oxen",152590.768955419,0.133100915990798,152590.400775524,152590.681503639,152590.775191045,152590.859815078,152591.126987734
"Cml Pop Growth","Overall",700528.181772129,7692.54139310828,674444.311232105,695412.859538818,700741.350776076,706053.754365536,721851.322844233
"Cml Pop Growth","Neonatal Female",-43352.9172195377,3642.63837346212,-57179.8259303655,-45600.6183299603,-43283.5390507584,-40740.9039666849,-33098.5275605407
"Cml Pop Growth","Neonatal Male",11014.2163910585,3490.67815704361,-439.852774336003,8665.21727917891,11252.6166097761,13481.2835906082,19958.9284972532
"Cml Pop Growth","Neonatal Combined",-32338.7008284792,5043.94915661744,-49270.1987655386,-35658.5583016249,-32202.4295812231,-28905.525289015,-16656.8253932756
"Cml Pop Growth","Juvenile Female",152143.766380382,2246.14166772161,144124.584532585,150734.423137671,152185.767762742,153655.132180013,158277.104085437
"Cml Pop Growth","Juvenile Male",232454.274606422,1914.10694408471,224570.057369065,231297.362630831,232619.170469871,233776.676192114,238518.927349341
"Cml Pop Growth","Juvenile Combined",384598.040986804,2970.58972568551,375174.644352039,382629.365308904,384711.890050438,386636.197892113,393229.147418519
"Cml Pop Growth","Adult Female",180021.237922655,490.14627000534,178387.249894223,179688.295490638,180020.039055184,180363.140245586,181574.306951422
"Cml Pop Growth","Adult Male",325380.883925945,386.21929413289,323914.946488615,325136.37189471,325413.626430117,325638.739454194,326417.174720104
"Cml Pop Growth","Oxen",-157133.280234796,8.07390774755203,-157158.867867934,-157138.332802529,-157132.688180924,-157127.749407465,-157112.909837038
"Total Number Increase","Overall",882464.243407456,7706.93997616845,856292.050242102,877366.906964903,882664.116203282,888033.772058892,903835.096540303
"Total Number Increase","Neonatal Female",-43352.9172195377,3642.63837346212,-57179.8259303655,-45600.6183299603,-43283.5390507584,-40740.9039666849,-33098.5275605407
"Total Number Increase","Neonatal Male",11014.2163910585,3490.67815704361,-439.852774336003,8665.21727917891,11252.6166097761,13481.2835906082,19958.9284972532
"Total Number Increase","Neonatal Combined",-32338.7008284792,5043.94915661744,-49270.1987655386,-35658.5583016249,-32202.4295812231,-28905.525289015,-16656.8253932756
"Total Number Increase","Juvenile Female",148150.194104876,2242.68320581195,140142.190415105,146741.820053335,148195.304983614,149656.778468981,154273.453180306
"Total Number Increase","Juvenile Male",257105.968908768,1938.0179189934,249117.303346151,255939.940540537,257275.079319888,258443.401782451,263244.127760968
"Total Number Increase","Juvenile Combined",405256.163013644,2983.598689626,395769.344302801,403286.425527732,405354.259317106,407299.636612172,413916.008598642
"Total Number Increase","Adult Female",167168.541418671,489.597269767634,165536.8982733,166836.069905694,167167.30807157,167510.080040361,168719.805218856
"Total Number Increase","Adult Male",346920.751082996,398.363108108624,345414.181510973,346668.442658979,346956.497240157,347186.671529745,347982.952673206
"Total Number Increase","Oxen",-4542.51127937628,8.20262722470783,-4568.44231612986,-4547.65933346374,-4541.93218861771,-4536.89447233877,-4521.79714904324
"Total Mortality","Overall",392146.451060943,7638.76445982095,370502.428367506,386675.924585091,391980.148516819,397181.710853522,418340.510460306
"Total Mortality","Neonatal Female",92437.8344808346,5419.0639208045,77428.9832449404,88862.9025078317,92203.9098414468,95737.4264309409,111767.453479643
"Total Mortality","Neonatal Male",86198.690652192,5071.28786882977,73529.2724250186,82617.5267268266,86009.5242429916,89582.2083726873,102082.31475003
"Total Mortality","Neonatal Combined",178636.525133027,7396.91611644128,157074.167864044,173464.815999704,178361.114103233,183488.668213008,205284.552320933
"Total Mortality","Juvenile Female",74755.9566796082,1531.76286653844,70103.860060432,73686.8291521461,74772.0232648346,75842.3626132025,79396.5908728311
"Total Mortality","Juvenile Male",54343.8103210371,1168.60982834859,50261.3572223951,53499.035588545,54285.7790305527,55129.6934097587,57926.2111728059
"Total Mortality","Juvenile Combined",129099.767000645,1943.36062816845,122711.143587605,127780.694018406,129105.278261247,130465.034130159,135492.082088882
"Total Mortality","Adult Female",64263.4825199179,2.91100687333103,64251.7581046148,64261.3866575007,64263.5356559829,64265.5076607191,64272.5086628322
"Total Mortality","Adult Male",1835.78413270321,1.0957443923071,1832.32116667822,1835.0961977099,1835.861589135,1836.53421786202,1838.55151646882
"Total Mortality","Oxen",18310.8922746503,0.0159721099190828,18310.8480930629,18310.8817804367,18310.8930229254,18310.9031778093,18310.9352385281
"Value of Total Mortality","Overall",5272031180.46565,70185334.5816258,5067038915.82872,5225049915.88176,5271981564.61867,5320635961.54138,5509712950.51049
"Value of Total Mortality","Neonatal Female",771981820.560353,45256564.6394814,646637470.309402,742126269.438908,770028231.210248,799537907.470605,933410466.625529
"Value of Total Mortality","Neonatal Male",618494595.707307,36387607.7051233,527588728.750694,592798955.583055,617137285.046385,642772080.768538,732463097.901831
"Value of Total Mortality","Neonatal Combined",1390476416.26766,57879637.0321486,1218109216.43822,1350381890.24872,1387740337.60482,1429778006.98465,1598013135.33963
"Value of Total Mortality","Juvenile Female",1606847004.1734,32924581.2979173,1506852196.43271,1583866569.69184,1607192348.4842,1630198830.53278,1706595432.01846
"Value of Total Mortality","Juvenile Male",1010312765.20324,21725775.578631,934415354.724737,994607449.530378,1009233898.02018,1024923218.75448,1076913640.06342
"Value of Total Mortality","Juvenile Combined",2617159769.37663,39773027.0483861,2486751131.28921,2589966853.71558,2617529263.4678,2645260323.7978,2746232139.62973
"Value of Total Mortality","Adult Female",1158771769.19905,52490.0371484646,1158560359.53168,1158733977.49985,1158772727.32596,1158808285.67617,1158934524.76697
"Value of Total Mortality","Adult Male",54972684.0332571,32812.1423355006,54868985.2738452,54952083.771849,54975003.4715152,54995145.3857106,55055553.5333447
"Value of Total Mortality","Oxen",583811218.631869,509.243177018046,583809809.978157,583810884.041966,583811242.489331,583811566.260289,583812588.461011
"Population Liveweight (kg)","Overall",1809033697.86297,151958788.398342,1353263767.10967,1700826868.46475,1805723966.64657,1919734265.12699,2333835718.43827
"Population Liveweight (kg)","Neonatal Female",58633608.0954972,12459518.9872674,21134507.3694951,49904275.7650797,59665482.2077717,68070174.5568126,83970390.4899244
"Population Liveweight (kg)","Neonatal Male",60897947.3253221,16070065.4741159,20159325.9266263,49617836.3498454,60930563.1440718,73252029.6765427,97605903.6495725
"Population Liveweight (kg)","Juvenile Female",177270782.979718,37433937.187955,100954783.441447,149099081.335516,173073420.826707,203007259.204878,287232908.795467
"Population Liveweight (kg)","Juvenile Male",152747357.998837,33917015.881385,88358687.7765379,127221156.540435,149076992.887434,174366225.704556,253478076.723615
"Population Liveweight (kg)","Juvenile Combined",330018140.978555,49656744.4759199,206818221.428218,295248125.954279,327837811.128575,362405872.759515,492342547.118822
"Population Liveweight (kg)","Adult Female",798685639.863467,121994470.295299,532227523.188735,709471747.40027,798798133.044768,887860575.601148,1110617261.89011
"Population Liveweight (kg)","Adult Male",96657945.0113006,15454659.5718715,64547261.7677133,85290527.3736634,95271019.134994,107837058.44901,141985455.85905
"Population Liveweight (kg)","Oxen",464140416.588827,73384673.4866518,307620396.662418,408870638.903781,460978922.042135,513734781.65976,657250797.757568
"Offtake Liveweight (kg)","Overall",46870599.5074139,6804421.46090477,32280863.142937,41526963.4540166,46402506.6309366,51856195.38613,65093809.1078969
"Offtake Liveweight (kg)","Juvenile Female",-674245.836278578,142340.620108733,-1070376.87029446,-770466.376760114,-669315.655662357,-566170.883955959,-368585.048942965
"Offtake Liveweight (kg)","Juvenile Male",4536375.42823137,986907.223687551,2592593.69038058,3765937.7828009,4502018.66208507,5198811.93902027,7425643.60977968
"Offtake Liveweight (kg)","Adult Female",-3105664.35785092,469126.921369802,-4244101.25818132,-3459347.1818994,-3108898.25374544,-2752370.61761145,-2057077.74856905
"Offtake Liveweight (kg)","Adult Male",5758987.03822769,952865.836496609,3718053.50118346,5014908.90379362,5681457.47488454,6405963.51919448,8404577.413682
"Offtake Liveweight (kg)","Oxen",40355147.2350843,6634916.36671939,26697645.3820988,34908411.8168247,40072949.0172432,45015664.8697544,58399814.2677792
"Meat (kg)","Overall",148369540.174945,7130505.86553851,127715969.310969,143294797.454392,148360904.625263,153327230.326488,173193234.809085
"Manure","Overall",4657252549.88851,161680952.477977,4121693198.50973,4546364257.24527,4655273616.50444,4768358492.09178,5172205542.00627
"Manure","Neonatal Female",167953422.55598,4355287.23613193,150821985.416378,164954964.28043,167988979.560955,170894675.839081,182480196.95257
"Manure","Neonatal Male",157861763.732732,3951977.43655214,144290991.832086,155254144.746904,157884135.370028,160455502.694298,168878177.483194
"Manure","Neonatal Combined",325815186.288712,6059619.43231681,302445600.160777,321684148.722229,325779179.554036,330214699.889203,343597397.796194
"Manure","Juvenile Female",418832406.67176,14006205.6454034,377128732.846213,409165843.800572,419275832.303665,428900564.055036,468454374.92756
"Manure","Juvenile Male",308114677.611639,10591094.6088845,276548358.939285,300820474.493106,308081243.618221,314798611.38227,340701202.900698
"Manure","Juvenile Combined",726947084.283399,17712115.7493664,668060678.374693,714652436.019242,726390432.366838,739534943.972265,779466055.328727
"Manure","Adult Female",2213585682.68019,136166642.719256,1743169337.17495,2129357082.11364,2208574352.34918,2287879946.05244,2597257050.92896
"Manure","Adult Male",144432180.640125,9591767.28737853,115394222.424149,137945507.153097,144852577.831517,151220883.663803,171760854.269546
"Manure","Oxen",1246472415.99608,77201791.3199935,981719871.027613,1198843526.96322,1243588303.76174,1288869443.33544,1463041499.56005
"Hides","Overall",106754.962963958,970.914308018611,103564.19918422,106095.197894924,106757.266743691,107437.226484949,109948.721854325
"Hides","Juvenile Female",37377.9783398041,765.88143326922,35051.930030216,36843.414576073,37386.0116324173,37921.1813066012,39698.2954364156
"Hides","Juvenile Male",27171.9051605186,584.304914174294,25130.6786111975,26749.5177942725,27142.8895152764,27564.8467048794,28963.105586403
"Hides","Juvenile Combined",64549.8835003227,971.680314084225,61355.5717938026,63890.3470092032,64552.6391306236,65232.5170650794,67746.0410444412
"Hides","Adult Female",32131.741259959,1.45550343666551,32125.8790523074,32130.6933287504,32131.7678279915,32132.7538303595,32136.2543314161
"Hides","Adult Male",917.892066351604,0.547872196153548,916.160583339112,917.54809885495,917.930794567498,918.267108931008,919.275758234411
"Hides","Oxen",9155.44613732515,0.00798605495954142,9155.42404653146,9155.44089021833,9155.44651146272,9155.45158890466,9155.46761926405
"Milk","Overall",222371235.082116,38063141.2778873,118281127.297507,195275576.836426,223342670.277699,247870207.767888,324804116.818957
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",16321768368.2328,394106857.610637,14974980974.5516,16059946394.3711,16329062359.8613,16569846826.8816,17457292262.9712
"Cml Dry Matter","Neonatal Female",563045533.431521,34393889.4207123,457367461.688519,538539758.853925,564194727.023922,585360542.51287,661559867.409514
"Cml Dry Matter","Neonatal Male",565106012.055433,44954879.4717553,410458875.759645,536396758.311342,564804456.224038,595743878.872208,716319746.916557
"Cml Dry Matter","Neonatal Combined",1128151545.48695,54824051.9087361,944325626.983535,1091197082.94436,1128705681.33708,1165052730.0189,1289789665.5845
"Cml Dry Matter","Juvenile Female",1584272952.11313,97613594.2134929,1277224228.38746,1518180408.63941,1581677927.52078,1646684164.00039,1903772051.85302
"Cml Dry Matter","Juvenile Male",1281508721.89397,79234185.3883955,1051868764.45066,1226916024.86536,1282468829.85342,1331875435.40335,1536041033.09028
"Cml Dry Matter","Juvenile Combined",2865781674.0071,122238051.295277,2329092992.83811,2784386696.04074,2863438554.08474,2944166043.99915,3321797365.72791
"Cml Dry Matter","Adult Female",7293281447.35399,303766238.754237,6358635949.933,7094885026.97025,7288821860.06716,7504386143.10271,8288957758.15557
"Cml Dry Matter","Adult Male",521943403.846796,27185820.7706898,444354521.593153,502737694.6301,522301875.382584,540337762.131397,605156751.786398
"Cml Dry Matter","Oxen",4512610297.53793,206617240.881133,3919817991.65014,4377084248.28771,4507970567.18352,4655660113.61616,5140349841.05333
