"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",185878.934789447,272.073323151463,185270.545025891,185685.213836239,185852.684427636,186042.2835586,187169.554289957
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-4349.35471278378,25.5702953727337,-4471.57211920716,-4364.20804163776,-4347.20586912592,-4331.60684038495,-4291.06245866625
"Num Offtake","Juvenile Male",27336.2887878857,215.585059364228,26844.5961333912,27186.3769338517,27318.380726195,27460.7682203925,28366.8538027641
"Num Offtake","Juvenile Combined",22986.9340751019,190.014805187886,22553.533674725,22854.7855168485,22971.1748570691,23096.5489732207,23895.281683557
"Num Offtake","Adult Female",-13007.1077904575,2.98878160802125,-13020.7962573734,-13008.8566523913,-13006.7482842967,-13004.9445614715,-13000.7836487991
"Num Offtake","Adult Male",22605.1359702485,85.6456820015657,22423.794570338,22542.7544169967,22594.9706140944,22655.4847593586,22998.0279377502
"Num Offtake","Oxen",153293.972534554,0.729509723247151,153292.491442986,153293.44336669,153293.859971215,153294.362605159,153297.124777032
"Cml Pop Growth","Overall",2166632.61898291,96715.069286916,1917644.40427194,2099869.76398651,2156876.78225966,2227943.65331369,2549164.62073036
"Cml Pop Growth","Neonatal Female",370273.061378209,32728.7488657664,285852.876766281,347139.702683735,368305.710841159,391156.574323599,473791.975528859
"Cml Pop Growth","Neonatal Male",420958.019341827,32728.7488657664,336537.8347299,397824.660647353,418990.668804777,441841.532287217,524476.933492477
"Cml Pop Growth","Neonatal Combined",791231.080720036,65457.4977315328,622390.711496181,744964.363331088,787296.379645936,832998.106610816,998268.909021336
"Cml Pop Growth","Juvenile Female",402153.437273381,16554.0987579327,362785.474395976,390538.529537628,401489.11518825,411675.020623197,480413.322266062
"Cml Pop Growth","Juvenile Male",461447.928026394,16350.6896363596,422574.19262371,449955.331332468,460805.057933342,470756.841649255,538810.892129484
"Cml Pop Growth","Juvenile Combined",863601.365299775,32904.7126884227,785359.667019686,840493.860870096,862243.635133319,882444.574974199,1019224.21439555
"Cml Pop Growth","Adult Female",285695.034587233,3138.38496755368,278532.781802838,283514.539952915,285437.969271283,287499.20212126,300700.722462988
"Cml Pop Growth","Adult Male",364949.805247623,3033.2653615025,358013.839737569,362842.358970679,364705.72517034,366693.761872173,379461.142814481
"Cml Pop Growth","Oxen",-138844.666871753,54.025497738617,-138959.100027287,-138884.085326088,-138851.057619622,-138812.788233147,-138596.596931723
"Total Number Increase","Overall",2352511.55377236,96911.7791082092,2103069.01569411,2285478.65718111,2342778.20443666,2414095.63856713,2736073.82528398
"Total Number Increase","Neonatal Female",370273.061378209,32728.7488657664,285852.876766281,347139.702683735,368305.710841159,391156.574323599,473791.975528859
"Total Number Increase","Neonatal Male",420958.019341827,32728.7488657664,336537.8347299,397824.660647353,418990.668804777,441841.532287217,524476.933492477
