"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",183819.893540799,253.831004148213,183232.788854384,183630.804790906,183800.639050184,183979.826719088,184698.489111594
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-4188.73869934804,24.0435867290126,-4266.10251815311,-4203.94017731209,-4186.89548002694,-4172.09829648212,-4120.17199971521
"Num Offtake","Juvenile Male",26297.4975775314,200.169941201606,25832.38984589,26150.1542499898,26283.4850260737,26427.4406843104,26994.0741412991
"Num Offtake","Juvenile Combined",22108.7588781834,176.832917877916,21696.2433626297,21977.6151910627,22099.6878371659,22224.4218916987,22727.971623146
"Num Offtake","Adult Female",-12986.4695237216,2.8658562123194,-12995.2428574746,-12988.2014249804,-12986.1288692371,-12984.502588141,-12978.6293998741
"Num Offtake","Adult Male",22101.6845578433,80.4573568306147,21914.8421526595,22042.1185502537,22092.7156332719,22152.2094225447,22367.2192644267
"Num Offtake","Oxen",152595.919628494,0.691409367061076,152594.298242093,152595.409726784,152595.818548108,152596.331969034,152598.177568759
"Cml Pop Growth","Overall",1786435.09457687,90474.6595006795,1569064.92816087,1720372.87651134,1784835.63436232,1849818.58096866,2102722.95123741
"Cml Pop Growth","Neonatal Female",293079.876724669,31276.1158147667,213611.696510869,270203.288865465,290526.888155982,314399.24382061,407120.903203493
"Cml Pop Growth","Neonatal Male",346887.16314573,31181.7313052494,263976.402229611,323775.089502901,345232.250171373,366985.757797451,452338.070692151
"Cml Pop Growth","Neonatal Combined",639967.039870399,62114.9845373745,483102.472356912,594531.100167345,635327.672589598,681718.000557547,856744.14123702
"Cml Pop Growth","Juvenile Female",305032.64745309,15352.631746122,260777.52885401,294474.674983025,304000.938324294,315134.11551176,356768.90021123
"Cml Pop Growth","Juvenile Male",383572.924009394,15008.8220621182,344705.863464209,372656.79554429,382791.085421126,393761.112813189,438759.126174487
"Cml Pop Growth","Juvenile Combined",688605.571462484,30176.9891364158,606502.635314657,667978.327148976,686479.385789914,708530.87146721,795528.026385717
"Cml Pop Growth","Adult Female",266027.358531359,2950.15702650652,257612.016866896,263976.655897741,265812.531434467,267890.59001546,275531.041098519
"Cml Pop Growth","Adult Male",348615.057464969,2808.53727459218,342071.700143222,346551.843462422,348428.532190511,350472.656385117,358400.93396469
"Cml Pop Growth","Oxen",-156779.932752338,50.6655687257826,-156897.547314246,-156817.458764439,-156785.470075661,-156748.109644301,-156612.73065401
"Total Number Increase","Overall",1970254.98811767,90650.1257552528,1752618.24550019,1904003.59956394,1968726.18916494,2033814.42207154,2287106.08703625
"Total Number Increase","Neonatal Female",293079.876724669,31276.1158147667,213611.696510869,270203.288865465,290526.888155982,314399.24382061,407120.903203493
"Total Number Increase","Neonatal Male",346887.16314573,31181.7313052494,263976.402229611,323775.089502901,345232.250171373,366985.757797451,452338.070692151
"Total Number Increase","Neonatal Combined",639967.039870399,62114.9845373745,483102.472356912,594531.100167345,635327.672589598,681718.000557547,856744.14123702
"Total Number Increase","Juvenile Female",300843.908753742,15330.3933789215,256657.356854295,290297.420507322,299809.152812638,310935.404303206,352502.797693077
"Total Number Increase","Juvenile Male",409870.421586926,15194.1620135372,370583.640026226,398787.666273774,409052.093400368,420179.816966729,465753.200315786
"Total Number Increase","Juvenile Combined",710714.330340667,30339.3883171009,628214.853160832,689998.248120234,708549.583391833,730723.137587562,818255.998008863
"Total Number Increase","Adult Female",253040.889007637,2947.37078884618,244633.387467022,250991.711108085,252826.257601813,254901.748298287,262536.161753782
"Total Number Increase","Adult Male",370716.742022813,2886.86249045684,364001.465893903,368591.448434025,370522.839697869,372603.874148661,380768.153229117
"Total Number Increase","Oxen",-4184.01312384335,51.3469271604117,-4303.24907215274,-4222.02474819084,-4189.72542388161,-4151.76688961555,-4014.5530852513
"Total Mortality","Overall",381410.070891438,10602.1479250764,344830.335832021,374421.011838482,381084.307909017,388267.661542664,424278.040198028
"Total Mortality","Neonatal Female",115137.439050224,6694.84299550308,97583.2560751195,110404.127592048,114928.921554839,119400.653588987,141163.703695015
"Total Mortality","Neonatal Male",109577.428110816,6864.49768486391,91599.490087483,104849.496122186,109256.972377144,113916.428776292,131188.375020221
"Total Mortality","Neonatal Combined",224714.867161041,10061.585323232,191309.598919747,218087.325486671,224460.867923977,231341.974374628,266570.484653581
"Total Mortality","Juvenile Female",78454.6917628498,1761.05212565782,72791.6838527161,77258.5321921445,78517.4074957598,79698.6773948112,83532.8345993958
"Total Mortality","Juvenile Male",58045.3353145849,1338.3790227772,54364.9693887151,57178.0504954732,58031.7669563796,58936.9701838776,62511.5039443874
"Total Mortality","Juvenile Combined",136500.027077435,2336.29640394118,128295.900331629,134985.542335559,136497.295756722,138071.277713142,143459.40397959
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",1883.66629754346,6.8571610935183,1867.74222891985,1878.58964916935,1882.90190056294,1887.97239396687,1906.2970964
"Total Mortality","Oxen",18311.5103554193,0.082969124047258,18311.3157890512,18311.449167214,18311.4982257729,18311.5598362841,18311.7813082511
"Value of Total Mortality","Overall",3846367333.74226,97630765.6798228,3520245309.72139,3782734792.37694,3841050815.92665,3911187100.53102,4166416160.92643
"Value of Total Mortality","Neonatal Female",597023531.314723,34714848.96437,505999617.672088,572479835.147051,595942303.067308,619129628.338247,731977830.744527
"Value of Total Mortality","Neonatal Male",1217965791.49462,76299685.9855388,1018138930.32859,1165414280.42209,1214403888.93831,1266194285.91117,1458173966.76628
"Value of Total Mortality","Neonatal Combined",1814989322.80934,86961959.1760862,1535166942.88362,1755483366.38571,1811705844.07879,1870965073.8934,2125888710.58854
"Value of Total Mortality","Juvenile Female",739847659.013902,16607168.5872884,686444056.869186,728567570.617551,740439084.295606,751578759.308523,787735835.046936
"Value of Total Mortality","Juvenile Male",1185904511.52028,27343966.7913636,1110712206.54211,1168185310.24108,1185627301.00676,1204121200.39618,1277151284.38477
"Value of Total Mortality","Juvenile Combined",1925752170.53418,33652419.6269732,1818249428.14332,1902413505.49821,1925929221.7599,1948510191.5694,2035741247.04966
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",54935549.3428144,199983.358037391,54471137.2233472,54787493.1464404,54913256.3453256,55061133.0371512,55595557.6303078
"Value of Total Mortality","Oxen",584285425.21998,2647.38675200191,584279216.977682,584283472.820869,584285038.186062,584287004.060149,584294070.808871
"Population Liveweight (kg)","Overall",1963773654.66167,160011561.036614,1476004291.21029,1853572235.86403,1965521314.43102,2072560517.55522,2486558759.26846
"Population Liveweight (kg)","Neonatal Female",87932459.4420517,18427693.5493962,32313347.5163461,74809707.1552086,89392534.2008458,102564622.191474,126384673.622922
"Population Liveweight (kg)","Neonatal Male",91205315.895078,24729333.7221751,32925887.4647999,72185310.8300847,90758343.6515491,110223409.008184,150700582.461262
"Population Liveweight (kg)","Juvenile Female",207405549.354793,43736645.3796451,116316402.655058,174099454.062976,204105951.277978,238961455.320593,322852286.135724
"Population Liveweight (kg)","Juvenile Male",180242767.187688,39559012.5968789,101803851.341284,149784698.992825,175730488.473433,209115019.961701,289673442.399015
"Population Liveweight (kg)","Juvenile Combined",387648316.542481,60205466.2808499,232360219.571137,345234339.917086,386762589.188671,427212592.993522,588854957.842273
"Population Liveweight (kg)","Adult Female",829187010.887039,125425761.565578,529259202.887173,739111884.315215,825271399.159895,924488008.236495,1137735574.05824
"Population Liveweight (kg)","Adult Male",103305518.498111,16491941.8417496,67826523.4066992,90942306.3255145,102171914.475158,114573209.370992,151154060.835528
"Population Liveweight (kg)","Oxen",464495033.396914,74768385.746237,308108883.623765,407837692.19702,462723139.110092,519735338.563355,666989619.241856
"Offtake Liveweight (kg)","Overall",47123333.3234949,6741201.53829204,31037467.9203175,42054475.0939777,46921298.6506607,51905095.1983193,65175000.0852585
"Offtake Liveweight (kg)","Juvenile Female",-720945.445638071,150743.521129969,-1139493.46927869,-829077.83625095,-717904.883322894,-605436.781467176,-402564.12348252
"Offtake Liveweight (kg)","Juvenile Male",4850283.05049335,1074885.32438719,2653283.81608921,4042834.64239754,4777821.20330617,5599843.07233751,8095997.96455234
"Offtake Liveweight (kg)","Adult Female",-3176772.33780692,491553.504636675,-4490704.77964397,-3537728.29166368,-3175382.55018751,-2828212.3214664,-2052839.03560349
"Offtake Liveweight (kg)","Adult Male",5842909.86214275,943134.051799666,3940876.69994194,5134062.28709313,5747698.86546049,6542146.16878264,8439493.58641639
"Offtake Liveweight (kg)","Oxen",40327858.1943038,6572774.00350483,26657034.4570579,35352663.7038107,39954455.0022972,44910994.6814403,58402348.7601186
"Meat (kg)","Overall",149211106.275425,7126557.41454552,129945940.134065,144144434.784145,149204154.452214,154341390.686059,175226558.755966
"Manure","Overall",4827658144.42471,161823964.737961,4340539794.67939,4722238697.53385,4826948781.64097,4931716517.86319,5394194638.5325
"Manure","Neonatal Female",216570422.99246,7388079.87608862,192823789.051574,211585746.383392,216574437.708727,221450394.905392,240745097.040414
"Manure","Neonatal Male",206450942.114403,7093071.7584782,183749846.536809,201615257.966238,206107817.450842,211345389.858681,231308627.696052
"Manure","Neonatal Combined",423021365.106863,12278624.188284,383441286.391463,414728059.961867,422188536.597518,431374670.452452,457148597.444297
"Manure","Juvenile Female",443438147.504061,15265532.7213494,394615416.523195,433232768.476425,442993641.673082,453444165.422962,492760576.41841
"Manure","Juvenile Male",333557470.560679,11267313.8216967,300753093.958962,325513816.738157,333558354.742254,341690544.347537,369225252.765224
"Manure","Juvenile Combined",776995618.064739,19521904.0538113,718710650.826161,763061647.23961,776022756.185618,790029696.083543,840918021.8307
"Manure","Adult Female",2237218162.79471,136966158.503065,1843947531.31663,2155593537.39885,2235760852.80615,2316957812.74139,2629783664.87104
"Manure","Adult Male",148398419.770736,10296142.8890637,117179316.459994,141015338.906875,148621685.364081,155658677.648703,178592504.327966
"Manure","Oxen",1242024578.68765,74935000.4781052,1023755824.0867,1198801272.24747,1243256803.10703,1287775284.60557,1463106472.40528
"Hides","Overall",78347.6018651987,1169.36477570148,74240.9693008301,77589.6435392588,78343.5140707201,79131.2987631768,81832.4747926156
"Hides","Juvenile Female",39227.3458814249,880.52606282891,36395.8419263581,38629.2660960722,39258.7037478799,39849.3386974056,41766.4172996979
"Hides","Juvenile Male",29022.6676572924,669.189511388598,27182.4846943576,28589.0252477366,29015.8834781898,29468.4850919388,31255.7519721937
"Hides","Juvenile Combined",68250.0135387174,1168.14820197059,64147.9501658145,67492.7711677794,68248.647878361,69035.6388565709,71729.7019897949
"Hides","Adult Female",0,0,0,0,0,0,0
"Hides","Adult Male",941.833148771731,3.42858054675915,933.871114459923,939.294824584676,941.450950281472,943.986196983437,953.148548200001
"Hides","Oxen",9155.75517770966,0.041484562023629,9155.65789452561,9155.72458360702,9155.74911288647,9155.77991814204,9155.89065412553
"Milk","Overall",2157475725.22443,302711961.29991,1413588426.9388,1943021479.31586,2157615051.40998,2352597997.523,3259211822.66075
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",17047295214.2795,419869308.562824,15693781800.636,16777990718.4499,17039978403.0982,17329187768.4915,18441750512.7694
"Cml Dry Matter","Neonatal Female",729987809.67305,48026236.8129362,566859070.314639,700197167.184925,729203981.874507,763147160.345909,875106375.492708
"Cml Dry Matter","Neonatal Male",736542101.871406,63035537.1078181,553958764.217868,693648020.159575,736054879.526398,777680701.550834,910531266.251675
"Cml Dry Matter","Neonatal Combined",1466529911.54446,83748857.7428663,1212941334.21552,1408618061.98083,1467350766.73549,1519500817.75003,1732154950.70776
"Cml Dry Matter","Juvenile Female",1688930657.80699,106277513.120295,1374844375.67614,1618111375.04694,1684050305.0092,1763833270.91513,2039387552.9267
"Cml Dry Matter","Juvenile Male",1382296192.25578,90301539.0751176,1133642730.06349,1322152093.61966,1382532402.93899,1445750852.87823,1691858013.69586
"Cml Dry Matter","Juvenile Combined",3071226850.06277,143021756.899077,2600710144.27291,2975171092.11897,3064919592.30683,3172491823.32212,3463860979.08629
"Cml Dry Matter","Adult Female",7456372582.77685,335792202.767525,6471240436.52127,7244231692.33846,7458744525.41516,7689060712.11086,8511259612.07149
"Cml Dry Matter","Adult Male",540078254.385524,28583899.219276,457865933.421724,520363613.523536,538749944.461096,558379580.601272,640047590.380635
"Cml Dry Matter","Oxen",4513087615.5099,206067710.055045,3906768627.28787,4367597945.74548,4516031831.77154,4650012209.59102,5163576297.87006
"Value of Offtake","Overall",5853222044.37327,990569365.894157,3333267263.77993,5151015029.99719,5883709579.20569,6626041941.6106,8376242064.80819
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",-53879040.933106,19189716.1751566,-115622730.12793,-66772422.9185238,-51569435.8022989,-38853514.9810636,-19109175.8997611
"Value of Offtake","Juvenile Male",418398736.867615,102900610.385852,178659740.804102,345316030.53688,415975614.286414,492364502.953398,667376167.029491
"Value of Offtake","Juvenile Combined",364519695.934509,105241943.314496,103609142.331835,289676051.367636,362107533.236758,437937131.584471,630759911.861045
"Value of Offtake","Adult Female",-244289282.309632,46883816.5330553,-388861641.221744,-273624048.816521,-239679828.199682,-208753435.18791,-160512052.300823
"Value of Offtake","Adult Male",695389699.02817,171334082.16784,216587981.855308,576335193.817153,699462904.219213,824699356.322972,1027286253.74289
"Value of Offtake","Oxen",5037601931.72022,956997887.666794,2669512087.36993,4364127953.70725,5064958685.96393,5772397419.19931,7262016178.79856
"Value of draught","Overall",19610224713.835,134587.372449922,19609909133.0505,19610124555.7221,19610208642.0331,19610303318.697,19610667258.2472
"Value of draught","Oxen",19610224713.835,134587.372449922,19609909133.0505,19610124555.7221,19610208642.0331,19610303318.697,19610667258.2472
"Value of Herd Increase","Overall",26402279982.5148,3883436136.84213,14084203059.4913,23827931381.5378,26374444285.4085,29057523409.4973,39221474471.569
"Value of Herd Increase","Neonatal Female",1927795017.13456,459363507.895185,993793607.851597,1564029488.15899,1895682943.21977,2215711206.81472,3605846695.1702
"Value of Herd Increase","Neonatal Male",3971451918.41695,1271436456.82196,1105426624.09958,3018699781.47525,3882102873.44631,4894137785.87202,8715766865.15531
