"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",181999.343730159,39.3249343970968,181852.441598558,181975.391712138,182000.826207504,182024.926654538,182122.432979738
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-3993.24447312161,4.1979174636109,-4005.56000688387,-3995.9350247786,-3993.44272290654,-3990.52085866779,-3978.29488655835
"Num Offtake","Juvenile Male",24650.3116117819,26.9179268919404,24551.2603167382,24632.9653898564,24651.6182283177,24667.4838124936,24736.6314191345
"Num Offtake","Juvenile Combined",20657.0671386603,27.2234274669935,20559.875197076,20640.3664489951,20658.3501946866,20674.5047392409,20741.4392079578
"Num Offtake","Adult Female",-12852.6518898938,0.604410662075618,-12854.4302206834,-12853.0581392606,-12852.6613059766,-12852.2424819808,-12850.6570691425
"Num Offtake","Adult Male",21602.4271056038,12.538444932269,21552.9657293759,21594.3157166626,21602.7790530756,21611.1319368913,21641.0059940417
"Num Offtake","Oxen",152592.501375789,0.131327278484709,152591.998197344,152592.413938962,152592.506773266,152592.58864056,152592.857400483
"Cml Pop Growth","Overall",701748.262909182,7551.68639559037,675926.230026182,696789.141694664,701506.677471483,706924.537040123,725612.853499478
"Cml Pop Growth","Neonatal Female",-43471.5402019379,3486.69567136417,-53577.9719964529,-45898.3594821427,-43438.2723842673,-40983.2398932933,-34508.0910379367
"Cml Pop Growth","Neonatal Male",10878.8874611883,3343.12102903115,335.080011218321,8692.20631913532,10901.6632178313,13247.4405508562,20367.9297757725
"Cml Pop Growth","Neonatal Combined",-32592.6527407495,4929.56442440198,-46813.5563981226,-35935.9488554537,-32554.0635790037,-29261.3683284863,-17285.4248812948
"Cml Pop Growth","Juvenile Female",152003.799238946,2260.33920042801,142763.138770838,150526.708557983,152037.795325737,153471.87081804,158371.875675102
"Cml Pop Growth","Juvenile Male",232357.191990098,1905.06572556015,226428.484921565,231064.201255287,232403.593715563,233727.720358077,237616.833707214
"Cml Pop Growth","Juvenile Combined",384360.991229044,2986.47049018511,374151.853250531,382283.354033437,384446.153527251,386427.719420052,392550.229488812
"Cml Pop Growth","Adult Female",179981.370541171,510.456868695067,178162.210269419,179653.194340106,180006.671486472,180308.906275409,181478.09838856
"Cml Pop Growth","Adult Male",327093.785821848,376.603869935419,325718.226442766,326846.56462754,327111.745097272,327333.571137893,328299.956064218
"Cml Pop Growth","Oxen",-157095.231942131,7.87296711133202,-157126.284318781,-157100.308605431,-157094.996667417,-157089.796932164,-157070.970888941
"Total Number Increase","Overall",883747.606639341,7566.58147826825,857849.065882904,878773.436295491,883499.240261106,888929.189126278,907591.561208668
"Total Number Increase","Neonatal Female",-43471.5402019379,3486.69567136417,-53577.9719964529,-45898.3594821427,-43438.2723842673,-40983.2398932933,-34508.0910379367
"Total Number Increase","Neonatal Male",10878.8874611883,3343.12102903115,335.080011218321,8692.20631913532,10901.6632178313,13247.4405508562,20367.9297757725
"Total Number Increase","Neonatal Combined",-32592.6527407495,4929.56442440198,-46813.5563981226,-35935.9488554537,-32554.0635790037,-29261.3683284863,-17285.4248812948
"Total Number Increase","Juvenile Female",148010.554765824,2256.72601338195,138782.953052728,146536.161537222,148042.013297348,149478.229171936,154366.315668218
"Total Number Increase","Juvenile Male",257007.50360188,1928.0440660008,251014.48130201,255693.492845195,257067.105059281,258391.445151619,262341.964677332
"Total Number Increase","Juvenile Combined",405018.058367704,2999.22309933823,394756.468470994,402948.837015982,405080.702683758,407086.566098886,413275.203763426
"Total Number Increase","Adult Female",167128.718651277,509.882596252597,165311.553200276,166800.883244591,167154.088670328,167455.974741283,168623.726476939
"Total Number Increase","Adult Male",348696.212927452,388.330238511558,347271.192172141,348443.302501658,348717.027290991,348941.94718419,349940.96205826
"Total Number Increase","Oxen",-4502.7305663424,7.99944335805158,-4534.28612143791,-4507.90478678597,-4502.50640722638,-4497.18083628922,-4478.11348845824
"Total Mortality","Overall",390743.254709726,7485.6905755601,367476.034320124,385623.275858778,390919.359222934,395765.986716084,416508.331563038
"Total Mortality","Neonatal Female",92619.4585222508,5156.36391521085,78587.3486270952,89167.7161480338,92483.2858372429,96092.6656543246,109273.253924785
"Total Mortality","Neonatal Male",86398.1786253899,4880.76384908965,72192.9876249029,82865.2911782442,86423.2892973899,89451.2466941223,101828.723675018
"Total Mortality","Neonatal Combined",179017.637147641,7258.10894962792,157879.265709028,174025.827598192,179209.685023945,183602.741681857,201550.25584288
"Total Mortality","Juvenile Female",74813.1889679225,1662.0052573982,69626.8523652553,73728.5757362197,74799.8529362841,75874.9936048076,80184.4316693465
"Total Mortality","Juvenile Male",54338.0689795987,1168.74346071526,51266.4764229022,53517.4256348734,54330.1565858699,55131.2292336179,57450.224823473
"Total Mortality","Juvenile Combined",129151.257947521,2027.83087929945,122572.203922651,127661.865735933,129143.792285127,130571.9869815,135539.799843607
