"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",182265.465773143,26.8996537754952,182188.256680381,182247.085975362,182265.499254752,182283.718653727,182346.881664434
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-4029.1767159951,2.842329164339,-4038.18732293429,-4031.04856796023,-4029.19342535285,-4027.27764062948,-4019.71172314615
"Num Offtake","Juvenile Male",24926.302714536,17.4335261539076,24877.43897824,24914.4402707117,24925.8606989209,24938.2072321671,24979.0754347388
"Num Offtake","Juvenile Combined",20897.1259985409,17.4784879333533,20849.2269432867,20885.3048722619,20896.7928374977,20909.3913144489,20949.7939627334
"Num Offtake","Adult Female",-12856.2862089791,0.477279028880126,-12857.679254562,-12856.6154473116,-12856.2888181737,-12855.9566011855,-12854.6392947072
"Num Offtake","Adult Male",21632.4639141805,9.7065003342205,21602.8627254951,21625.7781291045,21632.4123547245,21639.006959399,21662.363319379
"Num Offtake","Oxen",152592.1620694,0.113186002023065,152591.816022527,152592.08485225,152592.163578989,152592.240568995,152592.506852686
"Cml Pop Growth","Overall",877648.086704657,2167.32842745341,870937.255202208,876144.506013076,877574.757049267,879090.558757692,883908.704180649
"Cml Pop Growth","Neonatal Female",16443.6026609202,223.666437695748,15678.010277234,16286.8677701433,16441.0429175282,16600.2156484975,17156.2807973499
"Cml Pop Growth","Neonatal Male",67128.5606245384,223.666437695749,66362.9682408524,66971.8257337615,67126.0008811465,67285.1736121157,67841.2387609679
"Cml Pop Growth","Neonatal Combined",83572.1632854586,447.332875391497,82040.9785180864,83258.6935039048,83567.0437986747,83885.3892606132,84997.5195583177
"Cml Pop Growth","Juvenile Female",179794.164208139,1328.28404234941,175096.357380429,178960.570967257,179745.230754719,180696.970247527,184011.291201365
"Cml Pop Growth","Juvenile Male",257715.196687906,992.455774831188,255159.512127236,257018.670449944,257697.839523807,258419.513255514,260684.06850049
"Cml Pop Growth","Juvenile Combined",437509.360896045,1720.63804658648,431368.49824567,436330.437517455,437402.939899905,438687.331047602,442761.328554026
"Cml Pop Growth","Adult Female",184382.648643074,344.080488771531,183238.789445668,184153.673387364,184385.889336591,184610.350886098,185474.380545162
"Cml Pop Growth","Adult Male",329259.566134482,240.548829126286,328591.851695272,329097.000673399,329252.503315687,329423.77445899,329985.691904545
"Cml Pop Growth","Oxen",-157075.652254403,6.08085278800108,-157094.185896263,-157079.853874376,-157075.658969379,-157071.573257007,-157056.926575974
"Total Number Increase","Overall",1059913.5524778,2178.18897083775,1053188.83258868,1058409.77693178,1059843.28575349,1061377.40443146,1066195.32052641
"Total Number Increase","Neonatal Female",16443.6026609202,223.666437695748,15678.010277234,16286.8677701433,16441.0429175282,16600.2156484975,17156.2807973499
"Total Number Increase","Neonatal Male",67128.5606245384,223.666437695749,66362.9682408524,66971.8257337615,67126.0008811465,67285.1736121157,67841.2387609679
"Total Number Increase","Neonatal Combined",83572.1632854586,447.332875391497,82040.9785180864,83258.6935039048,83567.0437986747,83885.3892606132,84997.5195583177
"Total Number Increase","Juvenile Female",175764.987492144,1326.14426690418,171076.645657283,174932.109162338,175717.577293131,176666.729421608,179974.694419703
"Total Number Increase","Juvenile Male",282641.499402442,1005.42464071854,280060.585300617,281942.928789486,282623.615577862,283344.755250908,285654.337427583
"Total Number Increase","Juvenile Combined",458406.486894586,1727.30595708634,452259.307873798,457215.275113084,458304.324902931,459597.956046829,463674.744804534
"Total Number Increase","Adult Female",171526.362434095,343.629955098567,170384.084373952,171297.641055364,171529.6435034,171753.707956471,172616.7012906
"Total Number Increase","Adult Male",350892.030048663,249.712186007802,350194.889734308,350722.720195979,350886.003630046,351062.404820759,351647.118195873
"Total Number Increase","Oxen",-4483.49018500242,6.19119158535222,-4502.36987373605,-4487.75424484026,-4483.51967572988,-4479.31844411951,-4464.4197232872
"Total Mortality","Overall",215031.581603028,2079.8700988817,209131.387194921,213614.003678199,215043.048121019,216445.887056376,222413.853875577
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",75536.5353981607,1608.59655167193,70325.4706469953,74414.5765596086,75577.8991934455,76590.9276021567,81492.2556054376
"Total Mortality","Juvenile Male",55058.8798098673,1202.37085652519,51282.5134758717,54246.9409209355,55096.367230254,55911.3603255377,58181.624038295
"Total Mortality","Juvenile Combined",130595.415208028,2081.58362883997,124692.250205148,129175.802639241,130604.393591808,132006.528542823,137981.772984059
"Total Mortality","Adult Female",64281.4310448954,2.38639514440038,64273.1964735362,64279.7830059277,64281.4440908684,64283.0772365579,64288.3962728101
"Total Mortality","Adult Male",1843.67590177675,0.827258551211975,1841.15307319561,1843.10609054868,1843.67150750493,1844.23354767605,1846.22414653798
"Total Mortality","Oxen",18311.059448328,0.0135823202428032,18311.0179227033,18311.05018227,18311.0596294787,18311.0688682794,18311.1008223224
"Value of Total Mortality","Overall",3178456260.47907,35789518.1410025,3069058611.2139,3152578073.15384,3179397201.04437,3203534070.77667,3288502673.48197
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",811087189.565882,17272595.9611953,755132440.762677,799039953.928544,811531340.787414,822408916.263188,875037810.802326
"Value of Total Mortality","Juvenile Male",1376804750.33743,30066538.0888206,1282372769.0546,1356501371.06192,1377742162.40692,1398121915.29971,1454892228.73574
"Value of Total Mortality","Juvenile Combined",2187891939.90332,35816392.7462344,2078415422.00374,2162017357.45053,2188836144.47553,2212993093.91768,2298004673.71896
"Value of Total Mortality","Adult Female",874518594.117772,32465.7819959394,874406566.652746,874496173.323811,874518771.602092,874540989.780018,874613352.763071
"Value of Total Mortality","Adult Male",54189530.1049615,24314.8766669277,54115378.842684,54172782.1490612,54189400.9480286,54205920.4961465,54264428.4024717
"Value of Total Mortality","Oxen",712973631.606019,528.851769414621,712972014.732044,712973270.815588,712973638.659443,712973998.388563,712975242.575995
"Population Liveweight (kg)","Overall",1858538562.48456,157184375.4647,1461782899.73314,1740144405.82256,1863856261.19533,1971048351.96503,2302302309.36749
"Population Liveweight (kg)","Neonatal Female",64045807.1692278,13801675.0724769,20288804.0831576,55248980.3581854,65335076.3784257,74549001.8918382,90578068.0515561
"Population Liveweight (kg)","Neonatal Male",84319724.572989,21989299.1991675,20129117.7870753,68878767.3960135,85467673.3426581,101125639.240688,132420698.401369
"Population Liveweight (kg)","Juvenile Female",186312566.285666,38835400.3545952,100686078.888743,157427959.077356,185844532.533362,212896329.902855,295023721.50757
"Population Liveweight (kg)","Juvenile Male",159716128.382021,34933115.9717227,92297221.2816894,132494272.082836,155454875.600179,184798246.903743,244742241.616629
"Population Liveweight (kg)","Juvenile Combined",346028694.667687,53078130.0951574,220537218.660292,305679003.919337,345118806.804219,381256161.867916,501908028.481642
"Population Liveweight (kg)","Adult Female",808331156.572286,121539964.925099,531475410.376446,719758463.695219,812812277.366779,899485408.475329,1097177698.85294
