"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",182266.405691301,26.7039849139028,182180.741975285,182248.327973527,182266.501458462,182284.444104076,182343.658047637
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-4028.91133660859,2.83427144133295,-4037.64156765974,-4030.82432858168,-4028.84184391741,-4026.94523686466,-4020.45380959201
"Num Offtake","Juvenile Male",24926.3807270416,17.1548970322201,24873.6311468819,24914.2281413996,24926.5155602845,24938.5909186927,24975.0622948707
"Num Offtake","Juvenile Combined",20897.469390433,17.4240020831483,20844.2539223298,20885.5805186083,20897.2328028377,20909.4222667701,20947.395483454
"Num Offtake","Adult Female",-12856.2530633243,0.473038022789069,-12857.7257954684,-12856.5659605183,-12856.2665638424,-12855.9264041205,-12854.8194444337
"Num Offtake","Adult Male",21633.4839252191,9.52562937395394,21601.8796413072,21626.8543480212,21633.5988209704,21639.8701832497,21660.4043373865
"Num Offtake","Oxen",152591.705438973,0.110864909078072,152591.351237617,152591.628329094,152591.70284892,152591.783882332,152591.998623377
"Cml Pop Growth","Overall",877385.089232148,2161.38972482539,870375.17636146,875850.486519564,877272.265178612,878827.108500831,884669.147708217
"Cml Pop Growth","Neonatal Female",16414.4835095385,233.956667145524,15641.313036039,16258.2748381407,16411.0307639104,16563.7567717244,17221.7426415667
"Cml Pop Growth","Neonatal Male",67099.4414731567,233.956667145522,66326.2709996576,66943.2328017588,67095.9887275288,67248.7147353426,67906.7006051849
"Cml Pop Growth","Neonatal Combined",83513.9249826952,467.913334291046,81967.5840356966,83201.5076398995,83507.0194914392,83812.4715070669,85128.4432467516
"Cml Pop Growth","Juvenile Female",179661.341121895,1332.36769744855,176015.780351309,178722.218107957,179654.784433181,180584.945993883,184026.012007131
"Cml Pop Growth","Juvenile Male",257675.058185617,974.089462069314,254191.827046745,256995.156510471,257670.008933102,258354.511901306,260374.204851854
"Cml Pop Growth","Juvenile Combined",437336.399307511,1666.13403695644,431894.99425657,436150.359750805,437323.117020246,438449.458792315,443171.300596382
"Cml Pop Growth","Adult Female",184350.299336852,343.188888338913,183328.709995564,184112.508542123,184343.269180468,184581.47174222,185405.005370003
"Cml Pop Growth","Adult Male",329258.954437721,236.798898903959,328534.389635044,329090.061959039,329259.029762111,329430.445980739,329928.437431673
"Cml Pop Growth","Oxen",-157074.488832632,5.9678966420927,-157094.293729046,-157078.65623301,-157074.413410428,-157070.500552289,-157057.602447731
"Total Number Increase","Overall",1059651.49492345,2170.94939189694,1052589.18077098,1058123.76916186,1059541.9539337,1061107.81443078,1066995.04666258
"Total Number Increase","Neonatal Female",16414.4835095385,233.956667145524,15641.313036039,16258.2748381407,16411.0307639104,16563.7567717244,17221.7426415667
"Total Number Increase","Neonatal Male",67099.4414731567,233.956667145522,66326.2709996576,66943.2328017588,67095.9887275288,67248.7147353426,67906.7006051849
"Total Number Increase","Neonatal Combined",83513.9249826952,467.913334291046,81967.5840356966,83201.5076398995,83507.0194914392,83812.4715070669,85128.4432467516
"Total Number Increase","Juvenile Female",175632.429785286,1330.21163523505,171994.537842138,174694.701939547,175628.152107608,176553.96893975,179990.922016796
"Total Number Increase","Juvenile Male",282601.438912658,986.782298234202,279079.155501826,281915.481106594,282594.909140078,283287.855592782,285349.267146724
"Total Number Increase","Juvenile Combined",458233.868697944,1671.87623681474,452774.184411845,457047.398860651,458212.275514958,459368.01479424,464107.324714559
"Total Number Increase","Adult Female",171494.046273528,342.743018344034,170473.89055113,171256.555670637,171487.048973197,171724.873907113,172547.279574534
"Total Number Increase","Adult Male",350892.43836294,245.76020843645,350138.203313647,350718.643194055,350893.579311411,351069.004771506,351588.841769059
"Total Number Increase","Oxen",-4482.78339365915,6.07586266960733,-4502.94249142907,-4487.01191598248,-4482.70879822569,-4478.70876687995,-4465.61016507735
"Total Mortality","Overall",215218.468833179,1977.10494935247,207764.472720266,213926.119750058,215315.230565512,216558.006261674,221711.603006889
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",75693.4542503782,1602.92691999168,70550.6890972425,74587.9078542656,75712.9172602119,76777.787118196,80457.7612603627
"Total Mortality","Juvenile Male",55088.9817789668,1170.32990223838,51718.4415620969,54273.5884649222,55092.6380070552,55903.5977921912,59112.7949992849
"Total Mortality","Juvenile Combined",130782.436029345,1978.71325497775,123320.613165989,129489.155822337,130878.982556167,132121.007551849,137280.260896266
"Total Mortality","Adult Female",64281.2653166217,2.36519011394512,64274.0972221687,64279.6320206025,64281.3328192122,64282.8298025916,64288.6289773421
"Total Mortality","Adult Male",1843.76283453572,0.811843412552896,1841.06928761141,1843.19781375181,1843.77262678725,1844.3071178906,1846.05718784544
