"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",182630.557327564,40.4926385919737,182496.357291818,182604.75589469,182632.571560004,182657.434259445,182734.557965838
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-3993.38400636414,4.14624722582762,-4004.79135422207,-3996.07099880065,-3993.41813888914,-3990.74642743306,-3980.4888591729
"Num Offtake","Juvenile Male",24652.1180801006,27.7667638612801,24548.6417819487,24633.7869202991,24653.2575683171,24670.9874046174,24723.9613411145
"Num Offtake","Juvenile Combined",20658.7340737364,27.9611279558768,20560.5169992538,20640.8861937216,20659.5443206167,20677.8254465742,20730.8260483556
"Num Offtake","Adult Female",-12852.6757379418,0.591295623682454,-12854.3313983381,-12853.0834709179,-12852.661344558,-12852.2747469196,-12850.8914028816
"Num Offtake","Adult Male",21539.1785093931,12.9139717351899,21496.3142027507,21530.6053784557,21539.5570569745,21547.8689206759,21573.8588448683
"Num Offtake","Oxen",153285.320482377,0.134391537490296,153284.900945357,153285.228524128,153285.327962634,153285.409419961,153285.668557958
"Cml Pop Growth","Overall",718073.130698779,7730.23042286156,689554.322283683,713525.688136765,718672.184418985,723303.323163596,738946.840305857
"Cml Pop Growth","Neonatal Female",-43430.6282849456,3675.99675076046,-56667.5441136041,-45840.9917471044,-43279.4299739501,-40876.5534563073,-34546.8674606942
"Cml Pop Growth","Neonatal Male",11090.7710471154,3277.52503897228,-3696.75495824649,9039.04841091385,11184.8686869572,13348.7868014363,19469.1347364209
"Cml Pop Growth","Neonatal Combined",-32339.8572378302,5056.74827371706,-51797.9690553301,-35605.5578625088,-32063.300174263,-28744.7181884678,-18465.3378313399
"Cml Pop Growth","Juvenile Female",152030.658810929,2339.1463528895,144482.114745584,150538.435879249,152113.695596692,153549.387861861,158155.902582339
"Cml Pop Growth","Juvenile Male",232513.185351857,1899.76182358161,225276.697666346,231269.982972927,232552.427090426,233866.122753053,237428.056312631
"Cml Pop Growth","Juvenile Combined",384543.844162786,3030.56342279427,374435.071407145,382561.845972178,384667.05243305,386703.470969898,394016.798052033
"Cml Pop Growth","Adult Female",179998.219969962,504.441046059745,178429.405927541,179677.806170412,180004.125221078,180326.138124462,181384.916031067
"Cml Pop Growth","Adult Male",325388.303477677,387.290052781361,323929.316570333,325135.641298673,325403.659001967,325653.46491755,326386.751687523
"Cml Pop Growth","Oxen",-139517.379673816,8.12479237188331,-139544.35919644,-139522.768141506,-139517.157893849,-139511.905338998,-139495.559921324
"Total Number Increase","Overall",900703.688026343,7743.49930323649,872116.419632078,896146.682888946,901306.232332143,905961.529137141,921616.990777374
"Total Number Increase","Neonatal Female",-43430.6282849456,3675.99675076046,-56667.5441136041,-45840.9917471044,-43279.4299739501,-40876.5534563073,-34546.8674606942
"Total Number Increase","Neonatal Male",11090.7710471154,3277.52503897228,-3696.75495824649,9039.04841091385,11184.8686869572,13348.7868014363,19469.1347364209
"Total Number Increase","Neonatal Combined",-32339.8572378302,5056.74827371706,-51797.9690553301,-35605.5578625088,-32063.300174263,-28744.7181884678,-18465.3378313399
"Total Number Increase","Juvenile Female",148037.274804565,2335.60624786596,140500.468345106,146547.977182021,148117.92093317,149553.165639682,154152.812668681
"Total Number Increase","Juvenile Male",257165.303431958,1923.81403886731,249825.339448294,255915.309035021,257203.805014017,258544.529323823,262150.205366151
"Total Number Increase","Juvenile Combined",405202.578236522,3042.77223230777,394995.588406399,403223.639913955,405350.875865876,407372.784446803,414714.33317451
"Total Number Increase","Adult Female",167145.54423202,503.884737042547,165578.464928786,166825.197408548,167151.558369959,167473.187467834,168530.66086677
"Total Number Increase","Adult Male",346927.48198707,399.477731705736,345432.121731164,346664.777569804,346942.925547314,347201.383204681,347959.605250846
