"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",574698.797303652,351.288509774739,573936.465060293,574442.780892821,574652.406962102,574901.729237267,576005.447122261
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",3328.50107501433,17.2182990505509,3288.79867689169,3316.3992987791,3326.7574983473,3339.37908706144,3399.26571050289
"Num Offtake","Juvenile Male",19231.5071614767,102.543882677626,18994.8689115441,19159.4064207878,19221.1643078341,19296.5387938303,19653.37382473
"Num Offtake","Juvenile Combined",22560.008236491,119.762158444029,22283.6675884358,22475.7862155392,22547.9295537967,22635.9178808918,23052.6395352329
"Num Offtake","Adult Female",7396.18952052749,2.01093622758984,7392.01279870285,7394.6638120419,7395.93039653625,7397.33325919284,7403.79573669101
"Num Offtake","Adult Male",544742.599546634,231.509896453777,544256.111712684,544567.521859731,544714.112689229,544874.137960295,545609.986932067
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",474180.949557426,39124.0549052411,363981.196026185,447649.753858386,472825.630069653,501094.547169402,624607.141441937
"Cml Pop Growth","Neonatal Female",215390.147128953,13640.4144309353,175897.791832398,206011.036261749,215080.424785338,224712.777108124,261079.963515766
"Cml Pop Growth","Neonatal Male",221533.228575379,13640.4144309353,182040.873278824,212154.117708175,221223.506231764,230855.85855455,267223.044962192
"Cml Pop Growth","Neonatal Combined",436923.375704332,27280.8288618706,357938.665111222,418165.153969924,436303.931017102,455568.635662674,528303.008477957
"Cml Pop Growth","Juvenile Female",111996.086062021,6525.93635649443,94182.5074428685,107418.933075597,111449.654198745,116306.54554406,142836.45369975
"Cml Pop Growth","Juvenile Male",98753.561488767,6454.89310250931,81118.1551642425,94227.5093014391,98221.6072635439,102966.303803567,129275.221737756
"Cml Pop Growth","Juvenile Combined",210749.647550788,12980.7999668128,175300.662607111,201630.341461715,209671.261462289,219265.105285935,272111.675437506
"Cml Pop Growth","Adult Female",142304.012021835,1204.72318499567,139519.735289934,141459.637738338,142183.939995419,143073.592821709,147269.854750419
"Cml Pop Growth","Adult Male",-315796.08571953,996.404034420565,-318147.192186331,-316492.895705318,-315901.92191548,-315168.172336751,-311581.002884627
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1048879.74686108,39349.8299679533,938339.692553457,1022308.88641511,1047529.13927639,1075992.8092592,1200612.5885642
"Total Number Increase","Neonatal Female",215390.147128953,13640.4144309353,175897.791832398,206011.036261749,215080.424785338,224712.777108124,261079.963515766
"Total Number Increase","Neonatal Male",221533.228575379,13640.4144309353,182040.873278824,212154.117708175,221223.506231764,230855.85855455,267223.044962192
"Total Number Increase","Neonatal Combined",436923.375704332,27280.8288618706,357938.665111222,418165.153969924,436303.931017102,455568.635662674,528303.008477957
"Total Number Increase","Juvenile Female",115324.587137036,6541.82783197383,97471.3061197602,110745.968772087,114774.894886119,119656.045948655,146235.719410253
"Total Number Increase","Juvenile Male",117985.068650244,6549.52779839327,100113.024075787,113408.153628686,117433.693465614,122324.153087204,148928.595562486
"Total Number Increase","Juvenile Combined",233309.655787279,13091.3545383942,197584.330195547,224154.122400773,232208.588351733,241980.844113482,295164.314972739
"Total Number Increase","Adult Female",149700.201542363,1206.6712861377,146911.925600815,148853.991223572,149579.568783396,150470.357328485,154672.92344413
"Total Number Increase","Adult Male",228946.513827104,1220.76050806697,226129.391804097,228088.171676045,228823.384617072,229720.699926552,233968.73600869
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",838614551.297324,61668111.8519572,627901235.695209,798282940.062256,840692497.784077,882574264.589095,1019386492.68162
"Population Liveweight (kg)","Neonatal Female",50015815.7481698,11425819.5255249,16357109.3474952,42861630.5873065,50188288.4631887,58948108.0303375,76257218.389785
"Population Liveweight (kg)","Neonatal Male",53398727.8163603,12154367.5480136,20629675.2446968,45134910.3967705,54265666.5255615,62518767.6741615,81420305.3638638
"Population Liveweight (kg)","Juvenile Female",116998442.534233,20820702.6008932,62841135.8001849,101903636.757754,117519246.405801,132632024.844974,163295265.41382
"Population Liveweight (kg)","Juvenile Male",121776612.224454,21119335.1282637,64570329.252129,106563045.385831,122741844.512043,136926150.853227,167009310.461358
"Population Liveweight (kg)","Juvenile Combined",238775054.758687,29469638.4020998,154916298.747204,218164122.088668,239865153.647493,258935902.115704,315788816.976488
"Population Liveweight (kg)","Adult Female",328111247.567987,40203144.2955736,204018439.799171,301999676.331936,333717320.366569,359453242.553249,396995376.851334
"Population Liveweight (kg)","Adult Male",168313705.40612,28447254.4783933,86408770.365398,148995347.043694,170829783.922933,191004813.905397,221082502.972289
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",212687264.936862,34005124.3705737,104612514.943401,190724730.758313,216884081.263385,238660540.188172,278687625.97697
"Offtake Liveweight (kg)","Juvenile Female",713895.23887315,122301.332587677,377083.787603795,625084.308019644,720015.744589478,806100.019734171,993278.72957196
"Offtake Liveweight (kg)","Juvenile Male",4458503.25086163,743769.25247486,2474569.13447891,3950868.37418902,4504182.35659714,5007666.08136435,6050436.56253618
"Offtake Liveweight (kg)","Adult Female",2121503.16679311,273003.009446263,1168113.20466002,1954848.31617477,2154315.54256959,2340610.16983161,2571329.37573705
"Offtake Liveweight (kg)","Adult Male",205393363.280334,34001174.5220351,97672739.5108344,183457221.155933,209652191.720344,231216409.638161,270589398.015817
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",707970141.733938,37610661.244398,569270589.15856,685045117.708447,709135095.700081,734589955.305009,808775055.691858
"Manure","Overall",1688413047.52626,50992965.7878112,1538663549.8126,1651129365.78549,1689344379.30075,1723783941.67318,1868964982.08923
"Manure","Neonatal Female",86918200.3618432,2940802.31619585,78080502.4100156,85011512.3182362,86768791.2617334,88851140.1672288,96559234.469139
"Manure","Neonatal Male",85545393.9824984,3011910.45749734,76920390.5016851,83387155.6042542,85466385.943121,87559393.0419759,97709087.8897198
"Manure","Neonatal Combined",172463594.344342,5083636.89527577,157686785.590664,169069627.248232,172208387.35016,175872403.360163,189956019.957974
"Manure","Juvenile Female",200765814.833034,6580469.79342634,176512752.39841,196215204.786,200857111.980535,205084524.121899,220398318.15952
"Manure","Juvenile Male",193494284.618502,6594658.05577162,174986212.00014,188759981.673576,193376061.489032,197966144.772958,215720636.38327
"Manure","Juvenile Combined",394260099.451536,9228858.64667921,367878561.605505,387968807.924676,393891543.388611,400622985.522836,424931999.956074
"Manure","Adult Female",733507939.287326,43532689.3688761,577011409.775764,705203738.55865,731415834.16772,757989216.272948,858948089.917371
"Manure","Adult Male",388181414.443054,23639055.9674781,321962674.426202,372407583.465221,387725910.394877,403836659.222288,456321513.904823
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",0,0,0,0,0,0,0
"Hides","Juvenile Female",0,0,0,0,0,0,0
"Hides","Juvenile Male",0,0,0,0,0,0,0
"Hides","Juvenile Combined",0,0,0,0,0,0,0
"Hides","Adult Female",0,0,0,0,0,0,0
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",947158556.426831,135287629.868726,611823674.847702,852422797.54802,948967041.122333,1032639334.23032,1438351943.92059
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",7641592791.97218,170174054.900156,7139648341.52209,7528023186.31817,7647178634.21802,7757979656.71441,8186682274.1275
"Cml Dry Matter","Neonatal Female",382490587.004199,26800433.158555,304749215.406705,364802639.933576,382266072.697908,399504409.869703,470793760.455364
"Cml Dry Matter","Neonatal Male",405185254.906558,29346493.1526125,312173350.715367,384862445.002129,405034876.680133,424764517.784565,506285316.778881
"Cml Dry Matter","Neonatal Combined",787675841.910757,42385213.5789874,672910812.380462,758195282.60616,787446697.111494,815168985.700467,927980604.081206
"Cml Dry Matter","Juvenile Female",965986403.027281,49869137.1406734,832337256.444904,934593827.417052,964576912.110584,1000609375.83218,1149468317.90899
"Cml Dry Matter","Juvenile Male",1012085916.10968,49550756.0076111,841051449.516532,978647290.54829,1012446299.26513,1045776566.51317,1178034690.75213
"Cml Dry Matter","Juvenile Combined",1978072319.13696,70514543.3789553,1761289960.32531,1930815779.27312,1977425213.91967,2028405839.23968,2214605738.32379
"Cml Dry Matter","Adult Female",2883152884.22511,104585658.464311,2546939942.85499,2812722943.31434,2886432787.66553,2955994375.08005,3188820239.67399
"Cml Dry Matter","Adult Male",1992691746.69935,95965499.705155,1691348800.47936,1931016663.06518,1993851416.24635,2060869534.42257,2273993026.82571
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",19628265061.4798,3015524219.89942,11364075806.3742,17441045986.1288,19783020317.2277,21831854946.4936,26327130151.1746
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",49871586.8447457,8414532.00267959,23106645.5932966,43775146.1549112,50180515.5347141,56457346.4673006,66340510.5658962
"Value of Offtake","Juvenile Male",339304570.614603,79186052.7908669,110006676.210369,283844595.571408,341827819.019584,398778296.50305,508356721.147476
"Value of Offtake","Juvenile Combined",389176157.459348,79669620.8039681,167362408.751411,333335088.381667,392510883.039093,449878580.066488,568642053.417198
"Value of Offtake","Adult Female",127930827.255338,20011204.7412472,75440510.4033826,113909920.340588,127826316.620749,142405229.521667,174828581.183397
"Value of Offtake","Adult Male",19111158076.7652,3012810693.62243,10893368022.9265,16904523037.3693,19261873617.0321,21337324121.0892,25954327302.9551
"Value of Offtake","Oxen",0,0,0,0,0,0,0
"Value of draught","Overall",0,0,0,0,0,0,0
"Value of Herd Increase","Overall",-558528103.447974,1937103090.65643,-5905186636.53015,-1993198766.05882,-556601082.563087,722107013.866848,5040345494.33285
"Value of Herd Increase","Neonatal Female",2106351333.35624,307211697.838612,1410404022.76128,1876035510.71522,2081765452.9809,2323083850.53917,3326808175.44455
"Value of Herd Increase","Neonatal Male",2457901466.41285,398301877.672347,1536744325.75451,2152813395.40503,2416964064.66498,2732178426.10289,3776623879.27189
"Value of Herd Increase","Neonatal Combined",4564252799.76909,537036964.18335,3064462505.20121,4184676559.78587,4538906870.81019,4910977619.64528,6740684814.0705
"Value of Herd Increase","Juvenile Female",1671363086.101,316053869.407827,751676309.370049,1437722627.57917,1684974269.00132,1916461452.40987,2464156277.83577
"Value of Herd Increase","Juvenile Male",1746881999.35074,418851714.601114,671112363.157749,1449701947.6724,1761889806.19297,2038630016.23152,3169099333.85806
"Value of Herd Increase","Juvenile Combined",3418245085.45175,553137381.695449,1855573315.73625,3015156371.99312,3427471490.5969,3791746385.46769,5459207586.74472
"Value of Herd Increase","Adult Female",2470442859.53014,385700192.791364,1543453568.34322,2190417939.12324,2461766039.84412,2749051949.11892,3436769168.47928
"Value of Herd Increase","Adult Male",-11011468848.199,1724291217.59963,-15147151682.7214,-12258021821.8196,-11088912763.0991,-9777519652.80956,-6339556637.22741
"Value of Herd Increase","Oxen",0,0,0,0,0,0,0
"Value of Herd Increase plus Offtake","Overall",19069736958.0319,3519367440.08625,10034249402.1747,16563320045.4668,18887475418.0294,21584699559.7623,29981016007.3612
"Value of Herd Increase plus Offtake","Neonatal Female",2106351333.35624,307211697.838612,1410404022.76128,1876035510.71522,2081765452.9809,2323083850.53917,3326808175.44455
"Value of Herd Increase plus Offtake","Neonatal Male",2457901466.41285,398301877.672347,1536744325.75451,2152813395.40503,2416964064.66498,2732178426.10289,3776623879.27189
"Value of Herd Increase plus Offtake","Neonatal Combined",4564252799.76909,537036964.18335,3064462505.20121,4184676559.78587,4538906870.81019,4910977619.64528,6740684814.0705
"Value of Herd Increase plus Offtake","Juvenile Female",1721234672.94575,316141545.299012,806253503.473126,1488457536.56721,1735287295.69245,1961123002.18038,2515247788.44839
"Value of Herd Increase plus Offtake","Juvenile Male",2086186569.96535,427906107.752992,939904623.467778,1774153673.24339,2113852406.11692,2400984814.82504,3601107544.37731
"Value of Herd Increase plus Offtake","Juvenile Combined",3807421242.91109,558397208.974449,2070029168.99022,3412290742.75075,3824801748.11023,4184492072.83401,5948774816.28924
"Value of Herd Increase plus Offtake","Adult Female",2598373686.78548,385678442.150846,1675915343.21098,2312026923.55405,2588445105.70693,2877626432.70977,3574626303.36089
"Value of Herd Increase plus Offtake","Adult Male",8099689228.5662,3469401702.92309,-814990065.477079,5673799232.51138,8039427675.38599,10513839219.6905,18253806363.3276
"Value of Herd Increase plus Offtake","Oxen",0,0,0,0,0,0,0
"Value of Manure","Overall",844206523.763129,25496482.8939056,769331774.9063,825564682.892746,844672189.650373,861891970.83659,934482491.044616
"Value of Manure","Neonatal Female",43459100.1809216,1470401.15809793,39040251.2050078,42505756.1591181,43384395.6308667,44425570.0836144,48279617.2345695
