"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",570865.585980188,1.9621758411614,570859.568002193,570864.26823691,570865.595703586,570866.888798582,570871.397507796
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",3123.36147517165,0.0959049831167133,3123.07659457647,3123.29757249292,3123.3617935085,3123.42529148614,3123.65426165588
"Num Offtake","Juvenile Male",18008.7242606326,0.571138522259338,18007.0285939612,18008.343929173,18008.7261320195,18009.1047259958,18010.4682901927
"Num Offtake","Juvenile Combined",21132.0857358042,0.667043385927163,21130.1051885377,21131.6415387112,21132.0878317194,21132.5299404473,21134.1225518486
"Num Offtake","Adult Female",7375.78568744414,0.0112389102099088,7375.75091570057,7375.77841423027,7375.78575068788,7375.79300809222,7375.81797233277
"Num Offtake","Adult Male",542357.71455694,1.29407278431411,542353.711897955,542356.86252667,542357.716814589,542358.567723912,542361.456983615
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-152885.822847547,217.438568648755,-153714.15962943,-153029.306355858,-152888.717671989,-152738.456365697,-152159.009576607
"Cml Pop Growth","Neonatal Female",8299.05030083438,76.0763679722002,7995.14742544561,8249.04034668523,8298.68455715124,8351.21933574835,8553.83720273882
"Cml Pop Growth","Neonatal Male",14442.1317472604,76.0763679722027,14138.2288718716,14392.1217931113,14441.7660035773,14494.3007821744,14696.9186491648
"Cml Pop Growth","Neonatal Combined",22741.1820480947,152.152735944403,22133.3762973172,22641.1621397965,22740.4505607285,22845.5201179228,23250.7558519036
"Cml Pop Growth","Juvenile Female",18373.7077985553,35.8161033820855,18244.3774070621,18350.6814665606,18373.2680944102,18398.9214950521,18489.4126601325
"Cml Pop Growth","Juvenile Male",6052.93726187433,35.4210313863298,5924.86780190933,6030.12731173236,6052.47524655442,6077.76021163836,6167.34194401023
"Cml Pop Growth","Juvenile Combined",24426.6450604296,71.236966550763,24169.2452089714,24380.7779861959,24425.7613305484,24476.6832769798,24656.7546041427
"Cml Pop Growth","Adult Female",127914.490069529,6.70937207913859,127894.553143869,127910.022828225,127914.523985901,127918.951456927,127934.98676103
"Cml Pop Growth","Adult Male",-327968.1400256,5.54184324618727,-327984.809083647,-327971.802459133,-327968.084849819,-327964.458945518,-327951.120195607
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",417979.763132642,218.69600878077,417148.665821399,417834.52761563,417976.659937959,418126.302852535,418712.387931189
"Total Number Increase","Neonatal Female",8299.05030083438,76.0763679722002,7995.14742544561,8249.04034668523,8298.68455715124,8351.21933574835,8553.83720273882
"Total Number Increase","Neonatal Male",14442.1317472604,76.0763679722027,14138.2288718716,14392.1217931113,14441.7660035773,14494.3007821744,14696.9186491648
"Total Number Increase","Neonatal Combined",22741.1820480947,152.152735944403,22133.3762973172,22641.1621397965,22740.4505607285,22845.5201179228,23250.7558519036
"Total Number Increase","Juvenile Female",21497.0692737269,35.9045875130795,21367.4576578819,21473.9886615024,21496.6247062267,21522.363700471,21613.0669217883
"Total Number Increase","Juvenile Male",24061.6615225069,35.9479122401229,23931.9159673344,24038.5594543189,24061.2356739885,24086.9922497581,24177.8102342029
