"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",545032.016368675,20.3261082762992,544960.404318306,545018.051983323,545031.372942081,545045.876556253,545098.63785943
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",2976.25935900793,0.903560152579861,2973.44656992666,2975.65438166053,2976.29439229958,2976.87417701884,2979.67553841143
"Num Offtake","Juvenile Male",17163.6304083409,5.22374490557819,17146.2818429591,17160.166259034,17163.5341179744,17167.1611248008,17180.5643099761
"Num Offtake","Juvenile Combined",20139.8897673488,5.28764703542218,20122.5107670956,20136.3970023125,20139.813193596,20143.4585594375,20157.1059464121
"Num Offtake","Adult Female",7355.56741401381,0.145063063904418,7355.11457244084,7355.46550532723,7355.57647360699,7355.66396420329,7356.08678448406
"Num Offtake","Adult Male",517536.559187312,15.2459436156699,517482.327839513,517525.817244395,517536.47991558,517546.676835446,517585.963292296
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-337613.336028632,761.970023802284,-340273.149930234,-338124.074000516,-337620.44680058,-337111.965733651,-335567.406458859
"Cml Pop Growth","Neonatal Female",-11876.2911391696,338.451712488665,-12911.9596741691,-12086.298262347,-11863.8079939796,-11645.6635124734,-10676.2709671256
"Cml Pop Growth","Neonatal Male",-5283.43575731627,332.232162270949,-6486.95123462359,-5501.83460398041,-5283.37470621995,-5056.65079004598,-4192.87589680424
"Cml Pop Growth","Neonatal Combined",-17159.7268964859,486.034986655234,-18881.7064294453,-17484.0447245439,-17163.1318971496,-16823.9123997663,-15585.8618657484
"Cml Pop Growth","Juvenile Female",-26505.2761435027,249.586325402056,-27250.9051914222,-26671.0577469988,-26507.3512590811,-26327.71753037,-25659.1758401453
"Cml Pop Growth","Juvenile Male",-36529.4440893612,236.411977518999,-37390.4532946745,-36690.315482956,-36527.3770806754,-36368.5015309943,-35751.0917113694
"Cml Pop Growth","Juvenile Combined",-63034.7202328639,339.533940132307,-64097.4983421544,-63258.5178556404,-63041.567650383,-62806.1127401283,-62123.9372955763
"Cml Pop Growth","Adult Female",117668.108062579,62.7617246389265,117473.038369453,117625.685668324,117670.337963885,117710.711485801,117905.418524856
"Cml Pop Growth","Adult Male",-375086.996961861,46.0558723913108,-375232.811971434,-375117.154805058,-375087.593479946,-375056.261592313,-374939.747740201
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",207418.680340042,769.804058053036,204768.064655036,206896.763004886,207414.312107341,207928.004780319,209490.817253938
"Total Number Increase","Neonatal Female",-11876.2911391696,338.451712488665,-12911.9596741691,-12086.298262347,-11863.8079939796,-11645.6635124734,-10676.2709671256
"Total Number Increase","Neonatal Male",-5283.43575731627,332.232162270949,-6486.95123462359,-5501.83460398041,-5283.37470621995,-5056.65079004598,-4192.87589680424
"Total Number Increase","Neonatal Combined",-17159.7268964859,486.034986655234,-18881.7064294453,-17484.0447245439,-17163.1318971496,-16823.9123997663,-15585.8618657484
"Total Number Increase","Juvenile Female",-23529.0167844948,250.319328277773,-24276.4867771044,-23695.5237142511,-23530.6706993499,-23351.5863796448,-22679.5003017339
"Total Number Increase","Juvenile Male",-19365.8136810203,240.721603363943,-20242.1189245746,-19531.6272387789,-19362.105728689,-19202.6690025795,-18575.5095872715
"Total Number Increase","Juvenile Combined",-42894.8304655151,342.930084599075,-43968.1148725766,-43117.3917175465,-42899.1721434214,-42665.0323429815,-41977.4994180394
"Total Number Increase","Adult Female",125023.675476593,62.8993310199079,124828.152941894,124981.191843439,125025.957108984,125066.371841718,125261.50530934
"Total Number Increase","Adult Male",142449.562225451,60.4400997939044,142249.51586808,142409.35120459,142448.303031389,142490.363876609,142645.352474093
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",209396.805721701,732.240485842764,207257.771747727,208897.070291176,209395.805783427,209863.74549361,211921.355220112
