"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",547499.164898544,8.87544315878595,547469.548106584,547492.987634804,547498.994690557,547505.286777861,547531.654509577
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",3099.67009311485,0.471038846268349,3098.30668040619,3099.34607644353,3099.68272679257,3099.96725354364,3101.25987970143
"Num Offtake","Juvenile Male",17871.2369466193,2.71553527800077,17862.3288753806,17869.384515868,17871.169566234,17873.0944771265,17881.1728563855
"Num Offtake","Juvenile Combined",20970.9070397342,2.7909398866979,20960.648152798,20968.9870343643,20970.88664502,20972.7558737755,20980.5729059365
"Num Offtake","Adult Female",7090.1932027085,0.0546229476009916,7090.02918860436,7090.15414212494,7090.19353021962,7090.22936631659,7090.36887445465
"Num Offtake","Adult Male",519438.064656102,6.145283865289,519418.851253994,519433.92091618,519437.901573157,519442.426546632,519460.910449367
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-358471.315896631,725.055125938856,-361006.747400048,-358975.417345009,-358480.487131717,-357997.393597613,-356069.967786652
"Cml Pop Growth","Neonatal Female",-18607.2874737486,345.168380251791,-19695.8942558637,-18829.59743134,-18606.0296461157,-18369.2303252768,-17574.1817493554
"Cml Pop Growth","Neonatal Male",-12034.8155754825,324.547035459896,-13421.6014193124,-12257.6871394243,-12034.7693738574,-11804.2644784147,-10853.0327039982
"Cml Pop Growth","Neonatal Combined",-30642.1030492311,490.612355819612,-32287.0286694876,-30978.0448818555,-30656.60058379,-30309.979229056,-29023.7478784184
"Cml Pop Growth","Juvenile Female",7089.68743444408,176.595259793432,6567.55211456085,6970.39822396114,7097.37715802871,7206.47333190874,7676.07881275495
"Cml Pop Growth","Juvenile Male",-4875.05591628395,163.104895278642,-5397.23813455144,-4989.16696894585,-4879.06275024224,-4770.40148922292,-4351.67929427011
"Cml Pop Growth","Juvenile Combined",2214.63151816013,249.317861625375,1170.31398000941,2042.64985443142,2218.90612533956,2378.70645330347,3013.46774941951
"Cml Pop Growth","Adult Female",38748.1246193797,32.2791014920555,38654.963313063,38725.9867913602,38749.0145759661,38768.6284942527,38857.2283656274
"Cml Pop Growth","Adult Male",-368791.96898494,25.6395626961169,-368876.50679536,-368809.616509874,-368792.836711877,-368774.45085731,-368699.26170037
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",189027.849001913,729.310484909021,186462.800706536,188522.908825053,189017.989961036,189505.730159861,191450.159653884
"Total Number Increase","Neonatal Female",-18607.2874737486,345.168380251791,-19695.8942558637,-18829.59743134,-18606.0296461157,-18369.2303252768,-17574.1817493554
