"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",544704.771398496,19.7223806046662,544637.439585454,544691.196530572,544705.113966816,544718.744396783,544771.803422658
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",2973.36015253913,0.89433254637658,2969.9420257969,2972.77484439588,2973.30069867294,2973.94541255246,2976.19825548237
"Num Offtake","Juvenile Male",17146.5959998804,5.06755150341056,17128.2756614169,17143.0788557022,17146.6618423168,17150.0703314081,17163.6861205361
"Num Offtake","Juvenile Combined",20119.9561524195,5.18131117603898,20100.9101141504,20116.4456564037,20119.9610447553,20123.4197153442,20136.9733686121
"Num Offtake","Adult Female",7072.37554035303,0.140387186520512,7071.87694484557,7072.28100501515,7072.37192616842,7072.46708132328,7072.77251405759
"Num Offtake","Adult Male",517512.439705724,14.7502979215249,517464.297910553,517501.845500082,517512.620123696,517522.99791937,517562.454826404
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-443650.578895502,748.56409285687,-446268.163317909,-444181.624876591,-443652.909970582,-443106.311145526,-441414.837168553
"Cml Pop Growth","Neonatal Female",-19099.4066031418,340.693658724492,-20154.4186219259,-19323.7659739965,-19096.1222942782,-18873.8160170995,-18086.6207895203
"Cml Pop Growth","Neonatal Male",-12507.9535845496,319.362289528046,-13592.7524043955,-12730.1343478602,-12498.5033721115,-12292.0745344837,-11641.2086278558
"Cml Pop Growth","Neonatal Combined",-31607.3601876915,473.055702045387,-33417.2568086013,-31936.0925956126,-31621.9000428474,-31283.2404913975,-30097.5407346567
"Cml Pop Growth","Juvenile Female",-28483.0473906082,243.28198497638,-29372.8149209169,-28650.6918938491,-28489.4259165077,-28317.505574166,-27458.6056321346
"Cml Pop Growth","Juvenile Male",-38482.3900385884,230.761617856514,-39156.8034932672,-38626.5615850057,-38484.7353611368,-38324.3492398407,-37729.8475654082
"Cml Pop Growth","Juvenile Combined",-66965.4374291966,342.211652886348,-68090.1770508474,-67201.7780867108,-66969.2116156534,-66714.7135427317,-65879.9242624414
"Cml Pop Growth","Adult Female",30185.0029275101,60.4503859598881,29953.6957873283,30144.8884502392,30181.2126524941,30224.7479655154,30378.8470273186
"Cml Pop Growth","Adult Male",-375262.784206124,44.7729215097336,-375426.985594172,-375292.698276398,-375262.02131184,-375230.838382384,-375115.325578251
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",101054.192502994,756.364065525613,98414.7463653992,100519.981954818,101052.872039813,101592.299076242,103305.917657697
"Total Number Increase","Neonatal Female",-19099.4066031418,340.693658724492,-20154.4186219259,-19323.7659739965,-19096.1222942782,-18873.8160170995,-18086.6207895203
"Total Number Increase","Neonatal Male",-12507.9535845496,319.362289528046,-13592.7524043955,-12730.1343478602,-12498.5033721115,-12292.0745344837,-11641.2086278558
"Total Number Increase","Neonatal Combined",-31607.3601876915,473.055702045387,-33417.2568086013,-31936.0925956126,-31621.9000428474,-31283.2404913975,-30097.5407346567
"Total Number Increase","Juvenile Female",-25509.687238069,244.010204481483,-26402.87289512,-25677.2866751386,-25515.6657828398,-25343.9851280136,-24482.4073766522
"Total Number Increase","Juvenile Male",-21335.794038708,234.871541258447,-22018.7452723107,-21483.1857271493,-21338.4899029238,-21175.3643286909,-20572.7671008484
"Total Number Increase","Juvenile Combined",-46845.4812767771,345.660142005296,-47976.2283024054,-47086.7109525253,-46851.2245842459,-46592.5059212213,-45748.995601963
"Total Number Increase","Adult Female",37257.3784678631,60.5831441903773,37025.5727321739,37217.1978596904,37253.601570025,37297.1628317249,37451.5671671519
"Total Number Increase","Adult Male",142249.6554996,58.641768630156,142037.312316382,142209.066591373,142250.105210558,142289.688274726,142447.129248153
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",299706.355970094,716.01645484844,297643.003009826,299217.228172429,299704.805926693,300219.157882132,302021.528770096
"Total Mortality","Neonatal Female",30092.257488301,485.226218634293,28571.5861280041,29779.0898558925,30089.3082234581,30408.8978568198,31701.3049009077
"Total Mortality","Neonatal Male",29327.2349323031,464.602542553809,28096.1010799386,29004.5139682293,29331.1939998774,29660.5837752439,30683.020733461
"Total Mortality","Neonatal Combined",59419.4924206041,664.19249921977,57285.413452904,58990.3515276553,59423.4818072176,59894.7796541029,61803.0875617677
"Total Mortality","Juvenile Female",44611.7160054267,226.030320582059,43902.4005280062,44467.3416819764,44615.6163695016,44761.1468908471,45349.4647210525
"Total Mortality","Juvenile Male",42868.1175262619,209.320674660568,42139.3859578182,42728.3088879025,42866.9658247074,43004.5931323444,43521.49386044
"Total Mortality","Juvenile Combined",87479.8335316885,314.20660036839,86400.3192659644,87269.0717347704,87482.8487955017,87699.2056939842,88407.1197640168
"Total Mortality","Adult Female",90930.5426616818,1.80497811240656,90924.1321480145,90929.3272073376,90930.496193594,90931.7196170135,90935.6466093119
"Total Mortality","Adult Male",61876.4873561191,1.76362257757366,61870.731271914,61875.2206576186,61876.5089278332,61877.7497512291,61882.4674248961
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",5273020640.06948,8507915.0595836,5251655526.78871,5267447455.88788,5273008602.02114,5278706531.48036,5297924789.03683
"Value of Total Mortality","Neonatal Female",220261281.951775,3551629.48457929,209130677.23139,217969041.025454,220239694.70943,222578941.685836,232038758.133472
"Value of Total Mortality","Neonatal Male",387940182.625355,6145754.81195475,371654764.220756,383671235.006228,387992553.106287,392349715.651803,405874494.963909
"Value of Total Mortality","Neonatal Combined",608201464.57713,7028640.3984117,585698523.707533,603495163.682708,608341581.695016,613355449.610992,631941105.107751
"Value of Total Mortality","Juvenile Female",389419523.420533,1973038.19716212,383227847.333958,388159267.477333,389453570.03553,390723918.530052,395859395.700007
"Value of Total Mortality","Juvenile Male",966375800.477055,4718715.12453471,949948007.66912,963224094.906466,966349837.673558,969452369.514471,981104860.542902
"Value of Total Mortality","Juvenile Combined",1355795323.89759,5187584.7200908,1338272484.24964,1352345147.35014,1355800321.73312,1359184570.41139,1372115272.38993
"Value of Total Mortality","Adult Female",1231644471.62154,24448.2354165046,1231557641.89978,1231628008.42249,1231643842.21626,1231660413.35559,1231713604.04611
"Value of Total Mortality","Adult Male",2077379379.97323,59210.1027910789,2077186130.9517,2077336853.10303,2077380104.20041,2077421762.36568,2077580148.82904
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",266643801.921554,80772940.6372508,51355013.7447932,205767777.387047,268809423.706223,325676732.669923,478286840.999359
"Population Liveweight (kg)","Neonatal Female",11395445.1973445,6531247.85608477,223071.936615493,5606089.85333746,11627108.3768812,16971771.7039041,22389442.6439194
"Population Liveweight (kg)","Neonatal Male",11332678.3811899,6334199.39927849,220201.381353652,5965326.35992742,11445414.491641,16968919.1211944,22108874.7114618
"Population Liveweight (kg)","Juvenile Female",37611447.8541655,21357179.9743888,409115.789516438,19632645.6573988,38037672.9527382,56030184.7683905,73710287.8247242
"Population Liveweight (kg)","Juvenile Male",34765759.9006179,20141893.4612155,388290.592081161,17091871.5447859,34960923.819272,51792721.7972019,69957548.4554109
"Population Liveweight (kg)","Juvenile Combined",72377207.7547834,28718780.2081417,5605842.56061512,51533255.7996549,72506883.3041764,93534562.8283962,140290174.781576
"Population Liveweight (kg)","Adult Female",125520209.77945,71731070.029061,1024986.23601862,63546320.4762763,128130599.274482,188597530.836847,246009327.176379
"Population Liveweight (kg)","Adult Male",46018260.8087862,26831427.8174221,390360.405159275,21471413.0161132,46453851.1023302,68814279.2456101,93310934.5314226
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",67069923.5864878,35927069.961261,2224869.02276674,36317040.2048429,68906371.0307305,97651673.8750415,128708583.312975
"Offtake Liveweight (kg)","Juvenile Female",280615.450677161,153671.187037018,2972.08562884807,151650.871969833,285484.393978843,413290.866693646,535461.468997713
"Offtake Liveweight (kg)","Juvenile Male",1565516.76345011,914199.091120467,17135.4061672837,788875.717475489,1577261.15688317,2366899.0371919,3087323.61489055
"Offtake Liveweight (kg)","Adult Female",867447.981223087,492974.542856891,7072.18838170518,436712.686008327,869886.517945615,1322524.5009522,1697393.36870533
"Offtake Liveweight (kg)","Adult Male",64356343.3911374,35893284.7828487,517499.535739067,34155276.7807431,66242251.3695314,94705774.4106439,124205993.985809
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",221905338.325849,39487547.5814633,106487709.171147,195852527.920295,221269693.977444,248242858.295798,345969946.643626
"Manure","Overall",1507411957.48745,48238880.9573553,1361041388.27274,1476098541.85503,1506620495.30765,1539352598.76637,1637035345.10685
"Manure","Neonatal Female",53787417.6903603,1373038.60081969,49616610.6490664,52798130.1281814,53813326.206394,54753082.6937171,57731321.9472234
"Manure","Neonatal Male",52523283.9944355,1326493.43066969,48910424.2472612,51629021.9208728,52521836.1006641,53434260.1974971,57220516.2960919
"Manure","Neonatal Combined",106310701.684796,1900419.09866796,99990230.1129156,105067310.430008,106271989.167204,107558455.056425,111620551.666746
"Manure","Juvenile Female",175217598.743543,5840834.59781426,158306509.9159,171246873.058774,175430435.657915,179283093.123441,193379039.050087
"Manure","Juvenile Male",167581014.642081,5695136.08003473,148395062.808662,163548834.447359,167429322.831768,171584536.425889,188064142.506546
"Manure","Juvenile Combined",342798613.385624,8178086.97761727,321560477.743761,337337992.679002,342749119.639902,348220168.444904,367539159.261067
"Manure","Adult Female",694018489.839118,41943938.5714849,570914742.205754,668326892.742978,692801349.905902,717346642.990972,814532053.261382
"Manure","Adult Male",364284152.57791,22002150.0925314,297179249.27537,349298314.107107,364186046.927248,379178561.99655,439836736.175511
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",120143.431774745,156.28422841092,119607.326169676,120038.555671329,120144.662344363,120252.667011442,120606.211514247
"Hides","Juvenile Female",22305.8580027133,113.01516029103,21951.2002640031,22233.6708409882,22307.8081847508,22380.5734454236,22674.7323605262
"Hides","Juvenile Male",21434.0587631309,104.660337330284,21069.6929789091,21364.1544439512,21433.4829123537,21502.2965661722,21760.74693022
"Hides","Juvenile Combined",43739.9167658443,157.103300184195,43200.1596329822,43634.5358673852,43741.4243977509,43849.6028469921,44203.5598820084
"Hides","Adult Female",45465.2713308409,0.90248905620328,45462.0660740072,45464.6636036688,45465.248096797,45465.8598085068,45467.823304656
"Hides","Adult Male",30938.2436780596,0.881811288786832,30935.365635957,30937.6103288093,30938.2544639166,30938.8748756145,30941.233712448
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",78051682.0523507,13653264.4500679,29864203.5041354,68466015.8064062,78009085.9575351,87648074.0728401,122681048.239578
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",2936146009.05777,216523495.429482,2241325391.52406,2789731489.61479,2928329424.4095,3080474158.70588,3628308229.90298
"Cml Dry Matter","Neonatal Female",123846994.749426,12225282.4169276,96271009.4386312,116900270.392405,124091463.026616,131285036.936689,158685246.75643
"Cml Dry Matter","Neonatal Male",121364682.281908,11581734.5843777,87483282.3154885,114438238.382594,121295900.468138,128138317.185289,155117417.931259
"Cml Dry Matter","Neonatal Combined",245211677.031333,16366416.0331538,197793331.917751,232274650.747223,245410266.260426,258801137.01744,286827585.002586
"Cml Dry Matter","Juvenile Female",380628382.640803,49157035.2709629,214861342.486583,343546583.078303,380211390.604568,416795395.325628,532585026.672733
"Cml Dry Matter","Juvenile Male",364527705.877709,47454157.0914435,218045557.935339,329378775.553217,364471707.581325,391005819.351982,510612409.139208
