"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",79917.2121604988,7.79963349164986,79889.6026269484,79911.5962759558,79917.5041551227,79922.4998795711,79939.3057140116
"Num Offtake","Neonatal Female",5553.69824176439,1.05419363371337,5549.95610638838,5552.94688037313,5553.74162837251,5554.41585689127,5556.68033726723
"Num Offtake","Neonatal Male",17028.2896185427,5.79315579858154,17007.7084696791,17024.2383769294,17028.523762544,17032.2011939681,17044.5493764855
"Num Offtake","Neonatal Combined",22581.9878603071,6.84646415978477,22557.6645760674,22577.1623755135,22582.2049578106,22586.6241012564,22601.2297137528
"Num Offtake","Juvenile Female",19127.0822738484,0.84616923418954,19124.2645284895,19126.457229301,19127.1145712285,19127.6761059365,19129.5712441109
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",19127.0822738484,0.84616923418954,19124.2645284895,19126.457229301,19127.1145712285,19127.6761059365,19129.5712441109
"Num Offtake","Adult Female",36604.1455836853,0.0969045262442592,36603.8690323278,36604.0777587441,36604.1467234157,36604.2158402404,36604.4387311831
"Num Offtake","Adult Male",1603.996442658,0.0674421205574555,1603.80423685825,1603.94929663905,1603.99719673874,1604.04548177471,1604.20044729987
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-12509.8258771652,38.887479275832,-12657.527175933,-12536.4395856796,-12508.5944549845,-12484.3280284573,-12384.4196122771
"Cml Pop Growth","Neonatal Female",-6192.37022162941,14.2451639921915,-6248.62480573868,-6202.08618504556,-6191.96248504388,-6182.84829149384,-6146.87052961697
"Cml Pop Growth","Neonatal Male",12521.8453775875,11.9473927191375,12475.0205021682,12513.949713543,12522.1430615881,12529.7775874388,12558.9663962786
"Cml Pop Growth","Neonatal Combined",6329.47515595808,26.1008986377979,6226.39569642954,6312.10307420959,6329.92316947104,6346.5042423774,6412.09586666161
"Cml Pop Growth","Juvenile Female",-7029.70300356532,7.17744437856733,-7055.24905324513,-7034.66683504356,-7029.61542779709,-7024.7694636217,-7009.68443668965
"Cml Pop Growth","Juvenile Male",15761.2961270451,6.65310822974942,15737.689765444,15756.7017571188,15761.4293460556,15765.7929908223,15780.1200861943
"Cml Pop Growth","Juvenile Combined",8731.59312347974,13.8297510996743,8682.44071219884,8722.02880108491,8731.81314961068,8741.05456517894,8770.43564950464
"Cml Pop Growth","Adult Female",-33282.031502152,1.33700459999602,-33286.5536867462,-33283.0169581076,-33281.9897809021,-33281.1048067698,-33278.1269917928
"Cml Pop Growth","Adult Male",5711.13734554902,1.36475972975442,5706.54177856176,5710.13074953896,5711.18151340241,5712.08190980794,5715.13079240612
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",67407.3862833336,45.6747723875982,67239.0753813121,67376.2197385224,67409.2946479994,67437.4125281375,67553.0977551448
"Total Number Increase","Neonatal Female",-638.671979865017,14.9932667231868,-697.714718409843,-649.018117854625,-638.263167865915,-628.663079186191,-590.433130958601
"Total Number Increase","Neonatal Male",29550.1349961302,16.0484482603808,29487.5327092325,29539.3274292329,29550.6655661657,29560.6458418855,29602.4162062192
