"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",89226.0364854431,912.282447830041,86942.1978595948,88576.1101116094,89178.5849265441,89844.6074971545,92729.9715512321
"Num Offtake","Neonatal Female",6665.81301070508,123.573594211323,6356.13999337733,6577.56797408091,6659.28791970259,6748.98699107015,7139.88815239193
"Num Offtake","Neonatal Male",22401.7604946165,678.686757034796,20683.0306825301,21919.5500131971,22359.5037794667,22835.6609172508,24937.7295008857
"Num Offtake","Neonatal Combined",29067.5735053216,802.146814068576,27039.1706759074,28498.3066078544,29017.2630902435,29584.4945065968,32077.6176532776
"Num Offtake","Juvenile Female",20315.9066001239,98.2067606967713,20081.6722000803,20243.4036920614,20309.6563259236,20380.8631621515,20732.0438032131
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",20315.9066001239,98.2067606967713,20081.6722000803,20243.4036920614,20309.6563259236,20380.8631621515,20732.0438032131
"Num Offtake","Adult Female",38189.9014357585,11.2185269102779,38164.2805892562,38181.6181158628,38188.8925119049,38197.2360931739,38236.0467149619
"Num Offtake","Adult Male",1652.65494423916,7.6868133317033,1635.10202041762,1646.97863825592,1651.96524295791,1657.68024002969,1684.2633797795
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",50284.9175033562,4761.03616389951,37772.8592804075,46940.8692953607,50192.0636106834,53503.4838886481,64103.9443480016
"Cml Pop Growth","Neonatal Female",12233.685681212,1753.34788443369,7932.02619835253,10987.3606588103,12179.8040746299,13343.8544012511,18265.7713947414
"Cml Pop Growth","Neonatal Male",25544.2629500893,1463.41475666726,21900.2019074561,24512.6395774314,25469.2973358377,26431.2526774738,31150.7325643513
"Cml Pop Growth","Neonatal Combined",37777.9486313013,3205.76849111313,29832.2281058087,35484.5145578335,37655.0796641165,39744.8888782253,49416.5039590927
"Cml Pop Growth","Juvenile Female",4003.98885411676,865.009645968473,1797.17046117297,3394.36958442265,3963.52720774007,4560.15290909141,7154.52351798884
"Cml Pop Growth","Juvenile Male",23018.0057606327,800.788128607587,20967.8295024084,22460.698809502,22987.7183579273,23535.1533981017,25887.2121148453
"Cml Pop Growth","Juvenile Combined",27021.9946147495,1665.68834480668,22764.9999635813,25851.7860918768,26951.4906900165,28086.8230661,33041.7356328342
"Cml Pop Growth","Adult Female",-21396.1403823529,158.859918066024,-21775.7233897537,-21511.5703440817,-21404.362385021,-21290.0924276093,-20722.7270229803
"Cml Pop Growth","Adult Male",6881.11463965836,158.374407089285,6502.80844538195,6765.74653246744,6873.05142488741,6986.70894646289,7552.087182679
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",139510.953988799,5560.57859901398,124715.057140002,135621.67281726,139484.507495837,143120.342033459,156833.915899234
"Total Number Increase","Neonatal Female",18899.4986919171,1843.32913346427,14311.1525723755,17591.2359292261,18828.4497045786,20068.1305819473,24998.9559510448
"Total Number Increase","Neonatal Male",47946.0234447058,1953.88340262878,42963.2142909363,46536.0765702377,47870.5199191932,49163.6748016573,54011.4836620453
"Total Number Increase","Neonatal Combined",66845.5221366228,3794.81973558879,57274.3668633118,64108.4904922404,66716.5465426386,69266.058192282,79010.4396130901
"Total Number Increase","Juvenile Female",24319.8954542406,956.792675504408,21894.6803439413,23638.7101455058,24262.1459507262,24927.9987754472,27886.5673212019
"Total Number Increase","Juvenile Male",23018.0057606327,800.788128607587,20967.8295024084,22460.698809502,22987.7183579273,23535.1533981017,25887.2121148453
"Total Number Increase","Juvenile Combined",47337.9012148733,1756.76978002732,42862.5098463497,46099.0637369092,47245.0130826838,48468.5065224725,53773.7794360473
"Total Number Increase","Adult Female",16793.7610534056,169.78220881353,16388.5571995025,16668.7349332043,16783.940182882,16906.8023697222,17513.3196919815
"Total Number Increase","Adult Male",8533.76958389751,165.857399361709,8137.91046579958,8411.81389005688,8524.26439705024,8644.3552545197,9236.3505624585
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",118660120.654646,8886777.92614547,88609600.3792652,112991702.308508,119232163.728103,124844397.560343,141320285.796516
"Population Liveweight (kg)","Neonatal Female",9522137.85120682,1873960.94530663,3984804.32470412,8207992.21274953,9763454.83456106,10910327.7332723,13945860.7881466
"Population Liveweight (kg)","Neonatal Male",6063300.72892975,1392332.31501106,2048334.55440205,5073247.46041679,6153540.30479982,7177515.15133525,9568706.57135868
"Population Liveweight (kg)","Juvenile Female",20748786.4789099,3544677.96678002,14470798.1510892,18052016.1332609,20393013.742035,23140749.3666797,32227508.1499611
