"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",87277.0701370881,891.715621557936,84934.6993977196,86643.984237076,87205.0315403478,87820.4447086547,90994.9937037273
"Num Offtake","Neonatal Female",6359.30861237632,120.610538097792,6042.38350945578,6273.32269170006,6350.07140720095,6433.79081394297,6861.30904139258
"Num Offtake","Neonatal Male",21544.1893619735,663.753143824263,19799.9209839831,21080.5328707908,21495.0338458147,21958.5887487461,24293.6807558833
"Num Offtake","Neonatal Combined",27903.4979743498,784.249426536336,25842.3044934389,27356.7072939304,27846.2551528005,28388.1667912533,31154.9897972759
"Num Offtake","Juvenile Female",20045.7122776525,97.5762436638337,19803.1661846544,19973.8331450234,20038.1385582833,20103.2060997386,20470.0924725604
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",20045.7122776525,97.5762436638337,19803.1661846544,19973.8331450234,20038.1385582833,20103.2060997386,20470.0924725604
"Num Offtake","Adult Female",37736.9712592219,10.1197420041928,37714.0561872959,37729.3580295336,37735.9968112068,37743.030277048,37779.667228502
"Num Offtake","Adult Male",1590.88862586385,6.94202483335806,1575.17253233043,1585.66717010244,1590.21948178775,1595.04581641235,1620.1721447083
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",33601.9264830145,4611.0539609394,22424.4703291703,30371.6209938752,33178.0126603811,36593.163714811,55056.1043476482
"Cml Pop Growth","Neonatal Female",6723.90089082139,1709.55454695614,2666.26809406358,5544.60441085883,6583.83527145842,7801.10531750736,14762.1556249927
"Cml Pop Growth","Neonatal Male",22825.0354623631,1439.25268918644,19378.2546152264,21788.898176633,22698.4776574624,23730.8816260871,29341.959562054
"Cml Pop Growth","Neonatal Combined",29548.9363531844,3139.07765864621,22044.52270929,27362.2569817836,29276.6659696748,31497.8049406058,44104.1151870467
"Cml Pop Growth","Juvenile Female",1254.35112134313,837.847868639107,-942.459701261265,672.020196246009,1196.6156505504,1789.99560679959,4691.25702818303
"Cml Pop Growth","Juvenile Male",21813.6632119801,778.37908847353,19776.6392760045,21270.3552097701,21760.3759206454,22315.0055385969,24996.8226978639
"Cml Pop Growth","Juvenile Combined",23068.0143333233,1616.12813168334,18834.1795747433,21947.6390405639,22961.8106290451,24105.9598613179,29688.0797260469
"Cml Pop Growth","Adult Female",-24917.388379887,141.234154260514,-25270.8556935304,-25021.3989166173,-24928.7150027497,-24833.0825096932,-24302.8596951105
"Cml Pop Growth","Adult Male",5902.36417639379,141.132299319247,5549.40957182015,5798.25694118885,5890.90243023858,5986.47917521228,6516.28427306283
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",120878.996620103,5384.56940012655,107787.265829899,117122.21392349,120529.005448818,124236.643653248,145449.054934249
"Total Number Increase","Neonatal Female",13083.2095031977,1795.44542375066,8850.42140240388,11836.4969817433,12940.1420752305,14215.4969136091,21544.8324179219
"Total Number Increase","Neonatal Male",44369.2248243366,1913.32794504281,39791.9905039096,43006.2071126323,44216.8080760788,45581.7409190423,53316.23197327
"Total Number Increase","Neonatal Combined",57452.4343275343,3705.67698157434,48664.8743849409,54887.1067342697,57153.6535634444,59819.8072134333,74861.0643911919
"Total Number Increase","Juvenile Female",21300.0633989956,928.410048896442,18860.7064833931,20655.0221966654,21231.2717898736,21877.3450041596,25136.3181918411
"Total Number Increase","Juvenile Male",21813.6632119801,778.37908847353,19776.6392760045,21270.3552097701,21760.3759206454,22315.0055385969,24996.8226978639
"Total Number Increase","Juvenile Combined",43113.7266109758,1705.95283032264,38637.3457593977,41928.1465414349,42989.2266123832,44194.6646389797,50133.140889705
"Total Number Increase","Adult Female",12819.5828793349,151.08349219729,12443.2004937655,12708.1290067141,12807.3773062847,12909.1056209077,13476.8075333915
"Total Number Increase","Adult Male",7493.25280225765,147.888923391059,7124.58210415057,7384.0208558477,7481.06943619048,7580.98666400899,8136.45641777113
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",17729.3657940498,322.463318286132,16882.6761557941,17498.7421961393,17703.8125831329,17925.6392068974,19074.2247407262
"Total Mortality","Neonatal Female",8035.85361018463,152.407861778119,7635.37552558503,7927.19867405735,8024.18114182666,8129.97202852794,8670.19960685062
"Total Mortality","Neonatal Male",4217.8060863582,129.9460380163,3876.32255883614,4127.03390005622,4208.18268249048,4298.93498038833,4756.08679587011
"Total Mortality","Neonatal Combined",12253.6596965428,282.275374839469,11511.6980844212,12055.8884306438,12232.1408305757,12426.0923010263,13426.2864027207
"Total Mortality","Juvenile Female",4438.69343290877,21.6061682398489,4384.98679803061,4422.77733925517,4437.01639504845,4451.42420779926,4532.6633332098
"Total Mortality","Juvenile Male",1037.01266459816,20.4667706478697,985.991273342267,1021.89574344321,1035.3265737585,1049.1544043941,1126.02745067368
"Total Mortality","Juvenile Combined",5475.70609750693,42.0724884511321,5370.97807137288,5444.65470825727,5472.36953594642,5500.49964000412,5658.69078388348
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",226328027.658783,3695229.40249141,216641591.010533,223681778.052154,226033844.353015,228599175.64522,241764536.207568
"Value of Total Mortality","Neonatal Female",89326548.7308123,1694165.79152558,84874834.3424032,88118740.4608215,89196797.5725451,90372769.0691166,96377938.8297515
