"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",80324.7398853766,8.18049199862509,80300.9366819212,80319.0139397146,80324.6650222126,80330.329605504,80348.6328095081
"Num Offtake","Neonatal Female",5541.66932894169,1.10453956989834,5538.45256504347,5540.89350861921,5541.66305906016,5542.41711009894,5544.88997094441
"Num Offtake","Neonatal Male",16958.6143565154,6.05443415935182,16940.9864996758,16954.3864799303,16958.6503147329,16962.7563381137,16976.6592803367
"Num Offtake","Neonatal Combined",22500.2836854571,7.15794579662879,22479.4390647193,22495.3023312668,22500.3040646439,22505.1908718413,22521.5465226269
"Num Offtake","Juvenile Female",19926.7069985952,0.925158523804877,19924.0014917089,19926.0820067673,19926.6896350627,19927.3273841316,19929.6609319174
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",19926.7069985952,0.925158523804877,19924.0014917089,19926.0820067673,19926.6896350627,19927.3273841316,19929.6609319174
"Num Offtake","Adult Female",36330.1324901225,0.0959383153366936,36329.8545282323,36330.0653432921,36330.1307057857,36330.1981948794,36330.4628809551
"Num Offtake","Adult Male",1567.61671120182,0.0668025433970617,1567.42325365879,1567.57007585239,1567.61565090559,1567.66252715527,1567.84699750518
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-8370.83370710824,40.1124959520362,-8490.69740736863,-8397.75481834287,-8369.98660374872,-8344.22921734524,-8253.96780487546
"Cml Pop Growth","Neonatal Female",-6483.53443941154,14.6700550110841,-6524.60632048501,-6493.35820938083,-6483.54683622352,-6473.77535725912,-6437.94903217274
"Cml Pop Growth","Neonatal Male",12275.5484061778,12.3907211449922,12238.9893810024,12267.3729210682,12275.6115229486,12284.1081345147,12314.3852235646
"Cml Pop Growth","Neonatal Combined",5792.01396676628,26.9562890299877,5714.8125168255,5773.92188524614,5791.93211342685,5810.72460437671,5876.43619139183
"Cml Pop Growth","Juvenile Female",-1715.29335789649,7.76181714668137,-1737.86126258818,-1720.6914760669,-1715.20694519825,-1709.87515729929,-1691.75902678185
"Cml Pop Growth","Juvenile Male",17042.8778449317,7.20691604568987,17021.9676814963,17037.9139900779,17042.9720867556,17047.8359002626,17064.9253485852
"Cml Pop Growth","Juvenile Combined",15327.5844870352,14.9679267315712,15284.1064189081,15317.2033212403,15327.7182236981,15337.9292434502,15373.1663218034
"Cml Pop Growth","Adult Female",-34765.3099378965,1.32112003133989,-34769.2038558464,-34766.2035508337,-34765.3275752291,-34764.4254581754,-34761.1501400726
"Cml Pop Growth","Adult Male",5274.87777698674,1.35004297427549,5270.91011495055,5273.96335035138,5274.86321322386,5275.77758785079,5279.14744355172
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",71953.9061782683,47.1239715746088,71812.18592907,71922.0013923102,71954.477268075,71984.9851998318,72092.6898095165
"Total Number Increase","Neonatal Female",-941.86511046986,15.4123064733053,-985.658118942308,-952.030539990797,-941.673542053258,-931.64471392875,-894.49853865267
"Total Number Increase","Neonatal Male",29234.1627626932,16.4573062354399,29186.4868343111,29223.110457237,29234.5069325836,29244.9446080747,29283.356941818
"Total Number Increase","Neonatal Combined",28292.2976522234,31.8362445749901,28200.8287153688,28271.009645613,28292.871692929,28313.0390524995,28388.8584031654
"Total Number Increase","Juvenile Female",18211.4136406987,8.62478987881301,18186.2923029842,18205.3847496092,18211.4567200996,18217.3824445106,18237.1357306216
"Total Number Increase","Juvenile Male",17042.8778449317,7.20691604568987,17021.9676814963,17037.9139900779,17042.9720867556,17047.8359002626,17064.9253485852
"Total Number Increase","Juvenile Combined",35254.2914856304,15.824393100314,35208.2599844805,35243.3561794907,35254.4301587168,35265.2793325054,35302.0610792069
"Total Number Increase","Adult Female",1564.82255222599,1.41453448831668,1560.67160170716,1563.86659141996,1564.80265832714,1565.772745886,1569.31274088259
"Total Number Increase","Adult Male",6842.49448818856,1.41513108904803,6838.34830797511,6841.53934272386,6842.47135337956,6843.44107459522,6846.99444105691
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",22389.5156392506,2.60816958178603,22381.9203448292,22387.6947082907,22389.5104883517,22391.291448219,22397.1787488609
"Total Mortality","Neonatal Female",7002.65487929904,1.39573636559882,6998.59005946403,7001.67452452791,7002.64695644875,7003.59980276139,7006.72459964794
"Total Mortality","Neonatal Male",3320.06675430372,1.18530471570412,3316.61566683795,3319.23904325395,3320.07379401109,3320.87764929268,3323.59949291099
"Total Mortality","Neonatal Combined",10322.7216336028,2.5803356946535,10315.205726302,10320.9256646984,10322.7115168519,10324.4775072933,10330.3206445322
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",12066.7940056478,0.0318652261654369,12066.7016825914,12066.7717033077,12066.7934129931,12066.8158290135,12066.903742603
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",391965783.767409,27517.3083792125,391885677.02004,391946552.985051,391965675.808106,391984438.030061,392046331.271877
"Value of Total Mortality","Neonatal Female",77841511.6382881,15515.0054399966,77796327.1010021,77830614.0146523,77841423.5678843,77852015.4074956,77886750.6496865
"Value of Total Mortality","Neonatal Male",31809559.5729839,11356.4044811611,31776494.7039744,31801629.2734161,31809627.0204202,31817328.7578732,31843406.7415802
"Value of Total Mortality","Neonatal Combined",109651071.211272,26864.194028852,109572821.804976,109632329.581809,109650980.965532,109669338.374221,109730119.063002
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",282314712.556137,745.518831366395,282312552.565909,282314190.770588,282314698.690387,282315223.1356,282317279.961939
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",61603313.2810957,19673776.9579998,17387409.6959165,45967735.1057035,61223457.6637217,77243529.6784103,103805468.121094
"Population Liveweight (kg)","Neonatal Female",3444284.7165613,1928976.84997595,46269.6299040212,1850782.55016284,3424538.01183295,5090255.47854259,6803581.21851828
"Population Liveweight (kg)","Neonatal Male",2062061.14591879,1139806.13156192,27327.0313093764,1093854.79041934,2106771.58038131,3036156.64589044,4021185.83982982
"Population Liveweight (kg)","Juvenile Female",13468446.9347834,7398582.89577813,69777.1824163809,7240352.22566316,13330108.7368143,19887444.7189815,26171691.9565984
"Population Liveweight (kg)","Juvenile Male",9565741.83649519,1348450.26652745,6042082.7757656,8560681.89649385,9624166.12347985,10653725.7966226,12150584.0559907
"Population Liveweight (kg)","Juvenile Combined",23034188.7712786,7498332.18689506,6454277.90191709,17163546.1792464,22909421.5088535,29349853.2946176,37756544.7365766
"Population Liveweight (kg)","Adult Female",29983291.4223092,17960214.4342894,112370.531407199,14496125.0889813,29778404.041681,45511260.0407459,61806546.7580008
"Population Liveweight (kg)","Adult Male",3079487.22502777,1868240.20272255,11561.0006278411,1424991.82275266,3000606.62426634,4747334.80095745,6359657.75731823
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",14279797.9591616,6150508.91576282,676785.185804616,9512079.71028706,14359634.9441592,19074599.1280977,27411041.9660797
"Offtake Liveweight (kg)","Juvenile Female",3840377.91540355,2173133.89605738,19926.25584875,2032556.52895452,3895509.79565727,5758794.9114293,7472729.2045708
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",10001721.4168602,5702600.79093225,36330.0341400472,5086210.79688581,10117948.8376071,14868147.9965044,19981660.6914114
"Offtake Liveweight (kg)","Adult Male",437698.62689787,248482.118905373,1567.57486868236,228477.903783409,429537.856975016,656834.201162591,862223.671663486
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",47353298.2782397,6637129.54995024,29292203.3215645,42712664.5491595,47412209.4116523,52046421.5528291,69159847.5997564
"Manure","Overall",146627979.71394,5349234.9115776,130396576.458126,143115049.595099,146681011.132405,150214691.533043,164231797.878681
"Manure","Neonatal Female",11645788.749249,311286.719990822,10572219.1774036,11434643.3254572,11639937.5915866,11872135.6413396,12626408.981957
"Manure","Neonatal Male",5824139.01655232,148598.458797528,5410569.67652594,5715228.05706327,5821889.41372669,5932726.07599576,6278116.95401846
"Manure","Neonatal Combined",17469927.7658013,341984.429673077,16267928.3513951,17240122.9799547,17468816.2509204,17702768.2798248,18632681.2877105
"Manure","Juvenile Female",29421587.3530397,1007660.58671487,26487239.6476289,28727435.0250535,29426707.0463435,30138275.833037,32319282.0270746
"Manure","Juvenile Male",6849776.94884833,248572.144480581,5882262.20464111,6684073.95906251,6834319.25759873,7019912.94193266,7892305.15913526
"Manure","Juvenile Combined",36271364.301888,1031568.15414487,33319926.925805,35556697.7513388,36296512.3255409,36961610.8430208,39456896.1669696
"Manure","Adult Female",87020171.1911743,5190271.36456812,71562138.7312831,83607987.5886897,86850247.4756962,90134299.1723016,102282468.262818
"Manure","Adult Male",5866516.45507625,365511.020407434,4782274.95584851,5607716.44980778,5868110.12043413,6113504.42493345,6939125.67159817
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",6033.39700282392,0.0159326130827185,6033.35084129572,6033.38585165386,6033.39670649655,6033.40791450675,6033.45187130148
"Hides","Juvenile Female",0,0,0,0,0,0,0
"Hides","Juvenile Male",0,0,0,0,0,0,0
"Hides","Juvenile Combined",0,0,0,0,0,0,0
"Hides","Adult Female",6033.39700282392,0.0159326130827185,6033.35084129572,6033.38585165386,6033.39670649655,6033.40791450675,6033.45187130148
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",390754511.384882,21622486.0380009,327501767.405546,375380491.543778,389992119.173892,405141005.646824,475083294.433296
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",607483129.290329,56968405.2432017,406013462.449296,572288621.202389,607043648.198979,643587562.369706,790306233.157603
"Cml Dry Matter","Neonatal Female",35778977.5749554,4200980.64231771,22634982.8218556,32903953.6326247,35845366.6280779,38756045.5455824,49438092.8554974
"Cml Dry Matter","Neonatal Male",17949396.3554968,2084962.73266308,11028009.7046472,16527556.9578866,17964359.4635422,19227259.7474426,24729195.3432002
"Cml Dry Matter","Neonatal Combined",53728373.9304522,4770828.17970632,37868273.0213128,50695072.9759097,53646042.8303884,57113842.0386207,69386855.114565
"Cml Dry Matter","Juvenile Female",128336814.267537,19095849.0013256,57555372.738769,115149175.21044,127950081.269295,140653424.903143,179081675.223478
"Cml Dry Matter","Juvenile Male",59185927.0695266,2647788.05545837,50544290.1448202,57443057.5351297,59330824.4462349,60948952.3619177,67887670.6951602
"Cml Dry Matter","Juvenile Combined",187522741.337064,19285199.966951,115116299.439244,174379577.515949,187267149.808948,199992511.877083,240057347.935761
