"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",80948.2326417475,8.52379470643258,80924.1350313677,80942.624191222,80948.1402040161,80953.7672288337,80972.8625033695
"Num Offtake","Neonatal Female",5812.94365839238,1.15694506967865,5809.66841192942,5812.18021974432,5812.93007037349,5813.69202690502,5816.28429127281
"Num Offtake","Neonatal Male",17623.8713339197,6.34951774091152,17605.9969959642,17619.6870926896,17623.7454558583,17628.168219667,17641.8047368623
"Num Offtake","Neonatal Combined",23436.8149923121,7.50549187052656,23415.6654078936,23431.9171627026,23436.6214796567,23441.8423236213,23458.0890281352
"Num Offtake","Juvenile Female",19561.6069459134,0.914891684992691,19558.8644839389,19561.024841678,19561.6181154674,19562.1740755461,19564.4705741611
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",19561.6069459134,0.914891684992691,19558.8644839389,19561.024841678,19561.6181154674,19562.1740755461,19564.4705741611
"Num Offtake","Adult Female",36373.6563742191,0.095887279658064,36373.3535947352,36373.5929859735,36373.6580311999,36373.7147783415,36373.9468649167
"Num Offtake","Adult Male",1576.15432930292,0.0666601973821123,1575.94364888216,1576.1101558076,1576.15553877015,1576.19499794388,1576.35603615662
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-3839.50349593877,44.1269856011543,-3980.30698458827,-3870.92343907923,-3838.58436744145,-3810.41317977833,-3696.675203058
"Cml Pop Growth","Neonatal Female",-2152.33988403184,16.2436807687347,-2205.59075295925,-2163.85169611333,-2152.65400500715,-2141.08077475259,-2093.0552556253
"Cml Pop Growth","Neonatal Male",14059.3207980263,13.4864455986921,14015.8550991885,14049.6874416205,14059.1389451747,14068.9079140737,14110.6128916083
"Cml Pop Growth","Neonatal Combined",11906.9809139945,29.6317315525117,11810.2643462292,11886.0191039407,11907.0772276105,11927.5326659796,12017.557635983
"Cml Pop Growth","Juvenile Female",-3464.54050242901,8.01964355728259,-3487.14648761592,-3469.82988702444,-3464.67190621998,-3459.00803330294,-3442.41427106275
"Cml Pop Growth","Juvenile Male",16918.5564924014,7.41525626547279,16897.4749294745,16913.6674731348,16918.3721479989,16923.6628482409,16938.7285714386
"Cml Pop Growth","Juvenile Combined",13454.0159899724,15.4339573840424,13410.3284418585,13443.855422248,13453.712309314,13464.6732611113,13496.3143003759
"Cml Pop Growth","Adult Female",-34596.5172484585,1.34409296114221,-34600.5233553749,-34597.3672773679,-34596.5061711388,-34595.6928752635,-34592.3069920097
"Cml Pop Growth","Adult Male",5396.01684855286,1.36860748600024,5391.93103932664,5395.14761579818,5396.03061848843,5396.8609937861,5400.3018584757
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",77108.7291458087,51.6509948300084,76947.8749567119,77072.5230812469,77108.4920862495,77143.2005747173,77265.5147899411
"Total Number Increase","Neonatal Female",3660.60377436053,17.1050400705477,3604.6203289352,3648.37697960343,3660.23387321658,3672.34184689047,3721.79792420014
"Total Number Increase","Neonatal Male",31683.192131946,18.1788859457762,31624.214655745,31669.8679235101,31683.0416824595,31695.6231987298,31745.8032622701
"Total Number Increase","Neonatal Combined",35343.7959063065,35.2624768287887,35228.8349846802,35318.4827186493,35343.4168279853,35368.3469353263,35467.6011864703
