"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",80938.7838153612,8.37909171853009,80908.5150584651,80932.9563857526,80939.2184479826,80944.7214018643,80966.2741009024
"Num Offtake","Neonatal Female",5811.95808034662,1.13690719955472,5807.84531169765,5811.17144609956,5812.01137219575,5812.76559918803,5815.69624289221
"Num Offtake","Neonatal Male",17618.0822182799,6.2199139911359,17595.2974076263,17613.672676805,17618.2440280524,17622.4229396316,17638.4805955065
"Num Offtake","Neonatal Combined",23430.0402986265,7.35581743121882,23403.142719324,23424.8344371973,23430.2329986038,23435.1847013521,23454.1768383987
"Num Offtake","Juvenile Female",19590.3633040141,0.918324747480705,19587.4432545604,19589.7172911761,19590.3735130203,19590.9934611508,19593.2644062073
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",19590.3633040141,0.918324747480705,19587.4432545604,19589.7172911761,19590.3735130203,19590.9934611508,19593.2644062073
"Num Offtake","Adult Female",36345.8354511568,0.0961714638764012,36345.5691399299,36345.7705476714,36345.8371003952,36345.9045632906,36346.1251762918
"Num Offtake","Adult Male",1572.54476156381,0.0668563007375315,1572.35994465089,1572.4996395859,1572.54583938883,1572.59281746333,1572.74626840653
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-3892.13953285161,42.3933679543146,-4045.87279982778,-3920.83920845615,-3892.30251012035,-3862.70805930889,-3773.12859951245
"Cml Pop Growth","Neonatal Female",-2181.41840869374,15.5575650017789,-2232.66042363996,-2191.87217394606,-2181.4155974054,-2171.27989584274,-2133.66473747772
"Cml Pop Growth","Neonatal Male",14034.2396945422,12.9166894886258,13991.3721444969,14025.2967627215,14034.3268945003,14042.3849989218,14075.767083491
"Cml Pop Growth","Neonatal Combined",11852.8212858485,28.3741592630621,11761.2799749214,11832.8830974967,11853.5182050587,11871.2652976754,11941.1214187071
"Cml Pop Growth","Juvenile Female",-3276.41520074906,7.84037681705603,-3305.44015071343,-3282.01518788435,-3276.30994096054,-3271.03264276383,-3250.74149044778
"Cml Pop Growth","Juvenile Male",16961.2090000301,7.24030645937002,16934.2892749089,16956.0554411699,16961.3315943916,16966.30640993,16984.8040219699
"Cml Pop Growth","Juvenile Combined",13684.7937992811,15.0796788987373,13628.8491241954,13674.0054055137,13685.1094047913,13695.358969184,13734.0625315221
"Cml Pop Growth","Adult Female",-34777.4703955111,1.33555053870911,-34781.77698194,-34778.4072752185,-34777.4442662975,-34776.5624553965,-34773.1965566092
"Cml Pop Growth","Adult Male",5347.71577752985,1.36038260656996,5343.34328324524,5346.76202934,5347.73996854429,5348.64703482768,5352.05549673396
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",77046.6442825096,49.7443816404463,76862.6422586373,77012.2247991549,77046.9295530792,77080.426111685,77179.3876760745
"Total Number Increase","Neonatal Female",3630.53967165288,16.3863464666263,3575.18488805769,3619.64899362233,3630.45920129744,3641.16762424722,3680.16014342419
"Total Number Increase","Neonatal Male",31652.3219128221,17.4278176900342,31591.6696059378,31640.7258644538,31652.2288954567,31663.7603366887,31703.60474096
"Total Number Increase","Neonatal Combined",35282.861584475,33.7907146967196,35166.8544939955,35260.4220371081,35282.7595870382,35305.0669913437,35383.7648843842
"Total Number Increase","Juvenile Female",16313.9481032651,8.70245641921442,16282.0031038469,16307.7830016412,16314.1395624671,16320.0309935173,16342.5229157595
"Total Number Increase","Juvenile Male",16961.2090000301,7.24030645937002,16934.2892749089,16956.0554411699,16961.3315943916,16966.30640993,16984.8040219699
"Total Number Increase","Juvenile Combined",33275.1571032952,15.9353879248572,33216.2923787558,33263.7740371148,33275.422533559,33286.1374631228,33327.3269377294
"Total Number Increase","Adult Female",1568.36505564574,1.429397487048,1563.7921579899,1567.3606105252,1568.39123163212,1569.34623754762,1572.90608502516
"Total Number Increase","Adult Male",6920.26053909366,1.42565157320527,6915.70322789614,6919.25987301546,6920.28539351561,6921.24017030847,6924.78571139606
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",17342.6065604785,0.426808709822046,17341.2572784359,17342.3094398849,17342.6070123421,17342.8989996944,17343.9476073291
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",4337.86616017456,0.203343336942127,4337.21957779551,4337.72311447472,4337.86842074021,4338.0056949691,4338.50854708876
"Total Mortality","Juvenile Male",932.730768312625,0.192153038127658,932.116522020785,932.595895928171,932.734118256453,932.862805563316,933.340682840339
"Total Mortality","Juvenile Combined",5270.59692848718,0.39549192174733,5269.3360998163,5270.32043564652,5270.60290567169,5270.86693286833,5271.8492299291
"Total Mortality","Adult Female",12072.0096319914,0.031942664787596,12071.9211786196,12071.9880747623,12072.0101797741,12072.0325870929,12072.1058621255
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",375166808.352152,8143.84102005985,375141106.584281,375161118.915059,375166806.121018,375172377.65003,375192356.464795
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",73474777.0210366,3444.22944112574,73463825.2087004,73472354.1129727,73474815.3104977,73477140.4613866,73485657.7705895
"Value of Total Mortality","Juvenile Male",19255293.9810458,3966.80731910738,19242613.4805971,19252509.6755412,19255363.1372862,19258019.7580491,19267885.056556
"Value of Total Mortality","Juvenile Combined",92730071.0020825,7410.95365973073,92706438.6892974,92724893.4049202,92730186.0174232,92735135.0962172,92753542.8271454
"Value of Total Mortality","Adult Female",282436737.35007,747.330585371276,282434667.894983,282436232.997138,282436750.165995,282437274.407626,282438988.750288
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",59486848.9028206,19433754.7036036,15073687.5855444,44409546.9716121,60217953.9914414,75041832.8786002,106401934.813139
"Population Liveweight (kg)","Neonatal Female",3714191.20333264,2148758.2184569,50562.6509969827,1871607.08625208,3742340.87114334,5562707.27379048,7437134.60673587
"Population Liveweight (kg)","Neonatal Male",4342047.93985903,998787.974212333,1499682.59394492,3654312.1309948,4430500.66609147,5113413.76745731,6371646.4453099
"Population Liveweight (kg)","Juvenile Female",12551915.5909363,7399995.8468924,68217.9971595786,6005140.7405998,12315135.1337106,18898135.4602559,25588467.1164941
"Population Liveweight (kg)","Juvenile Male",4602734.20047679,2670266.08927251,24660.2584596226,2244470.41167049,4637489.04369013,6908129.79560091,9251429.00523589
"Population Liveweight (kg)","Juvenile Combined",17154649.7914131,7893715.76843105,635744.577784505,10664135.1246375,16859511.7817774,23556132.0199354,34196217.8142414
"Population Liveweight (kg)","Adult Female",31199831.8002808,18057007.4037309,112359.561336952,15561979.1336126,30786829.70054,47107771.6880186,61796840.557612
"Population Liveweight (kg)","Adult Male",3076128.16793505,1829455.08887002,11636.054206185,1489628.17232957,3013526.89609822,4653792.49120248,6399834.33137508
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",14237251.0205726,6138592.43003132,893984.224420511,9083668.36947183,14295225.3144942,19309663.1039093,27529164.7850637
"Offtake Liveweight (kg)","Juvenile Female",3663886.18145064,2148294.71183442,19588.6226973383,1836608.39887076,3624342.71275774,5529508.35345499,7346768.36366816
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",10133946.0183654,5810110.59143729,36345.7847390853,5124768.0054927,10013283.8014291,15128949.8817066,19990227.8219833
"Offtake Liveweight (kg)","Adult Male",439418.820756537,246210.037735777,1572.50397787174,232356.586965745,441894.83619062,654166.462757322,864908.852521165
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",47087717.9854989,6858864.57521179,26703880.9683856,42523247.3260314,47380643.5432073,51762872.8782794,69854378.3526828
"Manure","Overall",146746592.300446,5422864.55227622,131697778.142507,143111454.235304,146618592.557595,150408644.312304,163750695.983195
"Manure","Neonatal Female",12325048.7786691,313474.237673661,11286759.7865842,12115340.5877627,12329074.4534189,12540903.4355889,13232019.4063586
"Manure","Neonatal Male",6090607.81279912,157419.562257807,5639961.73403684,5985998.6772116,6087477.01252915,6194226.03614668,6553859.99706647
"Manure","Neonatal Combined",18415656.5914682,359290.920236108,17443138.9211774,18181816.7131022,18415803.4988975,18664735.3353684,19432942.9257566
"Manure","Juvenile Female",28737760.629628,972320.636964226,25829507.6759828,28072548.9846683,28715458.8830056,29368082.8137197,31889265.5110215
"Manure","Juvenile Male",6808297.69062507,236614.170463928,6138581.28331838,6646883.6771458,6806353.70952561,6978581.11802335,7525330.29109248
"Manure","Juvenile Combined",35546058.3202531,997811.966490046,32382674.1740523,34872673.5875269,35518964.3094676,36214712.7036342,38562394.5625253
"Manure","Adult Female",86916952.7513514,5319823.10395404,71462137.6482529,83500927.6609129,86837538.2576205,90219757.1796818,102211215.981412
"Manure","Adult Male",5867924.6373735,368272.953368245,4643590.50328311,5611678.91257607,5864221.75399493,6112034.81346823,6965062.11859116
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",8671.30328023927,0.213404354911023,8670.62863921793,8671.15471994245,8671.30350617106,8671.44949984721,8671.97380366454
"Hides","Juvenile Female",2168.93308008728,0.101671668471064,2168.60978889776,2168.86155723736,2168.93421037011,2169.00284748455,2169.25427354438
"Hides","Juvenile Male",466.365384156313,0.0960765190638288,466.058261010392,466.297947964086,466.367059128227,466.431402781658,466.670341420169
"Hides","Juvenile Combined",2635.29846424359,0.197745960873665,2634.66804990815,2635.16021782326,2635.30145283585,2635.43346643416,2635.92461496455
"Hides","Adult Female",6036.00481599568,0.015971332393798,6035.96058930979,6035.99403738114,6036.00508988706,6036.01629354647,6036.05293106274
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",390989162.139099,21784587.3040805,335519323.349091,375448806.996982,390789583.986116,405328946.412418,472289927.319861
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",594958407.165478,59129028.0704809,398571497.275818,556781911.64468,596144457.877174,636394246.733566,798521881.519043
"Cml Dry Matter","Neonatal Female",38029135.7090859,4470889.70978969,23709876.8247749,34786042.4765641,37938057.3601394,41052010.4281597,50557338.2855155
"Cml Dry Matter","Neonatal Male",36351229.7655946,2261376.63251391,28565657.9744669,34804186.1228681,36320545.8797143,37907088.6593849,43317956.5465967
"Cml Dry Matter","Neonatal Combined",74380365.4746805,5060593.42608232,59712296.4657764,71049655.0289937,74274767.7818929,78007027.0710821,88315067.6806411
"Cml Dry Matter","Juvenile Female",125202072.409966,18079336.4240727,68989085.6264229,112887809.298756,125222954.717272,137910370.051851,185967675.373855
"Cml Dry Matter","Juvenile Male",29615626.7080258,4703343.88811144,13343881.3510941,26489446.9194598,29722778.6492582,32898124.5880744,43875925.8046478
"Cml Dry Matter","Juvenile Combined",154817699.117992,18861604.744437,96131511.0034427,142407814.498855,154760079.478054,168308691.318373,215244992.252897
"Cml Dry Matter","Adult Female",342408572.035411,54617214.9903606,169581749.495922,305392009.308471,343752489.023746,380243295.381587,512455929.150617
"Cml Dry Matter","Adult Male",23351770.537395,3656243.40144084,8373711.68990909,20922485.2155759,23254093.9017449,25707039.5554913,37018702.9055259
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",1242434945.30083,20291.4291198194,1242372171.96234,1242420791.25203,1242435079.34242,1242449058.06153,1242497442.66273
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",331821573.643391,15554.5845728277,331772113.845743,331810631.477941,331821746.563538,331832247.244972,331870712.51234
"Value of Offtake","Juvenile Male",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Combined",331821573.643391,15554.5845728277,331772113.845743,331810631.477941,331821746.563538,331832247.244972,331870712.51234
"Value of Offtake","Adult Female",850347166.215264,2250.02756885293,850340935.5978,850345647.73332,850347204.800846,850348783.162746,850353944.624523
"Value of Offtake","Adult Male",60266205.4421716,2562.20086946516,60259122.5188008,60264476.1874901,60266246.7487375,60268047.1364647,60273927.9904119
"Value of Offtake","Oxen",0,0,0,0,0,0,0
"Value of draught","Overall",0,0,0,0,0,0,0
"Value of Herd Increase","Overall",-190396951.455278,612030.227288108,-192681330.7979,-190826475.607948,-190381471.448686,-189981824.287637,-188825216.749298
"Value of Herd Increase","Neonatal Female",-24248647.0310396,172937.892559774,-24818253.2691818,-24364851.0855844,-24248615.7807584,-24135947.3221879,-23717817.2218023
"Value of Herd Increase","Neonatal Male",147908255.56475,136130.282189576,147456470.168067,147814005.111998,147909174.573828,147994099.742136,148345916.86962
"Value of Herd Increase","Neonatal Combined",123659608.533711,307987.837883696,122666765.611066,123443004.910894,123667368.6133,123860678.523292,124617195.659882
"Value of Herd Increase","Juvenile Female",-55495920.6702876,132800.302527295,-55987545.2727841,-55590773.2523851,-55494137.7799897,-55404750.9031338,-55061059.3652045
"Value of Herd Increase","Juvenile Male",350147198.596622,149468.886547234,349591467.791219,350040808.52751,350149729.43462,350252429.526594,350634294.229546
"Value of Herd Increase","Juvenile Combined",294651277.926335,282250.425717107,293603922.518434,294449265.347333,294657058.931954,294849159.403222,295573234.864342
"Value of Herd Increase","Adult Female",-813653697.373377,31246.540403637,-813754454.269468,-813675616.611011,-813653086.054296,-813632455.206457,-813553706.638428
"Value of Herd Increase","Adult Male",204945859.458054,52135.3030141874,204778287.987091,204909308.012426,204946786.554491,204981548.962736,205112174.856832
"Value of Herd Increase","Oxen",0,0,0,0,0,0,0
"Value of Herd Increase plus Offtake","Overall",1052037993.84555,628300.577742001,1049690841.16444,1051594543.81926,1052056138.72545,1052466345.31632,1053657136.48415
"Value of Herd Increase plus Offtake","Neonatal Female",-24248647.0310396,172937.892559774,-24818253.2691818,-24364851.0855844,-24248615.7807584,-24135947.3221879,-23717817.2218023
"Value of Herd Increase plus Offtake","Neonatal Male",147908255.56475,136130.282189576,147456470.168067,147814005.111998,147909174.573828,147994099.742136,148345916.86962
"Value of Herd Increase plus Offtake","Neonatal Combined",123659608.533711,307987.837883696,122666765.611066,123443004.910894,123667368.6133,123860678.523292,124617195.659882
"Value of Herd Increase plus Offtake","Juvenile Female",276325652.973104,147402.206828653,275784568.572959,276221228.481798,276328895.909068,276428684.968196,276809653.147135
"Value of Herd Increase plus Offtake","Juvenile Male",350147198.596622,149468.886547234,349591467.791219,350040808.52751,350149729.43462,350252429.526594,350634294.229546
"Value of Herd Increase plus Offtake","Juvenile Combined",626472851.569726,296732.605485057,625376036.364178,626259936.109025,626477473.481882,626677223.82886,627443947.376682
"Value of Herd Increase plus Offtake","Adult Female",36693468.8418877,33442.1836069746,36586481.3283317,36669968.8438475,36694081.255265,36716424.5736642,36799710.7652487
"Value of Herd Increase plus Offtake","Adult Male",265212064.900226,54636.670891518,265037410.505891,265173715.373444,265213017.421092,265249608.286902,265385487.603543
"Value of Herd Increase plus Offtake","Oxen",0,0,0,0,0,0,0
"Value of Manure","Overall",73373296.1502231,2711432.27613811,65848889.0712535,71555727.1176521,73309296.2787975,75204322.1561521,81875347.9915973
"Value of Manure","Neonatal Female",6162524.38933454,156737.11883683,5643379.89329209,6057670.29388135,6164537.22670943,6270451.71779446,6616009.70317929
"Value of Manure","Neonatal Male",3045303.90639956,78709.7811289033,2819980.86701842,2992999.3386058,3043738.50626457,3097113.01807334,3276929.99853323
"Value of Manure","Neonatal Combined",9207828.2957341,179645.460118054,8721569.46058869,9090908.35655111,9207901.74944874,9332367.66768422,9716471.46287829
"Value of Manure","Juvenile Female",14368880.314814,486160.318482113,12914753.8379914,14036274.4923341,14357729.4415028,14684041.4068599,15944632.7555107
"Value of Manure","Juvenile Male",3404148.84531253,118307.085231964,3069290.64165919,3323441.8385729,3403176.85476281,3489290.55901167,3762665.14554624
"Value of Manure","Juvenile Combined",17773029.1601265,498905.983245023,16191337.0870261,17436336.7937635,17759482.1547338,18107356.3518171,19281197.2812627
"Value of Manure","Adult Female",43458476.3756757,2659911.55197702,35731068.8241265,41750463.8304565,43418769.1288103,45109878.5898409,51105607.9907058
"Value of Manure","Adult Male",2933962.31868675,184136.476684123,2321795.25164155,2805839.45628804,2932110.87699747,3056017.40673411,3482531.05929558
"Value of Manure","Oxen",0,0,0,0,0,0,0
"Value of Hides","Overall",668705.824731419,15.0068744513451,668658.440303715,668695.353808126,668705.824561639,668716.093205002,668752.923833782
"Value of Hides","Juvenile Female",124047.576697818,5.8148977524707,124029.086736558,124043.486098485,124047.641341973,124051.566897721,124065.946683675
"Value of Hides","Juvenile Male",38241.6277136046,7.87820579931056,38216.4438354535,38236.0979941075,38241.7650601027,38247.0411936321,38266.6339909767
"Value of Hides","Juvenile Combined",162289.204411423,13.692952746377,162245.530572011,162279.643175266,162289.421435621,162298.571902095,162332.580674652
"Value of Hides","Adult Female",506416.620319996,1.33998371761507,506412.909731704,506415.716001707,506416.643299292,506417.583278551,506420.657140772
"Value of Hides","Adult Male",0,0,0,0,0,0,0
"Value of Hides","Oxen",0,0,0,0,0,0,0
"Value of Milk","Overall",12120664026.3121,675322206.426496,10401099023.8218,11638913016.9064,12114477103.5696,12565197338.785,14640987746.9157
"Value of Milk","Adult Female",12120664026.3121,675322206.426496,10401099023.8218,11638913016.9064,12114477103.5696,12565197338.785,14640987746.9157
"Total Production Value","Overall",13246744022.1326,675333593.546048,11524454644.4499,12764126692.9634,13243770258.7269,13690092351.7457,15762627097.2732
"Total Production Value","Neonatal Female",-18086122.6417051,237499.878177986,-18860037.5794035,-18241330.5422277,-18088303.8359728,-17928580.0884772,-17298624.5523736
"Total Production Value","Neonatal Male",150953559.47115,160070.870435924,150419982.44498,150843902.504522,150958380.476395,151061736.03501,151581504.37498
"Total Production Value","Neonatal Combined",132867436.829445,364182.660192549,131695984.439095,132615236.493806,132858249.766503,133119329.73302,134049557.75206
"Total Production Value","Juvenile Female",290818580.864615,511335.450670823,289263808.683962,290479044.844266,290800674.744235,291156923.976218,292369752.285037
"Total Production Value","Juvenile Male",353589589.069648,190430.435020459,352875598.962122,353459973.735506,353590942.721359,353725055.283734,354233972.44281
"Total Production Value","Juvenile Combined",644408169.934264,586164.588260502,642391721.477442,644021509.270779,644393684.735703,644798057.647731,646089691.047343
"Total Production Value","Adult Female",12201322388.15,675327810.130662,10478919258.4597,11719326218.7095,12198776511.4718,12644439782.1904,14718398684.9019
"Total Production Value","Adult Male",268146027.218912,189998.508315246,267499639.614685,268016941.48219,268147102.5937,268266884.341035,268729148.040543
"Total Production Value","Oxen",0,0,0,0,0,0,0
"Feed Cost","Overall",2342872017.07574,79908449.0466217,2114107768.79295,2289744854.87672,2341708979.50196,2397197014.0402,2657632953.04295
"Feed Cost","Neonatal Female",153394988.16076,8205633.77814216,130624427.57712,148142495.201015,153313105.434018,158284058.971378,183848379.671683
"Feed Cost","Neonatal Male",76848884.6871537,6922321.25021773,58330104.8577573,71846734.2282536,77045107.5723194,81398241.1740966,101665121.677505
"Feed Cost","Neonatal Combined",230243872.847914,10671992.7155365,199764859.013476,222849141.042784,230206079.774533,237783964.201323,269305419.543799
"Feed Cost","Juvenile Female",514855409.526561,26902315.1545861,439139324.963709,495980567.718676,514292109.029447,532194602.954988,603163464.825918
"Feed Cost","Juvenile Male",122331053.468125,6888706.44112742,101706234.856271,117678707.84208,122388206.89142,126875841.292188,144809790.961403
"Feed Cost","Juvenile Combined",637186462.994686,27715209.9901246,562725343.91969,618170067.623438,636365858.213117,656081629.201557,723311668.813842
