"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",79759.6601975812,7.70865283749116,79734.8277762952,79754.4071884418,79759.5963089471,79764.8255311732,79781.2746001165
"Num Offtake","Neonatal Female",5536.72086893692,1.04280187224491,5533.38092283428,5536.00579132515,5536.71345416307,5537.41676703163,5539.63183875051
"Num Offtake","Neonatal Male",16929.5351837787,5.74421376870146,16911.7011420702,16925.5927015531,16929.5452395768,16933.4254794603,16945.9624165153
"Num Offtake","Neonatal Combined",22466.2560527156,6.78605905995334,22445.0820649044,22461.580618456,22466.2151794044,22470.8691455106,22485.5693815057
"Num Offtake","Juvenile Female",19552.7107898006,0.840593739764151,19549.6127811999,19552.1764777782,19552.7091474593,19553.2579935043,19555.4213743432
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",19552.7107898006,0.840593739764151,19549.6127811999,19552.1764777782,19552.7091474593,19553.2579935043,19555.4213743432
"Num Offtake","Adult Female",36190.2947991147,0.0849806945966333,36189.96449644,36190.2433330025,36190.2944940391,36190.3512597301,36190.5769278058
"Num Offtake","Adult Male",1550.39855595024,0.0591641387269722,1550.16843375077,1550.36266619991,1550.3984982257,1550.43792341208,1550.59503640124
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-13357.5312387398,39.7516679056519,-13472.5050798539,-13385.856984719,-13357.522430392,-13330.2116708185,-13223.8067248789
"Cml Pop Growth","Neonatal Female",-6641.83496997792,14.6828782190471,-6686.66391135879,-6651.91019339131,-6642.12568431721,-6632.03886532442,-6593.2800956076
"Cml Pop Growth","Neonatal Male",12136.7890804167,12.3241715303352,12097.6888164752,12128.7064743411,12136.6967462008,12144.4748338312,12177.0651012616
"Cml Pop Growth","Neonatal Combined",5494.95411043879,26.922743270158,5411.02490511642,5476.72479250248,5494.21066308691,5512.51259150176,5582.05395204829
"Cml Pop Growth","Juvenile Female",-4274.10191026992,7.27473747277055,-4296.64971515955,-4279.08587013272,-4274.12164977139,-4269.18880053375,-4252.61825124247
"Cml Pop Growth","Juvenile Male",16371.0107281833,6.76286558068235,16349.9644495341,16366.4220263446,16370.9563215448,16375.6386571056,16391.2226723354
"Cml Pop Growth","Juvenile Combined",12096.9088179134,14.0368274969652,12053.3147343745,12087.3006676773,12096.8922057563,12106.4763175387,12138.6044210929
"Cml Pop Growth","Adult Female",-35949.3904525597,1.16872882630624,-35953.6502196679,-35950.1304011768,-35949.3979030648,-35948.6270010323,-35945.6507414947
"Cml Pop Growth","Adult Male",4999.99628546764,1.19371276878472,4995.6298097176,4999.24155087812,4999.98993310938,5000.77855158214,5003.82540096416
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",66402.1289588413,46.4733926396001,66263.7177215992,66369.582438481,66402.2553428695,66434.3373463346,66557.0754096971
"Total Number Increase","Neonatal Female",-1105.114101041,15.4347668647017,-1151.72165134332,-1115.93330555387,-1105.3163581514,-1094.76625282184,-1053.67313061711
"Total Number Increase","Neonatal Male",29066.3242641954,16.4693831714874,29017.2694188415,29054.5661420587,29066.1517619573,29077.4662862899,29121.2964641711
"Total Number Increase","Neonatal Combined",27961.2101631544,31.8782767011886,27865.5477674982,27938.3537927465,27961.0146056538,27982.4402503792,28067.623333554
"Total Number Increase","Juvenile Female",15278.6088795307,8.0551081756459,15253.8000199914,15273.1192002955,15278.6237652765,15284.066479763,15301.7945868836
"Total Number Increase","Juvenile Male",16371.0107281833,6.76286558068235,16349.9644495341,16366.4220263446,16370.9563215448,16375.6386571056,16391.2226723354
"Total Number Increase","Juvenile Combined",31649.619607714,14.811045855736,31603.774112737,31639.4316875923,31649.6948230343,31659.6760289475,31693.0172592189
"Total Number Increase","Adult Female",240.904346554984,1.25120962870621,236.314276772166,240.115605923538,240.897286143259,241.721381878548,244.926186311081
"Total Number Increase","Adult Male",6550.39484141788,1.25117763478024,6545.79824346837,6549.60106525296,6550.38729202433,6551.21215545864,6554.4204373654
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",27583.6625301549,2.81273890529481,27574.50720184,27581.7461358687,27583.657197069,27585.5494658949,27591.6393831074
"Total Mortality","Neonatal Female",6996.40182529302,1.31772236583675,6992.18134794513,6995.49822721996,6996.39245571516,6997.28118743088,7000.08023260292
"Total Mortality","Neonatal Male",3314.37378950034,1.12457142795705,3310.88233626444,3313.60195143081,3314.37575817067,3315.13541076758,3317.5898252051
"Total Mortality","Neonatal Combined",10310.7756147934,2.4416361221306,10303.0636842096,10309.1045511667,10310.7584056439,10312.4107293518,10317.6386264204
"Total Mortality","Juvenile Female",4329.52881774157,0.186131470947774,4328.84283012284,4329.41050579375,4329.52845408027,4329.64998427594,4330.12901860456
"Total Mortality","Juvenile Male",923.010182199791,0.176302303082683,922.362479761451,922.898331922007,923.00911842161,923.125349178262,923.577425265124
