"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",79854.1147568375,8.17766306063804,79822.7948600749,79848.6212280429,79854.2181773979,79859.8683622895,79880.5984310731
"Num Offtake","Neonatal Female",5546.88125265759,1.10541934215715,5542.64741766789,5546.13381353452,5546.88749883557,5547.65754500715,5550.46009948267
"Num Offtake","Neonatal Male",16988.650651096,6.06765710226915,16965.1909384829,16984.4856737691,16988.6589487901,16992.8489800165,17008.1117841328
"Num Offtake","Neonatal Combined",22535.5319037536,7.17217437415891,22507.8383561508,22530.6096922371,22535.5471608029,22540.5421889446,22558.5297480451
"Num Offtake","Juvenile Female",19295.721748538,0.896700708351454,19292.5930946071,19295.1065572877,19295.7309945448,19296.3496794676,19298.8096331458
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",19295.721748538,0.896700708351454,19292.5930946071,19295.1065572877,19295.7309945448,19296.3496794676,19298.8096331458
"Num Offtake","Adult Female",36440.138158659,0.0975336534844522,36439.7726489974,36440.070298754,36440.1374234716,36440.205314374,36440.4576311859
"Num Offtake","Adult Male",1582.72294588679,0.0678860109811711,1582.46838224975,1582.67570050626,1582.72237336142,1582.76973952124,1582.94503167512
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-12847.7118888338,40.6994774153724,-12995.1530583471,-12875.0892712608,-12844.7276831141,-12821.9242726085,-12716.7504471777
"Cml Pop Growth","Neonatal Female",-6370.89346721385,14.9552660413473,-6423.04186527718,-6380.41973483007,-6369.9867447689,-6360.92443954378,-6324.29192724224
"Cml Pop Growth","Neonatal Male",12369.147123283,12.5905441550968,12322.1562070663,12360.9208516885,12369.8629914323,12377.8855865354,12406.3423359515
"Cml Pop Growth","Neonatal Combined",5998.25365606915,27.4484670504513,5899.86060826103,5980.30838676581,6000.01279094765,6017.03363671295,6082.05040870922
"Cml Pop Growth","Juvenile Female",-5944.87961653665,7.56495248729771,-5974.31669474755,-5949.90374953388,-5944.89129845475,-5939.64409833353,-5920.61713764939
"Cml Pop Growth","Juvenile Male",16001.8094016772,7.01277946816127,15974.422132626,15997.2163021944,16001.8306211421,16006.6290686944,16024.2934638845
"Cml Pop Growth","Juvenile Combined",10056.9297851406,14.5769216172548,10000.1054378784,10047.3761229288,10056.9284285767,10067.0130009209,10103.6763262351
"Cml Pop Growth","Adult Female",-34332.6500126474,1.3487833018836,-34337.3442592455,-34333.5896285835,-34332.6442996694,-34331.6998755166,-34327.9891880461
"Cml Pop Growth","Adult Male",5429.75468260392,1.37714477672033,5424.96828118524,5428.79934417333,5429.75990832677,5430.72273686356,5434.50798382649
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
