"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",80396.5122050401,8.11416651743139,80375.089389396,80391.0598638254,80396.5790182963,80401.8172885961,80425.9560423759
"Num Offtake","Neonatal Female",5549.80346060822,1.09500591784852,5546.90705080944,5549.06663008162,5549.81082299337,5550.52127031421,5553.76782220347
"Num Offtake","Neonatal Male",17005.9167065992,6.00649033210924,16990.0362482679,17001.9307975733,17005.8367208999,17010.0200996918,17027.2247704865
"Num Offtake","Neonatal Combined",22555.7201672074,7.10053114436834,22537.0230422737,22550.9849000323,22555.6486356597,22560.5363535988,22580.9925926899
"Num Offtake","Juvenile Female",19721.2424036542,0.906605129907469,19718.7609371681,19720.6348450289,19721.2203870819,19721.8427207808,19724.767202624
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",19721.2424036542,0.906605129907469,19718.7609371681,19720.6348450289,19721.2203870819,19721.8427207808,19724.767202624
"Num Offtake","Adult Female",36526.5373020224,0.10019512404309,36526.230916671,36526.4692868568,36526.53610461,36526.6071230007,36526.9185572002
"Num Offtake","Adult Male",1593.01233215601,0.0697673108647419,1592.79879980338,1592.96510165146,1593.01139526602,1593.06080453755,1593.27768986172
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-8011.30995138431,40.6575861124333,-8119.90451578266,-8039.5095427585,-8010.72827813684,-7984.28412878526,-7893.75029797462
"Cml Pop Growth","Neonatal Female",-6267.75568068023,14.8192526305152,-6306.20420336164,-6277.96026473924,-6267.59037461716,-6257.40910904797,-6223.42929280744
"Cml Pop Growth","Neonatal Male",12460.5005533473,12.4409375247986,12428.3930524532,12452.1320789199,12460.3309805657,12469.2511142009,12497.1522641857
"Cml Pop Growth","Neonatal Combined",6192.74487266708,27.1674737342014,6122.36377988575,6174.12766060305,6192.3876395746,6211.69001855793,6273.72297137823
"Cml Pop Growth","Juvenile Female",-3076.32779140228,7.6306344813202,-3097.00609369169,-3081.48498591369,-3076.38791976061,-3071.28852770092,-3049.85545202576
"Cml Pop Growth","Juvenile Male",16744.9187069528,7.08268673722158,16725.5255040287,16740.1232039201,16744.8494476798,16749.5864685898,16769.2068536225
"Cml Pop Growth","Juvenile Combined",13668.5909155506,14.712547163704,13628.519410337,13658.5992392939,13668.4046752673,13678.2654197452,13719.3514015968
"Cml Pop Growth","Adult Female",-33486.7100619004,1.37418114928425,-33490.438290373,-33487.6428476335,-33486.7522043479,-33485.7987417389,-33481.3699536905
"Cml Pop Growth","Adult Male",5614.06432229846,1.40415927839813,5610.24468990902,5613.11818757942,5614.02799192914,5614.99478320907,5619.5221755108
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
