"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",80992.2128033247,7.91277361586023,80970.6292737576,80986.6058889569,80991.8195695502,80998.0135962346,81018.2058214937
"Num Offtake","Neonatal Female",5817.72990052426,1.07345873402196,5814.79558755658,5816.96765290115,5817.67838543345,5818.51556498301,5821.26039485119
"Num Offtake","Neonatal Male",17651.6318970173,5.87685950356652,17635.3367522398,17647.4631621937,17651.3725900256,17655.9847517743,17670.8878678122
"Num Offtake","Neonatal Combined",23469.3617975416,6.94927351026048,23450.1323397963,23464.4280475095,23469.0561037356,23474.5074164867,23492.1482626634
"Num Offtake","Juvenile Female",19447.837210024,0.863997931442627,19445.3362708931,19447.2377850189,19447.82135287,19448.4307429023,19450.6807206602
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",19447.837210024,0.863997931442627,19445.3362708931,19447.2377850189,19447.82135287,19448.4307429023,19450.6807206602
"Num Offtake","Adult Female",36484.43653548,0.0952733512022373,36484.162673861,36484.3718882747,36484.4364011099,36484.4976023989,36484.7564751993
"Num Offtake","Adult Male",1590.57726027911,0.066235782570464,1590.38689956414,1590.53217779428,1590.57695851792,1590.61984153997,1590.7996195081
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-3598.22756424247,40.6833884139853,-3715.8262121958,-3625.48846921908,-3597.19489113448,-3568.84672441152,-3488.33196793945
"Cml Pop Growth","Neonatal Female",-2026.07664614978,15.0911803165126,-2072.64963345132,-2036.23794921904,-2025.79250244089,-2015.7960403857,-1979.34407583652
"Cml Pop Growth","Neonatal Male",14167.021622406,12.6318906385791,14126.2685189199,14158.3595049365,14167.2038012543,14175.4075359027,14208.5469251106
"Cml Pop Growth","Neonatal Combined",12140.9449762562,27.6265902168094,12054.206433643,12121.3157405725,12141.7258090609,12159.8675700479,12229.2028492741
"Cml Pop Growth","Juvenile Female",-4204.83988258359,7.3677847083983,-4225.53747281923,-4210.06976169419,-4205.0851926055,-4199.34455372445,-4180.81217488063
"Cml Pop Growth","Juvenile Male",16754.4594182078,6.80365471757008,16735.2564411104,16749.686150722,16754.2492350599,16759.528813329,16776.5372215582
"Cml Pop Growth","Juvenile Combined",12549.6195356242,14.170391071749,12509.7189682912,12539.5883216392,12549.0460750818,12560.1524491897,12595.7250466776
"Cml Pop Growth","Adult Female",-33877.8404611926,1.31032147328312,-33881.6232373015,-33878.7449974921,-33877.8683843303,-33876.9479717483,-33873.555311493
"Cml Pop Growth","Adult Male",5589.04838506965,1.33462539827093,5585.19240653912,5588.12813346765,5589.01560489105,5589.96113996676,5593.41915729067
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",77393.9852390822,47.5582040212185,77259.2832201863,77361.4901238027,77394.8287237866,77427.5491178193,77529.8738535542
"Total Number Increase","Neonatal Female",3791.65325437448,15.859957004038,3743.10674727598,3780.6145227266,3792.10953327371,3802.76384040646,3839.55496706323
"Total Number Increase","Neonatal Male",31818.6535194234,16.8170499776004,31767.5589296066,31807.2710655969,31819.4129258064,31830.7385759413,31867.2393681479
"Total Number Increase","Neonatal Combined",35610.3067737978,32.6545891046867,35510.6656768826,35587.2317805232,35611.1991508955,35633.678280936,35706.7943352112
"Total Number Increase","Juvenile Female",15242.9973274404,8.17236656719541,15220.2634415656,15237.1749823869,15242.6728162567,15249.0066248627,15269.7731551863
"Total Number Increase","Juvenile Male",16754.4594182078,6.80365471757008,16735.2564411104,16749.686150722,16754.2492350599,16759.528813329,16776.5372215582
"Total Number Increase","Juvenile Combined",31997.4567456482,14.9682772383719,31955.519882676,31986.740721691,31996.9487584148,32008.4763983746,32046.3103767445
"Total Number Increase","Adult Female",2606.59607428736,1.40289475355265,2602.53943655947,2605.62321349989,2606.56523327214,2607.55503594529,2611.2011637063
"Total Number Increase","Adult Male",7179.62564534876,1.3990171173146,7175.57930610326,7178.65440123648,7179.59788160925,7180.5806408247,7184.21877679877
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",17351.7201154568,0.402935911485655,17350.5527227447,17351.4403374324,17351.7134158747,17351.9992707522,17353.0492951263
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",4306.30681079102,0.191313827676558,4305.75303141205,4306.17408096848,4306.30329956408,4306.43823592837,4306.93644528905
"Total Mortality","Juvenile Male",927.368312524215,0.180706377653118,926.845660371671,927.242860159712,927.364726374528,927.491666106523,927.961592003175
"Total Mortality","Juvenile Combined",5233.67512331524,0.372015182450464,5232.59869178372,5233.41645200751,5233.66886552515,5233.92922455948,5234.89803729223
"Total Mortality","Adult Female",12118.0449921416,0.0316443630779107,12117.954030961,12118.0235200341,12118.0449475115,12118.0652750825,12118.151257834
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",375598596.841072,7694.54829144506,375576299.167133,375593268.281855,375598459.600139,375603920.363798,375623995.443905
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",72940224.7611784,3240.47361318564,72930844.8460574,72937976.5834441,72940165.2880164,72942450.8401548,72950889.510306
"Value of Total Mortality","Juvenile Male",19144591.4437499,3730.50246027098,19133801.8127128,19142001.6051371,19144517.4112758,19147137.9551031,19156839.1053135
"Value of Total Mortality","Juvenile Combined",92084816.2049282,6970.88234280494,92064646.6587701,92079967.708938,92084696.9202089,92089577.3201793,92107728.6156196
