"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",193844.172935486,763.030694421396,191919.446894852,193308.006213414,193791.918810716,194328.576606595,197075.189551581
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",12989.7018732195,81.9092076145995,12798.2639285118,12931.5691658851,12983.4657135616,13045.8286620899,13356.0279222428
"Num Offtake","Juvenile Male",61499.4090190096,588.089417753328,59993.733981218,61082.9531503216,61460.3015315919,61873.6280883471,63924.5749236246
"Num Offtake","Juvenile Combined",74489.1108922291,668.111617382776,72791.9979097299,74018.7983315367,74441.9706290422,74914.0423074203,77280.6028458674
"Num Offtake","Adult Female",45408.1859732103,9.71762891443411,45385.4794430492,45401.3506244107,45407.0586539072,45414.5811905311,45455.3017292757
"Num Offtake","Adult Male",57236.0744006271,86.7015085414317,57008.158380203,57173.8846300041,57225.8201506769,57290.7690746135,57628.7406495491
"Num Offtake","Oxen",16710.8016694198,1.03822787416613,16708.1991828876,16710.02955768,16710.6396705027,16711.4663588709,16715.6546805191
"Cml Pop Growth","Overall",562027.7247443,32915.5693967736,467748.342055221,539757.105349282,559844.154850488,582906.326376313,696941.250523134
"Cml Pop Growth","Neonatal Female",100920.041678289,11554.2883218031,70326.5927050167,93347.1409374776,100230.221259332,108816.883809844,144761.25345274
"Cml Pop Growth","Neonatal Male",124985.694946498,11465.5015601025,93396.9136077364,116812.858136387,123788.664645845,132372.615902755,167946.823529868
"Cml Pop Growth","Neonatal Combined",225905.736624786,22879.0406356709,165882.055117176,210407.230753278,224191.992603229,241035.49173875,312708.076982608
"Cml Pop Growth","Juvenile Female",134353.511745629,5602.67195165027,119943.582850417,130396.94513268,133988.044391311,137905.874065573,156871.458727245
"Cml Pop Growth","Juvenile Male",140072.577618694,5196.87476676599,124878.707437464,136476.841439321,139526.154000572,143347.202958335,158862.466156546
"Cml Pop Growth","Juvenile Combined",274426.089364322,10733.007110808,244822.290287881,266892.575276904,273395.247975603,281227.975820041,315733.924883791
"Cml Pop Growth","Adult Female",27857.6366982009,1076.20242738628,25337.0429033034,27091.6588231947,27780.5401614141,28595.7723508247,32654.7563882491
"Cml Pop Growth","Adult Male",39194.2080474575,946.249021609943,36758.3830847399,38527.8256877977,39124.544104241,39795.2982256884,43046.4861733702
"Cml Pop Growth","Oxen",-5355.94599046702,16.8486276401251,-5400.31876081508,-5367.84508350027,-5357.77944598231,-5345.39853338852,-5279.87761103934
"Total Number Increase","Overall",755871.897679786,33454.5664228833,659667.788950072,732843.302704715,753797.35746261,777115.559309098,893154.29956411
"Total Number Increase","Neonatal Female",100920.041678289,11554.2883218031,70326.5927050167,93347.1409374776,100230.221259332,108816.883809844,144761.25345274
"Total Number Increase","Neonatal Male",124985.694946498,11465.5015601025,93396.9136077364,116812.858136387,123788.664645845,132372.615902755,167946.823529868
"Total Number Increase","Neonatal Combined",225905.736624786,22879.0406356709,165882.055117176,210407.230753278,224191.992603229,241035.49173875,312708.076982608
"Total Number Increase","Juvenile Female",147343.213618848,5678.39523638189,132741.846778929,143342.991336429,146949.056848655,150957.241745643,170145.920935872
"Total Number Increase","Juvenile Male",201571.986637703,5742.04384795336,184872.441418682,197565.230133988,200993.6475162,205229.150987264,222194.839748451
"Total Number Increase","Juvenile Combined",348915.200256551,11350.3967046839,317614.288197611,340889.802372825,347970.897732495,355990.622974688,392340.760684323
"Total Number Increase","Adult Female",73265.8226714112,1085.62985510488,70724.8105778216,72493.0215959738,73186.6513643659,74009.3778790811,78110.0581175248
"Total Number Increase","Adult Male",96430.2824480846,1030.41080524057,93789.5209028525,95700.3627336363,96358.9760944083,97086.8080615879,100670.24016504
"Total Number Increase","Oxen",11354.8556789528,17.8689880131917,11307.8804220725,11342.0414251273,11352.7464588803,11366.1285258995,11435.7770694798
"Total Mortality","Overall",131895.660726445,4311.45422647993,117727.647898724,128839.104553623,131724.302089567,134983.893929542,145095.710158063
"Total Mortality","Neonatal Female",44887.0846673193,2893.70428031987,37538.261362586,42848.5888726734,44799.0691880438,46691.8676262157,55960.7414848352
"Total Mortality","Neonatal Male",42164.5437109109,2538.57087104035,34755.7066502806,40470.375656696,42030.0710773278,43931.6238637432,51458.500575057
"Total Mortality","Neonatal Combined",87051.6283782301,4132.27238436646,73876.4181222368,84051.4523768592,86774.788759953,89864.0506282708,100153.092640242
"Total Mortality","Juvenile Female",26332.2720028223,592.443366890134,24701.0573898322,25943.1736250046,26311.8016124318,26715.6265337002,28546.2056226525
"Total Mortality","Juvenile Male",16476.5252241982,397.896283579314,15349.5000007988,16197.6648934592,16484.0172635786,16744.4037833833,17658.5304198348
"Total Mortality","Juvenile Combined",42808.7972270205,756.448922877205,40706.5263410327,42298.4099634555,42788.53078325,43337.9978090519,45140.3135774729
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",1575.30480001726,2.38628005159904,1569.03188202394,1573.59315495424,1575.02257295441,1576.81015801688,1586.11212796924
"Total Mortality","Oxen",459.930321176692,0.0285750791054936,459.858693106998,459.909070394863,459.9258624909,459.948615381769,460.063890289517
"Value of Total Mortality","Overall",1706027895.49372,48717401.8771967,1546442595.18534,1673109810.36803,1703179125.32712,1740092690.09733,1861114512.99177
"Value of Total Mortality","Neonatal Female",352047743.644563,22695215.5661586,294411194.46681,336059896.577799,351357441.498314,366202589.590935,438898024.196177
"Value of Total Mortality","Neonatal Male",597116552.975829,35950174.1176962,492195715.280191,573124456.78168,595212208.036507,622141199.677228,728733665.312536
"Value of Total Mortality","Neonatal Combined",949164296.620392,45368048.1425964,806076001.930505,917614186.866228,946283708.049672,980693346.08549,1096123030.23566
"Value of Total Mortality","Juvenile Female",463197957.207952,10421377.8923254,434504068.719189,456353520.323101,462837872.707416,469941356.925607,502142167.18685
"Value of Total Mortality","Juvenile Male",251226791.303103,6066947.07985221,234042407.657911,246974851.943316,251341026.615963,255311285.452641,269249485.321575
"Value of Total Mortality","Juvenile Combined",714424748.511055,12739100.8055943,679482001.141002,705746825.011015,714148737.891428,723196582.180397,755161808.118434
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",41491191.0956978,62851.0759490243,41325971.7431091,41446108.9043676,41483757.6536128,41530839.9918537,41775840.0787292
"Value of Total Mortality","Oxen",10706392.307557,665.179034815901,10704724.9284366,10705897.6256527,10706288.5169673,10706818.1654044,10709501.5683651
"Population Liveweight (kg)","Overall",555098546.836676,54334754.6232705,406883425.457085,515723794.190042,556869513.673481,593009975.05602,717095290.63707
"Population Liveweight (kg)","Neonatal Female",32653920.240556,7173282.28611967,12332991.0571286,27649140.0933018,33042780.4627891,38079734.8301005,47430309.3607668
"Population Liveweight (kg)","Neonatal Male",34018587.6431174,9061747.43831798,11092772.7681052,27419094.7911369,34164248.1310887,40591798.0935706,57444102.25732
"Population Liveweight (kg)","Juvenile Female",71916803.0610069,15053748.2579118,40609400.5282939,60522807.0417991,70917196.6765714,82033233.5322096,112848726.011615
"Population Liveweight (kg)","Juvenile Male",54175392.2333281,11601969.1860556,30599033.4334664,44982670.7842637,53584380.5894242,62726406.9155439,86888979.116797
"Population Liveweight (kg)","Juvenile Combined",126092195.294335,18849511.295149,79896426.4375489,112774824.083695,126048149.429889,139090178.870702,192791481.848205
"Population Liveweight (kg)","Adult Female",302062110.994733,46805696.8398153,197483702.045063,267089333.559664,301484816.233786,335615197.63908,435781624.078092
"Population Liveweight (kg)","Adult Male",48783775.8316224,8101875.98023646,32263972.585589,42650174.4571442,48453665.0317249,54487823.3304819,69538596.008867
"Population Liveweight (kg)","Oxen",11487956.8323121,1894959.47780756,7537696.59116708,10000465.4657644,11360669.8668889,12824802.3088055,16599031.0918384
"Offtake Liveweight (kg)","Overall",43941971.6087216,4001297.96934921,32984177.239342,41177424.7777266,43831296.4203983,46628463.4456092,56788386.5629103
"Offtake Liveweight (kg)","Juvenile Female",2167648.55180649,455982.784106983,1199289.7572385,1822122.5219921,2132033.88492589,2496020.10594051,3458932.9320241
"Offtake Liveweight (kg)","Juvenile Male",11170559.3475768,2539556.66479247,6246598.99792719,9242532.57014536,11058965.8750088,12872488.3027,18593147.2849554
"Offtake Liveweight (kg)","Adult Female",10996874.5992466,1677341.69711169,7086881.23967844,9861258.90920812,10958852.9392718,12148716.672861,15666903.7193758
"Offtake Liveweight (kg)","Adult Male",15149975.4248059,2429413.16060259,10176894.6106086,13315093.0428548,14961895.9592066,16774640.5484717,22026171.2915028
"Offtake Liveweight (kg)","Oxen",4456913.68528577,713580.484461369,2923465.80057395,3913640.1878954,4424016.54565765,4962782.04466041,6300669.99257459
