"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",187123.572118243,88.3170995503629,186797.881141674,187069.147500435,187127.072463505,187183.478265465,187343.131266335
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",12283.0372003766,13.7700634238292,12244.7475114411,12274.0100407742,12283.5567285006,12292.3841633811,12321.3600636592
"Num Offtake","Juvenile Male",56382.774001852,74.6876604411334,56098.0523192014,56335.6381381057,56386.7554509935,56432.8655080247,56569.3666759521
"Num Offtake","Juvenile Combined",68665.8112022286,76.5364009854765,68380.794522188,68617.5827708674,68669.1906311898,68717.8512206297,68857.2985820195
"Num Offtake","Adult Female",44938.2328276874,1.93755135140876,44933.0732782433,44936.9585542555,44938.2342897042,44939.5387969278,44943.340600883
"Num Offtake","Adult Male",56810.8054109532,11.9077577886134,56768.6407582532,56803.4393513618,56811.1259424444,56818.8453706412,56841.1342721885
"Num Offtake","Oxen",16708.7226773739,0.158948167943983,16708.2015193891,16708.6251705945,16708.7244661944,16708.8346681453,16709.109668083
"Cml Pop Growth","Overall",148743.576757796,2951.42311025151,137504.68081228,146682.660850997,148835.512403406,150760.804790308,157315.00500929
"Cml Pop Growth","Neonatal Female",-28788.5515940261,1434.56536750881,-33850.9749430722,-29772.1195187937,-28717.9260174234,-27768.4768622588,-24986.3191781871
"Cml Pop Growth","Neonatal Male",-4702.38388253823,1300.44280991914,-9089.10013349605,-5552.58959628035,-4651.74698811222,-3757.20120505419,-1267.86071374931
"Cml Pop Growth","Neonatal Combined",-33490.9354765644,1996.14661546227,-40357.4435220981,-34819.0283194674,-33412.5753610674,-32109.5983142277,-27632.5810595486
"Cml Pop Growth","Juvenile Female",75185.8967315874,816.275531534742,72379.1860654396,74635.1924176758,75213.0548020051,75762.1659217597,77526.9671208509
"Cml Pop Growth","Juvenile Male",84798.9080844243,635.445899374167,82400.9740377377,84391.8455784202,84825.1248146674,85227.3635400621,86671.9749718495
"Cml Pop Growth","Juvenile Combined",159984.804816012,1058.68106143676,156048.368915259,159213.621876341,160024.044920522,160732.15331661,162998.876906603
"Cml Pop Growth","Adult Female",-4454.41639541931,179.099512587747,-4952.27552233078,-4569.91240673669,-4447.18172482518,-4334.1222039347,-3955.29431151575
"Cml Pop Growth","Adult Male",32145.7184754141,119.727921718304,31685.0496391997,32071.2515318435,32152.3044519613,32228.6438937488,32442.6046218838
"Cml Pop Growth","Oxen",-5441.59466164614,2.30025325774545,-5449.76287257687,-5443.02501286487,-5441.5231425619,-5440.04594539156,-5435.72871751217
"Total Number Increase","Overall",335867.148876039,2998.8454506035,324336.931726066,333776.855340575,335957.994195614,337903.275126994,344658.136275626
"Total Number Increase","Neonatal Female",-28788.5515940261,1434.56536750881,-33850.9749430722,-29772.1195187937,-28717.9260174234,-27768.4768622588,-24986.3191781871
"Total Number Increase","Neonatal Male",-4702.38388253823,1300.44280991914,-9089.10013349605,-5552.58959628035,-4651.74698811222,-3757.20120505419,-1267.86071374931
"Total Number Increase","Neonatal Combined",-33490.9354765644,1996.14661546227,-40357.4435220981,-34819.0283194674,-33412.5753610674,-32109.5983142277,-27632.5810595486
"Total Number Increase","Juvenile Female",87468.933931964,828.083808326054,84625.6817800149,86906.8573085357,87492.5253509544,88050.7305408433,89844.4082481017
"Total Number Increase","Juvenile Male",141181.682086276,701.424690358901,138499.026356939,140725.056330373,141213.02084757,141650.965487257,143205.177718799
"Total Number Increase","Juvenile Combined",228650.61601824,1111.44809584603,224460.66721043,227840.178912907,228698.788351444,229433.80371396,231835.007507607
"Total Number Increase","Adult Female",40483.8164322681,180.937668327651,39980.7977559125,40366.4223465246,40491.1656236259,40605.6956816553,40987.8832753417
"Total Number Increase","Adult Male",88956.5238863672,131.025528097729,88456.2646421356,88874.2586255138,88963.4006355922,89045.308423854,89283.5114871608
