"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",189013.340208565,78.2885027042966,188757.306510815,188961.731024206,189019.519091476,189070.423181121,189209.506828564
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",12634.0088698994,10.7051926567293,12590.3804795388,12626.9370323577,12634.6367516252,12641.4233948903,12658.8963801604
"Num Offtake","Juvenile Male",57850.3571648065,67.4572900649885,57622.0819957022,57806.110588661,57856.8491449691,57898.9825765595,58016.9037725479
"Num Offtake","Juvenile Combined",70484.366034706,68.394688951874,70260.1563587005,70439.2134765107,70490.3029421341,70534.375274573,70657.411827377
"Num Offtake","Adult Female",44986.6119486368,1.24277830070487,44981.5697857895,44985.7484039925,44986.6876626978,44987.4994444087,44989.385163432
"Num Offtake","Adult Male",56835.5511578138,9.92015488321367,56802.0216439832,56829.1404822053,56836.3101380982,56842.8873994021,56860.0987227611
"Num Offtake","Oxen",16706.8110674083,0.118579788245679,16706.4137856731,16706.7368661268,16706.8221517566,16706.899040988,16707.098350299
"Cml Pop Growth","Overall",185870.241759309,2819.66678018905,175356.327715647,184025.841496258,185873.357691594,187843.576342225,194651.25650705
"Cml Pop Growth","Neonatal Female",-28445.2872813772,1399.50427241,-34112.9714186729,-29340.8283077945,-28384.6268181282,-27478.1904156174,-24897.4997338922
"Cml Pop Growth","Neonatal Male",-4446.12648477869,1268.6203748496,-10159.8513933861,-5230.4100974274,-4398.98512304692,-3588.44326779492,-189.490124823642
"Cml Pop Growth","Neonatal Combined",-32891.4137661559,1919.29715282785,-40372.7586597494,-34113.4858695396,-32821.8382959015,-31542.4519921421,-26557.2537225613
"Cml Pop Growth","Juvenile Female",95035.0416122044,741.628076599452,92360.0807300935,94561.7867608635,95063.7014877566,95541.8946116809,97012.2797918739
"Cml Pop Growth","Juvenile Male",95883.9166059547,593.647196628786,93916.6831089724,95511.0075222322,95901.3738358136,96319.6043465121,97521.368544346
"Cml Pop Growth","Juvenile Combined",190918.958218159,954.341763853147,187749.261397074,190344.071164497,190929.723061072,191603.30381107,193875.924028975
"Cml Pop Growth","Adult Female",104.952022279866,140.064976861665,-465.496941524791,12.1946168640861,112.775817972957,201.753921754949,430.75149942073
"Cml Pop Growth","Adult Male",33172.2676565756,108.565381335621,32803.9194078331,33101.2013486436,33183.3822423268,33250.0506823606,33442.5433226145
"Cml Pop Growth","Oxen",-5434.52237154977,1.92793115188493,-5441.0525766861,-5435.74818074114,-5434.37985611562,-5433.10028057446,-5429.75040340705
"Total Number Increase","Overall",374883.581967874,2863.27063686202,364316.004777388,373040.276025666,374895.299652702,376877.69181837,383839.049986165
"Total Number Increase","Neonatal Female",-28445.2872813772,1399.50427241,-34112.9714186729,-29340.8283077945,-28384.6268181282,-27478.1904156174,-24897.4997338922
"Total Number Increase","Neonatal Male",-4446.12648477869,1268.6203748496,-10159.8513933861,-5230.4100974274,-4398.98512304692,-3588.44326779492,-189.490124823642
"Total Number Increase","Neonatal Combined",-32891.4137661559,1919.29715282785,-40372.7586597494,-34113.4858695396,-32821.8382959015,-31542.4519921421,-26557.2537225613
"Total Number Increase","Juvenile Female",107669.050482104,751.656253607507,104950.461209632,107191.240051707,107699.062257998,108183.268177793,109670.973073877
"Total Number Increase","Juvenile Male",153734.273770761,656.378871280095,151539.017497254,153318.190715946,153766.246207378,154217.196915384,155520.444167157
"Total Number Increase","Juvenile Combined",261403.324252865,1002.90235181041,258091.25126839,260828.029483151,261414.171734646,262115.139295158,264499.18220528
"Total Number Increase","Adult Female",45091.5639709166,141.277019468056,44516.0728442647,44997.8155751748,45099.1698402075,45189.2683938798,45420.1366628527
"Total Number Increase","Adult Male",90007.8188143894,118.198997014741,89607.9204491065,89930.0048665125,90019.4133215501,90092.7393138648,90300.0800564878
"Total Number Increase","Oxen",11272.2886958586,2.0445261338939,11265.3779398175,11270.9679283139,11272.4456523454,11273.8005636,11277.347946892
"Total Mortality","Overall",95224.128670721,2836.6833912522,86283.4956854582,93239.7485685069,95197.1520321583,97050.8151740527,105521.031875876
