"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",187988.794233304,42.6653090770665,187853.721460126,187959.10912051,187988.357746104,188018.905838146,188136.688056582
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",12411.7327705205,8.4187677283715,12379.181306765,12406.116816657,12411.5940184834,12417.5624952695,12437.8032306947
"Num Offtake","Juvenile Male",57225.6848938752,35.0457507564925,57120.5719810257,57201.1598048967,57224.8266374333,57250.4428592302,57338.6516314675
"Num Offtake","Juvenile Combined",69637.4176643957,35.9077346725485,69526.5386025998,69612.0545177336,69636.9594061207,69663.9945067727,69760.8186597272
"Num Offtake","Adult Female",44951.2271767244,1.38200219614936,44946.3182238993,44950.2914201145,44951.2343638842,44952.1634819083,44955.587533137
"Num Offtake","Adult Male",56695.9139874735,6.94152914803952,56673.3894418882,56690.9100316819,56696.0189791588,56700.6337251056,56717.8943008966
"Num Offtake","Oxen",16704.2354047106,0.11192239790692,16703.8514151902,16704.1580353431,16704.2359476512,16704.3094380017,16704.5536507115
"Cml Pop Growth","Overall",214994.982646042,650.433204516844,212855.802796498,214556.750541647,215004.99870012,215465.028808137,216659.776899964
"Cml Pop Growth","Neonatal Female",-5656.55732882979,84.2792354388452,-5929.90343404864,-5714.63370925099,-5654.71678153789,-5599.61875006706,-5370.82122452912
"Cml Pop Growth","Neonatal Male",16828.5463747077,84.279235438844,16555.2002694889,16770.4699942865,16830.3869219996,16885.4849534705,17114.2824790083
"Cml Pop Growth","Neonatal Combined",11171.9890458779,168.558470877689,10625.2968354402,11055.8362850355,11175.6701404617,11285.8662034034,11743.4612544791
"Cml Pop Growth","Juvenile Female",85868.8546350342,437.538957129599,84334.7726442631,85590.4574306543,85881.1524816091,86152.4859039555,87150.6026955695
"Cml Pop Growth","Juvenile Male",93950.324873012,253.913415991736,93144.1932838609,93763.3965388338,93960.2355585942,94121.6759220175,94726.9165095648
"Cml Pop Growth","Juvenile Combined",179819.179508046,510.045109241066,178220.846929773,179473.065402516,179828.889560854,180175.524967258,181221.895858203
"Cml Pop Growth","Adult Female",-2764.57194252528,108.857952150012,-3185.83794697514,-2836.50919705047,-2766.11633251235,-2688.787269708,-2428.8063550326
"Cml Pop Growth","Adult Male",32229.0860402342,54.6538171885632,32068.8262628971,32190.5509618431,32227.6334832487,32267.5622947216,32403.6898605247
"Cml Pop Growth","Oxen",-5460.70000559116,1.32159751369243,-5464.97762460031,-5461.65180648332,-5460.67332582309,-5459.80158399697,-5456.48978999558
"Total Number Increase","Overall",402983.776879346,671.82259222783,400716.509241481,402529.877151918,402992.700133302,403462.435240359,404689.389372164
"Total Number Increase","Neonatal Female",-5656.55732882979,84.2792354388452,-5929.90343404864,-5714.63370925099,-5654.71678153789,-5599.61875006706,-5370.82122452912
"Total Number Increase","Neonatal Male",16828.5463747077,84.279235438844,16555.2002694889,16770.4699942865,16830.3869219996,16885.4849534705,17114.2824790083
"Total Number Increase","Neonatal Combined",11171.9890458779,168.558470877689,10625.2968354402,11055.8362850355,11175.6701404617,11285.8662034034,11743.4612544791
"Total Number Increase","Juvenile Female",98280.5874055546,443.854570426038,96724.0528184742,97997.2999128916,98292.2130704229,98567.758045948,99581.02169866
"Total Number Increase","Juvenile Male",151176.009766887,279.37690184848,150288.853315144,150975.039375529,151182.115511842,151364.160907096,152026.346078674
"Total Number Increase","Juvenile Combined",249456.597172442,527.581311056454,247828.616900986,249105.630028248,249466.265227072,249825.396832944,250903.507097649
"Total Number Increase","Adult Female",42186.6552341991,110.149322244122,41760.4802769241,42113.3532666975,42185.5594190077,42263.2667453495,42526.7811781044
"Total Number Increase","Adult Male",88925.0000277077,61.0654142924468,88742.5011280665,88882.2537409491,88922.8032594389,88968.2038956769,89121.5841614213
"Total Number Increase","Oxen",11243.5353991195,1.42989589204259,11238.8957997204,11242.5042160596,11243.5568975148,11244.5076261924,11248.0638607159
"Total Mortality","Overall",66770.6487566618,620.858964095717,64955.4887988363,66336.1991707227,66776.1028523581,67195.004838167,68576.1137569569
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",25147.8155458724,531.718897967633,23563.7863492831,24795.7224584524,25143.9043967164,25470.8930249197,26939.1858366838
"Total Mortality","Juvenile Male",15304.6849767721,326.592733258147,14386.4997910192,15088.883796466,15296.4410292179,15535.9524253869,16419.3439787693
"Total Mortality","Juvenile Combined",40452.5005226445,621.340653060555,38635.883047401,40016.9870974648,40457.8347161376,40876.2184633262,42259.5871251961
"Total Mortality","Adult Female",24297.9606360672,0.747028214134726,24295.3071480537,24297.4548216835,24297.9645210185,24298.4667469775,24300.3175854794
"Total Mortality","Adult Male",1560.43799965523,0.191051260955221,1559.81805803362,1560.30027610134,1560.44088933465,1560.56790069098,1561.04296241
"Total Mortality","Oxen",459.749598294788,0.0030804329699185,459.739029775878,459.747468862653,459.749613238106,459.751635908303,459.758357359032
"Value of Total Mortality","Overall",1130248400.10873,9927748.48711843,1100590589.53453,1123321666.81835,1130254529.63702,1136875767.03413,1157390746.98043
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",356871858.454563,7545606.13612686,334392950.010131,351875316.539128,356816355.460059,361456640.785342,382293137.837498
"Value of Total Mortality","Juvenile Male",306407731.580624,6538555.91932939,288025187.910861,302087280.017566,306242683.474558,311037825.857381,328723782.96007
"Value of Total Mortality","Juvenile Combined",663279590.035187,9937032.64125504,633596543.265309,656337276.486236,663295380.245988,669916244.608007,690435735.798244
"Value of Total Mortality","Adult Female",401680060.988325,12349.4454167572,401636195.034178,401671699.152715,401680125.212129,401688427.725943,401719024.735029
"Value of Total Mortality","Adult Male",64206886.7718349,7861.13045342294,64181378.2149343,64201219.9009738,64207005.67263,64212231.7718257,64231778.9976747
"Value of Total Mortality","Oxen",12218528.8702695,81.8670844204914,12218247.9961722,12218472.2774457,12218529.2674104,12218583.022877,12218761.6554198
"Population Liveweight (kg)","Overall",516967811.203184,48641091.3917557,388319724.216037,481508366.967471,516031617.545361,553258195.648023,663366580.792362
"Population Liveweight (kg)","Neonatal Female",24508878.2025677,5009869.88182681,9437671.04778129,20854759.0826727,24846704.0995624,28307891.8100955,34467767.8309807
"Population Liveweight (kg)","Neonatal Male",31387301.5400938,8164443.65288799,8482761.17030691,25815041.7712437,32027200.818347,37499875.7794648,48152196.8350388
"Population Liveweight (kg)","Juvenile Female",64263825.1654449,13667542.9145414,36560225.9314731,53886280.9629169,63323122.5535401,73666793.4925303,103114911.945401
"Population Liveweight (kg)","Juvenile Male",45757277.4035974,9902173.60234571,25798958.7960745,38434829.440669,45138840.0602842,52469921.4482566,73726102.9266107
"Population Liveweight (kg)","Juvenile Combined",110021102.569042,16906854.6639574,69818487.0647507,97356705.1520971,108873235.32593,122078626.711009,163445288.422668
"Population Liveweight (kg)","Adult Female",292696006.120643,44014778.4023912,190396710.25221,259685866.551336,290128256.985745,326571026.390241,397919579.401056
"Population Liveweight (kg)","Adult Male",46822918.9633427,7577893.01607168,30621364.4761535,41263638.5211346,46303804.9142568,52284990.5986021,69624454.843785
"Population Liveweight (kg)","Oxen",11531603.8074949,1902049.95291769,7546885.1023081,10071082.7295917,11355553.4610441,12949974.2148174,16397009.6717929
"Offtake Liveweight (kg)","Overall",42746472.7094257,3722018.25623706,32568688.2411301,40140763.0482879,42649259.1347649,45096642.4914738,54698516.2787875
"Offtake Liveweight (kg)","Juvenile Female",2075794.93628858,436723.172817179,1175519.5105105,1742857.93363312,2031015.97223893,2396223.18378775,3196863.78659703
"Offtake Liveweight (kg)","Juvenile Male",10384489.4961374,2246648.58927236,5924438.24893994,8682694.54797124,10280293.917572,11955444.4339665,17335780.613878
"Offtake Liveweight (kg)","Adult Female",10883131.7254753,1623137.80217096,7225215.80989783,9634226.40998767,10890914.4505003,12080400.5587364,15104055.0021309
"Offtake Liveweight (kg)","Adult Male",15031342.8948235,2395297.69921175,9837582.7303452,13212032.6737133,14877709.9807662,16799693.755268,21283217.6545693
"Offtake Liveweight (kg)","Oxen",4371713.65670101,686121.624986512,2909946.91299842,3866011.0131859,4324011.94643379,4882840.40050689,6389725.55228018
"Meat (kg)","Overall",135669654.379382,3919356.9761393,121673496.551462,133255674.072676,135492654.852331,138312043.008609,146840154.871588
"Manure","Overall",1331070229.18556,50889586.8878734,1175086520.5036,1297753224.41254,1330642768.38154,1365034732.80416,1497624938.22281
"Manure","Neonatal Female",67991367.9968443,1683726.73927608,63176230.4018324,66869447.8274563,68028299.4585519,69112356.719048,74330122.7767988
"Manure","Neonatal Male",63194932.0295249,1566572.97561408,57672133.6721446,62083726.71977,63291914.8680914,64229171.591804,68339959.7417983
"Manure","Neonatal Combined",131186300.026369,2348950.93816303,122606399.65702,129670410.391284,131265245.133392,132743757.218116,138733391.457597
"Manure","Juvenile Female",142035691.625172,4687980.23023097,126345467.824492,138832249.783216,141965833.299772,145063101.647681,157831464.36193
"Manure","Juvenile Male",88027306.6580416,2899771.42540791,78838960.892675,86132742.6300669,88060864.4424524,90005074.6304758,97562579.1696894
"Manure","Juvenile Combined",230062998.283214,5545154.93359074,207727437.141774,226273413.080725,229993675.443656,233693195.837692,247768628.468589
"Manure","Adult Female",830189493.541997,50262531.5737425,685068651.391664,801643488.680653,830828992.970833,860025171.817748,976615418.480004
"Manure","Adult Male",108587141.712218,6500268.24819306,89186946.8793043,104583136.229159,108602108.830188,112602356.891895,127838538.209807
"Manure","Oxen",31044295.6217663,1922373.94043578,25663569.6062301,29978587.4638824,31127132.9803039,32253866.8792609,37690436.0009165
"Hides","Overall",33385.3243783309,310.429482047858,32477.7443994181,33168.0995853613,33388.051426179,33597.5024190835,34288.0568784784
"Hides","Juvenile Female",12573.9077729362,265.859448983817,11781.8931746416,12397.8612292262,12571.9521983582,12735.4465124598,13469.5929183419
"Hides","Juvenile Male",7652.34248838603,163.296366629073,7193.24989550959,7544.44189823301,7648.22051460894,7767.97621269346,8209.67198938464
"Hides","Juvenile Combined",20226.2502613223,310.670326530278,19317.9415237005,20008.4935487324,20228.9173580688,20438.1092316631,21129.7935625981
"Hides","Adult Female",12148.9803180336,0.373514107067363,12147.6535740268,12148.7274108417,12148.9822605092,12149.2333734887,12150.1587927397
"Hides","Adult Male",780.218999827617,0.0955256304776103,779.90902901681,780.150138050669,780.220444667323,780.28395034549,780.521481204999
"Hides","Oxen",229.874799147394,0.00154021648495925,229.869514887939,229.873734431326,229.874806619053,229.875817954152,229.879178679516
"Milk","Overall",78299446.4653144,12821631.7675352,36027486.258969,69735686.7743076,78002910.7871163,86754883.4952286,114974744.947011
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",4676498713.96609,130017380.096179,4307960779.86069,4588420244.44822,4676646751.71548,4760898067.80551,5111820339.81273
"Cml Dry Matter","Neonatal Female",227874084.735112,13915901.3647909,170113794.348283,218951679.926817,227518546.44116,237794770.593635,271417906.497828
"Cml Dry Matter","Neonatal Male",287865983.442898,21699680.9706563,214135262.334855,273411067.717774,287724672.26885,303576833.13132,346900486.172083
"Cml Dry Matter","Neonatal Combined",515740068.17801,25852757.6568562,417703579.930255,499296056.788336,514688502.752106,533367979.569681,600568492.205803
"Cml Dry Matter","Juvenile Female",541786932.56927,33597205.8247834,444134789.965529,518071945.079097,540848135.54493,563404727.260397,647167780.034649
"Cml Dry Matter","Juvenile Male",363956758.84659,23510972.8184497,304764368.365462,346289065.359892,364420573.418706,378938588.890724,451848562.566942
"Cml Dry Matter","Juvenile Combined",905743691.41586,41142717.9338798,755073335.71177,877594738.078392,903863725.059863,931954805.115409,1051612084.23347
"Cml Dry Matter","Adult Female",2747569022.91468,120105218.547971,2392521530.6798,2666313716.08614,2747664158.75964,2830863373.59693,3157823536.88882
"Cml Dry Matter","Adult Male",394758410.887673,18972278.4847277,317718165.294915,381893268.485177,394528513.936614,406929163.546375,456500350.392926
"Cml Dry Matter","Oxen",112687520.569872,5021094.95664738,97583150.7103719,109193633.235704,112613310.984462,116141675.447652,131598424.959109
"Value of Offtake","Overall",4134428846.75558,539402202.189093,2608729701.78821,3743253164.51036,4141903397.39854,4534895706.52243,5570245341.11393
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",161241765.842095,57530985.3725583,54346558.3414972,114333056.509707,155064754.296521,201421669.194035,345221086.370677
"Value of Offtake","Juvenile Male",900832035.793594,222308199.733911,378109134.243141,733169399.172026,895189238.786647,1065525365.34758,1485531888.79821
"Value of Offtake","Juvenile Combined",1062073801.63569,229752911.481088,479186973.584913,889238600.360723,1052279058.62633,1226173106.47212,1716556467.79658
"Value of Offtake","Adult Female",772327736.370701,154815676.693315,498001666.007184,649559879.362913,755756785.554925,884525366.896348,1276038426.03811
"Value of Offtake","Adult Male",1750261470.27861,450514585.766808,620346132.512795,1427765091.51634,1758711709.31903,2111371218.74243,2648647062.25211
"Value of Offtake","Oxen",549765838.470576,101099733.084332,292167154.19201,472912750.457542,553132924.940397,621399707.953798,796058157.902992
"Value of draught","Overall",490986387.376522,4479.73097983234,490971370.379495,490983297.473416,490986424.268534,490989328.1326,490999619.420602
"Value of Herd Increase","Overall",3514950263.50299,594286109.337568,1679941652.70361,3108419322.30886,3485958203.57262,3937337569.99976,5298299536.16545
"Value of Herd Increase","Neonatal Female",-36947789.316107,8004831.80954986,-60741048.2444552,-42663220.6491532,-36399346.6852421,-30864291.1254224,-20943013.3198817
"Value of Herd Increase","Neonatal Male",207009380.231077,64341907.1744479,74273923.7201301,156489797.614527,199796241.470921,249970600.064213,388127174.154414
"Value of Herd Increase","Neonatal Combined",170061590.91497,64847598.7379059,30964990.8635092,119513972.262862,163570900.520276,213989278.576589,354561219.425354
"Value of Herd Increase","Juvenile Female",1102773871.92189,381361285.000218,387340833.123492,800921430.69474,1070270367.62432,1353687794.27264,2247267533.32277
"Value of Herd Increase","Juvenile Male",1462981435.38923,369107629.924805,613382891.629015,1173324364.89824,1459314471.97208,1731259974.44283,2354364496.35101
"Value of Herd Increase","Juvenile Combined",2565755307.31112,529650605.020553,1019991965.35672,2179676546.31672,2541021494.1922,2910522396.78592,4221462828.07405
"Value of Herd Increase","Adult Female",-47685713.7901802,9664190.90384897,-76342828.382167,-54410647.9851298,-46854362.9955319,-39876023.8102567,-28516881.8124286
"Value of Herd Increase","Adult Male",1008393332.03031,247598283.717227,244575375.575681,838862525.989307,1016450651.4136,1196078028.9458,1532633443.72897
"Value of Herd Increase","Oxen",-181574252.963228,35251146.3909009,-261087241.085543,-206728961.911221,-182930187.032241,-154751110.38416,-94577029.5625337
"Value of Herd Increase plus Offtake","Overall",7649379110.25857,807136314.548261,5090835577.43218,7106782543.81013,7647664084.92006,8210820778.22132,9937381615.75246
"Value of Herd Increase plus Offtake","Neonatal Female",-36947789.316107,8004831.80954986,-60741048.2444552,-42663220.6491532,-36399346.6852421,-30864291.1254224,-20943013.3198817
"Value of Herd Increase plus Offtake","Neonatal Male",207009380.231077,64341907.1744479,74273923.7201301,156489797.614527,199796241.470921,249970600.064213,388127174.154414
"Value of Herd Increase plus Offtake","Neonatal Combined",170061590.91497,64847598.7379059,30964990.8635092,119513972.262862,163570900.520276,213989278.576589,354561219.425354
"Value of Herd Increase plus Offtake","Juvenile Female",1264015637.76398,387855566.888318,506758223.547018,961279020.672365,1235428637.7303,1523732015.5049,2521827363.0492
"Value of Herd Increase plus Offtake","Juvenile Male",2363813471.18283,431542449.526523,1133262885.9341,2062217358.28015,2356149369.94748,2667921192.27213,3634380773.94518
"Value of Herd Increase plus Offtake","Juvenile Combined",3627829108.94681,581857529.533197,2076182618.16784,3207744808.97892,3631834529.54932,3996415570.02036,5533938680.47909
"Value of Herd Increase plus Offtake","Adult Female",724642022.580521,154969124.088205,444632171.822469,600353264.152495,710057053.994671,835591212.032347,1228570789.70944
"Value of Herd Increase plus Offtake","Adult Male",2758654802.30892,522978044.549654,1171071043.41263,2394279052.81819,2790999688.43544,3136600567.03255,3997338814.87314
"Value of Herd Increase plus Offtake","Oxen",368191585.507348,107261430.039132,99331642.457917,288370475.01781,367490428.543706,444807029.664783,684031579.361266
"Value of Manure","Overall",665535114.592782,25444793.4439367,587543260.251801,648876612.206271,665321384.190772,682517366.402078,748812469.111405
