"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",187333.493037744,86.695571169072,187039.210177468,187275.212941557,187336.485665302,187389.167319927,187580.107138226
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",12286.6341588815,13.7657164914229,12234.5454844562,12277.8373238532,12286.9434262849,12295.5798157243,12325.0508702578
"Num Offtake","Juvenile Male",56414.1470590377,73.9624615524958,56143.121601187,56366.6466521756,56415.4098301298,56461.5103383651,56637.5963095539
"Num Offtake","Juvenile Combined",68700.7812179192,75.0373872952245,68444.7312881263,68651.4397895769,68703.2561695825,68748.8357954203,68912.7291192066
"Num Offtake","Adult Female",45337.2118298158,1.89479335275478,45329.9316509964,45335.9445273563,45337.2783466315,45338.489879928,45343.0934417401
"Num Offtake","Adult Male",56593.5459733352,11.8393683805171,56550.4784273889,56585.95689503,56593.9295335064,56601.3818719076,56629.1287949389
"Num Offtake","Oxen",16701.9540166739,0.160303813664216,16701.4102235517,16701.8499509584,16701.9590536686,16702.0606430557,16702.4021812292
"Cml Pop Growth","Overall",175460.378942478,2819.70118723618,164868.698962139,173680.232759185,175561.79050631,177420.210590256,183783.538901593
"Cml Pop Growth","Neonatal Female",-26841.3725204772,1367.59905114002,-31764.5788276831,-27748.165071249,-26773.6666933798,-25924.7103512899,-23105.7326819772
"Cml Pop Growth","Neonatal Male",-2749.29195139388,1299.625569728,-7067.77523242103,-3567.52355473388,-2687.04704945665,-1831.94465121029,1209.26823729728
"Cml Pop Growth","Neonatal Combined",-29590.6644718711,1891.33047396925,-35904.2872150723,-30782.2335536136,-29467.7958862028,-28318.5789306365,-24699.5404521486
"Cml Pop Growth","Juvenile Female",75708.4986465824,834.214895574645,72460.9024944144,75181.7660574388,75684.4925266659,76275.3604596543,78316.3338739651
"Cml Pop Growth","Juvenile Male",85328.2563199541,631.168020062356,83316.7604326047,84915.910159921,85338.3201646808,85773.7494239025,87152.7100818266
"Cml Pop Growth","Juvenile Combined",161036.754966536,1039.45908179026,157412.700400998,160318.931310551,161064.249812667,161735.652375381,164399.513511362
"Cml Pop Growth","Adult Female",18587.5474572858,180.18844862663,17907.3234295002,18471.9913744917,18591.8247186104,18705.2846802339,19092.5188366359
"Cml Pop Growth","Adult Male",30906.2278296774,118.192094727314,30475.3967788081,30830.2252041175,30909.24411683,30982.5084301528,31261.3371052848
"Cml Pop Growth","Oxen",-5479.4868391508,2.28474385967274,-5487.85475678841,-5480.93128237122,-5479.39975938025,-5477.96303710115,-5472.60226065637
"Total Number Increase","Overall",362793.871980222,2865.2888912779,352169.822247398,360975.863875591,362889.62701959,364780.346434806,371289.422944599
"Total Number Increase","Neonatal Female",-26841.3725204772,1367.59905114002,-31764.5788276831,-27748.165071249,-26773.6666933798,-25924.7103512899,-23105.7326819772
"Total Number Increase","Neonatal Male",-2749.29195139388,1299.625569728,-7067.77523242103,-3567.52355473388,-2687.04704945665,-1831.94465121029,1209.26823729728
"Total Number Increase","Neonatal Combined",-29590.6644718711,1891.33047396925,-35904.2872150723,-30782.2335536136,-29467.7958862028,-28318.5789306365,-24699.5404521486
"Total Number Increase","Juvenile Female",87995.1328054639,846.246615081006,84695.8348749315,87458.9899853483,87976.8487894279,88562.8903256479,90640.8998211642
"Total Number Increase","Juvenile Male",141742.403378992,696.670281283597,139470.145262207,141291.637877904,141758.4382052,142223.639287234,143770.773111227
"Total Number Increase","Juvenile Combined",229737.536184456,1087.71563048875,226079.629287523,229003.692147692,229760.838463066,230469.62899792,233195.032128014
"Total Number Increase","Adult Female",63924.7592871016,181.98021279547,63237.2550804967,63808.4613801674,63929.4804496494,64043.1545681574,64434.0886829519
"Total Number Increase","Adult Male",87499.7738030125,129.431325765255,87025.875206197,87416.3474165318,87502.0890058125,87583.0886972273,87890.4659002237
"Total Number Increase","Oxen",11222.4671775231,2.43963342757297,11213.5910745168,11220.9041977631,11222.5454255106,11224.0817753837,11229.7999205728
"Total Mortality","Overall",110996.953331131,2847.86530631731,102401.001828599,109042.850893026,110879.68950329,112760.765418904,121808.468663969
"Total Mortality","Neonatal Female",35856.3066113815,2070.77603199635,30276.125411515,34469.5596105026,35807.6251937346,37294.9517152288,44116.6434228983
"Total Mortality","Neonatal Male",33115.4066076226,1924.68723421624,27230.6400085816,31787.0128339823,33067.1089714795,34330.440000651,38889.6712051202
"Total Mortality","Neonatal Combined",68971.7132190042,2814.77618667087,60968.8079078143,67081.6999984437,68825.7520343072,70753.4944965937,79855.1036225767
"Total Mortality","Juvenile Female",24905.1677449363,515.178254128522,23370.6016050164,24547.0397504532,24927.7339664615,25280.3853073515,26658.5895458957
"Total Mortality","Juvenile Male",15102.7650280157,323.021833529475,14128.7949382205,14881.5212842855,15106.2605121002,15312.1423736584,16210.8217362228
"Total Mortality","Juvenile Combined",40007.932772952,607.247638605758,38069.7860899769,39579.5028439692,40004.4693666141,40463.6044473033,41671.4609124197
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",1557.6205313762,0.325854175610562,1556.43518607492,1557.41165766138,1557.63108807816,1557.83619830938,1558.59987509006
"Total Mortality","Oxen",459.686807798364,0.00441203156873905,459.671841015185,459.68394360436,459.686946431246,459.689742469424,459.699142602638
"Value of Total Mortality","Overall",1448273701.86057,30403652.5732722,1357120541.34721,1426187996.25785,1446920864.18864,1468877388.72399,1544876150.89959
"Value of Total Mortality","Neonatal Female",182063112.479365,10514522.13746,153729319.80915,175021799.55392,181815928.894263,189367941.953254,224005598.2555
"Value of Total Mortality","Neonatal Male",445100138.397597,25869486.2023691,366003708.78988,427245359.819769,444450975.765041,461431253.935527,522711324.089604
"Value of Total Mortality","Neonatal Combined",627163250.876962,27839496.9049082,549589015.645416,607796449.472332,625941634.289039,645063317.586127,714646049.876944
