"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",187127.681848401,88.7344121403448,186853.195147195,187068.9872555,187132.945104683,187190.438040967,187363.230322803
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",12282.9006999816,13.1635723750131,12244.7521660005,12274.2184578425,12283.5364894087,12292.2929266776,12325.927216538
"Num Offtake","Juvenile Male",56386.55927047,75.5916539261483,56142.0433270166,56338.1753489883,56391.0864437297,56439.2919805039,56587.8771494625
"Num Offtake","Juvenile Combined",68669.4599704516,77.0235607940904,68431.9368011977,68619.8473322217,68674.4459257366,68724.5885792818,68874.4462104474
"Num Offtake","Adult Female",44938.1633593806,1.8185823403891,44932.2963056679,44936.9295026608,44938.1847541672,44939.4403367333,44943.5908174783
"Num Offtake","Adult Male",56813.4100533148,11.8470431886049,56775.8969695592,56805.5794962315,56814.1445227147,56821.5518228849,56844.443251006
"Num Offtake","Oxen",16706.6484652544,0.156824810248453,16706.1423578529,16706.5479136379,16706.6615875024,16706.7559347958,16707.0639892853
"Cml Pop Growth","Overall",149096.325011103,2897.25761057672,139800.730566212,147133.393721877,149195.19641287,151100.719299572,157557.909871192
"Cml Pop Growth","Neonatal Female",-28639.5306138357,1399.08169892827,-34581.8086478615,-29570.0702375777,-28579.361490888,-27707.1299490672,-24972.8813797683
"Cml Pop Growth","Neonatal Male",-4557.03743633456,1316.47897203154,-10104.1892268762,-5414.13314481278,-4515.70002236631,-3609.46623738395,-954.203322167305
"Cml Pop Growth","Neonatal Combined",-33196.5680501702,1962.51345764021,-39534.2383429637,-34505.6824467308,-33182.4550559827,-31819.5446220176,-27814.7372084301
"Cml Pop Growth","Juvenile Female",75195.9680904499,825.53359172998,72541.2801188902,74670.9280020015,75229.2189795056,75779.3853537823,77675.0339982395
"Cml Pop Growth","Juvenile Male",84842.5126071014,642.069200967908,82822.676867824,84411.9822375878,84831.186657088,85260.1979966339,86468.7074302472
"Cml Pop Growth","Juvenile Combined",160038.480697551,1067.19133568093,156861.948922694,159309.786807915,160074.913810348,160776.431747278,163316.215156502
"Cml Pop Growth","Adult Female",-4455.99751645756,171.382613192186,-4955.9180974483,-4569.48770796409,-4449.23432097991,-4333.01711330772,-3894.9225260024
"Cml Pop Growth","Adult Male",32149.3355857654,121.352510704694,31757.9565826748,32069.6079954734,32157.9338418427,32232.9425454726,32471.9607817421
"Cml Pop Growth","Oxen",-5438.92570558631,2.28992793884565,-5446.19761936696,-5440.4239759575,-5438.75823666751,-5437.36371504212,-5432.94673075524
"Total Number Increase","Overall",336224.006859504,2943.10897338207,326836.941853543,334198.419090816,336314.004741273,338220.831254506,344759.698337752
"Total Number Increase","Neonatal Female",-28639.5306138357,1399.08169892827,-34581.8086478615,-29570.0702375777,-28579.361490888,-27707.1299490672,-24972.8813797683
"Total Number Increase","Neonatal Male",-4557.03743633456,1316.47897203154,-10104.1892268762,-5414.13314481278,-4515.70002236631,-3609.46623738395,-954.203322167305
"Total Number Increase","Neonatal Combined",-33196.5680501702,1962.51345764021,-39534.2383429637,-34505.6824467308,-33182.4550559827,-31819.5446220176,-27814.7372084301
"Total Number Increase","Juvenile Female",87478.8687904315,836.937067939569,84792.57243304,86945.5556393958,87513.2139706108,88069.4882050432,90000.9612147775
"Total Number Increase","Juvenile Male",141229.071877571,709.708172775004,138984.748486871,140754.002300385,141219.421302843,141689.903695931,143056.58457971
"Total Number Increase","Juvenile Combined",228707.940668003,1119.37028943606,225447.156148493,227919.473292284,228732.38169878,229481.342710585,232168.041235148
"Total Number Increase","Adult Female",40482.165842923,173.094351673864,39978.13215865,40367.4397454168,40489.672241979,40606.4486066849,41048.6100754069
"Total Number Increase","Adult Male",88962.7456390802,132.642672422766,88533.853552234,88877.5561855539,88970.9075729785,89054.7385362771,89315.9331225062
"Total Number Increase","Oxen",11267.7227596681,2.44131427790141,11259.9918656873,11266.109965291,11267.8746384495,11269.4001726704,11274.1172585301
"Total Mortality","Overall",133385.735458755,2935.17982355631,124906.602584959,131398.578813512,133331.473739634,135467.603292127,142576.943019066
"Total Mortality","Neonatal Female",35664.8536402835,2096.09173895058,30303.8383155094,34313.2411288663,35553.7797598063,37087.101844929,44071.0411917122
"Total Mortality","Neonatal Male",32932.1364014429,1944.72892880789,27457.5240255196,31615.8997336104,32839.2244424406,34188.4504414449,40636.4945656767
"Total Mortality","Neonatal Combined",68596.9900417264,2883.10365767114,60377.0335474527,66666.1413951832,68531.8331201563,70611.0690754598,77063.3534841876
"Total Mortality","Juvenile Female",24921.574567026,536.203416667313,23252.5864156388,24544.7124637004,24944.3877162657,25281.2698637387,26426.9470072801
"Total Mortality","Juvenile Male",15116.4557240187,322.092467168024,13996.5522868001,14908.6529908391,15107.2921013822,15328.738294747,16419.9976932047
"Total Mortality","Juvenile Combined",40038.0302910447,632.20480551028,37590.402940695,39614.3675030986,40031.3998200565,40441.6099268863,41921.4218008824
"Total Mortality","Adult Female",24290.8991131787,0.983017481291224,24287.7277327934,24290.2321636004,24290.9106779282,24291.5893712072,24293.8328743126
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",459.816012805166,0.00431627918114765,459.802083243657,459.813245329485,459.816373967957,459.818970682452,459.827449246385
"Value of Total Mortality","Overall",1791960148.05377,35539132.5041926,1694009471.5884,1768014579.1782,1790759283.26338,1816349809.93721,1909109461.28482
"Value of Total Mortality","Neonatal Female",330719164.987243,19436998.5822514,281006623.627182,318185700.931264,329689180.079024,343907631.800792,408669501.073707
"Value of Total Mortality","Neonatal Male",486792604.029508,28746378.5478682,405868585.555835,467336402.729879,485419208.331249,505363047.670225,600676031.676766
