"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",19354.3477107124,200.313719260894,18863.7637358298,19217.6625466786,19342.2889955119,19484.1477891394,20280.3494981968
"Num Offtake","Neonatal Female",1446.07974323408,27.1500435684801,1379.57545054956,1427.60840141593,1444.60142072765,1463.66511705689,1571.31980436148
"Num Offtake","Neonatal Male",4860.85921183509,149.47762152263,4491.99831518848,4758.44212380995,4854.04248691302,4959.13422672843,5545.41683846089
"Num Offtake","Neonatal Combined",6306.93895506917,176.602060277132,5871.57376573803,6185.11278651241,6299.16643726311,6421.78876445811,7116.73664282237
"Num Offtake","Juvenile Female",4406.24947060849,21.2701430566859,4358.2824506024,4391.29007324232,4404.83868457613,4419.43155947652,4504.26864619791
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",4406.24947060849,21.2701430566859,4358.2824506024,4391.29007324232,4404.83868457613,4419.43155947652,4504.26864619791
"Num Offtake","Adult Female",8282.73775251985,2.40305254338631,8277.66256516906,8281.01576103391,8282.47838581433,8284.23640174294,8293.52881222319
"Num Offtake","Adult Male",358.421532514868,1.64654679180325,354.944181215119,357.241876865822,358.244184567783,359.449763535954,365.815396953303
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",10934.0440752668,1071.1502853976,8235.4636366534,10168.8537249574,10845.1383584595,11629.8762981919,14705.8977599479
"Cml Pop Growth","Neonatal Female",2664.87997002364,399.582769621684,1731.14556605278,2376.97788810847,2619.42287213123,2921.75478448049,3912.44282368146
"Cml Pop Growth","Neonatal Male",5549.99940531933,335.975439289959,4776.6555749703,5309.51341401644,5510.77688956219,5758.29528631958,6765.04383574993
"Cml Pop Growth","Neonatal Combined",8214.87937534296,733.122726158663,6522.24192857013,7684.40782801734,8136.5428295487,8677.09572677249,10677.4866594314
"Cml Pop Growth","Juvenile Female",871.627387251044,191.043235441559,398.422837288361,738.765780542928,861.884134886087,991.584488164349,1737.11997978682
"Cml Pop Growth","Juvenile Male",4995.31747233993,177.038381330352,4555.78577284819,4871.13062254912,4985.82226391003,5107.19840051666,5793.80783716226
"Cml Pop Growth","Juvenile Combined",5866.94485959098,368.057220817603,4954.20861013655,5610.68777955847,5846.65472611083,6099.19315591948,7530.92781694908
"Cml Pop Growth","Adult Female",-4640.32173486175,34.4558719337994,-4718.42852008366,-4663.86768843807,-4642.5201812491,-4619.15163062091,-4481.58419514691
"Cml Pop Growth","Adult Male",1492.54157519463,34.3458020964304,1414.70554713662,1469.00163138347,1490.28137139906,1513.66609156372,1650.82301723781
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",30288.3917859792,1244.9570005482,27099.2273724833,29374.1159476962,30212.7633470835,31106.96917447,34986.2472581447
"Total Number Increase","Neonatal Female",4110.95971325771,419.035415855791,3119.74235487942,3804.43659424875,4067.91969329631,4381.11124809832,5360.76346688536
"Total Number Increase","Neonatal Male",10410.8586171544,442.302691949757,9334.57916946909,10092.5879840095,10367.5092016286,10695.4761880082,11798.3735032861
"Total Number Increase","Neonatal Combined",14521.8183304121,860.820638201645,12454.3215243485,13896.8747145553,14437.8981304273,15075.0142548755,17126.6528706613
"Total Number Increase","Juvenile Female",5277.87685785954,210.847006140158,4757.51028210647,5134.5631195359,5268.00969474074,5415.1481794234,6241.38862598473
"Total Number Increase","Juvenile Male",4995.31747233993,177.038381330352,4555.78577284819,4871.13062254912,4985.82226391003,5107.19840051666,5793.80783716226
"Total Number Increase","Juvenile Combined",10273.1943301995,387.70406710024,9313.29605495467,10008.133858027,10253.8942068008,10521.8368225075,12035.196463147
"Total Number Increase","Adult Female",3642.4160176581,36.7887727697452,3559.31083007593,3616.74151701715,3640.02322097982,3665.09793979248,3811.94461707628
"Total Number Increase","Adult Male",1850.96310770949,35.9440823425627,1769.70236752079,1825.98500765326,1848.63496286822,1873.09699205284,2016.63841419111
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",25660741.0144897,1982435.75055882,18940227.2432948,24440814.5889991,25889661.8428164,27090729.2617369,30073631.8313677
"Population Liveweight (kg)","Neonatal Female",2030637.66778899,422792.646061031,734999.625166737,1749912.95733574,2064398.35641613,2349221.52494318,2928579.31800035
"Population Liveweight (kg)","Neonatal Male",1305559.85050982,307942.430104286,452469.366928976,1092698.23962745,1334701.04317759,1538525.8028704,2020098.91263255
"Population Liveweight (kg)","Juvenile Female",4471301.79447626,745153.575289311,3134448.54286752,3874252.14228217,4406166.42188707,4973172.44061371,6886408.71846724
"Population Liveweight (kg)","Juvenile Male",2537936.47581157,385712.896613933,1382816.71937741,2252860.74337312,2561093.89847488,2828262.77224653,3454372.83206203
"Population Liveweight (kg)","Juvenile Combined",7009238.27028783,863506.803918456,5015260.19885238,6399908.56122151,6944653.60613102,7618223.8731847,9503950.29569302
"Population Liveweight (kg)","Adult Female",13837957.3434689,1672872.70460572,7816215.71929713,12796609.5024587,14188534.8935402,15149968.7836642,16364228.4925435
"Population Liveweight (kg)","Adult Male",1477347.88243413,200231.213448483,910734.378204259,1331426.78887457,1497971.00892268,1626530.3575574,1875629.03400986
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",5599116.22422854,511464.860366737,3876760.54972837,5259786.59610382,5646987.36050547,5967415.36880013,6800945.7905541
"Offtake Liveweight (kg)","Juvenile Female",1199208.44004648,200370.665023828,848252.918158783,1045163.58126202,1176850.13672928,1339685.62356318,1817586.66580211
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",4215035.74001648,475731.975548368,2668649.92728381,3907427.72465,4276822.76698261,4598214.41169977,4965905.4709689
"Offtake Liveweight (kg)","Adult Male",184872.044165579,25804.2013958918,101888.988126001,167419.294082057,188478.252860067,204489.849822288,231840.075115911
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",18436213.1204554,593165.458338163,16221592.7440256,18039563.4232895,18452300.0429257,18846099.4856867,20055491.3824269
"Manure","Overall",34228845.3102775,1279508.56220614,30806495.5882268,33333228.8234799,34231444.0533355,35152012.3492827,38329704.0023664
"Manure","Neonatal Female",3127568.99438938,103860.019061298,2810597.71346026,3051171.72328566,3124564.95570343,3191425.22062308,3535306.9858412
"Manure","Neonatal Male",1712841.06814089,67038.1272853759,1553060.70036018,1664750.77084836,1711533.92743938,1754363.01999099,1953686.68558391
"Manure","Neonatal Combined",4840410.06253027,147806.455673327,4445426.70025585,4738443.92384306,4835512.52574294,4933909.4200261,5480428.5435287
"Manure","Juvenile Female",6542989.93948651,223558.487639598,5828304.28015824,6390563.66889638,6539969.34614976,6684787.44862591,7346685.68598143
"Manure","Juvenile Male",1705060.47015083,69453.1566410712,1497949.09642196,1659418.23977662,1699219.50136136,1749680.60967844,1919403.12029732
"Manure","Juvenile Combined",8248050.40963735,240924.832430146,7450480.63080925,8085451.73040773,8244147.03997167,8393481.66334167,9235914.5515826
"Manure","Adult Female",19786084.6063958,1230839.51994448,16417212.5114259,19159489.7484233,19922980.5835914,20666756.5886206,23472180.8528275
"Manure","Adult Male",1354300.23171411,82530.1056026005,1105738.72706473,1297497.34929345,1352863.84651735,1412266.78914163,1591549.62339884
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",0,0,0,0,0,0,0
"Hides","Juvenile Female",0,0,0,0,0,0,0
"Hides","Juvenile Male",0,0,0,0,0,0,0
"Hides","Juvenile Combined",0,0,0,0,0,0,0
"Hides","Adult Female",0,0,0,0,0,0,0
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",115849208.588093,18964643.3035819,66240794.9367855,102827794.095082,114685430.165835,128709874.338618,195039350.843044
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",231781840.014217,5225385.60579036,216368811.716297,228439009.326685,231862621.945549,235383346.858037,246869381.798214
"Cml Dry Matter","Neonatal Female",18176280.9508245,1159708.41375147,13916531.4874849,17407902.5414782,18196439.1300556,18988041.444131,22020061.244624
"Cml Dry Matter","Neonatal Male",10240945.2910475,742263.264863523,8096549.09538739,9756003.86321158,10241810.6134661,10708779.2851801,13237045.0566479
