"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",17332.6864304343,1.70949557417097,17327.2856287702,17331.6045331442,17332.7075435558,17333.8615282452,17337.9783069518
"Num Offtake","Neonatal Female",1204.50093714582,0.230928779587675,1203.77101435381,1204.35452537896,1204.5028722057,1204.6591655739,1205.21466024189
"Num Offtake","Neonatal Male",3693.13075725491,1.26561445402667,3689.14860623036,3692.3148545196,3693.15341198532,3693.99549643773,3697.00874964695
"Num Offtake","Neonatal Combined",4897.63169440073,1.49632708289741,4892.91962058417,4896.66375913966,4897.66810812871,4898.64970345022,4902.22340988884
"Num Offtake","Juvenile Female",4148.3439415846,0.189358392866681,4147.75463148042,4148.21157053179,4148.34723885733,4148.46810761264,4148.93222478883
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",4148.3439415846,0.189358392866681,4147.75463148042,4148.21157053179,4148.34723885733,4148.46810761264,4148.93222478883
"Num Offtake","Adult Female",7938.83077953071,0.0220336267773401,7938.75748125962,7938.81683803985,7938.83125474832,7938.84540125663,7938.89675761347
"Num Offtake","Adult Male",347.880014918211,0.0153373362666749,347.828944967751,347.870316762273,347.880319293245,347.890177343964,347.925914660658
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-2713.13881184608,8.62379100266091,-2740.70709017287,-2719.068709671,-2713.24737633176,-2707.31322867297,-2686.45206040012
"Cml Pop Growth","Neonatal Female",-1342.98004819657,3.17897362353108,-1353.09316278493,-1345.11481743075,-1343.06441367025,-1340.80737242326,-1332.743535088
"Cml Pop Growth","Neonatal Male",2715.83584595795,2.67724888292565,2707.70374079416,2714.07518377764,2715.75824770638,2717.60425981655,2725.53385711607
"Cml Pop Growth","Neonatal Combined",1372.85579776138,5.83728204079876,1354.61057800923,1368.91789854556,1372.69239851145,1376.79667040802,1392.68764339933
"Cml Pop Growth","Juvenile Female",-1524.65433340049,1.56303273048354,-1529.53562198583,-1525.69300873571,-1524.63588102247,-1523.60555525483,-1519.93499325366
"Cml Pop Growth","Juvenile Male",3418.33641687744,1.44744497529065,3413.83832144553,3417.3797199284,3418.35922713809,3419.29669506828,3422.68056065171
"Cml Pop Growth","Juvenile Combined",1893.68208347695,3.01027859255567,1884.30269945971,1891.67958825069,1893.72991407478,1895.68178300197,1902.74556739806
"Cml Pop Growth","Adult Female",-7218.32354558128,0.298553497571521,-7219.25084301828,-7218.53206839077,-7218.31833380053,-7218.13346866609,-7217.39459437821
"Cml Pop Growth","Adult Male",1238.64685249686,0.304931329906585,1237.70198397061,1238.43178603801,1238.65217995593,1238.84208955856,1239.59545216837
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",14619.5476185882,10.1055510305876,14587.7077654435,14612.6588294321,14619.3498551786,14626.4249117022,14651.5262465517
"Total Number Increase","Neonatal Female",-138.479111050745,3.3420629550575,-149.172083101167,-140.741337181025,-138.504045416555,-136.173920458706,-127.932983432681
"Total Number Increase","Neonatal Male",6408.96660321286,3.57362849292456,6397.54560166853,6406.60818477083,6408.91441982432,6411.37450840763,6420.20248100686
"Total Number Increase","Neonatal Combined",6270.48749216211,6.90937518111752,6248.37351856736,6265.80555457703,6270.42885179011,6275.16169914746,6292.26949757418
"Total Number Increase","Juvenile Female",2623.68960818411,1.73904669140357,2618.22491759773,2622.56061772079,2623.73352655644,2624.87310352062,2628.99723153518
"Total Number Increase","Juvenile Male",3418.33641687744,1.44744497529065,3413.83832144553,3417.3797199284,3418.35922713809,3419.29669506828,3422.68056065171
"Total Number Increase","Juvenile Combined",6042.02602506155,3.18482670931141,6032.06323904327,6039.9429994659,6042.05081770833,6044.17144426689,6051.67779218689
"Total Number Increase","Adult Female",720.507233949436,0.320009178105037,719.516637051986,720.280127328441,720.511721324714,720.714730981931,721.502163235256
"Total Number Increase","Adult Male",1586.52686741507,0.319875684990205,1585.53518904609,1586.30058513962,1586.53136887491,1586.73560991949,1587.52136682903
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",5997.18969964087,0.624160385269306,5995.21539752221,5996.79583597594,5997.19763261489,5997.61545988799,5999.12629347944
"Total Mortality","Neonatal Female",1522.05118421154,0.291810003297148,1521.1288272289,1521.86617297887,1522.05362942357,1522.25112740701,1522.9530706693
"Total Mortality","Neonatal Male",723.021373603426,0.247775224098174,722.241769388761,722.86164053271,723.025808825295,723.190667612457,723.780586198488
"Total Mortality","Neonatal Combined",2245.07255781497,0.539436909760548,2243.37059661766,2244.72548915544,2245.08426120238,2245.44301300298,2246.73365686779
"Total Mortality","Juvenile Female",918.561872779446,0.0419293584204838,918.431382684951,918.532562046326,918.562602889837,918.589366685656,918.692135488956
"Total Mortality","Juvenile Male",196.729331559469,0.0396645849387865,196.606363441715,196.701272557313,196.729889740489,196.755215630016,196.852649486799
"Total Mortality","Juvenile Combined",1115.29120433891,0.0815930425123081,1115.03774612667,1115.23383460364,1115.29245454318,1115.34460059615,1115.54478497575
"Total Mortality","Adult Female",2636.82593748699,0.00731831175104695,2636.8015919898,2636.82130692038,2636.82609532712,2636.83079398881,2636.8478516359
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",105157449.699487,7243.24473218189,105134527.129639,105152837.45624,105157553.364953,105162387.606563,105180013.953719
"Value of Total Mortality","Neonatal Female",16919120.9636955,3243.75999665111,16908868.0434765,16917064.3788331,16919148.1446724,16921343.5322564,16929146.3335599
"Value of Total Mortality","Neonatal Male",6927267.78049443,2373.9344220846,6919798.39251372,6925737.37794389,6927310.27435515,6928889.78639496,6934541.79636772
"Value of Total Mortality","Neonatal Combined",23846388.7441899,5616.17718298176,23828666.4359902,23842782.1135169,23846506.1998532,23850245.2741708,23863688.1299276
"Value of Total Mortality","Juvenile Female",15558601.0011383,710.199472926187,15556390.7599177,15558104.5359407,15558613.3677481,15559066.6929216,15560807.3909119
"Value of Total Mortality","Juvenile Male",4061280.32071368,818.835691476308,4058741.76689076,4060701.07067316,4061291.84380266,4061814.67146606,4063826.09600548
"Value of Total Mortality","Juvenile Combined",19619881.3218519,1529.01835518744,19615132.5268085,19618805.6066138,19619904.5664307,19620881.3710395,19624633.4869174
"Value of Total Mortality","Adult Female",61691179.6334455,171.219221727514,61690610.0461934,61691071.2967092,61691183.3262733,61691293.2561621,61691692.3368736
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",12789101.4516317,4139326.98151773,2765395.82087162,9622415.37561175,12950645.9784034,15905435.4614625,22956428.0543278
"Population Liveweight (kg)","Neonatal Female",782728.648254697,428070.495569165,10092.1619570686,403904.877142284,787798.954822674,1153439.83111207,1484946.54835422
"Population Liveweight (kg)","Neonatal Male",437275.838014936,254371.193474192,5983.81456454033,203635.64256042,448448.312959437,658213.433731186,880203.21524797
"Population Liveweight (kg)","Juvenile Female",2555722.28871525,1529583.06357909,13980.73598782,1216490.99127014,2615189.67185284,3862991.44927326,5243989.33658472
"Population Liveweight (kg)","Juvenile Male",970641.98555952,556239.498574493,5088.57125649015,483640.477851131,982219.168360115,1460336.88143142,1908981.20569251
"Population Liveweight (kg)","Juvenile Combined",3526364.27427477,1642510.15050161,169185.545643865,2126527.56170803,3534602.33033226,4907160.7578723,7015256.14234992
"Population Liveweight (kg)","Adult Female",6699981.6846257,3786053.24869199,24693.6206932433,3376822.10385808,6556199.57172669,9908341.49194786,13531963.1984092
"Population Liveweight (kg)","Adult Male",1342751.00646162,183366.847630597,784439.229779857,1225414.95449571,1369860.68480035,1491044.61359171,1674479.01016015
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
