"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",17447.6954175263,1.73883544784876,17442.7195684827,17446.482583513,17447.7264676521,17448.8879224406,17452.6132676866
"Num Offtake","Neonatal Female",1204.9112279002,0.23463238673852,1204.24042360225,1204.74780327317,1204.91718835406,1205.07222170946,1205.57595219598
"Num Offtake","Neonatal Male",3695.57537082291,1.29002207863016,3691.92271685822,3694.69685031015,3695.60555483341,3696.4549516346,3699.28071347299
"Num Offtake","Neonatal Combined",4900.48659872311,1.52444463524062,4896.16314046047,4899.44064733207,4900.5274735239,4901.5260637601,4904.85666566896
"Num Offtake","Juvenile Female",4245.77023969249,0.191006824365303,4245.20302095166,4245.64312597291,4245.76495935271,4245.90446097497,4246.42550612124
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",4245.77023969249,0.191006824365303,4245.20302095166,4245.64312597291,4245.76495935271,4245.90446097497,4246.42550612124
"Num Offtake","Adult Female",7952.04782388308,0.0219289720277235,7951.97886046025,7952.03250881863,7952.04691705557,7952.06295968824,7952.12503535973
"Num Offtake","Adult Male",349.390755227611,0.0152673604669799,349.342706390502,349.38008569388,349.390103651099,349.401327113706,349.444477206961
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-1682.89376115374,8.84178506806018,-1706.23669536646,-1688.97581058536,-1682.92988878732,-1677.2461688701,-1654.79597011914
"Cml Pop Growth","Neonatal Female",-1326.59210223033,3.23904381680951,-1335.79856463332,-1328.83839058831,-1326.6011444474,-1324.45008158515,-1315.9197944298
"Cml Pop Growth","Neonatal Male",2730.51613231441,2.72101950228987,2722.39336772927,2728.67272987468,2730.53429128421,2732.26611798864,2739.32665459274
"Cml Pop Growth","Neonatal Combined",1403.92403008409,5.94039175312863,1386.63531305777,1399.85830220779,1403.90016045068,1407.73456158062,1423.40686016293
"Cml Pop Growth","Juvenile Female",-873.764375115599,1.63153005712914,-878.36358270766,-874.905751307205,-873.75042990343,-872.672636735533,-869.019654672498
"Cml Pop Growth","Juvenile Male",3586.2766601322,1.51541401741038,3581.97505248108,3585.231122376,3586.29039896293,3587.28603326844,3590.70264124906
