"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",17577.4923378234,1.74198804024063,17572.0093355932,17576.3518693488,17577.5369102463,17578.6253667352,17583.5978705766
"Num Offtake","Neonatal Female",1263.02922528594,0.236277863265865,1262.28447631903,1262.87542052499,1263.03667981098,1263.18388899945,1263.85448943086
"Num Offtake","Neonatal Male",3835.66370746388,1.29641069170356,3831.54841024946,3834.80036501016,3835.71666776471,3836.52375454787,3840.07577411541
"Num Offtake","Neonatal Combined",5098.69293274982,1.53244699179644,5093.8328865685,5097.6727934481,5098.73968958298,5099.69598839229,5103.93026354627
"Num Offtake","Juvenile Female",4187.32966771906,0.18754828557294,4186.77181710246,4187.2051965979,4187.32838278505,4187.45300345831,4188.05401717509
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",4187.32966771906,0.18754828557294,4186.77181710246,4187.2051965979,4187.32838278505,4187.45300345831,4188.05401717509
"Num Offtake","Adult Female",7942.62184673601,0.0215900133044425,7942.55750862249,7942.60792950087,7942.62182443147,7942.63680968112,7942.70671484218
"Num Offtake","Adult Male",348.847890618553,0.0150095193427905,348.803096980345,348.838237071862,348.8478411482,348.858251750582,348.906875013061
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-716.585838544247,9.2676370779102,-748.257811924872,-722.734154389043,-716.074878226314,-710.576641459314,-685.808769333365
"Cml Pop Growth","Neonatal Female",-405.850558600345,3.45904803306174,-417.436497409561,-408.242473833069,-405.792792037925,-403.422771651942,-394.480751595995
"Cml Pop Growth","Neonatal Male",3101.25557550845,2.89047559265664,3092.02342376223,3099.21486659115,3101.26395495823,3103.30160722955,3110.34491659389
"Cml Pop Growth","Neonatal Combined",2695.40501690811,6.33063691952091,2674.58692635267,2691.02330684835,2695.48094510358,2699.84578083379,2715.8641649979
"Cml Pop Growth","Juvenile Female",-1109.8146345479,1.61871127084554,-1114.98141538109,-1110.92203618437,-1109.77687005027,-1108.74127744936,-1104.49045552326
"Cml Pop Growth","Juvenile Male",3589.61277849539,1.495991140953,3584.83270647503,3588.60098082724,3589.65430118403,3590.59821746028,3594.45709267371
"Cml Pop Growth","Juvenile Combined",2479.79814394749,3.11445617917252,2469.85129109394,2477.68225761811,2479.88472417828,2481.86092107867,2489.96663715046
"Cml Pop Growth","Adult Female",-7155.6906385444,0.296285608345476,-7156.57426500059,-7155.89023301145,-7155.69347257888,-7155.50071400658,-7154.55351386853
"Cml Pop Growth","Adult Male",1263.90163914456,0.301726011096609,1263.00264284338,1263.6997695879,1263.90006942036,1264.09619641156,1265.06139514517
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",16860.9064992792,10.7903755478005,16824.2430147904,16853.6493413767,16861.48305389,16867.9848360018,16896.4060006262
"Total Number Increase","Neonatal Female",857.178666685599,3.63261307758643,844.913528264137,854.698550899071,857.196670452935,859.658496258445,869.190426031039
"Total Number Increase","Neonatal Male",6936.91928297233,3.84319163219595,6923.86412227325,6934.32179235257,6936.98080973566,6939.43742854114,6949.64513138515
"Total Number Increase","Neonatal Combined",7794.09794965793,7.47119821110385,7768.77765053739,7789.06206236213,7794.21560758119,7799.08454589915,7818.83555741619
"Total Number Increase","Juvenile Female",3077.51503317116,1.79236693011992,3071.81496729076,3076.31898669059,3077.59064090355,3078.71495012569,3083.56356165183
"Total Number Increase","Juvenile Male",3589.61277849539,1.495991140953,3584.83270647503,3588.60098082724,3589.65430118403,3590.59821746028,3594.45709267371
"Total Number Increase","Juvenile Combined",6667.12781166655,3.28655963459136,6656.64767376578,6664.89554334782,6667.19764284884,6669.31525623235,6678.02065432555
"Total Number Increase","Adult Female",786.931208191617,0.317213715170834,785.986499125635,786.720262788734,786.928414254147,787.137371075362,788.153200973655
"Total Number Increase","Adult Male",1612.74952976311,0.316283372630455,1611.80812755162,1612.53927149427,1612.74692438985,1612.95543272123,1613.96827015823
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",3765.26048149431,0.0877406269103604,3764.99993540244,3765.20287993633,3765.26086806347,3765.31899074553,3765.60018530383
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",927.194426423506,0.0415285489482963,927.070902358402,927.166864960964,927.194141902403,927.221736480055,927.35481808877
"Total Mortality","Juvenile Male",199.980941690625,0.0392191382061812,199.864207816401,199.954869665289,199.980618624341,200.006473657433,200.132065499621
"Total Mortality","Juvenile Combined",1127.17536811413,0.0807464884042231,1126.9351101748,1127.12164003877,1127.17469221614,1127.22812262212,1127.48688358839
"Total Mortality","Adult Female",2638.08511338018,0.00717096870470426,2638.06374393533,2638.08049086993,2638.08510597188,2638.09008321552,2638.11330171544
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",81553865.0676652,1676.7256356343,81548888.3013342,81552768.4705058,81553874.9823786,81554984.0285321,81560361.0758962
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",15704819.1947613,703.410562086243,15702726.9441466,15704352.3587088,15704814.3755429,15705281.7724992,15707535.9087876
"Value of Total Mortality","Juvenile Male",4128406.56026127,809.639889128403,4125996.70616178,4127868.32937023,4128399.8908809,4128933.64218404,4131526.36017417
"Value of Total Mortality","Juvenile Combined",19833225.7550226,1513.02808145283,19828723.6503084,19832218.8754477,19833213.2870643,19834213.8027005,19839062.2689618
"Value of Total Mortality","Adult Female",61720639.3126426,167.77198381523,61720139.3531109,61720531.1643929,61720639.1393181,61720755.5869102,61721298.8069344
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",13197886.0670825,4281630.93626389,3338510.42573729,9947950.47111964,13105129.6306236,16546542.1738122,22858886.8042668
"Population Liveweight (kg)","Neonatal Female",1599276.93352855,329198.205330804,691045.837905434,1365385.71985422,1633041.78696834,1867255.90047592,2196613.10636751
"Population Liveweight (kg)","Neonatal Male",474045.746327103,269791.000927633,6364.73145156961,235818.143606854,483980.322233985,706791.157629009,936885.822795474
"Population Liveweight (kg)","Juvenile Female",2688072.03924517,1589333.85839634,14398.149428664,1263328.51905981,2713877.2609953,4121259.72417247,5400519.00299412
"Population Liveweight (kg)","Juvenile Male",966016.500180989,565002.549684085,5260.05313248996,478613.020751481,928430.539757607,1468783.37039586,1972744.92469271
"Population Liveweight (kg)","Juvenile Combined",3654088.53942616,1672139.21626719,186324.840314736,2253081.83283744,3642519.40857988,5114976.16453287,7246829.29069079
"Population Liveweight (kg)","Adult Female",6750096.97730926,3900348.24403118,24755.8879460813,3490657.44897904,6684243.97717711,10125127.4268176,13615978.1602641
"Population Liveweight (kg)","Adult Male",720377.870491439,415760.084812668,2627.79195340444,348795.301556526,720089.499632731,1082376.09820425,1445357.22467167
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",3089202.13991057,1376446.97741357,190899.560912393,1963679.21051464,3033789.17836783,4224737.74636835,5889257.72284569
"Offtake Liveweight (kg)","Juvenile Female",790480.380138598,458600.533959329,4187.17856621103,400917.421516393,776769.280305984,1181931.50577863,1570304.26226224
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",2202536.44730188,1298249.03708335,7942.60096334897,1078209.34641837,2152456.87680458,3385541.72865109,4368450.5344144
"Offtake Liveweight (kg)","Adult Male",96185.3124700925,55000.4452884662,348.85665179977,50147.2900132576,95758.6538716514,143815.719096135,191878.595309195
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",10278658.1456111,1500693.40335808,5219014.25309033,9260809.20492355,10316191.1093601,11330412.3505952,14457369.4452982
"Manure","Overall",31967511.2204804,1154493.99676946,28124250.9411337,31176657.9848556,31934136.637143,32671801.1396508,35662646.9292511
"Manure","Neonatal Female",2683996.11614776,67769.3889685825,2483454.13832581,2636925.62987994,2683348.98830597,2731846.97520521,2888745.23480391
"Manure","Neonatal Male",1327198.82025863,33110.5902129347,1212928.05534197,1303489.27059964,1327867.17999471,1349792.43280753,1421700.40021008
"Manure","Neonatal Combined",4011194.93640639,76182.3014236193,3779972.06734789,3959540.71852719,4009899.99028771,4063960.35242507,4244967.92669548
"Manure","Juvenile Female",6158540.73095629,205226.407993721,5582712.28544322,6017672.33130497,6160421.5678712,6293077.25471414,6816799.40663847
"Manure","Juvenile Male",1459551.28290242,50157.0058453619,1312416.70543412,1427883.85254651,1461068.61163286,1492274.67294369,1617341.27532434
"Manure","Juvenile Combined",7618092.01385871,208668.556098943,7009524.68507986,7483231.34616313,7615434.42388653,7753242.77059239,8320366.5897403
"Manure","Adult Female",19027384.408244,1126847.36828405,14995924.2521376,18297468.8408475,18993280.5081765,19697646.2025563,22375956.4795427
"Manure","Adult Male",1310839.86197129,79638.3565426839,1070363.87120893,1253928.69129338,1311767.4263697,1364657.14444613,1549696.83312751
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",1882.63024074715,0.0438703134551802,1882.49996770122,1882.60143996816,1882.63043403174,1882.65949537276,1882.80009265191
"Hides","Juvenile Female",463.597213211753,0.0207642744741481,463.535451179201,463.583432480482,463.597070951202,463.610868240027,463.677409044385
"Hides","Juvenile Male",99.9904708453127,0.0196095691030906,99.9321039082005,99.9774348326446,99.9903093121706,100.003236828716,100.06603274981
"Hides","Juvenile Combined",563.587684057066,0.0403732442021115,563.467555087401,563.560820019385,563.587346108069,563.614061311062,563.743441794195
"Hides","Adult Female",1319.04255669009,0.00358548435235213,1319.03187196766,1319.04024543497,1319.04255298594,1319.04504160776,1319.05665085772
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",85042872.3052051,4658873.11911693,68923485.0747808,82025146.7209338,85066471.0621048,88063064.1953585,102549163.209332
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",133550452.288765,12075465.0802841,92397571.2225257,125054142.916819,133903165.652866,141875292.787431,167887040.10908
"Cml Dry Matter","Neonatal Female",15600683.5174618,885550.665945238,12144272.5914143,15034101.2447336,15632263.820087,16225794.3254054,18171233.2271184
"Cml Dry Matter","Neonatal Male",4071912.39859313,470292.316532366,2686000.99438511,3734601.07707858,4092934.17689447,4383931.1020862,5553137.69490516
"Cml Dry Matter","Neonatal Combined",19672595.9160549,994593.7738578,16395260.3623623,19026548.8832976,19725783.5316987,20356711.8703006,22516327.9455295
"Cml Dry Matter","Juvenile Female",26755246.9957258,3949263.54665954,12855421.8795191,24080692.5104899,26796389.7701806,29442646.671206,41003974.570706
"Cml Dry Matter","Juvenile Male",6408699.23086018,1014247.25015319,3457726.29964258,5720534.13741329,6400875.3183384,7066036.3899419,9637179.33081305
"Cml Dry Matter","Juvenile Combined",33163946.226586,4083935.43066587,19092417.3813847,30264732.1655855,33236839.3892188,35954140.8355431,48072875.7188471
