"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",17332.9118988948,1.74090120074081,17326.9835977034,17331.7682815166,17332.9386072575,17334.0127421591,17337.7637191017
"Num Offtake","Neonatal Female",1204.53136404039,0.235317085514693,1203.72891042108,1204.37606754883,1204.53403188064,1204.68019944233,1205.18277451372
"Num Offtake","Neonatal Male",3693.29561084161,1.29414555993242,3688.87336398024,3692.45463641266,3693.31353393508,3694.12834091852,3696.78186667476
"Num Offtake","Neonatal Combined",4897.826974882,1.52924037260113,4892.60227440132,4896.82753647362,4897.84632094776,4898.81529914776,4901.94777795623
"Num Offtake","Juvenile Female",4148.36935644508,0.189169354032067,4147.7680449947,4148.25180357548,4148.37255495813,4148.49347158516,4148.99820258488
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",4148.36935644508,0.189169354032067,4147.7680449947,4148.25180357548,4148.37255495813,4148.49347158516,4148.99820258488
"Num Offtake","Adult Female",7938.83359496436,0.021862781413126,7938.76709515808,7938.81976658302,7938.83326568545,7938.84761872343,7938.91076086206
"Num Offtake","Adult Male",347.881972603387,0.0152175280835809,347.835606390499,347.872350273948,347.881744587696,347.891740136173,347.935682486098
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-2712.37728807352,8.99719155814627,-2740.27686533171,-2718.65389602145,-2712.38986453059,-2706.37770230225,-2678.83422407058
"Cml Pop Growth","Neonatal Female",-1342.7900102382,3.3263174228177,-1352.58391645977,-1345.0604762087,-1342.79968778957,-1340.54660942234,-1329.2700258573
"Cml Pop Growth","Neonatal Male",2715.94205158382,2.79475425341745,2707.51894277168,2714.06496463091,2715.85739063542,2717.79331228013,2727.47836125119
"Cml Pop Growth","Neonatal Combined",1373.15204134563,6.10264796386021,1355.08766380757,1368.99284839037,1373.04949959157,1377.18889074916,1398.20833539389
"Cml Pop Growth","Juvenile Female",-1524.45415138426,1.60548073891596,-1529.94386674772,-1525.50106006252,-1524.44161667463,-1523.41234011505,-1520.13941367024
