"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",17447.4696721945,1.7012012413943,17441.0225688509,17446.3341445956,17447.4767936285,17448.6298125372,17454.3019985697
"Num Offtake","Neonatal Female",1204.88063528871,0.229633486868362,1204.01163475213,1204.72936983718,1204.88125722357,1205.03676507385,1205.80928834865
"Num Offtake","Neonatal Male",3695.403533653,1.26350892636461,3690.61815229502,3694.58107709735,3695.40438929835,3696.27938082367,3700.64026598022
"Num Offtake","Neonatal Combined",4900.28416894171,1.49293310176922,4894.62978704715,4899.31087081766,4900.28946481224,4901.32299951389,4906.44955432887
"Num Offtake","Juvenile Female",4245.75005994141,0.1861554589382,4245.08072176449,4245.62182325997,4245.74802283183,4245.87910922176,4246.33623490299
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",4245.75005994141,0.1861554589382,4245.08072176449,4245.62182325997,4245.74802283183,4245.87910922176,4246.33623490299
"Num Offtake","Adult Female",7952.04597338492,0.0213366480966519,7951.96937026069,7952.03216966822,7952.04537376596,7952.06013614149,7952.10956255386
"Num Offtake","Adult Male",349.389469926469,0.0148552681511813,349.336143374417,349.37984351126,349.389025288807,349.399343041878,349.433793314435
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-1684.23096105001,8.64151897042541,-1716.4314944053,-1690.2098198294,-1684.50744634755,-1678.6903223333,-1658.20516304528
"Cml Pop Growth","Neonatal Female",-1327.06313867624,3.17520489794099,-1337.56796937094,-1329.20455051074,-1327.0504053246,-1324.95269239437,-1317.72852042322
"Cml Pop Growth","Neonatal Male",2730.14523338508,2.67632919371957,2722.23550804973,2728.34757472309,2730.16783646902,2731.84967474778,2738.95407566234
"Cml Pop Growth","Neonatal Combined",1403.08209470885,5.8313163844537,1384.66753867879,1399.10151224675,1403.14321922128,1406.94320680188,1421.16836766656
"Cml Pop Growth","Juvenile Female",-873.986274744639,1.59993340538047,-880.021694701234,-875.056271794474,-874.006623198116,-872.867319166442,-867.17689016409
"Cml Pop Growth","Juvenile Male",3586.06905004556,1.48638375866722,3580.46315860299,3585.08839696293,3586.03702739063,3587.12095715963,3592.4416741438
"Cml Pop Growth","Juvenile Combined",2712.08277530093,3.08614713217516,2700.44146390175,2710.02583888856,2712.02845732006,2714.26544447241,2725.26478397971
"Cml Pop Growth","Adult Female",-7068.73102045817,0.294203014252146,-7069.79223841467,-7068.93454836617,-7068.73212642176,-7068.52671799769,-7067.77218817833
"Cml Pop Growth","Adult Male",1269.33518939839,0.300475918532115,1268.25174142883,1269.12846624521,1269.33396768601,1269.54539665629,1270.30519422592
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",15763.2387111445,10.1131046374677,15724.5910744456,15756.2724555475,15763.0217763234,15769.7585297877,15796.0968355244
"Total Number Increase","Neonatal Female",-122.182503387527,3.33553526133066,-133.556334618815,-124.395443267856,-122.182080679927,-119.950124276225,-112.500074090067
"Total Number Increase","Neonatal Male",6425.54876703808,3.55732504401715,6412.85366034476,6423.17769047975,6425.54146276915,6427.90451951006,6435.50995161944
"Total Number Increase","Neonatal Combined",6303.36626365056,6.8867461775168,6279.29732572594,6298.80325784471,6303.39410983296,6307.92308772819,6323.00987752937
"Total Number Increase","Juvenile Female",3371.76378519677,1.77296634147522,3365.05902706326,3370.62029478844,3371.76814648992,3373.00938460762,3379.1593447389
"Total Number Increase","Juvenile Male",3586.06905004556,1.48638375866722,3580.46315860299,3585.08839696293,3586.03702739063,3587.12095715963,3592.4416741438
"Total Number Increase","Juvenile Combined",6957.83283524233,3.25783017182253,6945.52218566624,6955.68552777244,6957.81757129298,6960.11480237506,6971.6010188827
"Total Number Increase","Adult Female",883.31495292675,0.31491354921385,882.180986029653,883.099984697415,883.312819657611,883.531668449684,884.321500824707
"Total Number Increase","Adult Male",1618.72465932486,0.314905478448118,1617.59057702381,1618.50981244419,1618.72198886029,1618.94166639298,1619.72771456073
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",4887.212579926,0.543525705004781,4885.15345985661,4886.85505971347,4887.21341688863,4887.58328113912,4889.42712753092
"Total Mortality","Neonatal Female",1522.53098459209,0.290173224315476,1521.43288391405,1522.33984006698,1522.5317704916,1522.72827586604,1523.70446436784
"Total Mortality","Neonatal Male",723.466325602489,0.247363015161524,722.529469252124,723.305309459903,723.466493116156,723.63779427393,724.49154502993
"Total Mortality","Neonatal Combined",2245.99731019458,0.537392395150948,2243.96235316618,2245.64205723602,2245.99775590206,2246.36667454556,2248.19600939777
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",2641.21526973142,0.00708681526069271,2641.18982655087,2641.21068492552,2641.21507057227,2641.21997378985,2641.23639041967
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",85649857.7409595,5738.04009040715,85628109.9146227,85646084.7720976,85649874.9258044,85653726.8622513,85673095.5586879
"Value of Total Mortality","Neonatal Female",16924454.4247257,3225.56556149087,16912247.9375886,16922329.6621845,16924463.1607846,16926647.5145269,16937498.8259129
"Value of Total Mortality","Neonatal Male",6931530.86559745,2369.98504826256,6922554.8449046,6929988.16993533,6931532.4705459,6933173.70693852,6941353.49293176
"Value of Total Mortality","Neonatal Combined",23855985.2903232,5594.0789207728,23834802.7824932,23852281.0509247,23855993.6535573,23859838.0016492,23878852.3188447
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",61793872.4506363,165.803129839263,61793277.1819842,61793765.1845174,61793867.7911087,61793982.5067874,61794366.5902587
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",12402796.6498577,4297042.11721808,3184669.02525271,8894301.87581768,12510226.0959005,15766997.238321,22559229.3441294
