"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",878711.870918904,2571.74995487001,872780.527796976,876867.073895193,878469.609124713,880327.37592377,888624.259688566
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",69735.9834742027,365.791063269235,68883.8116556741,69477.46219318,69700.7126313173,69964.5803527006,71149.353910483
"Num Offtake","Juvenile Male",188748.102465152,1706.56959997622,184759.080753085,187542.584625578,188577.995158648,189820.966073727,195346.881286999
"Num Offtake","Juvenile Combined",258484.085939354,2072.34020073038,253642.892408759,257019.21432456,258283.497096263,259786.28994297,266496.235197482
"Num Offtake","Adult Female",155408.551899504,42.563821374637,155318.171296637,155376.177501364,155404.026523496,155435.175683146,155571.345185192
"Num Offtake","Adult Male",464819.233080046,466.103091032991,463819.46409158,464469.934420626,464771.093933465,465116.309552967,466587.994332364
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",1492041.50696913,86593.9320727179,1272188.6364902,1430995.02066301,1483985.32730223,1546307.4407686,1809203.93604628
"Cml Pop Growth","Neonatal Female",89951.6548086501,30472.2642070262,15947.2097723188,67308.9739979904,88059.1801111277,108890.097633505,188944.17911895
"Cml Pop Growth","Neonatal Male",393500.878808592,30472.2642070262,319496.43377226,370858.197997933,391608.404111069,412439.321633448,492493.403118892
"Cml Pop Growth","Neonatal Combined",483452.533617242,60944.5284140524,335443.643544579,438167.171995923,479667.584222197,521329.419266953,681437.582237841
"Cml Pop Growth","Juvenile Female",588879.275154157,14469.9245524779,552066.716273036,578506.55835494,587432.665590991,598568.289781332,643987.168320729
"Cml Pop Growth","Juvenile Male",407829.66417072,13351.2172746659,373831.633773405,398243.214528677,406599.548587389,416847.649179246,458691.33371681
"Cml Pop Growth","Juvenile Combined",996708.939324877,27817.9990062322,925898.35004644,976759.348539567,994073.616912183,1015506.96431112,1102678.50203754
"Cml Pop Growth","Adult Female",181780.357005256,2719.15948391993,175431.442341065,179856.108556319,181518.19789485,183485.943935591,192294.114990454
"Cml Pop Growth","Adult Male",-169900.322978247,2213.16043791025,-175133.400414885,-171460.427349145,-170105.95425578,-168474.49974392,-161332.952946247
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",2370753.37788803,88412.9051705758,2145887.63222431,2307641.08905151,2362759.58176242,2425748.89326666,2696782.66500781
"Total Number Increase","Neonatal Female",89951.6548086501,30472.2642070262,15947.2097723188,67308.9739979904,88059.1801111277,108890.097633505,188944.17911895
"Total Number Increase","Neonatal Male",393500.878808592,30472.2642070262,319496.43377226,370858.197997933,391608.404111069,412439.321633448,492493.403118892
"Total Number Increase","Neonatal Combined",483452.533617242,60944.5284140524,335443.643544579,438167.171995923,479667.584222197,521329.419266953,681437.582237841
"Total Number Increase","Juvenile Female",658615.25862836,14810.4609224068,620950.52792871,647936.020691644,657183.042165,668526.208986191,715002.169609297
"Total Number Increase","Juvenile Male",596577.766635871,14938.6932532365,558590.714526489,585747.223865535,595156.68798273,606565.057019031,653435.081062699
"Total Number Increase","Juvenile Combined",1255193.02526423,29749.0489279321,1179541.2424552,1233730.80748674,1252330.19137669,1275101.17193233,1368437.250672
"Total Number Increase","Adult Female",337188.90890476,2760.59976975162,330749.613637702,335233.446974301,336923.360172669,338916.14655906,347859.684524355
"Total Number Increase","Adult Male",294918.910101799,2666.51499996284,288686.063676695,293035.288477465,294653.117435388,296595.259490198,305229.502010937
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",1663429089.94884,118267021.697725,1280086735.51066,1590066678.98389,1666720458.13011,1746705717.13699,1993400970.31794
"Population Liveweight (kg)","Neonatal Female",138132374.229287,31825279.4038382,39549625.9331124,116091524.708157,142472550.623722,162022886.754463,201990409.838846
"Population Liveweight (kg)","Neonatal Male",127841472.143612,28788969.9485444,47124504.0882497,108518369.584184,129894767.438484,150170372.747678,184400989.966478
"Population Liveweight (kg)","Juvenile Female",292764120.09521,51548558.227228,158888799.270806,257640071.677888,293321804.15368,331015222.42481,404424893.129864
"Population Liveweight (kg)","Juvenile Male",188657898.045116,31605100.5884965,98878817.8335752,167276803.712022,191042903.589103,212802136.548896,257280571.400734
"Population Liveweight (kg)","Juvenile Combined",481422018.140326,59724171.8733586,284625979.022213,439906438.960889,483402455.72519,523176247.984708,650909309.957946
"Population Liveweight (kg)","Adult Female",726397358.34086,87849974.7343297,434190567.939142,670288178.849041,737693565.314574,793851665.206804,878796236.821424
"Population Liveweight (kg)","Adult Male",189635867.094756,31169463.2612987,87917722.5389729,168199247.499655,193638098.284215,213425500.86647,246816579.820223
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",278564921.112893,31325871.0108222,186041821.124398,257089240.016084,281156225.36627,302088424.013225,350033943.112936
"Offtake Liveweight (kg)","Juvenile Female",14881011.6555152,2657083.84388252,7760440.81574677,12955959.0787345,15139546.3070656,16857096.7301353,20380870.2873462
"Offtake Liveweight (kg)","Juvenile Male",43907643.064673,7348750.80243127,22822998.2824022,38720515.590509,44086324.2293982,49627789.0303631,60098342.293657
"Offtake Liveweight (kg)","Adult Female",44990827.3383015,5484784.20335815,26313982.0976342,41455586.8386082,45613709.3313328,49333237.0081523,54347506.0069022
"Offtake Liveweight (kg)","Adult Male",174785439.054403,29763527.3026245,86263268.6270141,153487525.996367,177935113.330271,197286599.459806,231552111.701245
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",864124391.128912,31634409.5700638,756818896.42765,843357553.300329,864096778.446037,885276854.152594,960657446.126808
"Manure","Overall",3236408567.13239,100962389.750441,2956527353.36738,3167470941.45999,3238719997.83621,3302451451.19391,3581857065.90256
"Manure","Neonatal Female",281603029.174128,8515459.01109178,254051590.648247,275547672.752018,281936521.59886,287222067.328835,305943291.922466
"Manure","Neonatal Male",216753314.652889,7350777.14720437,193839689.57706,211396617.006097,216360389.06441,221584782.689092,240506355.65619
"Manure","Neonatal Combined",498356343.827017,13033034.2611957,453485615.173508,489766387.738133,498144780.156206,506787932.703548,542959401.939626
"Manure","Juvenile Female",464732478.229595,14792578.1856124,415855492.938891,454602184.359098,465048582.969895,474533605.530993,509375500.341967
"Manure","Juvenile Male",258258582.190228,9287347.74054684,229350812.018527,252051020.79981,257956089.826808,264760996.577976,290735407.993423
"Manure","Juvenile Combined",722991060.419824,17780676.3512197,666751818.136159,711359447.734594,722825100.380968,735704066.364789,776533822.008444
"Manure","Adult Female",1637038460.6822,94869579.3281962,1355209749.79134,1586024929.8805,1644563424.4797,1702993237.05428,1991900621.78099
"Manure","Adult Male",378022702.203349,22404888.0062662,311561410.093895,363580948.248846,377929383.934912,392529366.862174,444808848.290466
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",0,0,0,0,0,0,0
"Hides","Juvenile Female",0,0,0,0,0,0,0
"Hides","Juvenile Male",0,0,0,0,0,0,0
"Hides","Juvenile Combined",0,0,0,0,0,0,0
"Hides","Adult Female",0,0,0,0,0,0,0
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",2132366144.24097,312600936.503304,1235121667.20109,1912902890.71428,2124196906.10721,2338331854.98769,3111690780.38333
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",14300529944.8992,308772549.978976,13263058747.4092,14097747305.3342,14311537128.4448,14507498405.5978,15365967352.8823
"Cml Dry Matter","Neonatal Female",1244021951.28042,83588989.7350551,988574576.128076,1183220031.95968,1248004666.45414,1303578638.02163,1461669220.07635
"Cml Dry Matter","Neonatal Male",1030005540.3474,69157725.5633693,783217083.945691,981207005.611268,1031633510.78644,1075413744.6065,1259118853.06957
"Cml Dry Matter","Neonatal Combined",2274027491.62782,113418114.169932,1903166060.4804,2193926480.71314,2276196988.25056,2351418019.77118,2641965784.31747
"Cml Dry Matter","Juvenile Female",2241219055.80782,119521955.994952,1846288529.95931,2161142705.62834,2237104920.75737,2319877942.26249,2657009253.84397
"Cml Dry Matter","Juvenile Male",1359172075.90124,68253251.943935,1142889591.22857,1315743525.05539,1360630514.27613,1405093785.32315,1578728118.88486
"Cml Dry Matter","Juvenile Combined",3600391131.70906,137213980.192713,3194172083.0229,3513018818.72572,3601095766.47993,3688496923.15752,4082731729.92248
"Cml Dry Matter","Adult Female",6488718890.04673,232945240.106607,5564058882.39166,6340895323.5316,6500619993.762,6649166296.7604,7149819743.86222
"Cml Dry Matter","Adult Male",1937392431.51559,96474309.6251343,1515543179.98138,1876180650.41981,1938847855.9704,2005110204.79745,2236625240.67828
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",23285884696.361,2836576272.53463,15421190845.2707,21159749573.9174,23365361432.6566,25439821664.0883,30653646835.2631
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",1051510389.53274,177360913.772196,585687711.741649,927474266.633748,1056351676.34613,1193384975.80236,1394180672.77729
"Value of Offtake","Juvenile Male",3359251214.63081,789638638.441822,1127672438.70519,2755870142.09475,3406364938.65522,3970952281.52162,4970020280.88756
"Value of Offtake","Juvenile Combined",4410761604.16355,818542392.858154,1771022447.02846,3806637561.35228,4455143225.91381,5043241413.49707,6279177146.78002
"Value of Offtake","Adult Female",2667896494.64865,425711648.654214,1660311433.70488,2342867663.39091,2638895360.87915,2970689570.97759,3731230796.07957
"Value of Offtake","Adult Male",16207226597.5487,2599570426.92508,9163860510.48708,14295532070.6943,16212017976.8421,18191057695.2682,21839428837.8433
"Value of Offtake","Oxen",0,0,0,0,0,0,0
"Value of draught","Overall",0,0,0,0,0,0,0
"Value of draught","Oxen",0,0,0,0,0,0,0
"Value of Herd Increase","Overall",18479070447.0037,2740147491.10029,10977973617.0051,16519398260.178,18524126826.5154,20319767961.4202,28304558768.8857
"Value of Herd Increase","Neonatal Female",879393833.281602,316266857.02868,178202019.923811,645815362.926623,846173814.933805,1074615778.374,2140466069.35976
"Value of Herd Increase","Neonatal Male",4350573862.38128,755829479.499359,2685863643.10872,3800282600.76338,4320020785.62478,4826602354.63068,7278548589.9542
"Value of Herd Increase","Neonatal Combined",5229967695.66288,922287406.784196,3048774250.17509,4606324653.05004,5179665647.10508,5786061998.87306,8790685609.71019
"Value of Herd Increase","Juvenile Female",8860206293.20569,1506047207.70661,4573348135.34137,7761202004.30826,8973319373.28956,10037103384.6371,12474707347.7865
"Value of Herd Increase","Juvenile Male",7178297237.06334,1711732261.40911,2353669852.12638,5982366645.40371,7282700648.34198,8476613825.05964,11200915524.0569
"Value of Herd Increase","Juvenile Combined",16038503530.269,2236644400.21459,9546337524.38644,14402601589.1926,16101889395.5891,17633412087.8206,21768848884.1096
