"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",843739.334727409,2416.3546817999,838105.698687791,842000.770427471,843485.77013364,845164.797479848,856285.385161339
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",66260.7160765515,344.005082227478,65406.3048137949,66011.9924517083,66217.4971732348,66469.9085716288,68026.5047052635
"Num Offtake","Juvenile Male",179458.593119434,1602.62633360009,175714.06703286,178310.687390139,179301.908429228,180402.111139917,187678.790063235
"Num Offtake","Juvenile Combined",245719.309195985,1945.62175836216,241120.371846655,244331.599745804,245518.442204512,246872.177376839,255705.294768498
"Num Offtake","Adult Female",154974.20775962,41.0630391131687,154881.842660342,154944.450272392,154968.546915792,154998.464159727,155191.48844011
"Num Offtake","Adult Male",443045.817771803,439.870205040168,442103.484180794,442733.65866562,443000.351759186,443308.987646916,445388.601952731
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",1028667.58781664,81857.4280847923,835854.298425925,970305.5539147,1020733.22639154,1081668.2922758,1317171.48813605
"Cml Pop Growth","Neonatal Female",-11742.8837364885,28840.0281076084,-76401.8089617922,-33323.3537142228,-14090.4257770419,6763.41372634779,99570.9075547922
"Cml Pop Growth","Neonatal Male",313706.205314422,28834.4270890818,250694.424267111,292591.03085897,311650.684684256,332060.585724474,421814.096796007
"Cml Pop Growth","Neonatal Combined",301963.321577933,57637.5997983581,174351.014006594,259248.362849227,297255.664587996,338095.60170787,521385.004350799
"Cml Pop Growth","Juvenile Female",458287.637658872,13462.515049715,424560.91188443,448759.335587308,456816.526671264,467262.989633828,517541.557554735
"Cml Pop Growth","Juvenile Male",334452.643686523,12436.2628522613,302586.135847212,325576.510552169,333229.335862773,342837.313822902,388451.708806553
"Cml Pop Growth","Juvenile Combined",792740.281345395,25875.0340918765,727147.047731642,774267.662635193,790096.134018918,810481.625346332,905993.266361288
"Cml Pop Growth","Adult Female",156038.726470749,2555.3453209274,149677.114035078,154200.711872352,155715.739283224,157587.737731528,169125.870266905
"Cml Pop Growth","Adult Male",-222074.741577441,2021.32867357259,-226856.819393032,-223519.508017576,-222263.074504961,-220879.384851735,-211887.743960391
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1872406.92254404,83530.9511766299,1674971.67943157,1812472.16491749,1865460.55446903,1926888.47916685,2166909.85802556
"Total Number Increase","Neonatal Female",-11742.8837364885,28840.0281076084,-76401.8089617922,-33323.3537142228,-14090.4257770419,6763.41372634779,99570.9075547922
"Total Number Increase","Neonatal Male",313706.205314422,28834.4270890818,250694.424267111,292591.03085897,311650.684684256,332060.585724474,421814.096796007
