"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",846513.484739322,93.8530463028184,846219.974550437,846451.766686172,846513.566654463,846575.260105955,846762.151210269
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",64742.4971049365,24.1922878739013,64663.7959481086,64726.0515798505,64742.3322088231,64758.8758001888,64833.9715533351
"Num Offtake","Juvenile Male",172322.335105308,68.7561753123747,172119.984277546,172274.803960818,172320.794524907,172367.75704476,172521.541551855
"Num Offtake","Juvenile Combined",237064.832210245,73.77884831805,236834.607635346,237016.872366316,237065.648076506,237112.983388151,237259.204396834
"Num Offtake","Adult Female",148905.220435257,3.26323594828533,148894.661275696,148903.008934685,148905.291248128,148907.425733043,148916.615957212
"Num Offtake","Adult Male",460543.43209382,20.5505915791125,460482.53769284,460529.082670123,460543.265684884,460557.460480946,460599.389161446
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",352744.691993252,2735.13112399403,342725.320629225,350916.169302343,352693.716883708,354640.444910948,360997.224496186
"Cml Pop Growth","Neonatal Female",-190522.377027517,1472.28851938888,-195671.609390417,-191487.010978179,-190558.746889925,-189510.981299748,-186628.621715034
"Cml Pop Growth","Neonatal Male",134806.062787596,1150.43136041889,131673.024291859,134013.17157751,134800.217114727,135572.720044335,138345.249489948
"Cml Pop Growth","Neonatal Combined",-55716.314239921,1866.53061956285,-61753.1164917559,-57027.9334064391,-55743.1103964731,-54431.1834068167,-50083.4487040954
"Cml Pop Growth","Juvenile Female",383278.760228643,852.484113045957,380637.146730786,382737.581728485,383292.121159518,383849.964936777,386277.070615212
"Cml Pop Growth","Juvenile Male",264438.629259404,513.831779295495,263142.249846255,264086.641203974,264423.082899919,264791.065396383,266033.497340507
