"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",838221.766917835,80.8699263904419,837982.451311512,838165.624688502,838221.395073752,838276.370282325,838498.243636223
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",67246.4800816897,20.1400130112112,67179.5968330961,67232.9229796,67246.4723179356,67259.7895610027,67306.0927216148
"Num Offtake","Juvenile Male",178468.80782508,60.7610207307911,178261.286331827,178425.739080425,178468.495279059,178509.341718999,178652.61431832
"Num Offtake","Juvenile Combined",245715.28790677,64.8832913974191,245527.156047745,245672.027951432,245715.296342485,245757.512748085,245939.359687451
"Num Offtake","Adult Female",149237.851647297,2.37112816849225,149230.241987717,149236.285198555,149237.802182497,149239.473018011,149244.513228385
"Num Offtake","Adult Male",443268.627363769,16.2589712406389,443214.259018639,443257.37701392,443268.763688344,443279.089661434,443316.703728252
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",466265.544023688,2821.52029154642,457794.854244807,464195.844356301,466337.275873467,468134.345849733,476239.167090112
"Cml Pop Growth","Neonatal Female",-188736.049785024,1489.58177548906,-193125.884644687,-189772.906003712,-188743.552514103,-187752.452005086,-183783.380959695
"Cml Pop Growth","Neonatal Male",136699.151381516,1146.50009179981,133508.502718431,135917.409554834,136698.181993164,137502.329479688,140434.70643273
"Cml Pop Growth","Neonatal Combined",-52036.8984035086,1943.08386743336,-57316.0137662711,-53484.1782263384,-51999.3241090603,-50667.1472520993,-45431.5834148281
"Cml Pop Growth","Juvenile Female",466474.824774163,767.794546254669,464100.844899268,465952.143049723,466467.66823564,466977.455376716,468825.006973645
"Cml Pop Growth","Juvenile Male",305626.437463565,488.237666796698,304058.262702051,305278.658678483,305609.876227884,305946.174560905,307018.219975046
"Cml Pop Growth","Juvenile Combined",772101.262237728,936.956081036291,769344.820386874,771471.562144945,772127.562356722,772677.705815244,775044.521350965
"Cml Pop Growth","Adult Female",-29924.840027091,146.450060484208,-30411.4244696107,-30022.7958802521,-29925.0419183122,-29827.6681427445,-29490.7070557619
"Cml Pop Growth","Adult Male",-223873.97978344,77.0845767911608,-224136.570456927,-223929.326621784,-223874.255483703,-223821.833573161,-223641.307770642
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1304487.31094152,2866.63289252805,1295858.9893614,1302387.07903518,1304567.05466292,1306387.84825771,1314658.74042624
"Total Number Increase","Neonatal Female",-188736.049785024,1489.58177548906,-193125.884644687,-189772.906003712,-188743.552514103,-187752.452005086,-183783.380959695
"Total Number Increase","Neonatal Male",136699.151381516,1146.50009179981,133508.502718431,135917.409554834,136698.181993164,137502.329479688,140434.70643273
"Total Number Increase","Neonatal Combined",-52036.8984035086,1943.08386743336,-57316.0137662711,-53484.1782263384,-51999.3241090603,-50667.1472520993,-45431.5834148281
"Total Number Increase","Juvenile Female",533721.304855853,786.490013703573,531280.441732364,533189.351123816,533714.050739576,534235.32002002,536122.191024666
"Total Number Increase","Juvenile Male",484095.245288645,544.147683638683,482319.549033878,483706.540172216,484080.047900537,484444.696872322,485670.834293366
"Total Number Increase","Juvenile Combined",1017816.5501445,985.196291813513,1014932.01416009,1017159.71701309,1017845.86925544,1018426.93535166,1020957.69340785
"Total Number Increase","Adult Female",119313.011620206,148.758380895367,118818.817518107,119213.54471282,119312.712484711,119411.345745636,119753.806172623
"Total Number Increase","Adult Male",219394.647580328,92.8153314642396,219077.688561712,219328.806255335,219394.214187223,219456.964088237,219675.39595761
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",501683.813732768,2719.38970909314,491434.229729503,499822.301528377,501744.833108948,503555.584140112,509597.423237521
"Total Mortality","Neonatal Female",136484.980770818,2179.29338447764,129271.270201588,135009.912191067,136577.614083004,138018.564845834,142503.638350776
"Total Mortality","Neonatal Male",99098.9429577956,1591.09659072489,94348.3253240734,98028.2775743695,99118.5267736558,100262.972257575,103325.761957642
"Total Mortality","Neonatal Combined",235583.923728613,2721.70699969048,225324.104177584,233717.625008758,235645.801835462,237455.131145055,243504.646092914
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",206637.025357796,3.28310054098911,206626.48890607,206634.856428769,206636.956868073,206639.270332631,206646.249085456
"Total Mortality","Adult Male",59462.8646463592,2.18108150789075,59455.5713317686,59461.3554530869,59462.8829338023,59464.2681253144,59469.3139147654
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",8023601876.58264,26929121.0274893,7921895789.17265,8005017517.11004,8024302850.96492,8042275486.89357,8102047826.70454
"Value of Total Mortality","Neonatal Female",1375916095.0575,21969632.3113396,1303194097.21397,1361045809.77973,1376849938.94607,1391376279.76077,1436590667.36674
"Value of Total Mortality","Neonatal Male",950851368.342353,15266523.7922864,905269335.450036,940578366.285197,951039274.464782,962020194.360584,991407569.143111
"Value of Total Mortality","Neonatal Combined",2326767463.39985,26981377.2861788,2224818141.76239,2308124860.879,2327445926.79042,2345472700.77856,2405386270.0007
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",3788209643.47804,60188.0186203232,3788016482.12196,3788169881.20485,3788208387.87815,3788250799.87441,3788378739.08912
"Value of Total Mortality","Adult Male",1908624769.70475,70007.8311978912,1908390670.64202,1908576327.98101,1908625356.69071,1908669818.23568,1908831776.77546
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",692198208.279484,178588082.932162,263069101.204449,551254280.641417,687078554.909569,824226423.126262,1131564794.04089
"Population Liveweight (kg)","Neonatal Female",49210601.8625574,27462761.6456918,963408.882808302,26063843.6533022,49194495.0150159,73292772.5752871,96766350.3503551
"Population Liveweight (kg)","Neonatal Male",41332664.3197747,23571842.2989304,820302.621566749,21384308.3303015,40339842.445049,60925888.1938385,82456795.9996322
