"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",831655.459530835,55.1621919880414,831479.835727841,831618.955931888,831652.915499712,831693.490344492,831837.064137198
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",65612.4984421244,14.4397868599199,65568.7997510351,65602.8972505361,65612.4880094627,65622.010997019,65658.4835106372
"Num Offtake","Juvenile Male",175021.83333251,38.3347225591055,174907.078870097,174996.851704752,175019.64848667,175048.385772259,175160.499192632
"Num Offtake","Juvenile Combined",240634.331774635,42.6328804493819,240489.365568494,240606.061835423,240632.740957186,240664.305877807,240775.853839566
"Num Offtake","Adult Female",148992.520415477,2.26525647266059,148986.524011606,148990.937181919,148992.495791889,148994.059852454,148999.977051424
"Num Offtake","Adult Male",442028.607340723,12.9931967595406,441989.018721009,442019.718966892,442027.783016165,442037.575412408,442068.862973381
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",542523.436028781,1033.70550783796,539387.096984028,541872.019131792,542565.736783253,543249.469992377,545487.378362933
"Cml Pop Growth","Neonatal Female",-103006.436897647,293.890289497477,-104060.309060559,-103196.576350809,-102994.823104777,-102782.27145913,-102010.437229579
"Cml Pop Growth","Neonatal Male",200542.787102295,293.890289497489,199488.914939383,200352.647649133,200554.400895164,200766.952540811,201538.786770363
"Cml Pop Growth","Neonatal Combined",97536.350204648,587.780578994966,95428.605878824,97156.0712983233,97559.5777903866,97984.681081681,99528.3495407844
"Cml Pop Growth","Juvenile Female",423790.911895278,446.303310586727,422187.772677033,423486.350307291,423779.576526106,424085.448725383,425321.567696208
"Cml Pop Growth","Juvenile Male",290644.068896661,259.754943567454,289817.134867329,290460.56011549,290637.021425011,290827.622607926,291422.614585035
"Cml Pop Growth","Juvenile Combined",714434.980791939,556.30788376396,712743.830151837,714046.393614064,714452.168693634,714808.403613831,716141.08785988
"Cml Pop Growth","Adult Female",-41594.3817122039,103.289181581179,-41908.5386756188,-41664.1675274244,-41594.1852238413,-41525.985675849,-41267.9914144217
"Cml Pop Growth","Adult Male",-227853.513255602,46.2710440110878,-228002.513960493,-227883.562028725,-227855.653798931,-227821.960765353,-227682.503627665
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1374178.89555962,1063.86956289513,1370866.93271187,1373492.0181611,1374212.62385065,1374935.27576949,1377180.92220113
"Total Number Increase","Neonatal Female",-103006.436897647,293.890289497477,-104060.309060559,-103196.576350809,-102994.823104777,-102782.27145913,-102010.437229579
"Total Number Increase","Neonatal Male",200542.787102295,293.890289497489,199488.914939383,200352.647649133,200554.400895164,200766.952540811,201538.786770363
"Total Number Increase","Neonatal Combined",97536.350204648,587.780578994966,95428.605878824,97156.0712983233,97559.5777903866,97984.681081681,99528.3495407844
"Total Number Increase","Juvenile Female",489403.410337402,456.944388212922,487761.597114809,489098.139470508,489394.273487924,489697.247888229,490977.027622964
"Total Number Increase","Juvenile Male",465665.902229171,288.681988060638,464724.213737426,465468.723407147,465655.501389254,465869.098863327,466583.113777667
"Total Number Increase","Juvenile Combined",955069.312566573,582.699045477615,953233.19572033,954649.204428788,955090.140430098,955474.380127519,956817.854870384
"Total Number Increase","Adult Female",107398.138703273,105.404793495738,107077.985335987,107327.503019008,107398.093807202,107467.613220154,107731.985637002
"Total Number Increase","Adult Male",214175.094085121,58.2580600517789,213999.374480277,214137.048665494,214171.88570743,214214.660489918,214386.359345717
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",429029.630301169,598.266579740001,427161.333764391,428634.139858433,429028.998888812,429441.767406765,431021.730638632
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",106003.788920115,520.585834573909,104117.239680102,105672.179567658,106017.312595751,106330.191957093,107932.441131315
"Total Mortality","Juvenile Male",57431.9849242368,288.04257767394,56572.6618066715,57224.5356626751,57431.3028933237,57645.0532895672,58415.7814260821
"Total Mortality","Juvenile Combined",163435.773844351,600.465501812148,161560.238140082,163036.559222909,163435.807231253,163849.723501319,165433.762986177
"Total Mortality","Adult Female",206297.335959892,3.13650896214545,206289.033246839,206295.143790349,206297.301865692,206299.467488013,206307.66053274
"Total Mortality","Adult Male",59296.5204969263,1.74298980920675,59291.209828428,59295.3281540953,59296.4099168026,59297.7235309328,59301.9206427707
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",8101586273.33315,7852686.4440081,8078270618.20178,8096250069.0769,8101485372.85881,8106927623.80351,8124641261.97501
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",1185320804.72449,5821124.19425249,1164225652.503,1181612791.37409,1185472024.73513,1188970601.72134,1206886746.9828
"Value of Total Mortality","Juvenile Male",1040167003.78526,5216820.99925555,1024603558.54372,1036409831.24246,1040154651.32953,1044025945.51363,1057984821.87058
"Value of Total Mortality","Juvenile Combined",2225487808.50975,7901481.82461411,2202042138.67206,2220097805.61091,2225377292.48189,2230817499.18937,2248727320.40553
"Value of Total Mortality","Adult Female",4107310620.15281,62446.8392210755,4107145315.92656,4107266974.79403,4107309941.34875,4107353058.16127,4107516178.92802
"Value of Total Mortality","Adult Male",1768787844.67059,51992.5817244095,1768629429.87984,1768752277.63414,1768784546.11653,1768823730.61988,1768948928.52929
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",663934297.577409,182887026.897537,195599222.235081,524761159.412794,664549229.154549,802563829.983685,1074995138.37323
"Population Liveweight (kg)","Neonatal Female",116677986.660399,27095938.4525291,39686574.8166233,98010637.7021116,119612801.975056,137798440.313134,165582251.569288
"Population Liveweight (kg)","Neonatal Male",44569265.3703273,25770123.6802004,886274.969468313,22165661.8818883,43430813.0289029,67368564.5407429,88715819.9984581
"Population Liveweight (kg)","Juvenile Female",109660655.946259,64006277.3438225,1205697.01497247,53965389.9228262,109754206.948542,167620279.208336,217116154.552189
"Population Liveweight (kg)","Juvenile Male",62081085.259678,35944695.2090811,698240.532146297,32655673.8318978,60762157.3230188,92402930.8701609,125829706.204279
"Population Liveweight (kg)","Juvenile Combined",171741741.205937,72484756.8755521,7809707.9685263,116727150.73088,172556499.88127,227386245.373442,334474782.035536
"Population Liveweight (kg)","Adult Female",276275143.572777,160557011.868029,2288491.01527871,141887359.727287,274629477.547006,421064775.375725,549276111.955431
"Population Liveweight (kg)","Adult Male",54670160.7679686,30470620.8053046,446101.854578969,29446462.8304769,54872793.7418261,80299082.4131573,107086693.899109
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",92580509.055563,35616747.8437776,14467143.6657027,63964625.9111656,93345947.9468223,121412400.114226,172746474.818928
