"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",827363.505084687,92.8796612832095,827120.450754943,827300.622634067,827360.65425329,827426.236908939,827663.186251627
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",64740.8049612757,25.390406432568,64658.6750585398,64724.55454342,64741.025641736,64757.2923199908,64835.206296193
"Num Offtake","Juvenile Male",172314.142703798,68.9023259787871,172123.490599628,172265.965306315,172312.891134686,172359.27103154,172528.938527986
"Num Offtake","Juvenile Combined",237054.947665073,73.2525487352225,236862.320442094,237003.871278221,237053.16426427,237103.913272289,237291.646640821
"Num Offtake","Adult Female",148905.026418658,3.33873480006615,148894.078885546,148902.750508744,148905.025569419,148907.295969955,148917.484354093
"Num Offtake","Adult Male",441403.531000955,20.2997474743414,441346.384464018,441389.134848918,441403.403161078,441417.106139174,441470.730451244
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",312312.476951711,2754.89263766524,303878.806219675,310462.872403277,312303.373248907,314098.093616934,320911.415725077
"Cml Pop Growth","Neonatal Female",-190690.587042379,1495.05980633107,-195402.983998042,-191610.344164902,-190677.657852065,-189707.240953122,-186079.406358498
"Cml Pop Growth","Neonatal Male",134767.140768101,1122.06694113834,130961.566134857,133998.394493202,134781.237646194,135527.288245831,138074.364517146
"Cml Pop Growth","Neonatal Combined",-55923.4462742781,1875.05197389573,-61646.155345566,-57153.1954738979,-55919.3951210301,-54667.7209394805,-49740.3552212177
"Cml Pop Growth","Juvenile Female",383198.368057372,895.721621975448,380402.199888847,382589.94460219,383238.051775425,383804.930099617,386001.688527707
"Cml Pop Growth","Juvenile Male",264391.811846299,524.325087139856,262724.651346764,264062.586015416,264397.623231699,264730.52603604,266164.254470437
"Cml Pop Growth","Juvenile Combined",647590.179903671,1019.70859102689,644571.981035988,646934.779266827,647594.752201157,648262.574842449,650514.389009781
"Cml Pop Growth","Adult Female",-47978.9048586,183.642106965017,-48570.5323864394,-48098.7602212131,-47977.895764421,-47857.866149958,-47298.4198404457
"Cml Pop Growth","Adult Male",-231375.351819082,85.9390300375672,-231614.479873503,-231433.290538168,-231377.24628969,-231316.974750724,-231115.947354481
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1139675.9820364,2800.03283157725,1131123.3733691,1137780.2265126,1139664.63471572,1141505.51376196,1148574.6019767
"Total Number Increase","Neonatal Female",-190690.587042379,1495.05980633107,-195402.983998042,-191610.344164902,-190677.657852065,-189707.240953122,-186079.406358498
