"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",868430.765065725,27.3587935036395,868327.029715174,868411.447971508,868431.061494937,868449.925738465,868517.033085724
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",68245.9366863576,3.89535486888053,68231.0888201948,68243.1734092939,68246.0045077821,68248.6444426985,68258.2891435964
"Num Offtake","Juvenile Male",181751.751118311,18.179677340872,181682.340414321,181738.97742419,181751.976021104,181764.406359196,181809.503479483
"Num Offtake","Juvenile Combined",249997.687804668,22.0748358820438,249913.429234516,249982.168825556,249997.992865439,250013.024326236,250067.792623079
"Num Offtake","Adult Female",155260.467084182,0.449319109936523,155258.850399118,155260.150072305,155260.461092403,155260.790920408,155261.809631879
"Num Offtake","Adult Male",463172.610176874,4.92427002732645,463154.75008154,463169.106132096,463172.560917385,463176.129633944,463187.430830766
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",1010630.97832553,922.866362785208,1007824.36617698,1010015.93290023,1010614.68091374,1011266.78342374,1013263.20752143
"Cml Pop Growth","Neonatal Female",-70764.3277680566,319.315642992687,-71726.1199008108,-70978.1344795231,-70760.1275996803,-70545.6035945061,-69840.5818533846
"Cml Pop Growth","Neonatal Male",232784.896231885,319.315642992671,231823.104099131,232571.089520418,232789.096400261,233003.620405436,233708.642146557
"Cml Pop Growth","Neonatal Combined",162020.568463829,638.631285985358,160096.98419832,161592.955040895,162028.968800581,162458.01681093,163868.060293172
"Cml Pop Growth","Juvenile Female",516606.459474695,156.029156353495,516022.253748833,516499.642429447,516603.821803807,516718.103790551,517100.796294476
"Cml Pop Growth","Juvenile Male",340533.053661652,144.035353340084,339997.650643501,340434.522150618,340531.019687874,340634.702490038,340986.771415005
"Cml Pop Growth","Juvenile Combined",857139.513136346,300.034035123451,856019.904392334,856933.897356785,857134.949043665,857353.127026694,858087.567709482
"Cml Pop Growth","Adult Female",170656.395779873,28.9631670150024,170545.870782999,170636.026248106,170656.840629956,170676.489168023,170748.350919017
"Cml Pop Growth","Adult Male",-179185.499054514,23.6045624264131,-179276.093184163,-179202.243084521,-179185.335272076,-179168.83797085,-179110.081644074
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1879061.74339126,942.795795113135,1876151.39589216,1878419.27967702,1879047.58094465,1879714.96552637,1881749.00313386
"Total Number Increase","Neonatal Female",-70764.3277680566,319.315642992687,-71726.1199008108,-70978.1344795231,-70760.1275996803,-70545.6035945061,-69840.5818533846
