"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",834007.416379677,91.4555564544301,833700.065585854,833948.162766384,834005.249900645,834071.612568822,834269.944952924
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",64849.5507029061,24.4385627410937,64766.2605606679,64832.0747551753,64851.1481603951,64865.9412305124,64922.827025318
"Num Offtake","Juvenile Male",172833.773329519,68.8048665442536,172622.786316782,172788.997201438,172832.222815788,172879.925257068,173040.463270544
"Num Offtake","Juvenile Combined",237683.324032425,72.2521783010632,237439.333585685,237635.613145918,237680.916477519,237734.318303083,237897.002328743
"Num Offtake","Adult Female",154832.240406742,3.28272107110884,154821.440709225,154829.973981173,154832.329882658,154834.522367689,154842.542814049
"Num Offtake","Adult Male",441491.85194051,19.9966811186144,441423.83671459,441478.998937496,441491.577334473,441504.923466858,441551.119488152
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",580840.874465041,2772.18930580528,572209.989510181,578978.133824497,580950.308244582,582682.639488464,590580.742256138
"Cml Pop Growth","Neonatal Female",-161381.494376486,1498.41481585258,-166150.808590505,-162369.781469322,-161443.12139359,-160355.60988969,-156561.739139711
"Cml Pop Growth","Neonatal Male",164138.309896644,1156.90998330907,160455.48081038,163346.720840765,164126.698343795,164916.252256579,167630.100111175
"Cml Pop Growth","Neonatal Combined",2756.81552015823,1902.02114997179,-3647.65611099114,1478.38807834813,2767.39311225282,4048.1755045836,9277.37186429522
"Cml Pop Growth","Juvenile Female",391216.366293927,873.522481343968,388169.28383832,390589.612408025,391228.70938106,391802.966566351,393761.893306739
"Cml Pop Growth","Juvenile Male",272023.705496234,525.123130156169,270362.119151839,271655.196186879,272019.553394546,272408.63277503,273517.366100632
"Cml Pop Growth","Juvenile Combined",663240.071790161,1004.46594286361,660319.392283403,662526.465417329,663281.105518508,663912.678748535,666091.652033135
"Cml Pop Growth","Adult Female",145507.584991585,180.868864302998,144891.537053315,145378.50070866,145519.571217344,145629.564715502,146047.738388333
"Cml Pop Growth","Adult Male",-230663.597836863,86.0849263033984,-230924.999186104,-230721.063587417,-230665.933263759,-230605.280912867,-230403.189988777
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1414848.29084472,2817.76141865548,1406291.37340761,1412908.83517197,1414959.56746028,1416730.39562713,1424686.61308031
"Total Number Increase","Neonatal Female",-161381.494376486,1498.41481585258,-166150.808590505,-162369.781469322,-161443.12139359,-160355.60988969,-156561.739139711
"Total Number Increase","Neonatal Male",164138.309896644,1156.90998330907,160455.48081038,163346.720840765,164126.698343795,164916.252256579,167630.100111175
"Total Number Increase","Neonatal Combined",2756.81552015823,1902.02114997179,-3647.65611099114,1478.38807834813,2767.39311225282,4048.1755045836,9277.37186429522
"Total Number Increase","Juvenile Female",456065.916996833,894.974785576159,452935.544398988,455424.164611845,456081.994983668,456664.185083225,458676.834059458
"Total Number Increase","Juvenile Male",444857.478825754,585.185646096183,443062.369559259,444438.319703238,444848.467334539,445277.115795595,446513.838885281
"Total Number Increase","Juvenile Combined",900923.395822587,1052.43076030934,897906.539027789,900165.470552122,900971.611016351,901629.537215085,903865.088243089
"Total Number Increase","Adult Female",300339.825398327,183.985270143462,299712.97776254,300208.26427174,300352.029250844,300463.513507911,300890.281202383
"Total Number Increase","Adult Male",210828.254103647,104.946209206493,210506.661352586,210759.410477659,210825.547012452,210899.134062168,211143.809318946
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",459014.189894575,2742.35715924093,449482.910569473,457179.841041252,459040.766633463,460914.476117121,468010.604838575
"Total Mortality","Neonatal Female",137913.85904379,2241.74349782353,130639.286063445,136379.947537428,137952.793568933,139448.114979444,145909.774602035
"Total Mortality","Neonatal Male",100402.850787315,1610.79817149673,95618.4523055366,99269.0989998185,100410.715038082,101520.002488565,105829.58460071
"Total Mortality","Neonatal Combined",238316.709831105,2702.43570493361,228876.041675911,236553.04294077,238303.786317976,240124.958691911,247790.633632031
"Total Mortality","Juvenile Female",104741.697149015,516.93142515076,103144.666540409,104412.945518139,104726.486676396,105088.436235248,106327.503628862
"Total Mortality","Juvenile Male",56731.2661907278,288.479103690376,55909.5076956683,56538.1890375338,56741.697393383,56924.2130666358,57701.4998939212
"Total Mortality","Juvenile Combined",161472.963339743,603.652371445891,159696.702713759,161043.463584339,161477.073968963,161885.441567245,163451.029525149
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",59224.516723727,2.68248161347259,59215.3927300059,59222.7925403958,59224.4798863317,59226.2702211639,59232.4672484107
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",6105662373.94796,23865082.2031809,6024690429.79471,6089426275.32394,6105672102.83503,6122205816.87984,6177752860.24689
"Value of Total Mortality","Neonatal Female",1215199323.46454,19752657.2080853,1151100934.61877,1201683580.82845,1215542386.94591,1228718100.96779,1285653672.60847
"Value of Total Mortality","Neonatal Male",718346227.945251,11524680.6380718,684115580.354846,710234642.332014,718402493.826445,726339045.92146,757172553.436477
"Value of Total Mortality","Neonatal Combined",1933545551.40979,22427799.8583683,1853949531.9089,1919156166.61368,1933623019.50976,1948229567.00459,2014574517.08778
"Value of Total Mortality","Juvenile Female",1374267965.99013,6782421.11341422,1353314056.84171,1369954566.00353,1374068396.32651,1378817371.16245,1395074608.4719
"Value of Total Mortality","Juvenile Male",1115185849.1189,5670732.13420698,1099032262.10036,1111390465.6648,1115390898.82731,1118978671.66795,1134258063.94488
"Value of Total Mortality","Juvenile Combined",2489453815.10903,9042034.57368401,2462331582.17645,2483161438.09146,2489544140.3126,2495403371.80654,2518134283.62133
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",1682663007.42914,76213.5822932065,1682403780.21102,1682614020.62992,1682661960.81997,1682712827.08886,1682888894.51974
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",605411973.939841,188330148.648711,153661759.157924,460047315.230955,600799067.654867,752927919.402331,1092926363.16754
"Population Liveweight (kg)","Neonatal Female",51294304.1771716,28579109.6766619,990149.437863838,26806075.7633972,53559157.3559856,76450698.5699324,99644910.1791367
"Population Liveweight (kg)","Neonatal Male",42544069.6112434,24770457.820326,848219.134393232,21265994.4546727,42556453.8451546,64558123.6505283,85055292.0532484
"Population Liveweight (kg)","Juvenile Female",106193483.265858,59965404.9279736,1172691.24211321,55231824.3882478,105678491.2421,156477708.227616,211252428.532258
"Population Liveweight (kg)","Juvenile Male",61506417.8954136,34856150.4996948,679109.136517048,29954744.7991031,60869615.2102942,91044603.8078918,122483234.898003
"Population Liveweight (kg)","Juvenile Combined",167699901.161271,68916683.8970272,6543483.04421309,116703086.97883,165589899.483433,218836118.692633,330831942.610265
"Population Liveweight (kg)","Adult Female",292728107.777677,171097445.934293,2475881.07366887,138015936.059082,287187992.515382,440693744.382006,594202243.241499
"Population Liveweight (kg)","Adult Male",51145591.2124782,31169538.8407479,443277.814243219,23496123.4598835,49665088.6121202,78011665.1664148,106410274.397305
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",91880158.546158,34208739.7348325,9640587.41059687,64584219.457446,93393099.2948168,117989603.004341,172250722.771209
"Offtake Liveweight (kg)","Juvenile Female",5921633.89890425,3326191.45975931,64829.5418268661,3177040.60905685,5900509.79142492,8689316.41178172,11677265.5281171
"Offtake Liveweight (kg)","Juvenile Male",15468738.8996158,8853593.72521565,172815.658500667,7603797.95713301,15725731.4411672,22987342.1051623,31118877.2222921
"Offtake Liveweight (kg)","Adult Female",18607425.156933,10767710.1980658,154829.164272787,9250881.01201674,17805652.0578319,28024841.3438704,37160251.5363984
"Offtake Liveweight (kg)","Adult Male",51882360.5907049,30967660.1295316,441498.67671472,23841520.8970214,52979400.396359,78258698.3669184,105967294.563155
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",295062882.874239,34967035.2323173,172301280.16154,271468428.521439,295511588.835586,317929302.807613,398618332.22658
"Manure","Overall",3084252220.61155,104935297.334175,2762721867.58661,3013768853.87226,3080534893.0379,3159097176.92011,3421163394.25361
"Manure","Neonatal Female",245089047.354533,6080033.35046123,224966531.402077,241302768.920029,245085558.225778,249101517.881048,264189515.408972
"Manure","Neonatal Male",183813102.829813,4636943.19685517,168277817.862544,180603476.499002,183708518.525371,186850280.159677,197847639.260497
"Manure","Neonatal Combined",428902150.184346,7808238.88614693,397955846.097098,423868548.886628,428887075.965591,434302040.698537,452885300.948058
