"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",846513.234927606,97.5415762111589,846174.458089413,846444.393266329,846510.979803121,846580.187648043,846805.748653512
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",64741.656424556,24.9302332144264,64667.6807764475,64724.3004065825,64741.2369565072,64758.970331663,64814.4633455465
"Num Offtake","Juvenile Male",172322.871596372,72.0430327669069,172072.750191558,172273.107478866,172321.144481272,172372.423969731,172600.821174086
"Num Offtake","Juvenile Combined",237064.528020928,76.6575197804206,236794.48827378,237010.419395016,237063.781819269,237116.491912296,237292.656436945
"Num Offtake","Adult Female",148905.086951859,3.26838290574302,148893.450152511,148902.883816471,148904.912957014,148907.305624269,148914.683941604
"Num Offtake","Adult Male",460543.619954819,21.5748068617138,460468.422957686,460529.186089442,460543.099870936,460558.185046845,460626.253102497
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",352615.632135206,2919.80846281489,343912.767081477,350594.37745524,352617.928486076,354576.434444956,361804.71615299
"Cml Pop Growth","Neonatal Female",-190627.081828907,1475.32762739952,-195195.204920128,-191698.100393306,-190628.952239832,-189605.467181833,-185877.933948463
"Cml Pop Growth","Neonatal Male",134813.242925584,1182.26645290899,131415.612848566,133975.883694732,134809.06641414,135629.418360273,138369.775876304
"Cml Pop Growth","Neonatal Combined",-55813.8389033231,1967.16926436537,-61292.1074307945,-57184.5348955618,-55875.8990185814,-54415.6693886366,-49578.1508390981
"Cml Pop Growth","Juvenile Female",383250.445805552,877.507310944779,380506.376712576,382653.387884437,383258.887061087,383864.765702093,386068.797971273
"Cml Pop Growth","Juvenile Male",264440.735414593,539.851016560165,262667.777843204,264072.027841124,264445.572960804,264807.199776218,266073.162967355
"Cml Pop Growth","Juvenile Combined",647691.181220145,1052.80438987351,644383.640808025,646961.453485259,647694.413029877,648407.736255984,651206.864399336
"Cml Pop Growth","Adult Female",-47972.5770961295,180.369274864528,-48498.9522788422,-48097.4846751888,-47974.3351799517,-47846.7037747429,-47444.1856107186
"Cml Pop Growth","Adult Male",-191289.133085487,92.0332246008373,-191610.4115672,-191352.933386316,-191293.408331702,-191226.750212591,-190937.470017988
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1199128.86706281,2973.97626797777,1190088.05253098,1197064.00970781,1199127.27427007,1201195.28508481,1208547.13321182
"Total Number Increase","Neonatal Female",-190627.081828907,1475.32762739952,-195195.204920128,-191698.100393306,-190628.952239832,-189605.467181833,-185877.933948463
"Total Number Increase","Neonatal Male",134813.242925584,1182.26645290899,131415.612848566,133975.883694732,134809.06641414,135629.418360273,138369.775876304
"Total Number Increase","Neonatal Combined",-55813.8389033231,1967.16926436537,-61292.1074307945,-57184.5348955618,-55875.8990185814,-54415.6693886366,-49578.1508390981
"Total Number Increase","Juvenile Female",447992.102230108,899.441430197622,445192.597723454,447381.941641246,447998.81135884,448619.96015726,450883.26131682
"Total Number Increase","Juvenile Male",436763.607010965,603.241368343115,434742.114547486,436357.01158276,436767.625853104,437160.605304146,438612.17555897
"Total Number Increase","Juvenile Combined",884755.709241073,1106.4027803103,881178.129081805,883981.621652608,884769.124524838,885516.981164188,888391.455699321
"Total Number Increase","Adult Female",100932.509855729,183.471482064834,100394.497873669,100805.418345768,100930.408918641,101060.589504648,101469.536364679
"Total Number Increase","Adult Male",269254.486869332,112.567238698289,268863.67217431,269176.730435728,269251.788251987,269331.912452705,269688.783084509
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",602946.892165676,2814.50421239491,593489.68204621,600928.838579841,602991.612049289,604840.724237722,611017.782092009
"Total Mortality","Neonatal Female",136526.374953324,2202.77160378712,129039.225617863,135012.415648336,136481.35383079,138115.260542373,143419.456746472
"Total Mortality","Neonatal Male",99124.7082679351,1621.80668399982,93531.9469578097,98051.5329402114,99164.2088878137,100148.400253828,104357.993929587
"Total Mortality","Neonatal Combined",235651.083221259,2754.48931830296,225979.637069741,233692.465106102,235633.712041848,237546.407491472,243465.314489996
"Total Mortality","Juvenile Female",104585.721347658,547.127041432599,102775.401184501,104228.882988746,104582.770870701,104935.081025029,106438.509974614
"Total Mortality","Juvenile Male",56533.8133557225,276.239928759391,55745.4366362318,56338.6922520569,56522.1826150313,56731.7705708836,57407.351741174
"Total Mortality","Juvenile Combined",161119.534703381,613.585310960562,158810.072552098,160751.96454185,161119.553793354,161534.441821625,163105.065872419
"Total Mortality","Adult Female",206176.274241035,4.52545325410858,206160.161749631,206173.223745883,206176.033325096,206179.346248988,206189.562380682
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",6932485684.13789,24759923.9936216,6847442014.19902,6915054871.55212,6933028524.58583,6949368319.21216,7006339576.957
"Value of Total Mortality","Neonatal Female",991254610.235588,15993301.7213453,936893895.693539,980262454.75434,990927732.771176,1002790770.67213,1041302076.21808
"Value of Total Mortality","Neonatal Male",1037157570.04829,16969220.9829125,978639619.966753,1025928766.10438,1037570871.30934,1047868621.92545,1091914269.31177
"Value of Total Mortality","Neonatal Combined",2028412180.28388,23488251.4415996,1940280793.57436,2011843428.7072,2028366579.11612,2044833506.34873,2098224707.25769
"Value of Total Mortality","Juvenile Female",1404687208.25562,7348444.38120155,1380372860.72073,1399894524.59172,1404647580.50158,1409379446.00623,1429571948.2598
"Value of Total Mortality","Juvenile Male",577632716.28212,2822474.03674769,569577498.370893,575639071.657351,577513879.502164,579655338.799756,586558071.223067
"Value of Total Mortality","Juvenile Combined",1982319924.53773,7879083.43010891,1952905607.17421,1977479047.80882,1982513086.2292,1987641943.37754,2008560957.89271
"Value of Total Mortality","Adult Female",2921753579.31628,64130.8477024904,2921525246.8876,2921710350.31156,2921750165.26192,2921797113.18197,2921941887.45075
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",589292679.711203,178334933.686359,110776889.076272,449148926.20571,588307875.340573,723145914.529094,1094348310.27318
"Population Liveweight (kg)","Neonatal Female",47729078.6066976,27219073.5163323,963220.151366268,25021272.2489091,46300774.7801355,71385084.14877,96576318.672025
"Population Liveweight (kg)","Neonatal Male",41597992.6534482,23708337.9474296,819699.911550836,21118248.5158952,42275534.9432982,62403783.4669918,82180913.667835
"Population Liveweight (kg)","Juvenile Female",106437563.873909,60459709.8241784,1165288.59280171,54461812.706856,108476564.002842,158573104.567133,209934406.879007
"Population Liveweight (kg)","Juvenile Male",59752386.7796832,35101340.9624342,671142.46052524,29391186.989189,59191664.9457396,90065058.8375954,121129748.280388
"Population Liveweight (kg)","Juvenile Combined",166189950.653592,68461222.9844753,7895577.82171551,114024763.576988,165447045.193949,218412435.643874,324004080.522915
"Population Liveweight (kg)","Adult Female",276607906.260246,153150774.164419,2282098.37530716,150630653.692936,272706344.493939,397717341.105995,547771635.891416
"Population Liveweight (kg)","Adult Male",57167751.5372184,33431434.3168726,482710.480939074,29805515.4117294,54547778.6096767,86405130.7443243,115401912.520243
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",95087766.071238,36419568.6987302,11691630.8124213,66693534.0719237,94613755.2202247,123094312.927872,177415490.900739
"Offtake Liveweight (kg)","Juvenile Female",5895288.8044589,3354235.35970419,64734.2193933654,3045660.52529844,5951528.34165864,8801732.27485154,11662835.6571305
"Offtake Liveweight (kg)","Juvenile Male",15944603.831048,8849439.31107247,172266.731119716,8227522.51618488,16545060.7107888,23605634.3125226,31035960.2892398
"Offtake Liveweight (kg)","Adult Female",17851340.191035,10177886.4987401,148902.576558704,9380886.25441543,17719554.1265602,26505065.3739795,35736837.6184926
"Offtake Liveweight (kg)","Adult Male",55396533.2446961,32424197.4539135,460514.879989355,27057133.5291254,54805094.5395683,83355707.9506541,110534565.862955
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
