"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",831652.481569332,56.0143978205108,831446.521981535,831615.671732463,831650.828434972,831689.16665966,831820.591979327
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",65612.1193201134,14.6649066677634,65561.481154851,65602.7929285313,65612.1276593004,65621.8696720674,65661.0149764811
"Num Offtake","Juvenile Male",175019.988533638,39.4075586155357,174888.239960029,174993.339931086,175019.153603347,175046.126102989,175159.825219568
"Num Offtake","Juvenile Combined",240632.107853751,43.2435479589538,240467.711227155,240603.487599292,240630.734600032,240659.942109357,240764.600026301
"Num Offtake","Adult Female",148992.450227491,2.29913482365107,148984.650272378,148990.874695504,148992.467377215,148994.020952123,148999.897302441
"Num Offtake","Adult Male",442027.923488089,13.3430208690522,441989.664897112,442019.245513299,442027.853562462,442036.749697072,442073.650328905
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",542505.840246525,1029.31739224812,539132.730180263,541823.81922933,542495.859575988,543162.893952393,545723.170909178
"Cml Pop Growth","Neonatal Female",-103006.318754264,293.445479007143,-104077.784442819,-103201.659976449,-103009.175539944,-102820.904718747,-102097.789496344
"Cml Pop Growth","Neonatal Male",200542.905245678,293.445479007153,199471.439557123,200347.564023493,200540.048459998,200728.319281195,201451.434503598
"Cml Pop Growth","Neonatal Combined",97536.586491414,586.890958014296,95393.6551143043,97145.9040470438,97530.8729200544,97907.414562448,99353.6450072541
"Cml Pop Growth","Juvenile Female",423783.774233248,453.996301043028,422291.427485998,423481.634514064,423794.224033712,424082.524764817,425296.784481785
"Cml Pop Growth","Juvenile Male",290638.140366157,259.878944566987,289826.050859914,290454.798036879,290642.077963537,290824.659181087,291451.276644026
"Cml Pop Growth","Juvenile Combined",714421.914599405,561.754208588688,712741.040242022,714059.199260641,714431.653741668,714778.847155619,716251.863013281
"Cml Pop Growth","Adult Female",-41597.0406794166,104.905947514725,-41959.1183346296,-41663.6044987136,-41596.140171564,-41526.7740764029,-41245.717029186
"Cml Pop Growth","Adult Male",-227855.620164877,47.556727846737,-228019.871944328,-227887.992940217,-227856.618358913,-227822.926284628,-227688.98627233
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1374158.32181586,1060.04099478438,1370649.15411338,1373458.03384117,1374155.42691797,1374836.9817257,1377451.89153958
"Total Number Increase","Neonatal Female",-103006.318754264,293.445479007143,-104077.784442819,-103201.659976449,-103009.175539944,-102820.904718747,-102097.789496344
"Total Number Increase","Neonatal Male",200542.905245678,293.445479007153,199471.439557123,200347.564023493,200540.048459998,200728.319281195,201451.434503598
"Total Number Increase","Neonatal Combined",97536.586491414,586.890958014296,95393.6551143043,97145.9040470438,97530.8729200544,97907.414562448,99353.6450072541
"Total Number Increase","Juvenile Female",489395.893553362,464.862639600551,487852.908640849,489092.097836272,489404.810493537,489699.865426088,490931.320646259
"Total Number Increase","Juvenile Male",465658.128899795,290.709022672112,464769.251633472,465455.331670123,465657.081766826,465870.950867559,466611.101863593
"Total Number Increase","Juvenile Combined",955054.022453157,589.037620072695,953295.782326461,954665.799673549,955065.180637813,955421.504189229,956917.730375856
"Total Number Increase","Adult Female",107395.409548075,107.052767946623,107025.846431146,107327.790187593,107396.165723812,107467.127229379,107753.495957405
"Total Number Increase","Adult Male",214172.303323212,59.8880140083838,213971.36724184,214131.536533107,214171.564073115,214211.936773885,214384.664056575
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",429036.343812269,596.092852657482,426922.969590664,428632.022779476,429058.287511584,429442.930066851,430788.324414893
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
