"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",321820.383757094,2.3949095314534,321812.674929221,321818.803123328,321820.393599803,321821.968085538,321828.36889921
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",17313.1771126907,0.721118774068818,17310.883662882,17312.6923946705,17313.179247636,17313.6567517998,17315.5327228528
"Num Offtake","Juvenile Male",21506.9909020015,1.23329633608066,21503.0698920481,21506.1614008859,21506.9956382697,21507.811367503,21511.0172988428
"Num Offtake","Juvenile Combined",38820.1680146921,1.95441481220329,38813.95355493,38818.8545567607,38820.1743622807,38821.4679007583,38826.5500216956
"Num Offtake","Adult Female",52986.7727623154,0.0851767998562248,52986.4904102261,52986.7170956551,52986.7711476636,52986.8268212448,52987.0757478882
"Num Offtake","Adult Male",35788.9735843075,0.361296901476363,35787.775681704,35788.7369858632,35788.9664638613,35789.2024357591,35790.2578606732
"Num Offtake","Oxen",194224.469395779,0.00436787484343189,194224.455282361,194224.466615219,194224.46929817,194224.472055515,194224.485268953
"Cml Pop Growth","Overall",368143.33712663,351.387907684434,367108.305822714,367911.788085783,368140.402591642,368369.979285425,369114.801058767
"Cml Pop Growth","Neonatal Female",-43044.1549268895,120.644602704529,-43397.8376981642,-43121.3299151547,-43046.5689094105,-42964.713997523,-42689.5007689975
"Cml Pop Growth","Neonatal Male",45698.7478078304,120.644602704529,45345.0650365558,45621.5728195651,45696.3338253095,45778.1887371969,46053.4019657224
"Cml Pop Growth","Neonatal Combined",2654.59288094085,241.289205409058,1947.22733839153,2500.24290441044,2649.764915899,2813.47473967394,3363.90119672491
"Cml Pop Growth","Juvenile Female",169187.639571201,58.483296056764,169014.064283741,169148.994697241,169187.641995494,169226.020116955,169375.462747102
"Cml Pop Growth","Juvenile Male",151251.216323857,58.0581239414895,151078.934079564,151212.917190379,151251.172017701,151289.514641781,151437.609625524
"Cml Pop Growth","Juvenile Combined",320438.855895059,116.541300729466,320092.998363305,320361.91188762,320438.8922154,320515.534758736,320813.072372626
"Cml Pop Growth","Adult Female",79545.232221613,10.9693401593398,79510.4147123403,79537.797854774,79545.3297759971,79552.5308863215,79580.9466198953
"Cml Pop Growth","Adult Male",140325.465147763,10.670780158598,140291.666970602,140318.163490339,140325.503565747,140332.563127774,140360.08818463
"Cml Pop Growth","Oxen",-174820.809018745,0.191583270992849,-174821.444370593,-174820.934791117,-174820.813247123,-174820.687446332,-174820.128597504
"Total Number Increase","Overall",689963.720883724,353.062213384767,688922.057189882,689731.413751212,689961.061304599,690190.536700168,690940.019531959
"Total Number Increase","Neonatal Female",-43044.1549268895,120.644602704529,-43397.8376981642,-43121.3299151547,-43046.5689094105,-42964.713997523,-42689.5007689975
"Total Number Increase","Neonatal Male",45698.7478078304,120.644602704529,45345.0650365558,45621.5728195651,45696.3338253095,45778.1887371969,46053.4019657224
"Total Number Increase","Neonatal Combined",2654.59288094085,241.289205409058,1947.22733839153,2500.24290441044,2649.764915899,2813.47473967394,3363.90119672491
"Total Number Increase","Juvenile Female",186500.816683892,59.1483984291582,186325.217006611,186461.831003327,186500.645969118,186539.696737951,186690.892496861
"Total Number Increase","Juvenile Male",172758.207225859,59.1955448607733,172582.461614328,172719.176086706,172758.010252927,172797.132142006,172948.453497078
"Total Number Increase","Juvenile Combined",359259.023909751,118.343938876168,358907.678620939,359181.007090033,359258.656222045,359336.828879958,359639.345993939
"Total Number Increase","Adult Female",132532.004983928,11.0520126992142,132496.905122566,132524.540782043,132532.099887268,132539.373564686,132568.022367783
"Total Number Increase","Adult Male",176114.43873207,11.0214041868485,176079.442652306,176106.987530847,176114.535372871,176121.782780953,176150.346045303
"Total Number Increase","Oxen",19403.6603770343,0.195883862245115,19403.0109117672,19403.5321007695,19403.6565165513,19403.7844531228,19404.3566714491
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",1116134668.37024,89649740.2069307,885637562.277189,1054276507.18799,1112181744.87254,1176540502.92643,1409212024.21676
"Population Liveweight (kg)","Neonatal Female",36923423.6967946,7582531.80087835,15205453.9377947,32037595.667481,37505524.8829708,42585962.1816282,52284352.2788283
"Population Liveweight (kg)","Neonatal Male",34377988.7323087,9347494.17792024,12711731.50619,27537629.8867796,34033081.2963459,41638733.6705038,57210988.6254544
"Population Liveweight (kg)","Juvenile Female",105259524.642249,21649409.296146,56665965.7005839,89306055.0250502,104596054.468038,121047893.123614,162296273.274678
"Population Liveweight (kg)","Juvenile Male",86547294.2450481,19116982.5133934,49944616.2449919,72849717.3461615,85406021.764657,99521017.6678552,143842331.870174
"Population Liveweight (kg)","Juvenile Combined",191806818.887297,28668647.7004416,114797763.527818,171531946.998551,191913013.833071,212202763.849686,273457567.094667
"Population Liveweight (kg)","Adult Female",414069343.607282,61575456.5888649,273598342.62252,364345292.761782,412486652.366963,459956842.800462,573678030.717425
"Population Liveweight (kg)","Adult Male",90065384.362473,14354550.0451518,59971421.8451484,79088684.1558478,88862772.8102197,100729377.626104,130405133.037276
"Population Liveweight (kg)","Oxen",348891709.084086,57454153.9807094,232293796.266257,305390199.827823,346278385.242339,389766548.195289,504284291.546643
"Offtake Liveweight (kg)","Overall",81006206.7694702,8786189.54389339,61904286.5651098,74394541.3506759,80419074.8532179,87079040.5590774,105684755.300234
"Offtake Liveweight (kg)","Juvenile Female",2927780.4319312,616775.652958522,1654897.47754537,2476613.63881762,2914691.96032876,3368347.17540386,4442110.73960147
"Offtake Liveweight (kg)","Juvenile Male",3945664.11371953,885213.550918648,2225896.11658112,3277700.11813076,3886600.5843364,4543190.0491129,6542687.58202884
"Offtake Liveweight (kg)","Adult Female",12839285.4555681,1901705.4700042,8603733.39360175,11367738.8524161,12786656.4935668,14293500.7406471,17825199.9003921
"Offtake Liveweight (kg)","Adult Male",9478976.90977799,1481757.10876326,6498416.0625998,8416753.89832719,9362336.03620401,10489963.0153967,13877235.8727633
"Offtake Liveweight (kg)","Oxen",51814499.8584735,8381071.55676347,33687233.8860544,45413530.0003902,51389313.2117617,57722005.8815422,75447183.8842482
"Meat (kg)","Overall",261965279.448445,9463289.59804823,232588801.262155,255698640.538594,261956823.574587,267915968.474849,291436898.70789
"Manure","Overall",2872309616.41286,92616928.3586988,2557310332.8045,2807125963.65571,2875004662.98532,2936996735.85719,3183976837.32218
"Manure","Neonatal Female",106047019.257286,2575474.19594996,99087349.7555874,104218538.24947,106027594.017641,107722300.85232,115409710.850509
"Manure","Neonatal Male",87115316.0525976,2148903.68890431,79336418.8782397,85734757.0249712,87122526.2494283,88528384.2005462,93939444.8829251
"Manure","Neonatal Combined",193162335.309883,3358143.42364992,183830760.564184,190794380.311657,193153380.250609,195323595.219588,204557279.299422
"Manure","Juvenile Female",230196785.929649,7668618.62510054,207208085.220064,224816019.49586,229775710.265468,235309286.865742,254906974.503296
"Manure","Juvenile Male",167256952.944935,5962753.01529574,148719863.698975,163430989.532855,167263326.977453,171341659.252611,183977425.244875
"Manure","Juvenile Combined",397453738.874584,9875191.85103794,361240908.095885,390492609.951246,397354498.711145,404533970.287993,430871643.36587
"Manure","Adult Female",1142027856.99615,69512096.5595893,936826876.68465,1096897575.76107,1137737623.66993,1178175809.0528,1336603098.08318
"Manure","Adult Male",185863123.051769,11236900.168944,153206852.238686,177845130.150569,185525623.849806,193003982.971052,217017322.038265
"Manure","Oxen",953802562.180475,57817987.5864405,785241898.07561,916173971.433468,951034755.351965,985648226.852571,1118982930.52688
"Hides","Overall",0,0,0,0,0,0,0
"Hides","Juvenile Female",0,0,0,0,0,0,0
"Hides","Juvenile Male",0,0,0,0,0,0,0
"Hides","Juvenile Combined",0,0,0,0,0,0,0
"Hides","Adult Female",0,0,0,0,0,0,0
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",131002803.065023,21255175.0575221,72734983.7377211,117142522.409792,130309975.375977,146184729.382182,203508965.219127
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",10114130076.1577,248877748.882751,9400252887.53133,9941226947.74321,10116098605.7846,10284307945.4401,10833061061.9089
"Cml Dry Matter","Neonatal Female",355294753.855438,22143387.2079866,287007248.997348,340280060.878952,354880580.681402,370824726.463694,420062879.051793
"Cml Dry Matter","Neonatal Male",310264277.461223,23903655.9558105,231704007.755662,293911194.768203,310207613.673837,326755331.977516,374619253.43919
"Cml Dry Matter","Neonatal Combined",665559031.316661,32517894.9256474,559171252.37872,643348502.112821,666378884.254097,687902795.805529,752650412.805067
"Cml Dry Matter","Juvenile Female",875036870.995919,52741955.7832565,729411551.939783,839238715.829819,873386440.427845,908307732.25116,1054542393.71377
"Cml Dry Matter","Juvenile Male",692645837.988089,44844279.0805656,568067012.9211,662466531.918706,692108454.309574,721903861.988771,829602070.08119
"Cml Dry Matter","Juvenile Combined",1567682708.98401,70459169.5395002,1386676109.33131,1519808246.18204,1567341625.44031,1616186193.94302,1812035385.33459
"Cml Dry Matter","Adult Female",3758202380.90984,164778603.181295,3247548359.57295,3646665900.81056,3764078639.75339,3867387398.98834,4316486351.41303
"Cml Dry Matter","Adult Male",669973246.306137,33143545.3213035,579198766.089679,645507158.790359,669189183.956664,692434818.123348,770493290.773948
"Cml Dry Matter","Oxen",3452712708.64105,166553863.355818,2955277641.26661,3337246129.30026,3455806491.13707,3566911723.25904,3948912660.96935
"Value of Offtake","Overall",8522635569.45893,1472846364.10315,4213022090.41142,7460063878.86221,8528458595.38589,9620608196.92871,12096070778.2396
