"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",319835.534977485,28.8019018289929,319739.702809725,319817.758469935,319836.278176983,319855.517382564,319916.53727681
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",17128.4765320375,15.1125886869283,17079.4340699992,17118.9630034347,17129.1055555927,17139.7048796298,17168.2593689619
"Num Offtake","Juvenile Male",21265.1856623262,18.9953668729495,21199.3376388948,21253.0767924137,21266.484153567,21278.7548601005,21312.9593630848
"Num Offtake","Juvenile Combined",38393.6621943637,23.4775676729473,38314.4975484248,38378.6196303934,38394.4759921756,38410.2834401432,38459.7560631434
"Num Offtake","Adult Female",52504.2328099151,1.79712657242257,52497.9945973235,52503.0831811293,52504.3134998489,52505.5615900037,52508.5934965093
"Num Offtake","Adult Male",35588.8763087346,5.48808969352095,35570.4459523927,35585.3685066873,35589.3148589317,35592.8759728988,35601.8624722698
"Num Offtake","Oxen",193348.763664472,0.0657309704042091,193348.517513278,193348.722211124,193348.771614391,193348.812100765,193348.904959479
"Cml Pop Growth","Overall",213868.673841425,4021.56623307941,200510.459162049,211441.762282241,213955.236880019,216631.523150072,226279.08908072
"Cml Pop Growth","Neonatal Female",-81514.5456526497,2114.16958946062,-90198.6844265033,-82881.0879904106,-81417.6740850335,-80043.8369859079,-75707.6363652892
"Cml Pop Growth","Neonatal Male",13625.0677193982,1743.80846761421,7754.55498507037,12396.2304626566,13760.6126079844,14879.9306511233,19333.7914056712
"Cml Pop Growth","Neonatal Combined",-67889.4779332516,2706.22588446076,-78063.8503817979,-69599.5247762639,-67852.809674806,-66016.9387802245,-60376.4208431046
"Cml Pop Growth","Juvenile Female",151206.192642293,1166.68635368529,147832.495560351,150423.478014376,151211.445897884,152064.63628367,154304.343676747
"Cml Pop Growth","Juvenile Male",137136.143807317,895.276220146794,133864.716328457,136587.091714944,137161.344061809,137781.315545894,139656.235837025
"Cml Pop Growth","Juvenile Combined",288342.336449611,1402.22938126316,283614.51716211,287444.677011548,288428.677601286,289324.688528524,292766.49661869
