"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",319832.144720419,29.5563781784113,319729.396916199,319812.144186169,319834.239973337,319853.347739625,319910.639245763
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",17127.3332591899,14.8224783369189,17065.2501832152,17118.0394775205,17128.7109836893,17138.0960299209,17161.0996014954
"Num Offtake","Juvenile Male",21263.4665959253,18.7026483230604,21200.2460781317,21252.1050357606,21266.0384211439,21276.5739593739,21308.4514856978
"Num Offtake","Juvenile Combined",38390.7998551151,24.0950870629634,38305.4274859915,38374.8547188341,38392.5106866252,38407.7476074947,38454.671517449
"Num Offtake","Adult Female",52504.1331366525,1.76195859934719,52496.5454920304,52503.0257975381,52504.3290629547,52505.4354472829,52507.8554826294
"Num Offtake","Adult Male",35588.3272859758,5.47232011469918,35569.8536717911,35585.0872943377,35589.1063320092,35592.1752647875,35600.5633313769
"Num Offtake","Oxen",193348.884442675,0.0658522102656531,193348.668499698,193348.844919489,193348.895889714,193348.930815991,193349.024622526
"Cml Pop Growth","Overall",213444.284123136,4138.36865991319,198530.204517798,210662.571519154,213605.823493901,216411.790373169,227614.230016436
"Cml Pop Growth","Neonatal Female",-81578.5992146501,2125.45664277429,-88543.7696313523,-82975.8789364006,-81373.3337026987,-80030.163748596,-76288.2861280771
"Cml Pop Growth","Neonatal Male",13490.5509541223,1802.80253807608,6891.78160883713,12319.7284789909,13555.7394222518,14773.8949878877,18840.6773707691
"Cml Pop Growth","Neonatal Combined",-68088.0482605278,2781.39602017272,-78905.5279840172,-69951.7141810385,-67932.0899202104,-66199.5667825442,-58019.547982201
"Cml Pop Growth","Juvenile Female",151103.181366118,1150.5012149613,146964.813360748,150361.467941988,151234.611163236,151948.49427941,153780.121965326
"Cml Pop Growth","Juvenile Male",137045.946470264,865.210583759182,134333.715709681,136470.080883232,137112.492015813,137659.975980333,139086.877652119
"Cml Pop Growth","Juvenile Combined",288149.127836381,1443.13821932383,282663.316518378,287166.362069864,288209.490941037,289180.053286612,291781.250827136
"Cml Pop Growth","Adult Female",45565.8524510824,224.332810519315,44627.8938026915,45425.6951498828,45586.888109131,45728.6128959193,46077.7091280778
"Cml Pop Growth","Adult Male",135848.388090527,161.425806472128,135303.099256073,135748.848938017,135869.82365457,135960.961920248,136237.587054591
"Cml Pop Growth","Oxen",-188031.035994327,2.89733027149087,-188040.820255934,-188032.755336037,-188030.631949128,-188028.993559991,-188024.544212937
"Total Number Increase","Overall",533276.428843554,4158.35021870855,518259.601433998,530479.20963878,533440.836241596,536253.250137098,547497.856373181
