"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",318996.129584035,24.3430658364934,318918.110112597,318978.905021326,318997.530344951,319013.625841978,319074.346178493
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",16829.1426111453,11.7334868135506,16792.5365949653,16821.3773048935,16829.3031068664,16836.9796273889,16868.6091409036
"Num Offtake","Juvenile Male",20914.6557774185,14.4517989778116,20864.017887183,20904.9269511998,20915.3556604326,20925.3822568858,20955.24257113
"Num Offtake","Juvenile Combined",37743.7983885639,18.7353132188404,37684.7256112129,37730.7510685941,37744.7010094605,37756.8808297648,37803.798086786
"Num Offtake","Adult Female",52456.5713239533,1.93149220984009,52451.0645447759,52455.2517806238,52456.6733133829,52457.9581068867,52463.1696249934
"Num Offtake","Adult Male",35449.4107699832,5.78597461387147,35430.8972179013,35445.3243183399,35449.5329571733,35453.5889167701,35466.4621576373
"Num Offtake","Oxen",193346.349101535,0.0936536853351828,193346.056141622,193346.285667756,193346.350892738,193346.414309769,193346.624306929
"Cml Pop Growth","Overall",246757.195843483,1128.44869655309,242938.122355243,245989.662454981,246759.897415649,247558.182687156,250304.915168516
"Cml Pop Growth","Neonatal Female",-46265.9647884838,117.684334445454,-46680.5179302826,-46343.6674059554,-46265.8571282423,-46189.8803087158,-45870.0304024813
"Cml Pop Growth","Neonatal Male",42476.9379462362,117.684334445454,42062.3848044373,42399.2353287646,42477.0456064775,42553.0224260041,42872.8723322388
"Cml Pop Growth","Neonatal Combined",-3789.02684224758,235.368668890907,-4618.13312584523,-3944.43207719085,-3788.81152176479,-3636.85788271161,-2997.1580702425
"Cml Pop Growth","Juvenile Female",136864.029282971,688.917036082367,134746.851011475,136404.668163345,136899.405991527,137336.921596627,139180.851564003
"Cml Pop Growth","Juvenile Male",127776.401046682,511.434374248076,125886.532733787,127422.393415069,127795.728374796,128131.859521294,129317.170322442
"Cml Pop Growth","Juvenile Combined",264640.430329653,887.437840215658,261525.004851526,264034.450643756,264634.187348129,265269.261470429,267313.919635808
"Cml Pop Growth","Adult Female",41107.77040826,175.638986584759,40559.090492385,40991.7095789544,41111.3147560899,41224.8196114179,41697.4274276178
"Cml Pop Growth","Adult Male",132901.655506702,122.559540644584,132471.200399159,132819.213327854,132907.216792404,132992.811087643,133243.097612291
"Cml Pop Growth","Oxen",-188103.633558884,3.03915253909503,-188113.382959446,-188105.788579535,-188103.574076386,-188101.41647332,-188094.683930398
"Total Number Increase","Overall",565753.325427518,1146.76419779057,561874.072050284,564968.243739214,565758.203727093,566561.943201843,569372.011102012
"Total Number Increase","Neonatal Female",-46265.9647884838,117.684334445454,-46680.5179302826,-46343.6674059554,-46265.8571282423,-46189.8803087158,-45870.0304024813
"Total Number Increase","Neonatal Male",42476.9379462362,117.684334445454,42062.3848044373,42399.2353287646,42477.0456064775,42553.0224260041,42872.8723322388
"Total Number Increase","Neonatal Combined",-3789.02684224758,235.368668890907,-4618.13312584523,-3944.43207719085,-3788.81152176479,-3636.85788271161,-2997.1580702425
"Total Number Increase","Juvenile Female",153693.171894116,697.629083126895,151552.043468203,153231.882700465,153728.32938205,154168.544372505,156029.166949925
"Total Number Increase","Juvenile Male",148691.056824101,521.930644658097,146780.892488424,148327.650673464,148713.356729804,149051.237123153,150258.544763338
"Total Number Increase","Juvenile Combined",302384.228718217,901.199011191794,299226.361013544,301769.606210635,302382.743439588,303017.391116531,305099.425686079
"Total Number Increase","Adult Female",93564.3417322133,177.455098368752,93010.1550371609,93447.6431336393,93567.855965977,93682.7437191955,94159.6992459109
"Total Number Increase","Adult Male",168351.066276685,128.01424550194,167902.09761706,168265.431299279,168357.022609989,168446.770065423,168709.559769928
"Total Number Increase","Oxen",5242.715542651,3.13037428990096,5232.69749493187,5240.50415832513,5242.7805611256,5244.97773424879,5251.94037653125
"Total Mortality","Overall",117263.31834739,1063.48184985439,113999.765746293,116534.327933886,117246.993581993,118001.88715007,121034.515346171
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",39428.5887274066,837.222722616511,36494.7131646221,38867.5793664108,39383.0175759913,39971.8586579878,41980.494338649
"Total Mortality","Juvenile Male",28509.9200216796,616.27607146804,26760.0543192368,28086.3227623225,28482.7906283887,28944.7145765253,30438.9808176117
"Total Mortality","Juvenile Combined",67938.5087490862,1064.29464296517,64670.4534955185,67208.0538596282,67921.7788622935,68678.4386587113,71711.8194082733
"Total Mortality","Adult Female",32785.3570774708,1.20718263115006,32781.9153404849,32784.5323628898,32785.4208208643,32786.2238168042,32789.4810156209
"Total Mortality","Adult Male",2562.60800746866,0.418263225099145,2561.2696784025,2562.31260132578,2562.61684027759,2562.91004217616,2563.84063790149
"Total Mortality","Oxen",13976.844513364,0.00677014592787982,13976.823335539,13976.8399277896,13976.8446428486,13976.8492272122,13976.8644077298
"Value of Total Mortality","Overall",1719644073.76923,17894856.6995174,1666255421.96915,1706906838.31368,1719297332.0823,1732223888.61691,1781262837.88706
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",561251969.825985,11917568.3791333,519489292.236348,553266200.638897,560603280.655904,568985224.515722,597577440.692362
"Value of Total Mortality","Juvenile Male",591396264.958977,12783738.6626354,555097880.403089,582609364.229681,590833505.686042,600415437.077478,631411787.581471
"Value of Total Mortality","Juvenile Combined",1152648234.78496,17910956.7628392,1099190787.27471,1139894873.84546,1152314283.33152,1165225290.0312,1214309952.92272
"Value of Total Mortality","Adult Female",412809402.057837,15199.9668315987,412766066.205681,412799017.85088,412810204.668346,412820315.409951,412861327.691522
"Value of Total Mortality","Adult Male",115610501.153406,18869.6909269075,115550123.251832,115597174.084996,115610899.640207,115624127.265475,115666110.525444
"Value of Total Mortality","Oxen",435093643.775756,210.751966070782,435092984.518436,435093501.028637,435093647.80656,435093790.515988,435094263.079499
"Population Liveweight (kg)","Overall",1094994248.29182,85252736.8589204,848749902.257702,1038469682.52917,1093507768.84559,1152123402.44022,1373817910.05558
"Population Liveweight (kg)","Neonatal Female",44160383.3914598,10322457.6985502,11692802.8913727,36842113.1652229,44590786.7289701,52160088.8744178,64897705.5282296
"Population Liveweight (kg)","Neonatal Male",34125634.9797459,9614064.78099256,10918517.9160674,26677013.2692358,34345402.0465088,41516572.7016397,55608070.8109406
