"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",318993.100432235,24.1023554976545,318915.746305703,318976.823466409,318993.762000948,319010.576839027,319070.310027913
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",16828.2493226932,11.5590423213403,16795.8752676026,16820.3051509771,16828.2086564356,16835.5686307234,16871.1729335521
"Num Offtake","Juvenile Male",20913.4211267219,14.2015717000098,20862.9966084173,20904.1612439618,20913.0302339433,20922.5496223863,20956.5358037492
"Num Offtake","Juvenile Combined",37741.6704494151,18.5353707645574,37683.2180506313,37729.401499062,37741.9566784626,37755.0992585947,37797.6906644322
"Num Offtake","Adult Female",52456.3927926424,1.8824162076319,52450.6666208353,52455.0783824724,52456.4165494723,52457.6121732852,52462.8968915367
"Num Offtake","Adult Male",35448.576335584,5.6927363814825,35428.4460350666,35444.5311489095,35448.5120496385,35452.3625512058,35466.9436005312
"Num Offtake","Oxen",193346.460854594,0.0926489287075615,193346.155747922,193346.392957829,193346.460181605,193346.523234898,193346.762556859
"Cml Pop Growth","Overall",246748.794399225,1117.00760920796,242983.445123276,246025.213481374,246736.237783046,247472.97591663,250850.432427227
"Cml Pop Growth","Neonatal Female",-46259.994657661,121.163427208104,-46678.7352144259,-46339.8478752848,-46263.3455293076,-46174.6842973891,-45857.6887916526
"Cml Pop Growth","Neonatal Male",42482.908077059,121.163427208104,42064.167520294,42403.0548594351,42479.5572054124,42568.2184373308,42885.2139430674
"Cml Pop Growth","Neonatal Combined",-3777.08658060195,242.326854416208,-4614.56769413193,-3936.79301584963,-3783.78832389513,-3606.46586005831,-2972.47484858526
"Cml Pop Growth","Juvenile Female",136868.372014883,697.131352837416,134226.329375885,136397.585435037,136862.576452991,137344.559615317,139408.334377992
"Cml Pop Growth","Juvenile Male",127775.368376139,505.190822734425,126231.314858859,127432.308473148,127772.325107505,128102.759217662,129286.152773084
"Cml Pop Growth","Juvenile Combined",264643.740391022,876.06273341613,261501.759073847,264077.868610731,264645.523518394,265228.784286632,267885.342026324
"Cml Pop Growth","Adult Female",41094.5678148642,173.110494632194,40608.6745719905,40977.3914989294,41093.6531044781,41203.9337319387,41737.7423162952
"Cml Pop Growth","Adult Male",132891.77856861,120.454998039713,132459.528293069,132813.258043789,132888.581577341,132970.334388918,133254.077003215
"Cml Pop Growth","Oxen",-188104.205794669,2.98977149650688,-188114.792650447,-188106.317188452,-188104.253502279,-188102.214552417,-188094.568306244
"Total Number Increase","Overall",565741.89483146,1135.04044856082,561927.03590284,565004.803429508,565734.535489341,566476.696957808,569904.877837651
"Total Number Increase","Neonatal Female",-46259.994657661,121.163427208104,-46678.7352144259,-46339.8478752848,-46263.3455293076,-46174.6842973891,-45857.6887916526
"Total Number Increase","Neonatal Male",42482.908077059,121.163427208104,42064.167520294,42403.0548594351,42479.5572054124,42568.2184373308,42885.2139430674
"Total Number Increase","Neonatal Combined",-3777.08658060195,242.326854416208,-4614.56769413193,-3936.79301584963,-3783.78832389513,-3606.46586005831,-2972.47484858526
"Total Number Increase","Juvenile Female",153696.621337576,705.863128089692,151023.971851083,153217.769948836,153693.389211635,154179.527161234,156272.031004582
"Total Number Increase","Juvenile Male",148688.789502861,515.687022688625,147112.079817951,148340.948472589,148679.578616327,149026.475758264,150229.62248876
"Total Number Increase","Juvenile Combined",302385.410840437,889.751150064472,299201.072564723,301807.424079874,302387.1752802,302974.514620372,305679.329427489
"Total Number Increase","Adult Female",93550.9606075066,174.880102166963,93060.3497998051,93432.5803543567,93550.223819898,93660.8400554019,94200.6392078319
"Total Number Increase","Adult Male",168340.354904194,125.803922898928,167891.904492724,168258.582281124,168337.639321561,168421.406634989,168721.020603746
"Total Number Increase","Oxen",5242.25505992423,3.07990209429124,5231.36309747543,5240.06752069165,5242.21845337751,5244.30183807257,5252.19159760055
"Total Mortality","Overall",117296.20101542,1051.71252206111,113561.561720779,116575.773773563,117287.657908178,118006.311111282,121288.228620074
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",39443.6203585309,845.018600193266,36446.0147047301,38837.9504531471,39447.4772482824,40015.8903026278,42707.0489826682
"Total Mortality","Juvenile Male",28527.9348826799,609.411953240529,26728.4130653649,28140.1627907506,28518.0952506408,28940.0049939465,30336.3622825763
"Total Mortality","Juvenile Combined",67971.5552412108,1052.54037106187,64233.7483689183,67251.6641215378,67962.9548193182,68682.0487062523,71966.0389914056
"Total Mortality","Adult Female",32785.2454954015,1.17651012977008,32781.6666380221,32784.4239890453,32785.2603434202,32786.0076083033,32789.3105572105
"Total Mortality","Adult Male",2562.54768690969,0.411523111914398,2561.09248446265,2562.25526377659,2562.5430397329,2562.82138924379,2563.87544100226
"Total Mortality","Oxen",13976.8525918983,0.00669751291850213,13976.8305359944,13976.8476836985,13976.8525432486,13976.857101318,13976.8744017006
"Value of Total Mortality","Overall",1756806649.86447,17439200.4388044,1693048565.48953,1744865756.18083,1756646196.90084,1768394708.31024,1825201409.85804
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",704937981.090139,15102206.6582441,651364651.39862,694113424.002647,705006911.580038,715165612.716327,763262109.677224
"Value of Total Mortality","Juvenile Male",394718229.235776,8431946.02229196,369819684.419165,389352936.79162,394582086.113226,400419713.949234,419739993.479283
"Value of Total Mortality","Juvenile Combined",1099656210.32591,17456056.8109904,1035841308.10407,1087695848.84085,1099510155.06179,1111259345.4617,1168095364.27386
"Value of Total Mortality","Adult Female",486191942.007265,17447.1697905806,486138868.998564,486179759.399978,486192162.197383,486203243.833625,486252225.23118
"Value of Total Mortality","Adult Male",117430835.135108,18858.3818191434,117364149.297604,117417434.606834,117430622.174447,117443377.767519,117491680.547953
"Value of Total Mortality","Oxen",603732430.792632,289.300164537331,603731478.084258,603732218.782137,603732428.691198,603732625.57775,603733372.870605
"Population Liveweight (kg)","Overall",1095093278.12493,87834826.6992756,858231577.310431,1031324229.68196,1091715140.79964,1158821819.38221,1365295529.78801
"Population Liveweight (kg)","Neonatal Female",36314732.3561914,8050826.44251254,14356090.4917085,30663347.4470881,36553875.5856257,42675150.7112325,51412669.3664727
"Population Liveweight (kg)","Neonatal Male",44273831.4089387,11169572.5055728,10140288.0683061,36411446.8102158,44632780.5996902,52848761.1018742,67352691.2285984
"Population Liveweight (kg)","Juvenile Female",98508121.8326377,20284995.8791889,54712780.1099569,83388261.3861223,97093041.8901224,113676008.434201,153867380.624413
"Population Liveweight (kg)","Juvenile Male",82736847.0405516,18183909.1843817,45303251.9575514,68881259.9538359,82271136.4687538,95531102.0831347,132416822.790923
"Population Liveweight (kg)","Juvenile Combined",181244968.873189,26637598.4902817,117889091.40927,162147264.0537,179765574.274552,199843518.973699,262149774.681385
"Population Liveweight (kg)","Adult Female",402505398.882329,59716469.9025101,261827509.144629,357970717.250994,398986735.467214,450744131.352768,548681730.37446
"Population Liveweight (kg)","Adult Male",88161806.9140603,13969867.9304086,58550804.5630026,78270910.8350825,87886085.982204,98049385.6272998,126696112.103737
"Population Liveweight (kg)","Oxen",342592539.690218,56431697.2032281,225725860.049269,299339035.710786,340165331.42204,385484435.34486,496689367.465911
"Offtake Liveweight (kg)","Overall",80111475.4139646,8685670.63478425,61120594.8323581,73500603.4752728,79958579.6730018,86065707.185953,105292590.005065
"Offtake Liveweight (kg)","Juvenile Female",2864117.90330559,593397.286772939,1602180.60218694,2404278.08077582,2818157.95043823,3285384.29239694,4504779.63254112
"Offtake Liveweight (kg)","Juvenile Male",3782906.09353791,799295.584879764,2177665.40430086,3161227.720174,3712066.45496583,4312547.33229083,5883869.39799673
"Offtake Liveweight (kg)","Adult Female",12657060.4832532,1873212.23305213,8398029.39743743,11257969.6477022,12594577.9588479,13995739.45892,17171125.3408304
"Offtake Liveweight (kg)","Adult Male",9437957.56722357,1475052.96242154,6194078.33214521,8322500.28532667,9358377.87177061,10443465.9532922,13306789.395315
"Offtake Liveweight (kg)","Oxen",51369433.3666443,8287900.6129161,33945061.678835,45060252.1044105,51454408.0599643,57177200.8680453,73931512.8813011
