"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",319378.223254193,37.5196702745941,319252.535889947,319354.113196976,319378.245472592,319402.8290416,319506.24547853
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",16649.7178066081,18.7725133196541,16588.3485778129,16637.0184453477,16650.1598289335,16663.3412113872,16705.26146087
"Num Offtake","Juvenile Male",20680.111944156,23.3349679641626,20612.5712679231,20663.970386605,20679.8281538735,20697.7780042575,20744.4916105638
"Num Offtake","Juvenile Combined",37329.8297507641,29.7482303241831,37226.2113610197,37310.3731666732,37329.607414112,37349.1648235633,37432.2965307577
"Num Offtake","Adult Female",52438.3025169966,2.62631930869502,52429.3287480671,52436.5214686912,52438.3595749575,52440.2342096591,52446.5235057634
"Num Offtake","Adult Male",35390.1340132678,7.98108138530791,35365.0311879273,35384.7583390792,35390.0894408312,35395.5182694547,35410.1904234619
"Num Offtake","Oxen",194219.956973165,0.116899580545177,194219.562272639,194219.876673454,194219.958404059,194220.034253421,194220.280138447
"Cml Pop Growth","Overall",159072.388001483,4123.95795060695,145088.83958799,156452.081566136,159104.002879261,161907.547399764,169845.382817317
"Cml Pop Growth","Neonatal Female",-82247.7554639899,2081.13179448312,-89866.8076480433,-83610.8003116557,-82155.2868313225,-80770.2260098628,-76191.7118923107
"Cml Pop Growth","Neonatal Male",12727.3843824513,1798.15007846874,5436.34212117305,11566.0445346398,12728.6364993521,13988.2220673708,17810.35772681
"Cml Pop Growth","Neonatal Combined",-69520.3710815386,2712.71660850121,-78924.756256034,-71301.0302349277,-69464.1281489806,-67574.9057172284,-62676.7185465883
"Cml Pop Growth","Juvenile Female",119861.351206223,1305.95663321875,115556.571296451,118983.040146108,119914.042127751,120719.140572412,123479.222713573
"Cml Pop Growth","Juvenile Male",114517.284463018,990.674135064957,111487.920416037,113839.043390773,114513.501325748,115236.429560746,117392.542518782
"Cml Pop Growth","Juvenile Combined",234378.63566924,1602.97340077433,228361.300942328,233284.47608284,234375.526280239,235457.676788669,239778.445050993
"Cml Pop Growth","Adult Female",38381.5196667863,282.794420372605,37460.5770312927,38189.3421359974,38388.1176839271,38586.7992996847,39214.6213329686
"Cml Pop Growth","Adult Male",130865.138664773,199.980866741119,130288.219558671,130729.004362727,130861.950753241,131016.956723185,131418.028130883
"Cml Pop Growth","Oxen",-175032.534917779,4.21392439285835,-175045.7501828,-175035.384765842,-175032.58197402,-175029.694684286,-175021.920855003
