"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",318987.476834261,37.8035096138435,318870.506752621,318961.711512251,318987.357814019,319014.594874234,319115.18234164
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",16655.1476071326,18.0966086590773,16597.8410390813,16643.0787632995,16655.8814311798,16668.178656796,16704.5186628881
"Num Offtake","Juvenile Male",20690.9829403203,23.5680093389664,20605.9350186676,20675.6522652938,20692.1084188686,20707.3364512214,20758.0157144887
"Num Offtake","Juvenile Combined",37346.1305474529,30.0967440282552,37254.024919957,37326.1869033347,37346.0780109514,37366.9413563225,37448.578634119
"Num Offtake","Adult Female",52902.4156394609,2.53556900459283,52894.3865778819,52900.7202514974,52902.5132707727,52904.2038965535,52909.6536483833
"Num Offtake","Adult Male",35393.5519747695,7.83489707194332,35368.2686769514,35388.3790492293,35393.8568413863,35399.3135200444,35415.1589226319
"Num Offtake","Oxen",193345.378672578,0.11230146307886,193345.010287014,193345.304000961,193345.379010014,193345.461845945,193345.672065584
"Cml Pop Growth","Overall",184695.042529756,4487.31318924442,169935.685914434,181654.174200953,184810.980747319,188053.719710167,198369.272346089
"Cml Pop Growth","Neonatal Female",-79388.3060116607,2179.44318181269,-87642.3347419995,-80782.5724372331,-79281.9189451996,-77792.1312706108,-73392.8435157983
"Cml Pop Growth","Neonatal Male",15711.1241176039,1828.45221256643,9156.0439096046,14495.4767585851,15836.475657026,17014.1364957588,20847.3547892797
"Cml Pop Growth","Neonatal Combined",-63677.1818940568,2911.66540833744,-73758.4011763216,-65603.9976551948,-63547.3913505223,-61711.1960913894,-54836.1525312367
"Cml Pop Growth","Juvenile Female",120641.064422591,1288.11495354395,116972.159937083,119745.865491091,120698.92896106,121579.943705342,124417.533214718
"Cml Pop Growth","Juvenile Male",115338.031793155,1029.85213349085,111898.064014174,114639.50160759,115384.070697411,116073.047690288,118379.348550522
"Cml Pop Growth","Juvenile Combined",235979.096215746,1691.56623579426,231088.737479888,234903.802230103,236001.981643658,237115.807659096,241350.646872445
"Cml Pop Growth","Adult Female",69567.5583275567,274.135845012446,68701.0812778624,69383.8031573545,69578.5766654373,69766.59511365,70312.8940832445
"Cml Pop Growth","Adult Male",130958.447747917,202.285065803611,130223.289517182,130827.360291022,130968.122626677,131097.98146038,131534.519823792
"Cml Pop Growth","Oxen",-188132.877867407,4.13167264498774,-188146.190663632,-188135.606958702,-188132.734377372,-188129.819030502,-188121.47785926
"Total Number Increase","Overall",503682.519364017,4512.05306353705,488871.274726007,500616.600329626,503804.077091401,507079.08670637,517418.50472621
"Total Number Increase","Neonatal Female",-79388.3060116607,2179.44318181269,-87642.3347419995,-80782.5724372331,-79281.9189451996,-77792.1312706108,-73392.8435157983
"Total Number Increase","Neonatal Male",15711.1241176039,1828.45221256643,9156.0439096046,14495.4767585851,15836.475657026,17014.1364957588,20847.3547892797
"Total Number Increase","Neonatal Combined",-63677.1818940568,2911.66540833744,-73758.4011763216,-65603.9976551948,-63547.3913505223,-61711.1960913894,-54836.1525312367
"Total Number Increase","Juvenile Female",137296.212029724,1303.78235211353,133584.443499419,136389.563818328,137357.685254616,138246.719718331,141109.416095165
"Total Number Increase","Juvenile Male",136029.014733475,1050.33527717306,132526.420698432,135318.432441567,136074.172640518,136778.026916779,139137.364265011
"Total Number Increase","Juvenile Combined",273325.226763199,1716.96328027701,268352.907430227,272237.409290692,273345.814526705,274490.882348037,278799.225506564
"Total Number Increase","Adult Female",122469.973967018,276.525222734885,121595.467855744,122285.084013559,122481.696416912,122669.93229562,123222.547731628
"Total Number Increase","Adult Male",166351.999722686,209.689645965267,165593.301271424,166215.556229116,166362.183448771,166497.933010238,166948.708311671
"Total Number Increase","Oxen",5212.50080517086,4.23999707448167,5198.81962338218,5209.70130581818,5212.66580016294,5215.62096956767,5224.19420632409
"Total Mortality","Overall",185140.240014497,4485.1629649832,171568.522826135,181895.898019223,184963.551422285,188139.886624706,199291.511399761
"Total Mortality","Neonatal Female",56123.7055110793,3285.54006801834,46736.9300018008,53720.663025899,55995.3210449916,58299.7225295729,68010.4840599457
"Total Mortality","Neonatal Male",45250.1701721998,2675.59126861387,37652.7326039555,43384.0061057925,45116.8576885813,46945.5847197768,54441.7299896531
"Total Mortality","Neonatal Combined",101373.875683279,4326.80228269545,88290.8275748771,98444.4171534942,101202.77274818,104347.530932798,115210.158088427
"Total Mortality","Juvenile Female",39026.4404958817,851.348962577034,36440.4654909448,38453.0406802268,39021.8417168996,39631.4527104593,41617.6905919159
"Total Mortality","Juvenile Male",28204.5794511901,608.529067116458,26324.0931877991,27802.1012666215,28235.2283163454,28613.0333715706,30272.4435350934
"Total Mortality","Juvenile Combined",67231.0199470719,1051.90175839671,64065.4793504763,66489.7380070228,67260.4482103618,67938.1652743927,70367.5307818584
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",2558.57002227249,0.566378101586264,2556.74231399649,2558.1960758479,2558.59206082311,2558.98651952128,2560.13197031074
"Total Mortality","Oxen",13976.7743618731,0.00811817805395203,13976.7477315914,13976.7689639249,13976.7743862661,13976.7803744057,13976.7955710061
"Value of Total Mortality","Overall",2248946918.43061,39310748.8171181,2125383327.36699,2221017846.83818,2249221417.72638,2274722608.18792,2365639750.01405
"Value of Total Mortality","Neonatal Female",369453112.248262,21628169.2823386,307661514.663992,353634279.24481,368607978.44734,383777473.985727,447701818.200467
"Value of Total Mortality","Neonatal Male",384422259.582509,22730452.4443907,319878322.931949,368568285.897329,383289705.031042,398825632.84781,462509042.03364
"Value of Total Mortality","Neonatal Combined",753875371.830771,32052798.0499533,659682690.228133,732106691.139285,753308161.393397,775322449.521177,856199481.70036
"Value of Total Mortality","Juvenile Female",753390089.678366,16434956.9961723,703468858.940423,742320831.681766,753301312.058225,765069612.607063,803413153.975922
"Value of Total Mortality","Juvenile Male",633604418.396594,13670358.2591966,591360058.494662,624562909.499351,634292932.700265,642780169.771023,680058144.908351
"Value of Total Mortality","Juvenile Combined",1386994508.07496,21492510.7026091,1321400927.22267,1372271112.17741,1387581645.2039,1401701537.70377,1449893372.42921
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",66673050.9750013,14759.0864074321,66625423.243107,66663306.4111193,66673625.2713448,66683904.3587499,66713753.3361904
"Value of Total Mortality","Oxen",466989520.134422,271.24313347469,466988630.368146,466989339.77913,466989520.949436,466989721.024101,466990228.770233
"Population Liveweight (kg)","Overall",1080654729.38491,88673489.5989858,791621764.525601,1018939383.98805,1078709487.16635,1144554805.72114,1316980890.67374
"Population Liveweight (kg)","Neonatal Female",34036596.9978111,7165923.36583699,12198865.8988605,28958446.7039085,34749466.9258732,39426530.9694555,47411378.6887678
"Population Liveweight (kg)","Neonatal Male",31726475.4176429,8556066.98847964,10232831.9351158,25510188.2175977,31725071.1422037,38204097.1016333,52816029.2824636
"Population Liveweight (kg)","Juvenile Female",96168461.3543851,20615820.8166267,55528433.3990927,80583801.6602989,94211541.688733,111569548.799083,151742412.699759
"Population Liveweight (kg)","Juvenile Male",78517242.1531323,17442427.7324421,45323211.9197564,65548928.5587953,77235789.5438754,90505548.6616199,127436933.635828
"Population Liveweight (kg)","Juvenile Combined",174685703.507517,26966401.3668966,112036585.150213,154551699.042399,174099810.848532,194734913.954338,264365676.229183
"Population Liveweight (kg)","Adult Female",408798939.940629,61428072.3084872,264942310.348207,362519347.077658,410016435.496042,454888837.518405,562433488.929748
"Population Liveweight (kg)","Adult Male",87631225.0050824,13939192.3636972,57323419.7557562,76847680.9457788,87175904.8432302,97362532.9309926,128123991.123463
"Population Liveweight (kg)","Oxen",343775788.516223,56313562.041066,229187213.216168,299564766.91199,341902955.453754,383723570.378368,504130574.255974
"Offtake Liveweight (kg)","Overall",79995297.9004528,8611333.37387556,57731734.377806,73276157.1943569,79578190.863214,85911230.8659576,104301239.49451
"Offtake Liveweight (kg)","Juvenile Female",2808614.2224559,600060.779380968,1543220.30033925,2348464.72026838,2782353.08429164,3228350.73000505,4358010.95304478
"Offtake Liveweight (kg)","Juvenile Male",3760565.64149302,818250.962504678,2126108.21179637,3142563.17045523,3725229.05878728,4346448.17224608,5931966.89411383
"Offtake Liveweight (kg)","Adult Female",12700452.6074944,1891149.4865785,8381278.89579184,11306854.63628,12720531.9011495,14055086.6704561,17483531.612558
"Offtake Liveweight (kg)","Adult Male",9381368.2119524,1596003.41583923,6064625.6289981,8055106.92723471,9334027.26522982,10560538.4554586,13339505.5256795
"Offtake Liveweight (kg)","Oxen",51344297.2170571,8181743.00005275,34343473.6559287,44938240.7358282,51020786.8090443,57077577.41023,72086590.1371884
"Meat (kg)","Overall",259758473.560521,9623762.98368371,225553563.536238,253277498.236349,259768077.986958,266032511.762683,290920540.958641
"Manure","Overall",2828236121.46819,91767422.0016547,2534078119.42455,2770425420.56616,2827246348.96236,2892454773.655,3122460820.92268
"Manure","Neonatal Female",100581306.5097,2534294.14553104,91280213.5437767,98787178.9413748,100611034.202743,102275095.504414,109661888.077193
"Manure","Neonatal Male",82732856.9531952,2171107.27300001,75848571.5335343,81209085.1786544,82734555.5367535,84181827.738249,91214512.4650179
"Manure","Neonatal Combined",183314163.462895,3389794.90554191,173128244.010363,180967504.845764,183337874.763006,185641989.372199,193205066.736669
"Manure","Juvenile Female",219146821.37248,7200125.10722026,193018705.873381,214270520.229487,218784364.936563,224106700.158125,243345308.972489
"Manure","Juvenile Male",159469639.014739,5448276.88534406,139113123.557186,155646000.044065,159641540.229916,163265157.416086,180408726.25626
"Manure","Juvenile Combined",378616460.387219,8947872.73592292,350168250.375286,372269443.624888,378637448.976962,384404716.891504,407147685.924095
"Manure","Adult Female",1139611380.17471,67913268.013183,935527403.514848,1094823447.87885,1135005339.20949,1175451636.15049,1373627570.2299
"Manure","Adult Male",182792804.680737,10795645.7720178,150249270.696226,175748249.030972,182653934.519646,190147072.794528,214724904.269281
"Manure","Oxen",943901312.762632,56997516.8268761,780362813.215939,910716050.724914,945354067.832685,979485183.347188,1113121399.57827
"Hides","Overall",41883.1821656087,525.878964912641,40301.0106189991,41512.331201422,41898.0647892607,42237.0164310954,43451.1665438034
"Hides","Juvenile Female",19513.2202479409,425.674481288517,18220.2327454724,19226.5203401134,19510.9208584498,19815.7263552296,20808.8452959579
"Hides","Juvenile Male",14102.2897255951,304.264533558229,13162.0465938995,13901.0506333108,14117.6141581727,14306.5166857853,15136.2217675467
"Hides","Juvenile Combined",33615.5099735359,525.950879198354,32032.7396752382,33244.8690035114,33630.2241051809,33969.0826371963,35183.7653909292
"Hides","Adult Female",0,0,0,0,0,0,0
"Hides","Adult Male",1279.28501113625,0.283189050793132,1278.37115699824,1279.09803792395,1279.29603041155,1279.49325976064,1280.06598515537
"Hides","Oxen",6988.38718093654,0.00405908902697602,6988.37386579569,6988.38448196245,6988.38719313303,6988.39018720284,6988.39778550303
"Milk","Overall",145035594.537207,24057711.7175271,70304594.3738359,128189676.973957,144876895.831643,161644659.908336,210207831.115887
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",9964638547.96139,239409001.838202,9209502507.81191,9788996718.40258,9960756564.56106,10138716468.8149,10671886423.9511
"Cml Dry Matter","Neonatal Female",337566162.500618,20327349.8481,275451879.632664,323146081.320464,337592406.10199,351458989.132464,396427137.785775
"Cml Dry Matter","Neonatal Male",293960921.30529,23319495.2014175,226878123.474273,277787505.130663,294460577.618591,309037603.839102,364228297.700114
"Cml Dry Matter","Neonatal Combined",631527083.805907,31153472.1354825,533732316.140763,609435378.423153,631362722.330036,651690914.481981,725104626.749729
"Cml Dry Matter","Juvenile Female",838709594.337628,51716392.4048895,690483769.738968,803492935.904038,837671142.863413,874693884.324597,985240575.351719
"Cml Dry Matter","Juvenile Male",658402697.499501,41617544.6650843,541243138.481778,630296350.871534,657660594.136344,683353352.889983,847122282.124442
"Cml Dry Matter","Juvenile Combined",1497112291.83713,65284204.4094318,1299804927.41252,1454346602.85772,1494898236.41755,1542442748.09141,1701028044.47005
"Cml Dry Matter","Adult Female",3750220012.90539,160648603.972231,3293876199.72701,3642294247.77624,3751471515.90537,3856320374.82705,4372875843.04158
"Cml Dry Matter","Adult Male",659896898.670956,31253945.6855211,572182824.3221,638033836.284218,659383213.708164,681484791.504059,766286711.092404
"Cml Dry Matter","Oxen",3425882260.742,158269988.846217,2873881649.47923,3317339860.25344,3431465223.36462,3533178015.05043,3953941257.29133
"Value of Offtake","Overall",8913612864.98642,1271027548.08268,5649100260.63762,7974859655.72342,8927439003.03356,9831019743.07086,12181613513.0837
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",214725107.378975,73741491.1122459,73251798.5800644,157804843.08606,206874757.813803,264080969.774859,455260485.741972
"Value of Offtake","Juvenile Male",327097638.551361,81476223.9015671,127994726.769952,265184347.706602,327503515.764228,387126029.209361,533984836.27594
"Value of Offtake","Juvenile Combined",541822745.930336,110729062.824001,236270245.029302,466234141.810654,540621352.982971,615451364.997283,914291325.362847
"Value of Offtake","Adult Female",907989285.526765,176287412.22653,592618912.476991,761585901.880265,895607307.749568,1033355427.47914,1405571309.93302
"Value of Offtake","Adult Male",1096484791.28187,279819266.583453,345185971.588814,890287714.348001,1114365290.07447,1308260392.5238,1660204565.21788
"Value of Offtake","Oxen",6367316042.24745,1216909573.52196,3383938997.69327,5462962644.17771,6341437737.93314,7297218772.73715,9205396148.71252
"Value of draught","Overall",14906513766.0308,12374.9938860946,14906473075.9005,14906505370.5281,14906513723.7737,14906522999.5884,14906546889.4979
"Value of draught","Oxen",14906513766.0308,12374.9938860946,14906473075.9005,14906505370.5281,14906513723.7737,14906522999.5884,14906546889.4979
"Value of Herd Increase","Overall",2085068226.23204,1725006579.05221,-3036326026.47706,890533297.727918,2067233202.1448,3312752203.0816,7027079477.41805
"Value of Herd Increase","Neonatal Female",-514702948.357129,106900727.321327,-832347375.909511,-588472309.829569,-506910154.616386,-428238514.414152,-304845906.838853
"Value of Herd Increase","Neonatal Male",176547850.674696,57652840.716644,54530767.7788707,132843599.243978,170962464.643699,215821149.178816,383390245.026315
"Value of Herd Increase","Neonatal Combined",-338155097.682434,122552178.94469,-725332986.801192,-425255925.062431,-335996825.85569,-250394714.458442,-28458214.067339
"Value of Herd Increase","Juvenile Female",1587029838.78522,541831018.627809,569434871.781855,1159779614.9517,1529964766.39356,1951437888.27345,3223969049.84907
"Value of Herd Increase","Juvenile Male",1841234380.52814,450736320.728003,705307082.59795,1509986967.49519,1839019727.95939,2187367408.64709,2929697532.22985
"Value of Herd Increase","Juvenile Combined",3428264219.31335,697993990.559796,1716495185.73215,2936675958.7898,3400759630.72272,3891914242.71032,5603840276.76392
"Value of Herd Increase","Adult Female",1194402258.61427,234274950.31206,769503402.31368,1008390564.07276,1173137197.64531,1347343789.07951,2018411020.68663
"Value of Herd Increase","Adult Male",4037161134.96361,1030372411.86998,1081375509.86251,3332727654.20069,4128806482.21914,4830976119.5574,6202550077.53502
"Value of Herd Increase","Oxen",-6236604288.97676,1181119280.20125,-8957466921.88288,-7172268999.16581,-6285803019.94266,-5392325527.52315,-3292673108.68105
"Value of Herd Increase plus Offtake","Overall",10998681091.2185,2141452887.205,4766467080.82429,9527229942.1837,10963778436.3358,12542542143.9683,17457989505.4836
"Value of Herd Increase plus Offtake","Neonatal Female",-514702948.357129,106900727.321327,-832347375.909511,-588472309.829569,-506910154.616386,-428238514.414152,-304845906.838853
"Value of Herd Increase plus Offtake","Neonatal Male",176547850.674696,57652840.716644,54530767.7788707,132843599.243978,170962464.643699,215821149.178816,383390245.026315
"Value of Herd Increase plus Offtake","Neonatal Combined",-338155097.682434,122552178.94469,-725332986.801192,-425255925.062431,-335996825.85569,-250394714.458442,-28458214.067339
"Value of Herd Increase plus Offtake","Juvenile Female",1801754946.16419,547405854.632797,732156220.203268,1383338524.64505,1746639285.00664,2175657256.62948,3490410093.14001
"Value of Herd Increase plus Offtake","Juvenile Male",2168332019.0795,453696187.705112,1001759906.59455,1826798888.96947,2162542782.21432,2506380478.79457,3286166067.0226
"Value of Herd Increase plus Offtake","Juvenile Combined",3970086965.24369,704175069.40821,2030305869.55818,3475038721.67212,3938526173.59598,4448704370.36075,6198949308.90222
"Value of Herd Increase plus Offtake","Adult Female",2102391544.14104,294104853.481974,1408747051.77929,1891793060.47555,2073815181.1459,2298560224.27987,3110593540.77462
"Value of Herd Increase plus Offtake","Adult Male",5133645926.24548,1061017258.86287,1547671119.15157,4413569255.75277,5193782852.87016,5920835383.45166,7591570611.54445
"Value of Herd Increase plus Offtake","Oxen",130711753.270693,1681221800.41491,-4810847021.33256,-1011171961.08256,27715444.6967983,1364029327.62515,5077673631.08424
"Value of Manure","Overall",1414118060.73409,45883711.0008273,1267039059.71228,1385212710.28308,1413623174.48118,1446227386.8275,1561230410.46134
"Value of Manure","Neonatal Female",50290653.25485,1267147.07276552,45640106.7718883,49393589.4706874,50305517.1013717,51137547.7522069,54830944.0385964
"Value of Manure","Neonatal Male",41366428.4765976,1085553.6365,37924285.7667672,40604542.5893272,41367277.7683768,42090913.8691245,45607256.2325089
