"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",319832.570451449,28.3708055268582,319725.484080807,319813.449429645,319835.224462538,319853.840324607,319903.202416068
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",17127.6712870437,14.0116800824968,17081.1459460734,17118.530156237,17127.9907468797,17137.3717400822,17162.5750933996
"Num Offtake","Juvenile Male",21263.5491008602,18.7040422145369,21196.3496107456,21251.3573775911,21265.8861520584,21277.4002307674,21308.0911093451
"Num Offtake","Juvenile Combined",38391.2203879039,23.0655974366635,38304.8077791919,38375.9571051557,38393.0722501191,38408.6556494845,38452.0109230506
"Num Offtake","Adult Female",52504.1557159279,1.65340798328417,52499.0204085642,52502.9759730398,52504.2344174986,52505.3739123573,52507.9868162594
"Num Offtake","Adult Male",35589.1857205524,5.47001536203919,35567.9141980014,35585.5291757115,35589.956245377,35593.3528642175,35601.7572144414
"Num Offtake","Oxen",193348.008627065,0.0658557258515632,193347.746003248,193347.966092137,193348.016948261,193348.060219923,193348.149455442
"Cml Pop Growth","Overall",213331.686040749,4002.6131533726,198925.496785154,210799.487989462,213328.98620207,216026.063434889,228013.105913683
"Cml Pop Growth","Neonatal Female",-81662.0701231314,2105.98596608731,-88503.3204839565,-83054.5745656203,-81575.3148623696,-80254.3034794481,-74167.9700782016
"Cml Pop Growth","Neonatal Male",13426.3155188941,1743.20269943774,7436.5494329693,12175.3564892127,13523.200949938,14670.0507046641,17971.3279266239
"Cml Pop Growth","Neonatal Combined",-68235.7546042373,2676.30150828522,-77007.8853064951,-70045.9943243905,-68226.3911256208,-66385.8525389191,-58937.2190759684
"Cml Pop Growth","Juvenile Female",151132.498721696,1112.60477251543,147234.716274907,150465.956215253,151153.501338744,151864.784441489,154479.394214458
"Cml Pop Growth","Juvenile Male",137045.782499953,861.830111469136,134087.775940336,136461.638670532,137131.397325601,137662.735873858,139107.740040352
"Cml Pop Growth","Juvenile Combined",288178.28122165,1391.94778917366,283223.867723571,287265.982662472,288198.441953438,289128.363227463,292802.422914775
"Cml Pop Growth","Adult Female",45571.0386447802,212.127496102708,44864.832914657,45433.7826705161,45576.6965204198,45716.5483236481,46101.1245252572
"Cml Pop Growth","Adult Male",135847.752228965,161.439240048598,135271.189749545,135742.432566555,135868.536452634,135967.809079801,136232.383432067
"Cml Pop Growth","Oxen",-188029.631450409,2.8960956257196,-188040.882594928,-188031.570293016,-188029.217796488,-188027.421305516,-188022.96658897
"Total Number Increase","Overall",533164.256492198,4021.93829795087,518650.980865961,530618.575505373,533165.489404684,535872.343386023,547916.308329751
"Total Number Increase","Neonatal Female",-81662.0701231314,2105.98596608731,-88503.3204839565,-83054.5745656203,-81575.3148623696,-80254.3034794481,-74167.9700782016
"Total Number Increase","Neonatal Male",13426.3155188941,1743.20269943774,7436.5494329693,12175.3564892127,13523.200949938,14670.0507046641,17971.3279266239
"Total Number Increase","Neonatal Combined",-68235.7546042373,2676.30150828522,-77007.8853064951,-70045.9943243905,-68226.3911256208,-66385.8525389191,-58937.2190759684
"Total Number Increase","Juvenile Female",168260.17000874,1125.64470519214,164315.862220981,167589.450662804,168282.736070653,168999.765635303,171641.969307858
"Total Number Increase","Juvenile Male",158309.331600814,879.145073000414,155287.34555812,157718.590579131,158388.28328608,158939.2271856,160402.443578553
"Total Number Increase","Juvenile Combined",326569.501609554,1412.57177055487,321528.675502763,325635.291929566,326599.256050393,327538.006267128,331254.433837826
"Total Number Increase","Adult Female",98075.194360708,213.735468539911,97364.0815828912,97937.5303093825,98080.8717244097,98222.0098833715,98608.8946870174
"Total Number Increase","Adult Male",171436.937949518,166.761684054661,170839.103947546,171328.108009977,171458.095305138,171560.237317695,171834.140646509
"Total Number Increase","Oxen",5318.3771766562,2.96097895670275,5306.86340832053,5316.39761316895,5318.79488076638,5320.63322133764,5325.18286647229
"Total Mortality","Overall",150471.641547073,4004.18286214837,136049.448609243,147858.255125869,150461.452959798,153099.857404255,164689.811232983
"Total Mortality","Neonatal Female",55964.771362416,3190.87947027597,44713.1358035978,53825.7099333413,55964.2206608057,57962.4408326337,65903.4287872302
"Total Mortality","Neonatal Male",45142.0961623739,2545.94566444934,38455.2079557762,43318.9973763821,44966.2768568749,46951.8309903033,53362.805429348
"Total Mortality","Neonatal Combined",101106.86752479,4004.85593982526,86681.9654149191,98493.4644364156,101096.86967716,103736.971733501,115327.698109567
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",32815.0973224549,1.03337998955265,32811.8877553526,32814.3599831499,32815.1465109366,32815.8586952233,32817.4917601621
"Total Mortality","Adult Male",2572.71222076282,0.395422797255842,2571.17452033745,2572.44789222011,2572.76792135255,2573.01346006391,2573.6210034536
"Total Mortality","Oxen",13976.9644790649,0.00476065488092629,13976.9454942107,13976.9614042509,13976.9650805972,13976.9682086691,13976.9746594296
"Value of Total Mortality","Overall",1330579314.46297,27150876.4257095,1243482933.95308,1312291087.91124,1330911809.81136,1347458142.19284,1421915141.33925
"Value of Total Mortality","Neonatal Female",297943916.647558,16987528.1142087,238042727.283697,286556032.365835,297940984.835442,308579061.786802,350855104.297939
"Value of Total Mortality","Neonatal Male",387618737.423518,21861108.098593,330200863.990914,371964452.184245,386109041.086709,403158271.222528,458206973.630553
"Value of Total Mortality","Neonatal Combined",685562654.071076,27164829.4063263,598413780.647464,667274400.050651,685902582.888574,702443450.432049,776970846.351987
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",490988590.221639,15461.7181002996,490940567.788205,490977557.946393,490989326.193348,490999982.092232,491024416.462916
