"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",319385.610118778,36.7496636477619,319242.478232484,319361.540401622,319387.146914259,319410.280927645,319495.484031967
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",16651.5920701473,19.1350999738752,16590.3473903309,16637.9919615366,16652.9960225396,16665.3653105187,16703.8162451238
"Num Offtake","Juvenile Male",20684.2069170745,22.4790230777731,20606.6116179808,20670.061790686,20685.0057918379,20699.9516713572,20748.5362909621
"Num Offtake","Juvenile Combined",37335.7989872217,29.2824632551478,37221.8777053005,37316.789119632,37337.4226079039,37355.2634480817,37426.1366375615
"Num Offtake","Adult Female",52438.55476745,2.65056329885516,52430.0920098354,52436.6638213119,52438.686469733,52440.4792870605,52445.8079156438
"Num Offtake","Adult Male",35392.1652786636,7.68076571709726,35364.4626025022,35387.3716414605,35392.4501573494,35397.4721569399,35414.2734891756
"Num Offtake","Oxen",194219.091085443,0.111456322109746,194218.699819676,194219.020808714,194219.096779994,194219.165212673,194219.427675261
"Cml Pop Growth","Overall",160018.786224695,4045.89544117125,147711.791339011,157418.541012183,160278.84068992,162818.386764577,174584.249911964
"Cml Pop Growth","Neonatal Female",-82057.9530210804,2122.23979056522,-89984.3842739122,-83449.1674599583,-81982.4506909889,-80609.6159774575,-76253.2823059091
"Cml Pop Growth","Neonatal Male",13127.1161272317,1717.17910005236,6620.10913448507,11870.1369265907,13247.1264113088,14346.3030147508,17561.3080335085
"Cml Pop Growth","Neonatal Combined",-68930.8368938487,2700.26524370921,-77293.3230619493,-70743.4529377249,-68794.4307385959,-67112.7678462726,-58975.0275399266
"Cml Pop Growth","Juvenile Female",119973.070881109,1304.28227389633,115340.846243783,119103.105065774,119995.579798878,120911.752516327,123436.294099155
"Cml Pop Growth","Juvenile Male",114698.295454668,915.329790575293,111173.536662911,114112.161943797,114720.43727848,115328.422389433,117185.576897234
"Cml Pop Growth","Juvenile Combined",234671.366335777,1565.16076755769,229102.197703192,233651.089759322,234718.504009652,235763.266173194,238853.190775103
"Cml Pop Growth","Adult Female",38409.7382253771,288.31088894074,37488.580515658,38202.049547849,38430.5038941909,38619.3091364244,39195.066186816
"Cml Pop Growth","Adult Male",130899.086298979,192.599444988484,130238.399291514,130776.92085882,130905.623300248,131034.842454704,131448.206015269
"Cml Pop Growth","Oxen",-175030.56774159,4.05644266388329,-175045.195999043,-175033.089969678,-175030.413464195,-175027.755020506,-175018.885980639
"Total Number Increase","Overall",479404.396343473,4068.54989564734,467032.721068578,476788.814072996,479668.722247673,482198.727179073,494024.371450488
"Total Number Increase","Neonatal Female",-82057.9530210804,2122.23979056522,-89984.3842739122,-83449.1674599583,-81982.4506909889,-80609.6159774575,-76253.2823059091
"Total Number Increase","Neonatal Male",13127.1161272317,1717.17910005236,6620.10913448507,11870.1369265907,13247.1264113088,14346.3030147508,17561.3080335085
"Total Number Increase","Neonatal Combined",-68930.8368938487,2700.26524370921,-77293.3230619493,-70743.4529377249,-68794.4307385959,-67112.7678462726,-58975.0275399266
"Total Number Increase","Juvenile Female",136624.662951257,1321.01832089777,131935.520477472,135741.714046078,136651.219193549,137567.601908271,140134.444998319
"Total Number Increase","Juvenile Male",135382.502371742,934.622739224946,131784.44837431,134786.642558358,135410.64679581,136018.087248984,137924.064393362
"Total Number Increase","Juvenile Combined",272007.165322999,1589.71768164726,266324.075408492,270983.809113752,272062.398176719,273117.879976894,276266.328592539
"Total Number Increase","Adult Female",90848.2929928271,290.831406658992,89918.6725254935,90639.4029215961,90869.3771242029,91059.3113436493,91640.8741024598
"Total Number Increase","Adult Male",166291.251577643,199.871531711787,165602.861894016,166165.152725608,166298.689891183,166431.990556177,166862.479504444
"Total Number Increase","Oxen",19188.5233438533,4.16427056950668,19173.503820633,19185.9243839237,19188.677796153,19191.4005670151,19200.5097230463
"Total Mortality","Overall",203373.02651167,4039.16758112305,188380.742931662,200585.362631043,203128.430531476,206011.706431266,215500.893920225
"Total Mortality","Neonatal Female",55922.4628658398,3214.28304912892,46303.5090033137,53743.6405714391,55807.2769450454,58057.0773372755,67421.4537005253
"Total Mortality","Neonatal Male",44954.3789735247,2487.85813221546,38140.9960566449,43205.0491447614,44943.4699169884,46600.2297012288,54953.6651869062
"Total Mortality","Neonatal Combined",100876.841839365,4007.21774603771,85040.8107984195,98196.9350415433,100616.195817997,103395.475029398,113133.497525311
"Total Mortality","Juvenile Female",38997.7807222884,819.737772463309,36168.4702734892,38464.0765543893,39003.9417916741,39579.3068131005,41329.1043754545
"Total Mortality","Juvenile Male",28165.83744118,589.723073953607,26472.1171157267,27762.3533359757,28148.8019925123,28547.2629576146,30246.4929030894
"Total Mortality","Juvenile Combined",67163.6181634684,1030.08712532866,64064.2400955858,66496.0389186104,67149.4869433456,67878.7126608372,70395.8220226046
"Total Mortality","Adult Female",32774.0967296563,1.65660206178456,32768.8075061471,32772.9148883199,32774.1790435831,32775.2995544128,32778.6299472774
"Total Mortality","Adult Male",2558.4697791805,0.555236075934727,2556.4671760845,2558.12325118992,2558.49037282044,2558.85340893542,2560.06796307294
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",2621685169.58376,47707193.8684816,2456519221.72016,2589381071.74263,2619808625.42569,2651646782.91356,2798690376.6728
"Value of Total Mortality","Neonatal Female",433937951.917427,24941666.223966,359298371.956393,417031084.165688,433044151.108275,450501783.057881,523165934.30961
"Value of Total Mortality","Neonatal Male",730296026.802587,40415927.2287017,619610781.295973,701877691.310388,730118806.233055,757033316.352517,892737131.745779
"Value of Total Mortality","Neonatal Combined",1164233978.72001,46873623.7465975,988596301.011966,1132159324.61303,1161563841.7159,1192973894.12066,1330817865.9947
"Value of Total Mortality","Juvenile Female",429481512.313783,9027750.08468777,398322392.285679,423603842.63843,429549364.005553,435885843.542539,455156317.128572
"Value of Total Mortality","Juvenile Male",518756931.152578,10861488.9478401,487562078.164528,511325581.858535,518443173.143779,525782006.50431,557078335.387764
"Value of Total Mortality","Juvenile Combined",948238443.466362,14417235.9196338,906235741.759182,938840855.192386,947930660.562572,957688436.613522,995290537.145101
"Value of Total Mortality","Adult Female",452708889.232919,22882.6589937052,452635829.141607,452692564.448042,452710026.235921,452725503.861964,452771506.608184
"Value of Total Mortality","Adult Male",56503858.1644678,12262.4002588219,56459630.6335362,56496205.0866049,56504312.9754332,56512330.6355659,56539154.0888965
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",1081658183.45442,90383614.7168183,844226961.752735,1018449774.66612,1080107068.91597,1143069278.15353,1375667697.03662
"Population Liveweight (kg)","Neonatal Female",33609714.2611203,7269402.60493631,11384479.1489508,28794840.9971004,34168778.4484813,39181717.9576354,47620916.3173224
"Population Liveweight (kg)","Neonatal Male",31375067.1136571,8652676.89638351,9662481.70770758,24966461.0321808,31505729.3671483,37978694.3036818,51471674.6740839
"Population Liveweight (kg)","Juvenile Female",96555535.1224968,20194306.7214138,53015418.6387133,81698041.2865628,94760516.8564032,111359645.460061,150392717.234487
"Population Liveweight (kg)","Juvenile Male",79691394.8767197,17067102.2372552,43728112.5245114,66297302.100712,78321886.8293508,91820005.5689877,127885779.538776
"Population Liveweight (kg)","Juvenile Combined",176246929.999216,26757123.0131454,112395478.118821,156587467.362655,175648614.275806,193744318.206825,265938249.779199
"Population Liveweight (kg)","Adult Female",403728033.206622,58315801.160741,262488202.715698,358937191.188313,405759076.024271,446915007.384632,542529854.056933
"Population Liveweight (kg)","Adult Male",87825095.7632719,14061217.1579937,57936129.8536877,77393709.7137781,87119273.7759511,98171764.4280474,125908966.57858
"Population Liveweight (kg)","Oxen",348873343.110532,59777517.0149558,230824493.641518,303971958.40684,342924497.278146,390694639.421251,504863939.791282
"Offtake Liveweight (kg)","Overall",80229488.373433,8707777.24258985,59085044.8581648,73788177.9881043,79926566.3177325,86103270.7445351,108972110.465282
"Offtake Liveweight (kg)","Juvenile Female",2831569.93028391,600892.661135608,1558385.77198966,2377963.84878112,2761497.90777294,3264777.11880536,4520068.42365182
"Offtake Liveweight (kg)","Juvenile Male",3810892.22870747,823720.674532389,2151965.99576814,3191188.32827247,3720927.52377193,4383979.3151937,5991423.01050725
"Offtake Liveweight (kg)","Adult Female",12656066.4712505,1827693.78755779,8198578.65210689,11326489.3806604,12661741.6643646,14086711.5770969,17189121.9407386
"Offtake Liveweight (kg)","Adult Male",9382483.26221857,1533486.84409072,6209305.43826876,8226772.24809849,9271943.98926357,10450978.4725256,13665022.1255835
"Offtake Liveweight (kg)","Oxen",51548476.4809726,8291100.04297703,33506208.609007,45366303.6489929,51111711.214399,57673153.7760824,75629472.9028729
"Meat (kg)","Overall",260083824.160118,9307006.92805151,229988601.558998,253913401.263885,259918063.689198,266624439.400444,291872077.588604
"Manure","Overall",2818093171.89718,93148290.6931756,2567745980.54704,2755237915.0883,2818938240.77508,2880168459.56209,3123871957.30355
"Manure","Neonatal Female",100231296.664126,2501546.42824442,91667693.8428347,98661130.4932941,100160423.129248,101924917.831438,108376877.561729
"Manure","Neonatal Male",82398237.6227377,2113153.41712007,75623407.2803611,80956137.0051486,82436146.394692,83831430.9201107,88350309.2415015
"Manure","Neonatal Combined",182629534.286863,3190202.10072057,173220693.325242,180360023.078946,182699484.182836,184879362.627372,191533712.373886
"Manure","Juvenile Female",219386891.631774,7396213.55777093,195605208.608211,214206448.664224,219689712.711134,224516897.037854,245701591.782525
"Manure","Juvenile Male",159571095.874534,5038285.62913521,142272707.364056,156123742.559676,159458603.531405,163088061.68768,173562875.206076
"Manure","Juvenile Combined",378957987.506308,8849441.75433321,348541983.113236,373225376.390442,379211199.73462,384813229.004134,410317856.945658
"Manure","Adult Female",1123309976.16755,68112823.2656157,964704169.492232,1083266365.7545,1123011535.62305,1162772973.21634,1320165474.94726
"Manure","Adult Male",182474887.544474,11719574.2838361,143998851.750586,174832700.241263,182799563.176446,189610752.09451,220942214.653094
"Manure","Oxen",950720786.391991,57731978.1812218,785211444.743864,915383229.276651,950365662.064752,984904307.86881,1118941475.58111
"Hides","Overall",51248.0923361526,514.650101339219,49700.4116501087,50914.9421992283,51241.0266869899,51606.1536911947,52862.9118195328
"Hides","Juvenile Female",19498.8903611442,409.868886231655,18084.2351367446,19232.0382771946,19501.9708958371,19789.6534065503,20664.5521877273
"Hides","Juvenile Male",14082.91872059,294.861536976804,13236.0585578633,13881.1766679878,14074.4009962561,14273.6314788073,15123.2464515447
"Hides","Juvenile Combined",33581.8090817342,515.043562664329,32032.1200477929,33248.0194593052,33574.7434716728,33939.3563304186,35197.9110113023
"Hides","Adult Female",16387.0483648281,0.828301030892282,16384.4037530736,16386.45744416,16387.0895217916,16387.6497772064,16389.3149736387
"Hides","Adult Male",1279.23488959025,0.277618037967364,1278.23358804225,1279.06162559496,1279.24518641022,1279.42670446771,1280.03398153647
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",143536106.748597,24562628.1071437,70913732.5428078,126789379.401646,143897781.189411,159620426.526479,215958887.417998
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",9961826434.31649,252215058.778292,9273604770.11529,9789743025.16839,9952710945.45744,10131937772.0859,10983971201.6647
"Cml Dry Matter","Neonatal Female",336212820.582733,21272482.3572183,261899249.940541,321744606.764044,335846368.311205,351597694.134517,395991942.059515
"Cml Dry Matter","Neonatal Male",292812514.035659,22717407.353663,211249022.452535,277339549.724892,292576335.762088,308389303.848413,362148842.969612
"Cml Dry Matter","Neonatal Combined",629025334.618392,30715907.0974928,507720105.842379,606996411.549233,629266760.997646,649812788.332989,722661552.909301
"Cml Dry Matter","Juvenile Female",841941438.898697,51913769.1541837,677961144.662,805492327.398818,839561880.626038,877712736.800641,1012675823.76714
"Cml Dry Matter","Juvenile Male",660431486.036998,42885333.2968037,519091612.485644,630827087.385588,661222962.7214,687560859.881823,818113106.679226
"Cml Dry Matter","Juvenile Combined",1502372924.93569,67442239.3515395,1299805643.27832,1455683127.91594,1498942270.49207,1547834570.97489,1732014822.1333
"Cml Dry Matter","Adult Female",3721402186.91799,157884143.955784,3211507147.01858,3613297138.41488,3721067067.54504,3825990477.42522,4189118164.04441
"Cml Dry Matter","Adult Male",662729506.249171,31066387.7713422,550287131.93457,642393304.153262,662980048.575877,683521048.246939,769133398.241611
"Cml Dry Matter","Oxen",3446296481.59524,168633171.763471,2904501530.35227,3328738597.06117,3443424745.02082,3550302959.55344,4060123399.16962
"Value of Offtake","Overall",9032263129.91725,1246230749.0649,5400323107.29185,8106183361.87598,9076283653.79021,9965846550.27895,12306977849.0887
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",213747483.172455,75065882.351258,77552549.8078595,155269816.204267,204005796.423882,267597797.822007,426092862.642175
"Value of Offtake","Juvenile Male",327362480.179156,82182172.4611611,134189639.490741,264831521.149746,330331955.678038,388275195.724153,529357122.048365
