"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",38468.4565734581,383.380541703108,37520.3050726347,38202.4656546995,38437.0210861639,38704.6231425025,39774.3649673483
"Num Offtake","Neonatal Female",2799.43308262089,51.8339327573313,2671.02756392845,2763.4342964274,2795.40927658614,2831.38450405513,2975.20518034203
"Num Offtake","Neonatal Male",9472.49368395513,285.025632050006,8757.62218605991,9276.47623802673,9452.78673037466,9641.29836753611,10415.0867645467
"Num Offtake","Neonatal Combined",12271.926766576,336.816427418166,11428.6497499884,12038.5377034954,12247.9251329528,12473.4289711355,13390.2919448887
"Num Offtake","Juvenile Female",8733.65011098223,41.5654756159725,8643.40562231073,8703.09624876963,8730.13056677858,8758.64641278292,8890.85614991581
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",8733.65011098223,41.5654756159725,8643.40562231073,8703.09624876963,8730.13056677858,8758.64641278292,8890.85614991581
"Num Offtake","Adult Female",16747.9911465623,4.58838536748873,16738.7553343151,16744.6115092186,16747.5452734693,16750.7383184617,16765.9845235261
"Num Offtake","Adult Male",714.888549337532,3.14712952540447,708.554371370498,712.570357087013,714.580391253919,716.771207258216,727.232349017696
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",14688.2019102712,1941.1037020388,9901.63689528682,13281.5599105361,14575.2023584623,15877.0004426941,22427.428711561
"Cml Pop Growth","Neonatal Female",2953.31670996318,716.704317758343,1226.51380247725,2429.83110895514,2913.63144122943,3420.26415081269,5774.79071356116
"Cml Pop Growth","Neonatal Male",10071.0986940572,604.569785721049,8661.20684072454,9639.3405940742,10007.4795937989,10465.9124102864,12429.291957579
"Cml Pop Growth","Neonatal Combined",13024.4154040203,1316.75745054856,9887.72064320178,12059.5077776632,12908.6303841689,13890.968844908,18141.6186524465
"Cml Pop Growth","Juvenile Female",-190.109737050846,355.713439647739,-1092.50059965485,-436.185715963287,-216.976243386896,19.6380602069794,1020.53765480994
"Cml Pop Growth","Juvenile Male",9391.5612145891,329.973690608423,8550.95053504815,9161.12488880422,9365.80893232321,9585.41106898157,10526.547852002
"Cml Pop Growth","Juvenile Combined",9201.45147753825,685.647699114175,7458.4499353933,8725.85961473603,9149.50025542346,9604.40891740746,11547.0855068119
"Cml Pop Growth","Adult Female",-10320.9129698593,64.4947235841769,-10462.5108399012,-10368.6432549296,-10326.1347406138,-10281.9895291523,-10078.5905744491
"Cml Pop Growth","Adult Male",2783.24799857187,64.4257127503513,2641.96606558268,2735.63812394994,2778.05570486761,2822.15332146425,3025.51597544262
