"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",35465.5046415302,3.57974368108553,35452.669228445,35462.9780417683,35465.5817534653,35467.9698626381,35475.7253109951
"Num Offtake","Neonatal Female",2448.18069265725,0.482993230255061,2446.45284231281,2447.84036475183,2448.1893537515,2448.51352417769,2449.5669674209
"Num Offtake","Neonatal Male",7501.71700655012,2.6443291585868,7492.37180758425,7499.85136502649,7501.76804951972,7503.53059167486,7509.53050290113
"Num Offtake","Neonatal Combined",9949.89769920737,3.12691866252322,9938.82464989707,9947.70125215034,9949.9689267023,9952.04117728063,9959.09747032203
"Num Offtake","Juvenile Female",8699.71885325133,0.403181965110079,8698.23005531634,8699.42844305571,8699.71408861902,8700.01865809884,8700.79230358713
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",8699.71885325133,0.403181965110079,8698.23005531634,8699.42844305571,8699.71408861902,8700.01865809884,8700.79230358713
"Num Offtake","Adult Female",16113.1552716987,0.0444468950410977,16112.9939689396,16113.1229183017,16113.1558989273,16113.1878805826,16113.2785344497
"Num Offtake","Adult Male",702.73281737275,0.0309462903333038,702.620554291989,702.710405647498,702.733249759058,702.755593901133,702.818764190922
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-3536.19700536717,17.5471900779505,-3585.58704540938,-3548.16092083911,-3536.59218422175,-3525.19524473546,-3473.73808669603
"Cml Pop Growth","Neonatal Female",-2765.76355231992,6.35172511518408,-2785.37621992531,-2770.13460585834,-2765.81021965716,-2761.57166525582,-2743.49161397132
"Cml Pop Growth","Neonatal Male",5496.0537905647,5.32645516041748,5478.62333608215,5492.10838641247,5496.10804129225,5499.55156205276,5513.71814344379
"Cml Pop Growth","Neonatal Combined",2730.29023824478,11.6357240808237,2693.24711615683,2721.90901393589,2730.28803265873,2738.05038088955,2770.22652947247
"Cml Pop Growth","Juvenile Female",-1357.33448661632,3.35283075085861,-1369.00119405385,-1359.7234222531,-1357.29362100938,-1355.05712859808,-1347.15430287274
"Cml Pop Growth","Juvenile Male",7386.53957079441,3.10900894987119,7375.79457064108,7384.33778289132,7386.57488689729,7388.62764982223,7396.08218241693
"Cml Pop Growth","Juvenile Combined",6029.20508417809,6.46150842377427,6006.79337658723,6024.61831653487,6029.26365327533,6033.59670337838,6048.92787954419
"Cml Pop Growth","Adult Female",-14772.2185403977,0.611121331971349,-14774.4735897848,-14772.6530336495,-14772.2248281355,-14771.763578166,-14770.6034440104
"Cml Pop Growth","Adult Male",2476.52621260766,0.624438861102573,2474.22122377715,2476.0811164748,2476.51963051569,2476.99400794212,2478.18109528859
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",31929.307636163,20.6629160680107,31867.0821830357,31914.8047574608,31928.6747388912,31942.8728755085,32001.9872242991
"Total Number Increase","Neonatal Female",-317.582859662679,6.68967850544732,-337.802427471794,-322.085270669687,-317.713419087505,-313.22503809022,-293.924646550419
"Total Number Increase","Neonatal Male",12997.7707971148,7.17631590308546,12976.8562781426,12992.9890749896,12997.6751247472,13002.221168455,13023.2486463449
"Total Number Increase","Neonatal Combined",12680.1879374521,13.8522373082072,12639.0538506708,12670.9985139794,12680.0283221217,12688.9924356764,12729.3239997945
"Total Number Increase","Juvenile Female",7342.38436663501,3.73151452649894,7329.22886126249,7339.73453716586,7342.44525560087,7344.9434732425,7353.45698189201
"Total Number Increase","Juvenile Male",7386.53957079441,3.10900894987119,7375.79457064108,7384.33778289132,7386.57488689729,7388.62764982223,7396.08218241693
"Total Number Increase","Juvenile Combined",14728.9239374294,6.8375781228898,14705.0234319036,14724.0624456935,14729.0196657183,14733.5611333295,14749.5391643089
"Total Number Increase","Adult Female",1340.93673130099,0.654513674865937,1338.52037915485,1340.4701254583,1340.93015293615,1341.42779170939,1342.67401107492
"Total Number Increase","Adult Male",3179.25902998041,0.654668464699767,3176.84177806914,3178.79284409787,3179.2521058655,3179.75022103081,3180.99906111333
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",9914.12558303035,1.14084084979761,9910.05907990797,9913.32127121185,9914.14072679105,9914.91091735451,9917.43220953094
"Total Mortality","Neonatal Female",3093.61014799416,0.610327809140483,3091.42677346801,3093.18009727732,3093.62109246781,3094.03072600635,3095.3618951955
"Total Mortality","Neonatal Male",1468.6460055077,0.517692609920507,1466.81645247072,1468.28076019533,1468.6559984271,1469.00105949691,1470.17569000459
"Total Mortality","Neonatal Combined",4562.25615350186,1.12774350398689,4558.24322593873,4561.45668645866,4562.27818681309,4563.02851478845,4565.53758520009
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",5351.8694295285,0.0147627187100934,5351.81585396924,5351.85868357877,5351.86963785801,5351.88026033636,5351.9103703708
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",173672004.957121,12048.8373435644,173628952.164457,173663469.278935,173672186.185201,173680315.126584,173706722.743772
"Value of Total Mortality","Neonatal Female",34388570.405103,6784.40392640565,34364300.0138704,34383789.9613347,34388692.0638722,34393245.5502866,34408042.8269932
"Value of Total Mortality","Neonatal Male",14071097.3787693,4960.01289564838,14053568.431122,14067597.9634314,14071193.1209301,14074499.1510399,14085753.2859339
"Value of Total Mortality","Neonatal Combined",48459667.7838723,11741.5841875091,48417868.4449924,48451364.0371095,48459873.7790529,48467720.1973988,48493796.1129271
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",125212337.173249,345.388566941232,125211083.719464,125212085.761009,125212342.047326,125212590.57083,125213295.025195
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
