"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",35231.294536647,3.48169810138869,35221.0749333346,35228.8996439004,35231.2903386549,35233.6300219357,35242.4771945229
"Num Offtake","Neonatal Female",2447.4492922375,0.470592090589934,2446.0674935189,2447.12642520347,2447.44752323161,2447.76414676548,2448.95762543923
"Num Offtake","Neonatal Male",7497.34099785354,2.58758948250795,7489.87557838994,7495.57991325125,7497.30276916525,7499.07069899704,7505.61985655093
"Num Offtake","Neonatal Combined",9944.79029009104,3.05774864591634,9935.94307190884,9942.71936364757,9944.75289259378,9946.82151253272,9954.57748199016
"Num Offtake","Juvenile Female",8499.57332322518,0.380252951653937,8498.36908951981,8499.31281548622,8499.56428656626,8499.82762203168,8500.75307228833
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",8499.57332322518,0.380252951653937,8498.36908951981,8499.31281548622,8499.56428656626,8499.82762203168,8500.75307228833
"Num Offtake","Adult Female",16087.1645202365,0.0422866080999038,16087.0222800982,16087.1368175016,16087.163385912,16087.1927971919,16087.2916817567
"Num Offtake","Adult Male",699.766403094289,0.0294386063810266,699.667409394448,699.746985753704,699.765616129278,699.786103125153,699.854958487676
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-5641.46749910385,17.7491547871339,-5689.81662439861,-5653.59602912205,-5641.25307440055,-5629.48731452876,-5584.44752523451
"Cml Pop Growth","Neonatal Female",-2796.7801624398,6.50517001030846,-2815.94162588672,-2801.31843477598,-2796.85013194156,-2792.38128667726,-2776.53043564732
"Cml Pop Growth","Neonatal Male",5468.12857392203,5.43213623730736,5451.27241386479,5464.36101562478,5468.07993493885,5471.80371665207,5485.35058370178
"Cml Pop Growth","Neonatal Combined",2671.34841148223,11.9006515464555,2635.35012385672,2663.16799133513,2671.24810283343,2679.44634642612,2708.82014805446
"Cml Pop Growth","Juvenile Female",-2702.77980712732,3.22842192408688,-2712.00596117618,-2704.90889757394,-2702.82788737443,-2700.6414265282,-2692.53109328985
"Cml Pop Growth","Juvenile Male",7041.32327481643,2.99602709663164,7032.76760951432,7039.30683017577,7041.30146835752,7043.30107162383,7050.82014157229
