"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",36796.2663723108,3.61401511563025,36784.0327741932,36793.8511424085,36796.2594271865,36798.8267729278,36805.8621090342
"Num Offtake","Neonatal Female",2593.43625166711,0.489558500037034,2591.77963588479,2593.11008173291,2593.43591556299,2593.78656994934,2594.72985932374
"Num Offtake","Neonatal Male",7944.18498537547,2.68385024026206,7935.10834476081,7942.39398211897,7944.17202994714,7946.13973821792,7951.18897116977
"Num Offtake","Neonatal Combined",10537.6212370426,3.17294188125877,10526.8879806456,10535.5041688971,10537.6110395784,10539.9172271399,10545.9169894092
"Num Offtake","Juvenile Female",8792.62701866331,0.395766559070527,8791.34782346507,8792.35496466546,8792.62141467867,8792.89865910135,8793.86767117967
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",8792.62701866331,0.395766559070527,8791.34782346507,8792.35496466546,8792.62141467867,8792.89865910135,8793.86767117967
"Num Offtake","Adult Female",16760.8045068861,0.0438520557825096,16760.6674226681,16760.7750393408,16760.8047016559,16760.8342659225,16760.9451803778
"Num Offtake","Adult Male",705.213609718764,0.0300501413159371,705.119688624543,705.19339834054,705.213733156565,705.234008130473,705.310002863992
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",6728.83182795203,18.871944166399,6666.68354388585,6716.09951393655,6729.13229855911,6741.93821594877,6781.25970370905
"Cml Pop Growth","Neonatal Female",-131.864913079273,6.96471010055905,-155.114342009005,-136.499879879022,-131.699567735775,-126.861896047622,-113.035090148558
"Cml Pop Growth","Neonatal Male",6905.08661303753,5.82957396105612,6886.24709073508,6901.13878133098,6905.25909769789,6909.198871194,6921.17908996844
"Cml Pop Growth","Neonatal Combined",6773.22169995826,12.7510066751239,6731.13274872608,6764.45010805093,6773.60909693975,6782.41196865841,6807.47120484646
"Cml Pop Growth","Juvenile Female",-289.008710826708,3.4372774352405,-300.596753050006,-291.297260997564,-289.042628843295,-286.470128443937,-280.205688669434
"Cml Pop Growth","Juvenile Male",7937.30693016077,3.18104911875393,7926.60103677422,7935.20462246231,7937.2886521102,7939.6282033193,7945.49462679716
"Cml Pop Growth","Juvenile Combined",7648.29821933406,6.61789440735104,7626.00428372422,7643.89191283855,7648.2712961216,7653.18028879321,7665.2623701268
"Cml Pop Growth","Adult Female",-10239.1604886093,0.613977824481073,-10241.1552085313,-10239.5817635919,-10239.1688075156,-10238.747997856,-10237.2461014055
"Cml Pop Growth","Adult Male",2546.47239726901,0.612271807291129,2544.48420495443,2546.0523280445,2546.46488377533,2546.88498450883,2548.38161169515
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",43525.0982002628,22.0288162851577,43450.7163180791,43510.4422464249,43525.3912547077,43540.3763021808,43586.0857692875
"Total Number Increase","Neonatal Female",2461.57133858783,7.31848319118219,2437.22124658715,2456.86102386397,2461.72497887549,2466.71462777456,2481.55923483887
"Total Number Increase","Neonatal Male",14849.271598413,7.7568470310605,14823.9895121881,14844.2865285286,14849.5319084438,14854.6980698827,14870.743976042
"Total Number Increase","Neonatal Combined",17310.8429370008,15.065533163531,17261.2107587753,17301.1602832914,17311.1590368674,17321.3060337972,17352.3032108809
"Total Number Increase","Juvenile Female",8503.6183078366,3.80669387798499,8490.75107041507,8501.07105287283,8503.59749504828,8506.38793550396,8513.50460221637
"Total Number Increase","Juvenile Male",7937.30693016077,3.18104911875393,7926.60103677422,7935.20462246231,7937.2886521102,7939.6282033193,7945.49462679716
"Total Number Increase","Juvenile Combined",16440.9252379974,6.98443671767426,16417.3521071893,16436.2713118309,16440.8304137754,16446.0853815219,16458.926812273
"Total Number Increase","Adult Female",6521.64401827683,0.656634585463857,6519.51806699705,6521.19040838715,6521.6352729358,6522.09237661158,6523.69907897238
"Total Number Increase","Adult Male",3251.68600698777,0.64150007059752,3249.60789950861,3251.24126806721,3251.67776555706,3252.12125050419,3253.69161455914
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",27275901.5731436,9477326.33180053,5504854.77085996,19677546.3676834,26920027.7667594,34838361.8698217,51542859.5044204
"Population Liveweight (kg)","Neonatal Female",1681785.98580311,993172.559347244,23126.4423714062,833069.036262675,1665845.07121305,2499828.69256604,3403634.64248496
"Population Liveweight (kg)","Neonatal Male",1000655.10729305,584942.201230242,13544.1864862004,487742.014014546,1043503.16497423,1491488.51319672,1993844.27766034
"Population Liveweight (kg)","Juvenile Female",5878888.71099554,3420745.59495891,62501.5151658375,2836184.29238649,6047725.71363404,8789940.59813939,11721165.0531395
"Population Liveweight (kg)","Juvenile Male",2126611.57000352,1259582.83398235,11337.6875724549,1031876.29882732,2120306.58488179,3220850.43775279,4251813.56702424
"Population Liveweight (kg)","Juvenile Combined",8005500.28099906,3630304.03233036,363524.598435378,5046360.22740313,8001952.80120702,10910104.2028708,15916894.3507024
"Population Liveweight (kg)","Adult Female",15091828.2334951,8603549.91360801,109336.132119295,7749303.46753002,14459774.7074999,22660219.7889271,30068435.8232206
"Population Liveweight (kg)","Adult Male",1496131.96555323,835429.649846174,15960.5121727195,791428.533769164,1489811.60980241,2224161.36267375,2926737.36468468
