"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",35231.1707716466,3.52844031139496,35219.7395445265,35228.8238253296,35231.0697738902,35233.6028020347,35242.8219585896
"Num Offtake","Neonatal Female",2447.43265056102,0.476913150762761,2445.88965981611,2447.11390550735,2447.41573497682,2447.76326400185,2449.00570817886
"Num Offtake","Neonatal Male",7497.24586967853,2.61180949387033,7488.79174056633,7495.50571286048,7497.16928416169,7499.03981078152,7505.79858432443
"Num Offtake","Neonatal Combined",9944.67852023955,3.08830062929823,9934.68140038245,9942.61902269112,9944.59255540014,9946.80482896999,9954.80429250329
"Num Offtake","Juvenile Female",8499.56328513146,0.39275087332577,8498.1329893301,8499.30964709838,8499.56564014912,8499.82167298826,8500.85682435193
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",8499.56328513146,0.39275087332577,8498.1329893301,8499.30964709838,8499.56564014912,8499.82167298826,8500.85682435193
"Num Offtake","Adult Female",16087.1633675464,0.0433264570253015,16087.0068938496,16087.1348587873,16087.1639654806,16087.1922125177,16087.3001258784
"Num Offtake","Adult Male",699.765598729203,0.0301541747804723,699.656823411119,699.745796486783,699.766064001314,699.785660426488,699.860715855941
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-5642.5996258059,17.2338835815145,-5697.09726566105,-5654.39818217913,-5642.5658007074,-5630.90479719694,-5581.67367780533
"Cml Pop Growth","Neonatal Female",-2797.24162451017,6.3128891563846,-2818.14446644114,-2801.30313729205,-2797.14496733124,-2793.20685036235,-2772.97442498554
"Cml Pop Growth","Neonatal Male",5467.72588838474,5.31359618972585,5448.43038819725,5464.37913682652,5467.8210422799,5470.99457631951,5488.52332692046
"Cml Pop Growth","Neonatal Combined",2670.48426387457,11.5833493620051,2630.28592175612,2663.30869159983,2670.44708975265,2677.82782831903,2715.54890193492
"Cml Pop Growth","Juvenile Female",-2702.90162612015,3.2454120263114,-2713.35844013169,-2705.06150037494,-2703.03900069088,-2700.69449691456,-2692.39856389031
"Cml Pop Growth","Juvenile Male",7041.2076791192,3.0048489824808,7031.53124242695,7039.21101205004,7041.08804193356,7043.25657635969,7050.88119911361
"Cml Pop Growth","Juvenile Combined",4338.30605299904,6.24987769853929,4318.17280229525,4334.14715011252,4338.06542411616,4342.52655595078,4358.4826352233
"Cml Pop Growth","Adult Female",-15067.4562664124,0.595319168015166,-15069.6199232356,-15067.8369816973,-15067.4506830665,-15067.0631617672,-15065.4907269003
"Cml Pop Growth","Adult Male",2416.06632373291,0.607878070299258,2413.85688597394,2415.67883482295,2416.07240069524,2416.46714488286,2418.07236407184
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",29588.5711458407,20.2745134253054,29522.6422788655,29574.6219327179,29587.9177746228,29602.1646678359,29656.7528252026
"Total Number Increase","Neonatal Female",-349.808973949153,6.64080121909837,-371.318306253634,-354.168485395874,-349.817414819843,-345.457351265631,-324.560729138437
"Total Number Increase","Neonatal Male",12964.9717580633,7.10919949539092,12941.7861130963,12960.257951517,12964.8887604023,12969.7572142532,12991.3789585464
"Total Number Increase","Neonatal Combined",12615.1627841141,13.7360358265983,12570.4678068427,12606.0573992056,12615.0646448415,12624.448065515,12666.8182294079
"Total Number Increase","Juvenile Female",5796.66165901131,3.61237710650254,5784.98865901194,5794.26635662512,5796.53778261121,5799.1513226502,5808.45826046162
"Total Number Increase","Juvenile Male",7041.2076791192,3.0048489824808,7031.53124242695,7039.21101205004,7041.08804193356,7043.25657635969,7050.88119911361
"Total Number Increase","Juvenile Combined",12837.8693381305,6.6140096968498,12816.5199014389,12833.5103000147,12837.6569960543,12842.4098328878,12859.3394595752
"Total Number Increase","Adult Female",1019.70710113398,0.637582183678034,1017.386970614,1019.29778087244,1019.7129655914,1020.12841017564,1021.80939897815
"Total Number Increase","Adult Male",3115.83192246211,0.637308787195505,3113.51370938505,3115.42183275171,3115.83702255181,3116.252438092,3117.93307992778
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",12188.179748593,1.28924125652574,12183.9762370061,12187.329312592,12188.1523133487,12189.0594277139,12192.4451754501
"Total Mortality","Neonatal Female",3092.66489479984,0.602644799600222,3090.71511558581,3092.26211695929,3092.64351965253,3093.08266996597,3094.65266760783
"Total Mortality","Neonatal Male",1467.77067026101,0.511326084011247,1466.11556611087,1467.42999167269,1467.75567675842,1468.12187844878,1469.44507495929
"Total Mortality","Neonatal Combined",4560.43556506084,1.11368139023198,4556.83068169669,4559.70341017231,4560.40066881484,4561.20911095161,4564.09774256712
"Total Mortality","Juvenile Female",1882.04615599339,0.0869662648078539,1881.72944763738,1881.98999328607,1882.04667746159,1882.1033704474,1882.33258253507
"Total Mortality","Juvenile Male",402.461623318023,0.0823190516794209,402.162187462236,402.408653397096,402.462282079608,402.515939920217,402.733022824005
"Total Mortality","Juvenile Combined",2284.50777931142,0.169283622154085,2283.89163509962,2284.39845041051,2284.50898593896,2284.61947357953,2285.06560535907
"Total Mortality","Adult Female",5343.23640422077,0.0143905732263107,5343.18443260005,5343.22693524008,5343.23660282035,5343.24598487194,5343.28182752391
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",213637648.217508,14962.6693878481,213588036.650731,213627920.406788,213637262.847685,213647754.99818,213687303.759221
"Value of Total Mortality","Neonatal Female",34378062.970595,6698.99959235611,34356389.2248519,34373585.6921194,34377825.3644575,34382706.9593417,34400159.0531286
"Value of Total Mortality","Neonatal Male",14062710.7917707,4899.01521091176,14046853.2389083,14059446.750216,14062567.1390224,14066075.7174177,14078753.263185
"Value of Total Mortality","Neonatal Combined",48440773.7623657,11595.0534705258,48403242.4637602,48433162.8809781,48440406.980954,48448830.1278877,48478912.3163136
"Value of Total Mortality","Juvenile Female",31878097.7902161,1473.03459331542,31872733.3840819,31877146.5062794,31878106.6228444,31879066.8886381,31882949.282979
"Value of Total Mortality","Juvenile Male",8308417.75177726,1699.39450286996,8302236.19797041,8307324.24072965,8308431.35125144,8309539.06371295,8314020.52317876
"Value of Total Mortality","Juvenile Combined",40186515.5419934,3172.39748198848,40174969.5820524,40184466.8255229,40186538.9587798,40188608.0461833,40196969.8061578
