"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",35398.3998823305,3.40708353758859,35387.3861598057,35396.1880619768,35398.4398642054,35400.7756598676,35409.184131424
"Num Offtake","Neonatal Female",2440.60440640346,0.46020752769271,2439.11547748851,2440.30433587402,2440.61004967535,2440.92452565782,2442.06526017367
"Num Offtake","Neonatal Male",7457.61870585057,2.52582678885276,7449.47634009954,7456.00796547774,7457.62877969069,7459.37031385352,7465.75350164226
"Num Offtake","Neonatal Combined",9898.22311225403,2.98560703398652,9888.59181758805,9896.31382001154,9898.23439027572,9900.30727754822,9907.81876181594
"Num Offtake","Juvenile Female",8895.66500349905,0.385668849322578,8894.46082328142,8895.39454278425,8895.67600159818,8895.9305563633,8896.74869819826
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",8895.66500349905,0.385668849322578,8894.46082328142,8895.39454278425,8895.67600159818,8895.9305563633,8896.74869819826
"Num Offtake","Adult Female",15925.9478125831,0.0371817264279072,15925.8250437331,15925.9229352921,15925.9483013841,15925.9736466505,15926.0613742105
"Num Offtake","Adult Male",678.563953994305,0.0258952049003235,678.478407614671,678.54670127452,678.564306261991,678.581848839826,678.64308700741
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-3870.92471950592,17.3156122450325,-3926.90362010748,-3883.07637699573,-3871.34632560222,-3859.51948147824,-3811.9561982922
"Cml Pop Growth","Neonatal Female",-2968.60481744658,6.33221564174712,-2988.61513450377,-2973.18482613419,-2968.81964907877,-2964.36863610593,-2946.80222927607
"Cml Pop Growth","Neonatal Male",5322.02915145966,5.32071019674675,5305.19901398672,5318.22107008885,5321.86167782866,5325.50791037494,5339.97653438274
"Cml Pop Growth","Neonatal Combined",2353.42433401308,11.6150530105379,2317.13656840627,2345.03561191914,2353.09705945144,2361.01818569686,2393.17430510668
"Cml Pop Growth","Juvenile Female",-51.8497232616333,3.27561233847306,-62.3749901261799,-53.9401897036932,-51.8303621244668,-49.5717233340356,-41.1825158743341
"Cml Pop Growth","Juvenile Male",7672.28415006415,3.04611589215761,7662.53342721127,7670.3427985329,7672.30042859051,7674.35300429985,7682.24648747879
"Cml Pop Growth","Juvenile Combined",7620.43442680252,6.32141194346128,7600.15843708509,7616.40786930217,7620.45163767016,7624.80690454201,7641.06397160445
"Cml Pop Growth","Adult Female",-15997.6236943625,0.511751132786215,-15999.2362696681,-15997.9782389378,-15997.603822087,-15997.2756988368,-15996.2014070548
"Cml Pop Growth","Adult Male",2152.84021404093,0.523131431472443,2151.19592882651,2152.47636657126,2152.85960338736,2153.19761980621,2154.29459076387
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",31527.4751628246,20.2842078630237,31462.4280625229,31514.3181064655,31527.4685475153,31541.1827072891,31596.1448931233
"Total Number Increase","Neonatal Female",-528.000411043118,6.65892204876069,-549.242911731489,-532.646801602894,-528.222560464237,-523.399276980273,-505.046768447656
"Total Number Increase","Neonatal Male",12779.6478573102,7.11816686200812,12756.6746287372,12774.6831767474,12779.4589061616,12784.3844727294,12804.0942573105
"Total Number Increase","Neonatal Combined",12251.6474462671,13.7647369302947,12207.4317170057,12242.0957178088,12251.2241874127,12261.1819391622,12299.0474888628
"Total Number Increase","Juvenile Female",8843.81528023742,3.63538517288528,8832.08583315524,8841.50157228081,8843.81857875285,8846.34403626203,8855.52780019784
"Total Number Increase","Juvenile Male",7672.28415006415,3.04611589215761,7662.53342721127,7670.3427985329,7672.30042859051,7674.35300429985,7682.24648747879
"Total Number Increase","Juvenile Combined",16516.0994303016,6.6785429792409,16494.6192603665,16511.7674930375,16516.1385607868,16520.7408639335,16537.7742876766
"Total Number Increase","Adult Female",-71.675881779349,0.547929671948682,-73.393592017359,-72.0588932460405,-71.6577725610478,-71.3009300918247,-70.1459980197051
"Total Number Increase","Adult Male",2831.40416803524,0.548345382852504,2829.68677011203,2831.02103980936,2831.42185358498,2831.78006993387,2832.93767777128
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",9833.73896257776,1.08648499759011,9830.22850925327,9833.02135782494,9833.75013737224,9834.50000987213,9837.20562021913
"Total Mortality","Neonatal Female",3084.03647718255,0.581534966811671,3082.15501246275,3083.6572971499,3084.04360822613,3084.44099151306,3085.88246512855
"Total Mortality","Neonatal Male",1460.01267621582,0.494492850212018,1458.41860742794,1459.69733408649,1460.01464841832,1460.35559665583,1461.60526299757
"Total Mortality","Neonatal Combined",4544.04915339837,1.07573446225039,4540.57361989069,4543.34346115007,4544.05709871619,4544.80455848903,4547.48772812612
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",5289.68980917939,0.0123496448492659,5289.64903238279,5289.68154636487,5289.68997153116,5289.69838978034,5289.72752786276
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",172028113.706746,11451.3157396926,171991109.58783,172020672.230078,172028298.291263,172036092.008471,172064549.310557
"Value of Total Mortality","Neonatal Female",34282149.4803613,6464.34269107844,34261235.118536,34277934.5151183,34282228.7490416,34286646.0616592,34302669.482369
"Value of Total Mortality","Neonatal Male",13988381.4508237,4737.73599788134,13973108.6777671,13985360.1578826,13988400.3464959,13991666.9715595,14003640.0247797
"Value of Total Mortality","Neonatal Combined",48270530.931185,11199.0776171243,48234343.7963031,48263164.9188836,48270619.6245643,48278385.154696,48306309.5071487
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",123757582.775561,288.932290893414,123756628.761628,123757389.458753,123757586.573943,123757783.527301,123758465.241877
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",25370073.3649187,8650164.04089846,5207709.98265197,18911311.4718358,25350339.6080519,32283047.1792375,45083353.1274745
"Population Liveweight (kg)","Neonatal Female",1500869.64739089,865520.325677246,20291.7031893832,710915.478707191,1502958.00714149,2218652.66844391,2984774.56799304
"Population Liveweight (kg)","Neonatal Male",897298.520587193,508278.237025159,11977.3278754494,454825.22185465,910421.358824373,1320045.81672749,1760602.81005229
"Population Liveweight (kg)","Juvenile Female",6022921.41955294,3399535.35323421,31488.7151126623,2984045.98918066,6077879.98470175,8974582.6937282,11809906.1071523
"Population Liveweight (kg)","Juvenile Male",2051503.76160209,1179203.21633968,22141.9736896782,1027207.56948746,2038049.59212751,3000448.83219963,4151282.44806639
"Population Liveweight (kg)","Juvenile Combined",8074425.18115502,3658852.94213888,140461.627466339,4989357.61844344,8280216.18697262,11051351.4033196,15749117.0148258
"Population Liveweight (kg)","Adult Female",13578012.5102007,7741886.30397748,48909.8706125616,7116433.21700391,13817268.262636,20200047.3953363,26901105.4854948
"Population Liveweight (kg)","Adult Male",1319467.50558487,782293.43645097,4927.17806738169,640519.526259855,1295881.24413585,1995201.39937586,2709569.67823884
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",6127981.56825735,2735463.28828917,472378.536139089,3854978.59382613,6120611.34652971,8287924.56272839,12113512.0333389
"Offtake Liveweight (kg)","Juvenile Female",1670907.88811167,975867.56341424,8895.38014797747,842825.697711208,1632337.5011647,2552919.93348177,3335915.76090265
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",4268010.78268508,2556555.08120122,15925.8586400731,1974817.72179679,4276109.8365293,6434072.6606711,8759275.84105925
"Offtake Liveweight (kg)","Adult Male",189062.897460596,110448.760585333,678.550846295313,92793.8719898291,186260.18377715,288391.074038351,373231.852391157
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",20792770.4827924,2858212.93272228,11644217.2450088,18889168.3462917,20892174.5834972,22658662.3482346,28796708.7760021
"Manure","Overall",64108595.8931842,2373241.55771459,57275552.3044579,62503706.408137,64088825.8638639,65834667.1634202,71836131.7869078
"Manure","Neonatal Female",5131507.14533537,130335.994496479,4662321.74384375,5048496.97650483,5129277.62075378,5224924.79683689,5480896.30546285
"Manure","Neonatal Male",2557175.67038449,68288.3260687218,2333759.75799614,2512353.22509826,2558130.77659715,2602635.28059648,2771073.01181455
"Manure","Neonatal Combined",7688682.81571986,145762.065668418,7216880.29481146,7588888.98508969,7697370.67446465,7790864.01276886,8106468.01267474
"Manure","Juvenile Female",13110076.0881454,452370.87626149,11645533.1660444,12796497.5233989,13098629.5897055,13445857.198027,14492296.5815795
"Manure","Juvenile Male",3046654.40807266,105677.428305624,2708102.20593594,2974389.2766333,3047016.50990409,3118744.06039513,3382411.90552401
"Manure","Juvenile Combined",16156730.4962181,458883.476771443,14805964.8619986,15835046.1113607,16160724.5487116,16477353.762988,17570844.2448779
"Manure","Adult Female",37745895.9749767,2327401.88874691,31304173.0280442,36381161.8565716,37883845.4565961,39375640.5923188,44711434.0280839
"Manure","Adult Male",2517286.60626952,157324.305207438,2069776.80891996,2410596.78933282,2516815.22120167,2631081.06784219,2905530.68713188
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",2644.8449045897,0.00617482242463294,2644.8245161914,2644.84077318244,2644.84498576558,2644.84919489017,2644.86376393138
"Hides","Juvenile Female",0,0,0,0,0,0,0
"Hides","Juvenile Male",0,0,0,0,0,0,0
"Hides","Juvenile Combined",0,0,0,0,0,0,0
"Hides","Adult Female",2644.8449045897,0.00617482242463294,2644.8245161914,2644.84077318244,2644.84498576558,2644.84919489017,2644.86376393138
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",169779864.416705,9696639.32900681,143219894.578586,163170846.290998,169589851.412073,176456825.954906,205891404.365422
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",254448694.023202,25429580.9387641,167154684.214222,237496122.548805,254473511.488414,272399894.786232,339138230.074248
"Cml Dry Matter","Neonatal Female",15791971.5133946,1854035.20889886,9917279.58981129,14507450.7966618,15785767.4947179,17086400.4638622,21002231.5377849
"Cml Dry Matter","Neonatal Male",7872694.41352968,924337.960374245,4907347.13386469,7229649.34269532,7841569.4606026,8464789.75873379,10922177.9900199
"Cml Dry Matter","Neonatal Combined",23664665.9269243,2096166.9694768,17488694.5680193,22310476.1995014,23672228.716382,24990269.4446787,30927578.6802275
"Cml Dry Matter","Juvenile Female",57383192.5314014,8376773.32346758,32376241.6451606,52362738.6453473,57208401.1318405,62924650.9021819,82888347.2173267
"Cml Dry Matter","Juvenile Male",13311715.8625942,2074621.13465991,7358817.71882338,11815184.448899,13358265.5539334,14783783.6381601,19026898.630813
"Cml Dry Matter","Juvenile Combined",70694908.3939957,8597184.24492214,45864057.8924796,65017766.1873567,70947070.5871366,76782326.6491837,96460507.7100035
"Cml Dry Matter","Adult Female",150117976.022132,23696629.8682852,58534541.7594597,134004736.65365,149925101.758668,167343237.420686,226274193.354647
"Cml Dry Matter","Adult Male",9971143.68014908,1613353.68098919,4700631.14162572,8953831.42569446,10019139.8112179,11076864.5670601,15270578.7136747
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",549283533.825339,8361.55364922672,549257281.549984,549277684.547389,549283750.066786,549289341.605537,549307579.027582
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",150674773.829267,6532.45896982538,150654377.424741,150670192.76568,150674960.11507,150679271.763682,150693129.450082
"Value of Offtake","Juvenile Male",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Combined",150674773.829267,6532.45896982538,150654377.424741,150670192.76568,150674960.11507,150679271.763682,150693129.450082
"Value of Offtake","Adult Female",372603475.023195,869.903671506779,372600602.723181,372602892.994094,372603486.459183,372604079.437035,372606131.911028
"Value of Offtake","Adult Male",26005284.9728778,992.407832599941,26002006.4934246,26004623.7796447,26005298.4731845,26005970.7749375,26008317.666472
"Value of Offtake","Oxen",0,0,0,0,0,0,0
"Value of draught","Overall",0,0,0,0,0,0,0
"Value of Herd Increase","Overall",-116275202.059682,245214.756177491,-117052662.135059,-116435716.954945,-116275379.130792,-116111461.92855,-115454758.458051
"Value of Herd Increase","Neonatal Female",-32999011.1507362,70388.909073661,-33221445.8351439,-33049922.5273076,-33001399.2191596,-32951921.7589535,-32756653.5806327
"Value of Herd Increase","Neonatal Male",50990361.300135,50977.7243950306,50829111.7530068,50953876.0725213,50988756.7352764,51023691.2893023,51162315.1759211
"Value of Herd Increase","Neonatal Combined",17991350.1493988,120979.366980855,17613809.6079345,17903960.7020054,17988603.2195108,18071192.7763164,18405661.5952883
"Value of Herd Increase","Juvenile Female",-878230.612605545,55482.3217890567,-1056507.58275724,-913638.933201156,-877902.673664218,-839645.849831895,-697549.45387947
"Value of Herd Increase","Juvenile Male",158386633.993924,62884.0164777018,158185340.071349,158346556.732913,158386970.047822,158429343.420766,158592296.487512
"Value of Herd Increase","Juvenile Combined",157508403.381319,118360.431563758,157128832.488592,157432908.422864,157508724.708949,157590200.147566,157894747.033633
"Value of Herd Increase","Adult Female",-374280403.953304,11972.9295026662,-374318131.765155,-374288698.87819,-374279939.021548,-374272262.249985,-374247128.119455
"Value of Herd Increase","Adult Male",82505448.3629047,20048.4889797501,82442432.7763472,82491504.272477,82506191.4402172,82519145.5814531,82561185.8964346
"Value of Herd Increase","Oxen",0,0,0,0,0,0,0
"Value of Herd Increase plus Offtake","Overall",433008331.765657,251874.181465386,432213258.112774,432843793.274531,433007461.9966,433177096.563712,433850647.167665
"Value of Herd Increase plus Offtake","Neonatal Female",-32999011.1507362,70388.909073661,-33221445.8351439,-33049922.5273076,-33001399.2191596,-32951921.7589535,-32756653.5806327
"Value of Herd Increase plus Offtake","Neonatal Male",50990361.300135,50977.7243950306,50829111.7530068,50953876.0725213,50988756.7352764,51023691.2893023,51162315.1759211
"Value of Herd Increase plus Offtake","Neonatal Combined",17991350.1493988,120979.366980855,17613809.6079345,17903960.7020054,17988603.2195108,18071192.7763164,18405661.5952883
"Value of Herd Increase plus Offtake","Juvenile Female",149796543.216661,61576.1540583305,149597869.841983,149757353.631292,149796599.086916,149839375.286206,149994929.879751
"Value of Herd Increase plus Offtake","Juvenile Male",158386633.993924,62884.0164777018,158185340.071349,158346556.732913,158386970.047822,158429343.420766,158592296.487512
"Value of Herd Increase plus Offtake","Juvenile Combined",308183177.210586,124404.64265008,307783209.913333,308103163.557151,308183822.14471,308269699.758733,308587226.367263
